[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ondansetron.]
[L04AC10, secukinumab, The metabolism of Ondansetron can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Ondansetron can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Ondansetron.]
[N02BE01, acetaminophen, The metabolism of Ondansetron can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tioclomarol.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Ondansetron.]
[J05AP06, asunaprevir, The metabolism of Ondansetron can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Ondansetron is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Ondansetron can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Ondansetron.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Ondansetron can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Ondansetron.]
[J02AC05, isavuconazole, The metabolism of Ondansetron can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Ondansetron can be decreased when it is combined with Osimertinib.]
[A10BB31, acetohexamide, The metabolism of Ondansetron can be decreased when combined with Acetohexamide.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ondansetron.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Ondansetron.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Ondansetron.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Ondansetron is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Ondansetron can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Ondansetron.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Ondansetron can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Ondansetron.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Ondansetron.]
[N07BC01, buprenorphine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Ondansetron.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Ondansetron.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Ondansetron.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Ondansetron.]
[S01GX07, azelastine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Ondansetron can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Ondansetron.]
[L01EF02, ribociclib, The metabolism of Ondansetron can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Ondansetron.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Ondansetron can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Ondansetron can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Ondansetron.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Ondansetron.]
[J05AE09, tipranavir, The metabolism of Ondansetron can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Ondansetron.]
[L04AB02, infliximab, The metabolism of Ondansetron can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Ondansetron can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Safinamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Ondansetron.]
[L01BC06, capecitabine, The metabolism of Ondansetron can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Ondansetron.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Ondansetron.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Ondansetron.]
[J05AG03, efavirenz, The metabolism of Ondansetron can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Ondansetron.]
[N04AA11, bornaprine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Brotizolam.]
[R03BA02, budesonide, The metabolism of Ondansetron can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Ondansetron can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Ondansetron is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Ondansetron can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Ondansetron.]
[N01BX04, capsaicin, The metabolism of Ondansetron can be increased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Ondansetron is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Ondansetron.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Ondansetron can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Ondansetron.]
[A03AA03, camylofine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Ondansetron.]
[L03AB06, interferon alfa-n1, The metabolism of Ondansetron can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Ondansetron.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Ondansetron.]
[B02BX08, avatrombopag, The metabolism of Ondansetron can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Ondansetron.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Ondansetron.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Ondansetron.]
[L01XX62, ivosidenib, The metabolism of Ondansetron can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Ondansetron.]
[N03AX17, stiripentol, The metabolism of Ondansetron can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Ondansetron.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Ondansetron.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Ondansetron.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Ondansetron is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Ondansetron.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Ondansetron.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Ondansetron.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Ondansetron.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Ondansetron.]
[R03BB08, revefenacin, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Ondansetron.]
[L04AA39, emapalumab, The metabolism of Ondansetron can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Ondansetron can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Ondansetron can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Amifampridine.]
