[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Cocaine.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Cocaine is combined with Mepenzolate.]
[S01EB04, demecarium, Demecarium may increase the neuromuscular blocking activities of Cocaine.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01AD02, trifluridine, The risk or severity of methemoglobinemia can be increased when Trifluridine is combined with Cocaine.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N05AA05, triflupromazine, Triflupromazine may increase the neuromuscular blocking activities of Cocaine.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Cocaine.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Trimebutine is combined with Cocaine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N03AC02, trimethadione, The risk or severity of methemoglobinemia can be increased when Trimethadione is combined with Cocaine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Cocaine is combined with Trimethaphan.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Cocaine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Cocaine is combined with Butylscopolamine.]
[J01FA08, troleandomycin, The risk or severity of methemoglobinemia can be increased when Troleandomycin is combined with Cocaine.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tropicamide is combined with Cocaine.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[M03AA02, tubocurarine, Tubocurarine may increase the neuromuscular blocking activities of Cocaine.]
[L01FX04, ipilimumab, The risk or severity of methemoglobinemia can be increased when Ipilimumab is combined with Cocaine.]
[S01AA05, tyrothricin, The risk or severity of methemoglobinemia can be increased when Tyrothricin is combined with Cocaine.]
[L01EX04, vandetanib, The risk or severity of methemoglobinemia can be increased when Vandetanib is combined with Cocaine.]
[L01AD08, uracil mustard, The risk or severity of methemoglobinemia can be increased when Uracil mustard is combined with Cocaine.]
[L02BX03, abiraterone, The risk or severity of methemoglobinemia can be increased when Abiraterone is combined with Cocaine.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Cocaine.]
[A07AA12, fidaxomicin, The risk or severity of methemoglobinemia can be increased when Fidaxomicin is combined with Cocaine.]
[S01AA28, vancomycin, The risk or severity of methemoglobinemia can be increased when Vancomycin is combined with Cocaine.]
[N03AX21, ezogabine, The risk or severity of methemoglobinemia can be increased when Ezogabine is combined with Cocaine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Cocaine.]
[N06AX09, viloxazine, The metabolism of Cocaine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of methemoglobinemia can be increased when Vinblastine is combined with Cocaine.]
[C04AX07, vincamine, The risk or severity of methemoglobinemia can be increased when Vincamine is combined with Cocaine.]
[L01CA02, vincristine, The risk or severity of methemoglobinemia can be increased when Vincristine is combined with Cocaine.]
[L01CA03, vindesine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Cocaine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Cocaine.]
[L01EC01, vemurafenib, The risk or severity of methemoglobinemia can be increased when Vemurafenib is combined with Cocaine.]
[M05BA03, pamidronic acid, The risk or severity of methemoglobinemia can be increased when Pamidronic acid is combined with Cocaine.]
[L01FX05, brentuximab vedotin, The risk or severity of methemoglobinemia can be increased when Brentuximab vedotin is combined with Cocaine.]
[L01ED01, crizotinib, The risk or severity of methemoglobinemia can be increased when Crizotinib is combined with Cocaine.]
[L01XD05, temoporfin, The risk or severity of methemoglobinemia can be increased when Temoporfin is combined with Cocaine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Cocaine.]
[J01MA13, trovafloxacin, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Cocaine.]
[L01XX02, asparaginase, The risk or severity of methemoglobinemia can be increased when Asparaginase Escherichia coli is combined with Cocaine.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of methemoglobinemia can be increased when Alemtuzumab is combined with Cocaine.]
[L01EJ01, ruxolitinib, The risk or severity of methemoglobinemia can be increased when Ruxolitinib is combined with Cocaine.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Cocaine.]
[J01DH04, doripenem, The risk or severity of methemoglobinemia can be increased when Doripenem is combined with Cocaine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Cocaine.]
[L03AB11, peginterferon alfa-2a, The risk or severity of methemoglobinemia can be increased when Peginterferon alfa-2a is combined with Cocaine.]
[L01FA01, rituximab, The risk or severity of methemoglobinemia can be increased when Rituximab is combined with Cocaine.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Cocaine.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Cocaine.]
[L01XJ01, vismodegib, The risk or severity of methemoglobinemia can be increased when Vismodegib is combined with Cocaine.]
[L01EK01, axitinib, The risk or severity of methemoglobinemia can be increased when Axitinib is combined with Cocaine.]
[L01BC07, azacitidine, The risk or severity of methemoglobinemia can be increased when Azacitidine is combined with Cocaine.]
[L01BC05, gemcitabine, The risk or severity of methemoglobinemia can be increased when Gemcitabine is combined with Cocaine.]
[J01CA09, azlocillin, The risk or severity of methemoglobinemia can be increased when Azlocillin is combined with Cocaine.]
[J01DF01, aztreonam, The risk or severity of methemoglobinemia can be increased when Aztreonam is combined with Cocaine.]
[R02AB04, bacitracin, The risk or severity of methemoglobinemia can be increased when Bacitracin is combined with Cocaine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Cocaine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of methemoglobinemia can be increased when Gemtuzumab ozogamicin is combined with Cocaine.]
[L01FD02, pertuzumab, The risk or severity of methemoglobinemia can be increased when Pertuzumab is combined with Cocaine.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Cocaine is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of methemoglobinemia can be increased when Carfilzomib is combined with Cocaine.]
[L02BB04, enzalutamide, The serum concentration of Cocaine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Cocaine.]
[L01EA04, bosutinib, The risk or severity of methemoglobinemia can be increased when Bosutinib is combined with Cocaine.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Octopamine.]
[L01EX05, regorafenib, The risk or severity of methemoglobinemia can be increased when Regorafenib is combined with Cocaine.]
[L01XL02, talimogene laherparepvec, The risk or severity of methemoglobinemia can be increased when Talimogene laherparepvec is combined with Cocaine.]
[N05CA04, barbital, The risk or severity of methemoglobinemia can be increased when Barbital is combined with Cocaine.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Cocaine.]
[L01AA09, bendamustine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Cocaine.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06DA02, donepezil, The therapeutic efficacy of Cocaine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, The risk or severity of methemoglobinemia can be increased when Perampanel is combined with Cocaine.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Cocaine is combined with Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Cocaine.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01EX07, cabozantinib, The risk or severity of methemoglobinemia can be increased when Cabozantinib is combined with Cocaine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Cocaine.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Cocaine.]
[L01EA05, ponatinib, The risk or severity of methemoglobinemia can be increased when Ponatinib is combined with Cocaine.]
[J04AK05, bedaquiline, The risk or severity of methemoglobinemia can be increased when Bedaquiline is combined with Cocaine.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Cocaine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Cocaine.]
[C03AA01, bendroflumethiazide, The serum concentration of Bendroflumethiazide can be increased when it is combined with Cocaine.]
[L04AX06, pomalidomide, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Cocaine.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01MA15, gemifloxacin, The risk or severity of methemoglobinemia can be increased when Gemifloxacin is combined with Cocaine.]
[S01AE07, moxifloxacin, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Cocaine.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Cocaine.]
[H03AA04, tiratricol, Tiratricol may increase the vasoconstricting activities of Cocaine.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Benzocaine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Cocaine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Cocaine.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L04AA18, everolimus, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Cocaine.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Cocaine.]
[L01EC02, dabrafenib, The serum concentration of Cocaine can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The risk or severity of methemoglobinemia can be increased when Trametinib is combined with Cocaine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Cocaine is combined with Benzyl alcohol.]
[L01EB03, afatinib, The risk or severity of methemoglobinemia can be increased when Afatinib is combined with Cocaine.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Bepridil.]
[L01EL01, ibrutinib, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Cocaine.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N03AF04, eslicarbazepine, The risk or severity of methemoglobinemia can be increased when Eslicarbazepine is combined with Cocaine.]
[N03AG04, vigabatrin, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Cocaine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Cocaine.]
[C01CA27, droxidopa, The risk or severity of Tachycardia can be increased when Cocaine is combined with Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Cocaine.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A16AA07, metreleptin, The metabolism of Cocaine can be increased when combined with Metreleptin.]
[P01CX04, miltefosine, The risk or severity of methemoglobinemia can be increased when Miltefosine is combined with Cocaine.]
[L02BG02, formestane, The risk or severity of methemoglobinemia can be increased when Formestane is combined with Cocaine.]
[A16AA06, betaine, Betaine may increase the neuromuscular blocking activities of Cocaine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Cocaine.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Cocaine.]
[L04AC11, siltuximab, The risk or severity of methemoglobinemia can be increased when Siltuximab is combined with Cocaine.]
[L01ED02, ceritinib, The risk or severity of methemoglobinemia can be increased when Ceritinib is combined with Cocaine.]
[L01FG02, ramucirumab, The risk or severity of methemoglobinemia can be increased when Ramucirumab is combined with Cocaine.]
[J01XA04, dalbavancin, The risk or severity of methemoglobinemia can be increased when Dalbavancin is combined with Cocaine.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Cocaine.]
[J01XX11, tedizolid, The risk or severity of methemoglobinemia can be increased when Tedizolid is combined with Cocaine.]
[L01XH04, belinostat, The risk or severity of methemoglobinemia can be increased when Belinostat is combined with Cocaine.]
[L01EM01, idelalisib, The risk or severity of methemoglobinemia can be increased when Idelalisib is combined with Cocaine.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Cocaine.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Cocaine is combined with Glycopyrronium.]
[N05CM19, suvorexant, Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Eliglustat.]
[L01FF02, pembrolizumab, The risk or severity of methemoglobinemia can be increased when Pembrolizumab is combined with Cocaine.]
[J01XA05, oritavancin, The risk or severity of methemoglobinemia can be increased when Oritavancin is combined with Cocaine.]
[S01AA15, dihydrostreptomycin, The risk or severity of methemoglobinemia can be increased when Dihydrostreptomycin is combined with Cocaine.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[V04CX03, methacholine, Cocaine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Cocaine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Cocaine is combined with Naloxegol.]
[L01BC08, decitabine, The risk or severity of methemoglobinemia can be increased when Decitabine is combined with Cocaine.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Cocaine.]
[L04AX05, pirfenidone, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Cocaine.]
[L01EX09, nintedanib, The risk or severity of methemoglobinemia can be increased when Nintedanib is combined with Cocaine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Cocaine.]
[S03AA06, gentamicin, The risk or severity of methemoglobinemia can be increased when Gentamicin is combined with Cocaine.]
[L01FX07, blinatumomab, The risk or severity of methemoglobinemia can be increased when Blinatumomab is combined with Cocaine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Cocaine.]
[L01XK01, olaparib, The risk or severity of methemoglobinemia can be increased when Olaparib is combined with Cocaine.]
[L01FF01, nivolumab, The risk or severity of methemoglobinemia can be increased when Nivolumab is combined with Cocaine.]
[N06AX11, mirtazapine, Cocaine may increase the serotonergic activities of Mirtazapine.]
[L01EF01, palbociclib, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Cocaine.]
[L01EX08, lenvatinib, The risk or severity of methemoglobinemia can be increased when Lenvatinib is combined with Cocaine.]
[L01XH03, panobinostat, The risk or severity of methemoglobinemia can be increased when Panobinostat is combined with Cocaine.]
[N02BE01, acetaminophen, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Cocaine.]
[L01DC01, bleomycin, The risk or severity of methemoglobinemia can be increased when Bleomycin is combined with Cocaine.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Cocaine is combined with Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Cocaine.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Cocaine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01XJ02, sonidegib, The risk or severity of methemoglobinemia can be increased when Sonidegib is combined with Cocaine.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Cocaine.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S01EC01, acetazolamide, The risk or severity of methemoglobinemia can be increased when Acetazolamide is combined with Cocaine.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[S02AA10, acetic acid, The risk or severity of methemoglobinemia can be increased when Acetic acid is combined with Cocaine.]
[L01CX01, trabectedin, The risk or severity of methemoglobinemia can be increased when Trabectedin is combined with Cocaine.]
[L01EB04, osimertinib, The risk or severity of methemoglobinemia can be increased when Osimertinib is combined with Cocaine.]
[L01FC01, daratumumab, The risk or severity of methemoglobinemia can be increased when Daratumumab is combined with Cocaine.]
[L01EE02, cobimetinib, The risk or severity of methemoglobinemia can be increased when Cobimetinib is combined with Cocaine.]
[L01XG03, ixazomib, The risk or severity of methemoglobinemia can be increased when Ixazomib is combined with Cocaine.]
[L01FE03, necitumumab, The risk or severity of methemoglobinemia can be increased when Necitumumab is combined with Cocaine.]
[L01FX08, elotuzumab, The risk or severity of methemoglobinemia can be increased when Elotuzumab is combined with Cocaine.]
[L01ED03, alectinib, The risk or severity of methemoglobinemia can be increased when Alectinib is combined with Cocaine.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cocaine.]
[L01XA04, satraplatin, The risk or severity of methemoglobinemia can be increased when Satraplatin is combined with Cocaine.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N03AX23, brivaracetam, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Cocaine.]
[L01XX52, venetoclax, The risk or severity of methemoglobinemia can be increased when Venetoclax is combined with Cocaine.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01FF05, atezolizumab, The risk or severity of methemoglobinemia can be increased when Atezolizumab is combined with Cocaine.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Bupivacaine is combined with Cocaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Cocaine.]
[N07BC01, buprenorphine, The risk or severity of adverse effects can be increased when Cocaine is combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of methemoglobinemia can be increased when Buserelin is combined with Cocaine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[L01AB01, busulfan, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Cocaine.]
[L01XX27, arsenic trioxide, The risk or severity of methemoglobinemia can be increased when Arsenic trioxide is combined with Cocaine.]
[N06DA03, rivastigmine, Rivastigmine may increase the neuromuscular blocking activities of Cocaine.]
[P01BE02, artemether, The risk or severity of methemoglobinemia can be increased when Artemether is combined with Cocaine.]
[P01BE03, artesunate, The risk or severity of methemoglobinemia can be increased when Artesunate is combined with Cocaine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Cocaine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of methemoglobinemia can be increased when Sparfloxacin is combined with Cocaine.]
[L01FX10, olaratumab, The risk or severity of methemoglobinemia can be increased when Olaratumab is combined with Cocaine.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Cocaine.]
[S01GX07, azelastine, Azelastine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[J01CE04, azidocillin, The risk or severity of methemoglobinemia can be increased when Azidocillin is combined with Cocaine.]
[L01XK03, rucaparib, The risk or severity of methemoglobinemia can be increased when Rucaparib is combined with Cocaine.]
[S01AA26, azithromycin, The risk or severity of methemoglobinemia can be increased when Azithromycin is combined with Cocaine.]
[J01CA06, bacampicillin, The risk or severity of methemoglobinemia can be increased when Bacampicillin is combined with Cocaine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Cocaine.]
[L01EF02, ribociclib, The risk or severity of methemoglobinemia can be increased when Ribociclib is combined with Cocaine.]
[R03CC12, bambuterol, Bambuterol may increase the neuromuscular blocking activities of Cocaine.]
[L01FF04, avelumab, The risk or severity of methemoglobinemia can be increased when Avelumab is combined with Cocaine.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Cocaine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of methemoglobinemia can be increased when Pregabalin is combined with Cocaine.]
[N03AX30, beclamide, The risk or severity of methemoglobinemia can be increased when Beclamide is combined with Cocaine.]
