[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Erythromycin.]
[C07AB03, atenolol, Erythromycin may decrease the excretion rate of Atenolol which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Erythromycin can be decreased when combined with Voriconazole.]
[S01FA01, atropine, Erythromycin may decrease the excretion rate of Atropine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Erythromycin.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Erythromycin.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Erythromycin.]
[H02AB11, prednylidene, The serum concentration of Prednylidene can be increased when it is combined with Erythromycin.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Erythromycin.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Erythromycin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Erythromycin.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Erythromycin.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be increased when it is combined with Erythromycin.]
[V03AX03, cobicistat, The serum concentration of Erythromycin can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Erythromycin can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Erythromycin can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Erythromycin.]
[L04AA31, teriflunomide, The excretion of Erythromycin can be decreased when combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Erythromycin is combined with Defibrotide.]
[H02AA01, aldosterone, The serum concentration of Aldosterone can be increased when it is combined with Erythromycin.]
[L01EX05, regorafenib, The serum concentration of Regorafenib can be increased when it is combined with Erythromycin.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Erythromycin.]
[J05AE04, nelfinavir, The metabolism of Erythromycin can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Erythromycin.]
[C08CA13, lercanidipine, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Lercanidipine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Erythromycin.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Erythromycin.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Erythromycin.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Erythromycin.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Erythromycin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Erythromycin.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Erythromycin.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Erythromycin.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Erythromycin is combined with Apixaban.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Erythromycin.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Erythromycin.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Erythromycin.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Erythromycin.]
[A10BK02, canagliflozin, The metabolism of Canagliflozin can be decreased when combined with Erythromycin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Gemifloxacin.]
[M04AB03, benzbromarone, Erythromycin may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Moxifloxacin.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Erythromycin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Benzocaine.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Erythromycin.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Erythromycin.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Erythromycin.]
[L01EC02, dabrafenib, The serum concentration of Erythromycin can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Benzyl alcohol.]
[L01EB03, afatinib, The serum concentration of Afatinib can be increased when it is combined with Erythromycin.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Erythromycin.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Erythromycin.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Erythromycin.]
[A05AA03, cholic acid, Erythromycin may decrease the excretion rate of Cholic Acid which could result in a higher serum level.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Erythromycin.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Erythromycin.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Erythromycin.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Erythromycin.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Erythromycin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Erythromycin.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Erythromycin.]
[A16AA07, metreleptin, The metabolism of Erythromycin can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Erythromycin can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The serum concentration of Betamethasone can be increased when it is combined with Erythromycin.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Erythromycin is combined with Argatroban.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Erythromycin.]
[L04AC11, siltuximab, The metabolism of Erythromycin can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Erythromycin.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Erythromycin is combined with Vorapaxar.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Erythromycin.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Erythromycin is combined with Acenocoumarol.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Erythromycin.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Erythromycin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Erythromycin.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Erythromycin.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Erythromycin.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Erythromycin.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Erythromycin.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Erythromycin.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Erythromycin.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Erythromycin.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Erythromycin is combined with Dicoumarol.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Erythromycin.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Erythromycin.]
[L04AC10, secukinumab, The metabolism of Erythromycin can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Erythromycin.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Erythromycin.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Erythromycin.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Erythromycin.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Erythromycin is combined with Tioclomarol.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Erythromycin.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Erythromycin.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Erythromycin.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Erythromycin is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Erythromycin.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Erythromycin.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be decreased when combined with Erythromycin.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Erythromycin.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Erythromycin.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Erythromycin.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Erythromycin.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Erythromycin.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Erythromycin.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Erythromycin.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Erythromycin.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Erythromycin.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Erythromycin.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Erythromycin.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Erythromycin.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Erythromycin.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Erythromycin.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Erythromycin.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be increased when it is combined with Erythromycin.]
[N04BC01, bromocriptine, Erythromycin may increase the vasoconstricting activities of Bromocriptine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Erythromycin.]
[C08CA01, amlodipine, The risk or severity of adverse effects can be increased when Erythromycin is combined with Amlodipine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Erythromycin.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Erythromycin is combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Erythromycin.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Erythromycin.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Erythromycin.]
[N05BE01, buspirone, The serum concentration of Buspirone can be increased when it is combined with Erythromycin.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Erythromycin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Erythromycin.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Erythromycin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Erythromycin can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Erythromycin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Erythromycin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Erythromycin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Erythromycin.]
[J05AE09, tipranavir, The metabolism of Erythromycin can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Erythromycin.]
[L04AB02, infliximab, The metabolism of Erythromycin can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Erythromycin can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Erythromycin.]
[N04BD03, safinamide, The metabolism of Safinamide can be decreased when combined with Erythromycin.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Erythromycin.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Erythromycin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Erythromycin.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Erythromycin.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Erythromycin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Erythromycin.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Erythromycin.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Erythromycin.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be decreased when combined with Erythromycin.]
[J05AG03, efavirenz, The metabolism of Erythromycin can be decreased when combined with Efavirenz.]
[V03AB23, acetylcysteine, The therapeutic efficacy of Acetylcysteine can be decreased when used in combination with Erythromycin.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be decreased when combined with Erythromycin.]
[R03BA02, budesonide, The serum concentration of Budesonide can be increased when it is combined with Erythromycin.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Erythromycin.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Erythromycin is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The serum concentration of Ertugliflozin can be increased when it is combined with Erythromycin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Erythromycin.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Erythromycin can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Erythromycin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Carbinoxamine.]
[C07AG02, carvedilol, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Erythromycin.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Erythromycin.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Erythromycin.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Erythromycin.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Encorafenib.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Erythromycin.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Erythromycin.]
[H01CC03, elagolix, The serum concentration of Elagolix can be increased when it is combined with Erythromycin.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Erythromycin.]
[N03AX17, stiripentol, The metabolism of Erythromycin can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Erythromycin.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Erythromycin.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Erythromycin.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Erythromycin.]
[L01EB07, dacomitinib, The serum concentration of Dacomitinib can be increased when it is combined with Erythromycin.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Erythromycin.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Erythromycin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Erythromycin is combined with Chloroprocaine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Erythromycin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Erythromycin.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Erythromycin.]
[R03BB08, revefenacin, Erythromycin may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Erythromycin.]
[L04AA39, emapalumab, The metabolism of Erythromycin can be increased when combined with Emapalumab.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Erythromycin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Amifampridine.]
[A06AX05, prucalopride, The serum concentration of Erythromycin can be increased when it is combined with Prucalopride.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Erythromycin.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Erythromycin.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Erythromycin.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Erythromycin.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Erythromycin is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Erythromycin can be decreased when combined with Clarithromycin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Erythromycin.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Erythromycin.]
[H02AB14, cloprednol, The serum concentration of Cloprednol can be increased when it is combined with Erythromycin.]
[C09CA06, candesartan, The excretion of Erythromycin can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Erythromycin can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The serum concentration of Cortivazol can be increased when it is combined with Erythromycin.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Erythromycin.]
[L01FX14, polatuzumab vedotin, The metabolism of Polatuzumab vedotin can be decreased when combined with Erythromycin.]
[J01DC04, cefaclor, Erythromycin may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Erythromycin.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Erythromycin.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Erythromycin.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Erythromycin.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Erythromycin.]
