[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apalutamide.]
[N06AX09, viloxazine, The metabolism of Apalutamide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be decreased when it is combined with Apalutamide.]
[L01CA02, vincristine, The serum concentration of Vincristine can be decreased when it is combined with Apalutamide.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Apalutamide.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be increased when combined with Apalutamide.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Apalutamide.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be increased when combined with Apalutamide.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Apalutamide.]
[J05AE02, indinavir, The metabolism of Apalutamide can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Vemurafenib can be decreased when it is combined with Apalutamide.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be decreased when it is combined with Apalutamide.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Crizotinib can be decreased when it is combined with Apalutamide.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be increased when combined with Apalutamide.]
[A02BC04, rabeprazole, The serum concentration of Rabeprazole can be increased when it is combined with Apalutamide.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Apalutamide.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Apalutamide.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Apalutamide.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be increased when combined with Apalutamide.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Apalutamide.]
[J02AC03, voriconazole, The metabolism of Apalutamide can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be increased when combined with Apalutamide.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Apalutamide.]
[R07AX02, ivacaftor, The serum concentration of Ivacaftor can be decreased when it is combined with Apalutamide.]
[H02AB11, prednylidene, The metabolism of Prednylidene can be increased when combined with Apalutamide.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Apalutamide.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be decreased when it is combined with Apalutamide.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be decreased when it is combined with Apalutamide.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be increased when combined with Apalutamide.]
[G04BD12, mirabegron, The serum concentration of Mirabegron can be decreased when it is combined with Apalutamide.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be decreased when it is combined with Apalutamide.]
[V03AX03, cobicistat, The metabolism of Apalutamide can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Apalutamide can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Apalutamide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be decreased when it is combined with Apalutamide.]
[L04AA31, teriflunomide, The metabolism of Apalutamide can be decreased when combined with Teriflunomide.]
[H02AA01, aldosterone, The metabolism of Aldosterone can be increased when combined with Apalutamide.]
[L01EX05, regorafenib, The serum concentration of Regorafenib can be decreased when it is combined with Apalutamide.]
[N05CA04, barbital, The serum concentration of Barbital can be increased when it is combined with Apalutamide.]
[D02BA02, octinoxate, Octinoxate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Apalutamide can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be decreased when it is combined with Apalutamide.]
[N04BD02, rasagiline, Rasagiline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be increased when combined with Apalutamide.]
[N06DA02, donepezil, The metabolism of Donepezil can be increased when combined with Apalutamide.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Apalutamide.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be increased when combined with Apalutamide.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be increased when combined with Apalutamide.]
[V09IX04, fluorodeoxyglucose F18, Fludeoxyglucose (18F) may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be increased when combined with Apalutamide.]
[G04BE03, sildenafil, The serum concentration of Sildenafil can be decreased when it is combined with Apalutamide.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Apalutamide.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Apalutamide.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Apalutamide.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be increased when combined with Apalutamide.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be increased when combined with Apalutamide.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be increased when combined with Apalutamide.]
[A16AX09, glycerol phenylbutyrate, Glycerol phenylbutyrate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be decreased when it is combined with Apalutamide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be increased when combined with Apalutamide.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A10BK02, canagliflozin, The serum concentration of Canagliflozin can be decreased when it is combined with Apalutamide.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be decreased when it is combined with Apalutamide.]
[R02AD01, benzocaine, The serum concentration of Benzocaine can be increased when it is combined with Apalutamide.]
[J02AX04, caspofungin, The excretion of Caspofungin can be increased when combined with Apalutamide.]
[L03AA12, ancestim, Ancestim may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be increased when combined with Apalutamide.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Apalutamide.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Apalutamide can be increased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EE01, trametinib, The serum concentration of Apalutamide can be increased when it is combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Florbetapir (18F) may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Afatinib can be decreased when it is combined with Apalutamide.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Apalutamide.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be decreased when it is combined with Apalutamide.]
[C08EA02, bepridil, The metabolism of Bepridil can be increased when combined with Apalutamide.]
[C02KX05, riociguat, The serum concentration of Riociguat can be decreased when it is combined with Apalutamide.]
[A10BJ03, lixisenatide, Lixisenatide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Apalutamide.]
[C02KX04, macitentan, The metabolism of Macitentan can be increased when combined with Apalutamide.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be increased when combined with Apalutamide.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be increased when combined with Apalutamide.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Apalutamide.]
[J05AP05, simeprevir, The serum concentration of Simeprevir can be decreased when it is combined with Apalutamide.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be decreased when it is combined with Apalutamide.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be increased when combined with Apalutamide.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Apalutamide.]
[A16AA07, metreleptin, The metabolism of Apalutamide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Apremilast can be increased when combined with Apalutamide.]
[L02BG02, formestane, Formestane may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Betamethasone can be increased when combined with Apalutamide.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be increased when combined with Apalutamide.]
[L04AC11, siltuximab, The metabolism of Apalutamide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be decreased when it is combined with Apalutamide.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Apalutamide.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Apalutamide.]
[L01XH04, belinostat, The serum concentration of Belinostat can be decreased when it is combined with Apalutamide.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be decreased when it is combined with Apalutamide.]
[R03AC19, olodaterol, The metabolism of Apalutamide can be decreased when combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Apalutamide.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be increased when combined with Apalutamide.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A06AH03, naloxegol, The metabolism of Naloxegol can be increased when combined with Apalutamide.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be increased when combined with Apalutamide.]
[L04AX05, pirfenidone, The serum concentration of Pirfenidone can be increased when it is combined with Apalutamide.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be decreased when it is combined with Apalutamide.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Apalutamide.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be decreased when it is combined with Apalutamide.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Apalutamide.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be increased when combined with Apalutamide.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be decreased when it is combined with Apalutamide.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be increased when combined with Apalutamide.]
[L04AC10, secukinumab, The metabolism of Apalutamide can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Apalutamide.]
[L01EX08, lenvatinib, The serum concentration of Lenvatinib can be decreased when it is combined with Apalutamide.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be decreased when it is combined with Apalutamide.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be increased when combined with Apalutamide.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be increased when combined with Apalutamide.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be increased when combined with Apalutamide.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Apalutamide.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be decreased when combined with Apalutamide.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be increased when combined with Apalutamide.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Apalutamide.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be increased when combined with Apalutamide.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be increased when combined with Apalutamide.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be increased when combined with Apalutamide.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC03, lansoprazole, The serum concentration of Lansoprazole can be increased when it is combined with Apalutamide.]
[V03AB37, idarucizumab, Idarucizumab may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Apalutamide.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be increased when combined with Apalutamide.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Apalutamide.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Apalutamide.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be decreased when it is combined with Apalutamide.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Apalutamide.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Apalutamide.]
[B01AC27, selexipag, The serum concentration of Selexipag can be decreased when it is combined with Apalutamide.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be increased when combined with Apalutamide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be increased when combined with Apalutamide.]
[M04AB05, lesinurad, Lesinurad may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be decreased when it is combined with Apalutamide.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be decreased when it is combined with Apalutamide.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be increased when combined with Apalutamide.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be decreased when it is combined with Apalutamide.]
[N05BA08, bromazepam, Bromazepam may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N04BC01, bromocriptine, The metabolism of Bromocriptine can be increased when combined with Apalutamide.]
[A02AD05, aluminum magnesium silicate, Apalutamide may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Apalutamide.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Apalutamide.]
[C03CA02, bumetanide, The excretion of Bumetanide can be decreased when combined with Apalutamide.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be increased when combined with Apalutamide.]
[N05BE01, buspirone, The metabolism of Buspirone can be increased when combined with Apalutamide.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Apalutamide.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[P01BE02, artemether, The serum concentration of Artemether can be increased when it is combined with Apalutamide.]
[M02AA03, clofezone, The serum concentration of Rabeprazole can be increased when it is combined with Apalutamide.]
[S01GX07, azelastine, The metabolism of Azelastine can be increased when combined with Apalutamide.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be increased when combined with Apalutamide.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Apalutamide.]
[L01EF02, ribociclib, The metabolism of Apalutamide can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[A06AH05, naldemedine, Naldemedine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be increased when combined with Apalutamide.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be increased when combined with Apalutamide.]
[P01CA02, benznidazole, Apalutamide may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Apalutamide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be increased when combined with Apalutamide.]
[L04AB02, infliximab, The metabolism of Apalutamide can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Apalutamide can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Apalutamide.]
[N04BD03, safinamide, The metabolism of Safinamide can be increased when combined with Apalutamide.]
[J01MA23, delafloxacin, Apalutamide may increase the excretion rate of Delafloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be decreased when it is combined with Apalutamide.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be increased when combined with Apalutamide.]
[L01XX59, enasidenib, The serum concentration of Enasidenib can be increased when it is combined with Apalutamide.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Apalutamide.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be decreased when it is combined with Apalutamide.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be decreased when it is combined with Apalutamide.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be decreased when it is combined with Apalutamide.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be decreased when it is combined with Apalutamide.]
[J05AG03, efavirenz, The metabolism of Apalutamide can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be increased when combined with Apalutamide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Budesonide can be increased when combined with Apalutamide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Apalutamide.]
[J05AX18, letermovir, The metabolism of Apalutamide can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Apalutamide may increase the excretion rate of Acetyldigoxin which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Capsaicin.]
[A10BK04, ertugliflozin, The serum concentration of Ertugliflozin can be decreased when it is combined with Apalutamide.]
[R06AX18, acrivastine, Acrivastine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Apalutamide.]
[V04CD06, macimorelin, The metabolism of Macimorelin can be increased when combined with Apalutamide.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Apalutamide.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be increased when combined with Apalutamide.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be increased when combined with Apalutamide.]
[N03AX24, cannabidiol, The serum concentration of Cannabidiol can be increased when it is combined with Apalutamide.]
