[L04AA27, fingolimod, Rivastigmine may increase the bradycardic activities of Fingolimod.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Acetylcholine.]
[C07AB07, bisoprolol, Bisoprolol may increase the bradycardic activities of Rivastigmine.]
[C07AA17, bopindolol, Bopindolol may increase the bradycardic activities of Rivastigmine.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Rivastigmine.]
[R03BA02, budesonide, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Budesonide.]
[N05CA03, butobarbital, The therapeutic efficacy of Butobarbital can be decreased when used in combination with Rivastigmine.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Carbamoylcholine.]
[A03AA03, camylofine, The therapeutic efficacy of Camylofin can be decreased when used in combination with Rivastigmine.]
[C07AG02, carvedilol, Carvedilol may increase the bradycardic activities of Rivastigmine.]
[C07AB08, celiprolol, Celiprolol may increase the bradycardic activities of Rivastigmine.]
[N01BA04, chloroprocaine, Rivastigmine may increase the neuromuscular blocking activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Chlorphenoxamine can be decreased when used in combination with Rivastigmine.]
[R03BB08, revefenacin, The therapeutic efficacy of Revefenacin can be decreased when used in combination with Rivastigmine.]
[N07XX05, amifampridine, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Amifampridine.]
[H02AB14, cloprednol, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Cloprednol.]
[H02AB17, cortivazol, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Cortivazol.]
[H02AB13, deflazacort, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Deflazacort.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Rivastigmine.]
[C08CA16, clevidipine, Rivastigmine may increase the neuromuscular blocking activities of Clevidipine.]
[C01BD07, dronedarone, Rivastigmine may increase the bradycardic activities of Dronedarone.]
[A03AA08, dihexyverine, The therapeutic efficacy of Dihexyverine can be decreased when used in combination with Rivastigmine.]
[D07XB03, fluprednidene, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fluprednidene.]
[G04BD09, trospium, The therapeutic efficacy of Trospium can be decreased when used in combination with Rivastigmine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Rivastigmine.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Chlorprothixene can be decreased when used in combination with Rivastigmine.]
[N06BX18, vinpocetine, Rivastigmine may increase the bradycardic activities of Vinpocetine.]
[R03BA03, flunisolide, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Flunisolide.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fluocinolone acetonide.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Rivastigmine.]
[N07CA02, cinnarizine, Cinnarizine may increase the bradycardic activities of Rivastigmine.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Fexinidazole.]
[S01EA04, clonidine, Clonidine may increase the bradycardic activities of Rivastigmine.]
[N05AH02, clozapine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Rivastigmine.]
[S02DA02, cocaine, Rivastigmine may increase the neuromuscular blocking activities of Cocaine.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Rivastigmine.]
[A03AB10, hexocyclium, The therapeutic efficacy of Hexocyclium can be decreased when used in combination with Rivastigmine.]
[A03BB06, homatropine methylbromide, The therapeutic efficacy of Homatropine methylbromide can be decreased when used in combination with Rivastigmine.]
[R03BA08, ciclesonide, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Ciclesonide.]
[R06AX27, desloratadine, The therapeutic efficacy of Desloratadine can be decreased when used in combination with Rivastigmine.]
[C08CA09, lacidipine, Rivastigmine may increase the bradycardic activities of Lacidipine.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Rivastigmine.]
[S01BA03, cortisone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Cortisone.]
[C08CA11, manidipine, Rivastigmine may increase the bradycardic activities of Manidipine.]
[A03AA04, mebeverine, The therapeutic efficacy of Mebeverine can be decreased when used in combination with Rivastigmine.]
[C07AA14, mepindolol, Mepindolol may increase the bradycardic activities of Rivastigmine.]
[H02AB15, meprednisone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Meprednisone.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Rivastigmine.]
[C04AX01, cyclandelate, Rivastigmine may increase the bradycardic activities of Cyclandelate.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Cyproheptadine can be decreased when used in combination with Rivastigmine.]
[C07AB12, nebivolol, Nebivolol may increase the bradycardic activities of Rivastigmine.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be decreased when used in combination with Rivastigmine.]
[N06AB10, escitalopram, The therapeutic efficacy of Escitalopram can be decreased when used in combination with Rivastigmine.]
[G04BD08, solifenacin, The therapeutic efficacy of Solifenacin can be decreased when used in combination with Rivastigmine.]
[N06AA01, desipramine, The therapeutic efficacy of Desipramine can be decreased when used in combination with Rivastigmine.]
[D07XC02, desoximetasone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Desoximetasone.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Desoxycortone.]
[S03BA01, dexamethasone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Dexamethasone.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Rivastigmine.]
[G04BD04, oxybutynin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Rivastigmine.]
[A03AA01, oxyphencyclimine, The therapeutic efficacy of Oxyphencyclimine can be decreased when used in combination with Rivastigmine.]
[R05DA09, dextromethorphan, The therapeutic efficacy of Dextromethorphan can be decreased when used in combination with Rivastigmine.]
[N06AB05, paroxetine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Rivastigmine.]
[A03AA07, dicyclomine, The therapeutic efficacy of Dicyclomine can be decreased when used in combination with Rivastigmine.]
[A03AX04, pinaverium, Rivastigmine may increase the bradycardic activities of Pinaverium.]
[A03AB14, pipenzolate, The therapeutic efficacy of Pipenzolate can be decreased when used in combination with Rivastigmine.]
[C08CA03, isradipine, Isradipine may increase the bradycardic activities of Rivastigmine.]
[D07XC04, diflucortolone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, The therapeutic efficacy of Poldine can be decreased when used in combination with Rivastigmine.]
[C01AA05, digoxin, Digoxin may increase the bradycardic activities of Rivastigmine.]
[C08DB01, diltiazem, Diltiazem may increase the bradycardic activities of Rivastigmine.]
[R06AB03, dimethindene, The therapeutic efficacy of Dimetindene can be decreased when used in combination with Rivastigmine.]
[R06AA02, diphenhydramine, The therapeutic efficacy of Diphenhydramine can be decreased when used in combination with Rivastigmine.]
[B01AC07, dipyridamole, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Dipyridamole.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Rivastigmine.]
[N06AA16, dothiepin, The therapeutic efficacy of Dosulepin can be decreased when used in combination with Rivastigmine.]
[N06AA12, doxepin, The therapeutic efficacy of Doxepin can be decreased when used in combination with Rivastigmine.]
[R06AA09, doxylamine, The therapeutic efficacy of Doxylamine can be decreased when used in combination with Rivastigmine.]
[C07AB13, talinolol, Talinolol may increase the bradycardic activities of Rivastigmine.]
[H01AA01, corticotropin, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Corticotropin.]
[G04BD05, terodiline, Rivastigmine may increase the bradycardic activities of Terodiline.]
[C07AA16, tertatolol, Tertatolol may increase the bradycardic activities of Rivastigmine.]
[G04BD01, emepronium, The therapeutic efficacy of Emepronium can be decreased when used in combination with Rivastigmine.]
[M01AG02, tolfenamic acid, Rivastigmine may increase the bradycardic activities of Tolfenamic acid.]
[A03AB08, tridihexethyl, The therapeutic efficacy of Tridihexethyl can be decreased when used in combination with Rivastigmine.]
[H02CA01, trilostane, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Trilostane.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Rivastigmine.]
[S01FB02, ephedrine, Rivastigmine may increase the neuromuscular blocking activities of Ephedrine.]
[C08CA12, mepirodipine, Rivastigmine may increase the bradycardic activities of Barnidipine.]
[N03AX15, zonisamide, Zonisamide may increase the bradycardic activities of Rivastigmine.]
[C02AC02, guanfacine, Rivastigmine may increase the bradycardic activities of Guanfacine.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fluticasone furoate.]
[R03BA05, fluticasone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fluticasone.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Rivastigmine.]
[N03AD01, ethosuximide, Ethosuximide may increase the bradycardic activities of Rivastigmine.]
[R06AX12, terfenadine, The therapeutic efficacy of Terfenadine can be decreased when used in combination with Rivastigmine.]
[C08CA02, felodipine, Rivastigmine may increase the bradycardic activities of Felodipine.]
[C08EA01, fendiline, Rivastigmine may increase the bradycardic activities of Fendiline.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Rivastigmine.]
[N02AB03, fentanyl, Fentanyl may increase the bradycardic activities of Rivastigmine.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Cevimeline.]
[G04BD02, flavoxate, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Rivastigmine.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fludrocortisone.]
[D07XB01, flumethasone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Flumethasone.]
[N07CA03, flunarizine, Rivastigmine may increase the bradycardic activities of Flunarizine.]
[D07AC08, fluocinonide, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fluocinonide.]
[H02AB03, fluocortolone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fluocortolone.]
[S01CB05, fluorometholone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Fluorometholone.]
[N06AB03, fluoxetine, The therapeutic efficacy of Fluoxetine can be decreased when used in combination with Rivastigmine.]
[N05AG01, fluspirilene, Rivastigmine may increase the bradycardic activities of Fluspirilene.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be decreased when used in combination with Rivastigmine.]
[N06DA04, galantamine, Galantamine may increase the bradycardic activities of Rivastigmine.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be decreased when used in combination with Rivastigmine.]
[C08DA02, gallopamil, Rivastigmine may increase the bradycardic activities of Gallopamil.]
[N03AD03, methsuximide, Rivastigmine may increase the bradycardic activities of Methsuximide.]
[N01AH02, alfentanil, Alfentanil may increase the bradycardic activities of Rivastigmine.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the bradycardic activities of Rivastigmine.]
[C07AB09, esmolol, Esmolol may increase the bradycardic activities of Rivastigmine.]
[N05AH04, quetiapine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Rivastigmine.]
[L01CE02, irinotecan, Rivastigmine may increase the neuromuscular blocking activities of Irinotecan.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Rivastigmine.]
[C08CA10, nilvadipine, Rivastigmine may increase the bradycardic activities of Nilvadipine.]
[M02AA26, nimesulide, Rivastigmine may increase the bradycardic activities of Nimesulide.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Hydrocortisone.]
[G04BD06, propiverine, The therapeutic efficacy of Propiverine can be decreased when used in combination with Rivastigmine.]
[N01AH03, sufentanil, Sufentanil may increase the bradycardic activities of Rivastigmine.]
[N06AA02, imipramine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Rivastigmine.]
[R01AD07, tixocortol, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Tixocortol.]
[M03BX02, tizanidine, Tizanidine may increase the bradycardic activities of Rivastigmine.]
[A03AA30, piperidolate, The therapeutic efficacy of Piperidolate can be decreased when used in combination with Rivastigmine.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Varenicline.]
[R06AE01, buclizine, The therapeutic efficacy of Buclizine can be decreased when used in combination with Rivastigmine.]
[C07AA01, alprenolol, Alprenolol may increase the bradycardic activities of Rivastigmine.]
[N01AB06, isoflurane, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Rivastigmine.]
[N05AH03, olanzapine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Rivastigmine.]
[C07AG01, labetalol, Labetalol may increase the bradycardic activities of Rivastigmine.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Rivastigmine.]
[N03AX18, lacosamide, Rivastigmine may increase the bradycardic activities of Lacosamide.]
[C08EX01, lidoflazine, Rivastigmine may increase the bradycardic activities of Lidoflazine.]
[A07DA03, loperamide, Loperamide may increase the bradycardic activities of Rivastigmine.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the bradycardic activities of Rivastigmine.]
[N06AA21, maprotiline, The therapeutic efficacy of Maprotiline can be decreased when used in combination with Rivastigmine.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Rivastigmine.]
[R06AE05, meclizine, The therapeutic efficacy of Meclizine can be decreased when used in combination with Rivastigmine.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Rivastigmine.]
[H01CB03, lanreotide, Rivastigmine may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The therapeutic efficacy of Methadone can be decreased when used in combination with Rivastigmine.]
[A03AB07, methantheline, The therapeutic efficacy of Methantheline can be decreased when used in combination with Rivastigmine.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Rivastigmine.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Methotrimeprazine can be decreased when used in combination with Rivastigmine.]
[C02AB01, methyldopa, Methyldopa may increase the bradycardic activities of Rivastigmine.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Methylprednisolone aceponate.]
[A03FA01, metoclopramide, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Metoclopramide.]
[C07AB02, metoprolol, Metoprolol may increase the bradycardic activities of Rivastigmine.]
[C01CA17, midodrine, Midodrine may increase the bradycardic activities of Rivastigmine.]
[C01BD01, amiodarone, Rivastigmine may increase the bradycardic activities of Amiodarone.]
[N06AA09, amitriptyline, The therapeutic efficacy of Amitriptyline can be decreased when used in combination with Rivastigmine.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be decreased when used in combination with Rivastigmine.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Rivastigmine.]
[R03BB01, ipratropium bromide, The therapeutic efficacy of Ipratropium can be decreased when used in combination with Rivastigmine.]
[N06AA17, amoxapine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Rivastigmine.]
[C07AA12, nadolol, Nadolol may increase the bradycardic activities of Rivastigmine.]
[N01AH06, remifentanil, Remifentanil may increase the bradycardic activities of Rivastigmine.]
[C08CA04, nicardipine, The therapeutic efficacy of Nicardipine can be decreased when used in combination with Rivastigmine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Nicotine.]
[C08CA05, nifedipine, Rivastigmine may increase the bradycardic activities of Nifedipine.]
[C08CA06, nimodipine, Nimodipine may increase the bradycardic activities of Rivastigmine.]
[C08CA07, nisoldipine, Nisoldipine may increase the bradycardic activities of Rivastigmine.]
[C08CA08, nitrendipine, Rivastigmine may increase the bradycardic activities of Nitrendipine.]
[N06AA10, nortriptyline, The therapeutic efficacy of Nortriptyline can be decreased when used in combination with Rivastigmine.]
[G02CA02, nylidrin, Rivastigmine may increase the bradycardic activities of Nylidrin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Rivastigmine.]
[C07AA02, oxprenolol, Oxprenolol may increase the bradycardic activities of Rivastigmine.]
[A03AB03, oxyphenonium, The therapeutic efficacy of Oxyphenonium can be decreased when used in combination with Rivastigmine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Rivastigmine.]
[H02AB05, paramethasone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Paramethasone.]
[G04BD11, fesoterodine, The therapeutic efficacy of Fesoterodine can be decreased when used in combination with Rivastigmine.]
[C07AA23, penbutolol, Penbutolol may increase the bradycardic activities of Rivastigmine.]
[N05AG03, penfluridol, Rivastigmine may increase the bradycardic activities of Penfluridol.]
[N05CA01, pentobarbital, The therapeutic efficacy of Pentobarbital can be decreased when used in combination with Rivastigmine.]
[C08EX02, perhexiline, Rivastigmine may increase the bradycardic activities of Perhexiline.]
[N03AA02, phenobarbital, The therapeutic efficacy of Phenobarbital can be decreased when used in combination with Rivastigmine.]
[C08CX01, mibefradil, Rivastigmine may increase the bradycardic activities of Mibefradil.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Rivastigmine is combined with Pilocarpine.]
[C07AA03, pindolol, Pindolol may increase the bradycardic activities of Rivastigmine.]
[A02BX03, pirenzepine, The therapeutic efficacy of Pirenzepine can be decreased when used in combination with Rivastigmine.]
[N02CX01, pizotyline, The therapeutic efficacy of Pizotifen can be decreased when used in combination with Rivastigmine.]
[C07AB01, practolol, Practolol may increase the bradycardic activities of Rivastigmine.]
[S03BA02, prednisolone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Prednisone.]
[C01DX02, prenylamine, Rivastigmine may increase the bradycardic activities of Prenylamine.]
[N03AA03, primidone, The therapeutic efficacy of Primidone can be decreased when used in combination with Rivastigmine.]
[S01HA05, procaine, Rivastigmine may increase the neuromuscular blocking activities of Procaine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Rivastigmine.]
[N05AA03, promazine, The therapeutic efficacy of Promazine can be decreased when used in combination with Rivastigmine.]
[R06AD02, promethazine, The therapeutic efficacy of Promethazine can be decreased when used in combination with Rivastigmine.]
[C01BC03, propafenone, Propafenone may increase the bradycardic activities of Rivastigmine.]
[A03AB05, propantheline, The therapeutic efficacy of Propantheline can be decreased when used in combination with Rivastigmine.]
[N05CM06, propiomazine, The therapeutic efficacy of Propiomazine can be decreased when used in combination with Rivastigmine.]
[C07AA05, propranolol, Propranolol may increase the bradycardic activities of Rivastigmine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Aripiprazole can be decreased when used in combination with Rivastigmine.]
[A03AB15, diphemanil, The therapeutic efficacy of Diphemanil can be decreased when used in combination with Rivastigmine.]
[A03AB09, isopropamide, The therapeutic efficacy of Isopropamide can be decreased when used in combination with Rivastigmine.]
[S01FA03, methscopolamine, The therapeutic efficacy of Methscopolamine can be decreased when used in combination with Rivastigmine.]
[N05CA07, talbutal, The therapeutic efficacy of Talbutal can be decreased when used in combination with Rivastigmine.]
[C01BA01, quinidine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Rivastigmine.]
[S01FA02, scopolamine, The therapeutic efficacy of Scopolamine can be decreased when used in combination with Rivastigmine.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Rivastigmine.]
[C07AA07, sotalol, Sotalol may increase the bradycardic activities of Rivastigmine.]
[D07AB02, hydrocortisone butyrate, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Hydrocortisone butyrate.]
