[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Carbamazepine.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Carbamazepine.]
[N05CA19, thiopental, Carbamazepine may increase the Change in thyroid function activities of Thiopental.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be increased when combined with Carbamazepine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AL03, tiapride, Tiapride may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tilidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be increased when combined with Carbamazepine.]
[S01AA12, tobramycin, Tobramycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tolperisone.]
[N02AX02, tramadol, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Carbamazepine.]
[N06AX05, trazodone, The serum concentration of Trazodone can be decreased when it is combined with Carbamazepine.]
[L01XF01, tretinoin, The metabolism of Carbamazepine can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Carbamazepine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Triamterene can be increased when combined with Carbamazepine.]
[N05CD05, triazolam, The metabolism of Carbamazepine can be decreased when combined with Triazolam.]
[C03AA06, trichlormethiazide, The risk or severity of adverse effects can be increased when Trichlormethiazide is combined with Carbamazepine.]
[A03AB12, mepenzolate, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be increased when combined with Carbamazepine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Carbamazepine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Fluclorolone.]
[N04AA01, trihexyphenidyl, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Carbamazepine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The metabolism of Trimebutine can be increased when combined with Carbamazepine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Alimemazine.]
[N03AC02, trimethadione, Carbamazepine may increase the Change in thyroid function activities of Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be increased when combined with Carbamazepine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be increased when combined with Carbamazepine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Carbamazepine.]
[A03BB01, butylscopolamine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Carbamazepine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be increased when combined with Carbamazepine.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Carbamazepine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Carbamazepine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Belimumab.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Carbamazepine.]
[R02AA14, oxyquinoline, Oxyquinoline may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be increased when combined with Carbamazepine.]
[A10BH05, linagliptin, The metabolism of Carbamazepine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Carbamazepine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Carbamazepine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Carbamazepine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Carbamazepine.]
[S01AA28, vancomycin, Vancomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Belatacept.]
[N03AX21, ezogabine, The serum concentration of Ezogabine can be decreased when it is combined with Carbamazepine.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be decreased when it is combined with Carbamazepine.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be increased when combined with Carbamazepine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Carbamazepine.]
[C08DA01, verapamil, The serum concentration of Carbamazepine can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Carbamazepine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Carbamazepine.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Carbamazepine.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Carbamazepine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Carbamazepine.]
[A11HA03, vitamin E, The metabolism of Carbamazepine can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Carbamazepine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Carbamazepine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Carbamazepine.]
[J05AE02, indinavir, The serum concentration of Indinavir can be decreased when it is combined with Carbamazepine.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Carbamazepine.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Carbamazepine.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Carbamazepine.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Carbamazepine can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Carbamazepine.]
[R03DC01, zafirlukast, The metabolism of Carbamazepine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01XX02, asparaginase, The therapeutic efficacy of Carbamazepine can be increased when used in combination with Asparaginase Escherichia coli.]
[N05AE04, ziprasidone, The serum concentration of Ziprasidone can be decreased when it is combined with Carbamazepine.]
[G03AC10, drospirenone, The serum concentration of Drospirenone can be decreased when it is combined with Carbamazepine.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Carbamazepine.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Carbamazepine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be increased when combined with Carbamazepine.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Carbamazepine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Carbamazepine.]
[J02AC03, voriconazole, The serum concentration of Voriconazole can be decreased when it is combined with Carbamazepine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Atracurium.]
[S01FA01, atropine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be increased when combined with Carbamazepine.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Carbamazepine.]
[R07AX02, ivacaftor, The serum concentration of Ivacaftor can be decreased when it is combined with Carbamazepine.]
[H02AB11, prednylidene, The metabolism of Carbamazepine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Peginesatide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Carbamazepine.]
[J01CA09, azlocillin, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Carbamazepine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Carbamazepine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Carbamazepine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be increased when combined with Carbamazepine.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be increased when combined with Carbamazepine.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be increased when combined with Carbamazepine.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be increased when combined with Carbamazepine.]
[L02BB04, enzalutamide, The serum concentration of Carbamazepine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Carbamazepine.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Teriflunomide.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Carbamazepine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Aldosterone.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Carbamazepine.]
[N05CA04, barbital, Carbamazepine may increase the Change in thyroid function activities of Barbital.]
[D02BA02, octinoxate, Octinoxate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AE04, nelfinavir, The serum concentration of Nelfinavir can be decreased when it is combined with Carbamazepine.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Carbamazepine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Rasagiline.]
[C08CA13, lercanidipine, The metabolism of Carbamazepine can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be increased when combined with Carbamazepine.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Carbamazepine.]
[L04AA29, tofacitinib, Carbamazepine may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Carbamazepine.]
[R06AC06, thonzylamine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be increased when combined with Carbamazepine.]
[V09IX04, fluorodeoxyglucose F18, Fludeoxyglucose (18F) may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be increased when combined with Carbamazepine.]
[H01CB05, pasireotide, The metabolism of Carbamazepine can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Carbamazepine can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Carbamazepine.]
[B01AF02, apixaban, The serum concentration of Apixaban can be decreased when it is combined with Carbamazepine.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Carbamazepine.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be increased when combined with Carbamazepine.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be increased when combined with Carbamazepine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be increased when combined with Carbamazepine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Carbamazepine can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Carbamazepine.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Carbamazepine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be increased when combined with Carbamazepine.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Benperidol.]
[A10BK02, canagliflozin, The metabolism of Canagliflozin can be increased when combined with Carbamazepine.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dimethyl fumarate.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Benzocaine.]
[L03AA12, ancestim, Ancestim may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be increased when combined with Carbamazepine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Carbamazepine can be decreased when combined with Everolimus.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Carbamazepine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01EE01, trametinib, Trametinib may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Florbetapir (18F) may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Carbamazepine.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be decreased when it is combined with Carbamazepine.]
[C08EA02, bepridil, The metabolism of Bepridil can be increased when combined with Carbamazepine.]
[C02KX05, riociguat, The metabolism of Riociguat can be increased when combined with Carbamazepine.]
[L03AA14, lipegfilgrastim, Carbamazepine may increase the myelosuppressive activities of Lipegfilgrastim.]
[A10BJ03, lixisenatide, Lixisenatide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[G03XC02, bazedoxifene, The serum concentration of Bazedoxifene can be decreased when it is combined with Carbamazepine.]
[C02KX04, macitentan, The metabolism of Macitentan can be increased when combined with Carbamazepine.]
[L01EL01, ibrutinib, The metabolism of Carbamazepine can be decreased when combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be increased when combined with Carbamazepine.]
[G03AC08, etonogestrel, The serum concentration of Etonogestrel can be decreased when it is combined with Carbamazepine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Carbamazepine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Sofosbuvir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N03AG04, vigabatrin, Carbamazepine may increase the Change in thyroid function activities of Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be increased when combined with Carbamazepine.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Carbamazepine.]
[A16AA07, metreleptin, The metabolism of Carbamazepine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Carbamazepine can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Carbamazepine can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Carbamazepine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be increased when combined with Carbamazepine.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Carbamazepine.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be increased when combined with Carbamazepine.]
[L04AC11, siltuximab, The metabolism of Carbamazepine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Carbamazepine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Carbamazepine.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Vedolizumab.]
[A03BA03, hyoscyamine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Carbamazepine.]
[L01XH04, belinostat, The metabolism of Belinostat can be increased when combined with Carbamazepine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Carbamazepine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Alfaxalone.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[D11AA01, glycopyrronium, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05CM19, suvorexant, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be increased when combined with Carbamazepine.]
[J01XA05, oritavancin, The metabolism of Carbamazepine can be increased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Acepromazine.]
[A06AH03, naloxegol, The metabolism of Naloxegol can be increased when combined with Carbamazepine.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Decitabine.]
[N04AA02, biperiden, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be increased when combined with Carbamazepine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be increased when combined with Carbamazepine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Carbamazepine.]
[S03AA06, gentamicin, Gentamicin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be increased when combined with Carbamazepine.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Carbamazepine.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Carbamazepine.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be decreased when it is combined with Carbamazepine.]
[N06AX11, mirtazapine, Carbamazepine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Carbamazepine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Carbamazepine.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Carbamazepine.]
[J05AP07, daclatasvir, The metabolism of Carbamazepine can be decreased when combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Carbamazepine can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Carbamazepine.]
[A03AA09, difemerine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Carbamazepine.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be increased when combined with Carbamazepine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J05AP06, asunaprevir, The serum concentration of Asunaprevir can be decreased when it is combined with Carbamazepine.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Eluxadoline.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Carbamazepine.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be increased when combined with Carbamazepine.]
