[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Oxprenolol.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Oxprenolol.]
[N05AB08, thioproperazine, The serum concentration of Oxprenolol can be increased when it is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Oxprenolol can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Thiothixene.]
[C01BB04, aprindine, Aprindine may increase the arrhythmogenic activities of Oxprenolol.]
[B02AB01, aprotinin, Aprotinin may increase the bradycardic activities of Oxprenolol.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Oxprenolol.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Oxprenolol can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Oxprenolol.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Oxprenolol.]
[M02AX02, tolazoline, Oxprenolol may increase the orthostatic hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Oxprenolol.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Oxprenolol.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Oxprenolol.]
[N06AF04, tranylcypromine, The metabolism of Oxprenolol can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Oxprenolol.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Oxprenolol.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Oxprenolol.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Oxprenolol.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Trichlormethiazide.]
[A03AB12, mepenzolate, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, Demecarium may increase the bradycardic activities of Oxprenolol.]
[N05AB06, trifluoperazine, The serum concentration of Oxprenolol can be increased when it is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Trifluperidol.]
[N05AA05, triflupromazine, The serum concentration of Oxprenolol can be increased when it is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Oxprenolol may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Oxprenolol may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The serum concentration of Oxprenolol can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Oxprenolol.]
[C02BA01, trimethaphan, Trimethaphan may increase the hypotensive activities of Oxprenolol.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Oxprenolol.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Oxprenolol.]
[R06AC04, tripelennamine, The metabolism of Oxprenolol can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Oxprenolol.]
[A03BB01, butylscopolamine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Oxprenolol can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Oxprenolol.]
[C09CA09, azilsartan medoxomil, Oxprenolol may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the bradycardic activities of Oxprenolol.]
[S01AA05, tyrothricin, Tyrothricin may increase the bradycardic activities of Oxprenolol.]
[L02BX03, abiraterone, The metabolism of Oxprenolol can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Oxprenolol.]
[J05AG05, rilpivirine, The metabolism of Oxprenolol can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Ezogabine.]
[R03AC18, indacaterol, Oxprenolol may decrease the bronchodilatory activities of Indacaterol.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Oxprenolol.]
[N06AX09, viloxazine, The metabolism of Oxprenolol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Oxprenolol can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Oxprenolol may increase the hypotensive activities of Vincamine.]
[S01AA13, fusidic acid, The metabolism of Oxprenolol can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Oxprenolol.]
[C03BA10, xipamide, Oxprenolol may increase the hypotensive activities of Xipamide.]
[N05AF05, zuclopenthixol, Oxprenolol may increase the orthostatic hypotensive activities of Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Oxprenolol.]
[L01EC01, vemurafenib, The metabolism of Oxprenolol can be decreased when combined with Vemurafenib.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Oxprenolol.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Oxprenolol is combined with Ziprasidone.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Drospirenone is combined with Oxprenolol.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Oxprenolol.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Oxprenolol.]
[G04BD07, tolterodine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Oxprenolol.]
[L01FA01, rituximab, Oxprenolol may increase the hypotensive activities of Rituximab.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Atracurium.]
[S01FA01, atropine, Atropine may increase the arrhythmogenic activities of Oxprenolol.]
[G04BE10, avanafil, Oxprenolol may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Oxprenolol.]
[A08AA11, lorcaserin, The metabolism of Oxprenolol can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Oxprenolol can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Oxprenolol can be decreased when combined with Cobicistat.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Oxprenolol.]
[L01EX05, regorafenib, Regorafenib may increase the bradycardic activities of Oxprenolol.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Oxprenolol.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may increase the arrhythmogenic activities of Oxprenolol.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Oxprenolol.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Oxprenolol.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Oxprenolol.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Mosapride.]
[N06DA02, donepezil, Donepezil may increase the bradycardic activities of Oxprenolol.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[L04AA29, tofacitinib, Oxprenolol may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Oxprenolol.]
[R06AC06, thonzylamine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Oxprenolol can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Diethyl ether.]
[H01CB05, pasireotide, Oxprenolol may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Oxprenolol.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Oxprenolol.]
[C04AX11, bencyclane, Oxprenolol may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Oxprenolol.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Oxprenolol can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Oxprenolol can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Oxprenolol.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Benperidol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Oxprenolol.]
[A06AX06, tegaserod, The metabolism of Oxprenolol can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Oxprenolol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Oxprenolol.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Oxprenolol.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Oxprenolol.]
[M01AH01, celecoxib, Celecoxib may decrease the antihypertensive activities of Oxprenolol.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Oxprenolol.]
[L04AA18, everolimus, The metabolism of Oxprenolol can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Oxprenolol.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Levomilnacipran.]
[C08EA02, bepridil, Bepridil may increase the arrhythmogenic activities of Oxprenolol.]
[C02KX05, riociguat, Oxprenolol may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Oxprenolol.]
[C02KX04, macitentan, Oxprenolol may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Oxprenolol.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Oxprenolol.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Oxprenolol.]
[C01CA27, droxidopa, Oxprenolol may decrease the bronchodilatory activities of Droxidopa.]
[C07AB04, acebutolol, Acebutolol may increase the arrhythmogenic activities of Oxprenolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Oxprenolol can be increased when combined with Apremilast.]
[A16AA06, betaine, Betaine may increase the bradycardic activities of Oxprenolol.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Oxprenolol.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Oxprenolol.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Oxprenolol.]
[L04AC11, siltuximab, The metabolism of Oxprenolol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Oxprenolol may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Hyoscyamine may increase the arrhythmogenic activities of Oxprenolol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Alfaxalone.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Oxprenolol.]
[R03AC19, olodaterol, Oxprenolol may decrease the bronchodilatory activities of Olodaterol.]
[S01EE02, unoprostone, Oxprenolol may increase the hypotensive activities of Unoprostone.]
[D11AA01, glycopyrronium, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Oxprenolol can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Oxprenolol can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The serum concentration of Oxprenolol can be increased when it is combined with Acepromazine.]
[V04CX03, methacholine, Oxprenolol may increase the bronchoconstrictory activities of Methacholine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Oxprenolol.]
[N04AA02, biperiden, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Oxprenolol.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Oxprenolol.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Oxprenolol.]
[N06AX11, mirtazapine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Oxprenolol can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Oxprenolol can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Oxprenolol.]
[A03AA09, difemerine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, Oxprenolol may increase the bradycardic activities of Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Oxprenolol can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, Oxprenolol may increase the orthostatic hypotensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Oxprenolol can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Cariprazine.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Oxprenolol.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Oxprenolol.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Oxprenolol.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Oxprenolol.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Oxprenolol.]
[N05AB07, acetophenazine, The serum concentration of Oxprenolol can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Oxprenolol can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Oxprenolol.]
[J02AC05, isavuconazole, The metabolism of Oxprenolol can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Oxprenolol may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Oxprenolol.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Oxprenolol.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Oxprenolol.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Oxprenolol.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Oxprenolol.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Oxprenolol.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Oxprenolol.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Amineptine.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Oxprenolol.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Aniracetam.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Oxprenolol.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Oxprenolol.]
[C07AA19, bupranolol, Oxprenolol may increase the arrhythmogenic activities of Bupranolol.]
[N07BC01, buprenorphine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxprenolol.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Oxprenolol.]
[N06DA03, rivastigmine, Oxprenolol may increase the bradycardic activities of Rivastigmine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Oxprenolol.]
[S01GX07, azelastine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Oxprenolol can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Oxprenolol.]
[R03CC12, bambuterol, Oxprenolol may decrease the bronchodilatory activities of Bambuterol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Bamifylline.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Oxprenolol.]
[N02BF02, pregabalin, The therapeutic efficacy of Oxprenolol can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Beclamide.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Caffeine.]
[C09AA07, benazepril, Benazepril may increase the hypotensive activities of Oxprenolol.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Oxprenolol.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Oxprenolol.]
[A12AA04, calcium carbonate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium carbonate.]
[G04BA03, calcium chloride, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Oxprenolol.]
[J05AE09, tipranavir, The metabolism of Oxprenolol can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Oxprenolol.]
[L04AB02, infliximab, The metabolism of Oxprenolol can be increased when combined with Infliximab.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium Phosphate.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Oxprenolol.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Bethanechol.]
[P03AC02, bioallethrin, Oxprenolol may increase the arrhythmogenic activities of Bioallethrin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Acetylcholine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Oxprenolol.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Oxprenolol.]
[R03AC17, bitolterol, Oxprenolol may decrease the bronchodilatory activities of Bitolterol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxprenolol.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Oxprenolol.]
[N04AA11, bornaprine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Brotizolam.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Oxprenolol is combined with Canrenone.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Oxprenolol.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Oxprenolol.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Oxprenolol.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Oxprenolol.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Oxprenolol may increase the arrhythmogenic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Oxprenolol.]
[N01BX04, capsaicin, Capsaicin may increase the bradycardic activities of Oxprenolol.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Oxprenolol.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Vinylbital.]
[C09AA01, captopril, Captopril may increase the hypotensive activities of Oxprenolol.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Carbamoylcholine.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Oxprenolol.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Calcium polycarbophil.]
[A03AA03, camylofine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Oxprenolol.]
[C07AG02, carvedilol, Carvedilol may increase the arrhythmogenic activities of Oxprenolol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Oxprenolol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Oxprenolol.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Oxprenolol.]
[C07AB08, celiprolol, Oxprenolol may increase the arrhythmogenic activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Oxprenolol.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Oxprenolol.]
[N03AX17, stiripentol, The metabolism of Oxprenolol can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Oxprenolol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Oxprenolol.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Carbromal.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Oxprenolol.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Oxprenolol.]
[R06AA06, chlorphenoxamine, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Oxprenolol.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Oxtriphylline.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Oxprenolol.]
[R03BB08, revefenacin, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Oxprenolol can be increased when combined with Emapalumab.]
[C01BG07, cifenline, Oxprenolol may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Cilazapril may increase the hypotensive activities of Oxprenolol.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Oxprenolol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Cinitapride.]
[S01ED05, carteolol, Oxprenolol may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Oxprenolol.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Esketamine.]
