[S02DA03, antipyrine, The metabolism of Cabazitaxel can be decreased when combined with Antipyrine.]
[R07AX02, ivacaftor, The serum concentration of Cabazitaxel can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Cabazitaxel can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Cabazitaxel.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Cabazitaxel.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Cabazitaxel.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Cabazitaxel.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Cabazitaxel.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Cabazitaxel.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Cabazitaxel.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Pertuzumab is combined with Cabazitaxel.]
[G04BD12, mirabegron, The serum concentration of Cabazitaxel can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Cabazitaxel can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Cabazitaxel can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Cabazitaxel can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Cabazitaxel can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Cabazitaxel can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Cabazitaxel can be decreased when combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Cabazitaxel.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Cabazitaxel.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Cabazitaxel.]
[L01EX05, regorafenib, The serum concentration of Cabazitaxel can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Cabazitaxel can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Cabazitaxel.]
[J05AE04, nelfinavir, The metabolism of Cabazitaxel can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Cabazitaxel.]
[C08CA13, lercanidipine, The metabolism of Cabazitaxel can be decreased when combined with Lercanidipine.]
[N06DA02, donepezil, Cabazitaxel may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX22, perampanel, The metabolism of Cabazitaxel can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, Cabazitaxel may increase the immunosuppressive activities of Tofacitinib.]
[L01EX07, cabozantinib, The metabolism of Cabazitaxel can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The metabolism of Cabazitaxel can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Cabazitaxel can be increased when it is combined with Sildenafil.]
[L01EA05, ponatinib, The serum concentration of Cabazitaxel can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The metabolism of Cabazitaxel can be decreased when combined with Apixaban.]
[C10AX12, lomitapide, The serum concentration of Cabazitaxel can be increased when it is combined with Lomitapide.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Cabazitaxel can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Cabazitaxel.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Pomalidomide.]
[A10BK02, canagliflozin, The serum concentration of Cabazitaxel can be increased when it is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Dimethyl fumarate.]
[A06AX06, tegaserod, The metabolism of Cabazitaxel can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Benzocaine.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Cabazitaxel.]
[M01AH01, celecoxib, The metabolism of Cabazitaxel can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The serum concentration of Cabazitaxel can be increased when it is combined with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Cabazitaxel can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Cabazitaxel can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Benzyl alcohol.]
[L01EB03, afatinib, The serum concentration of Cabazitaxel can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The metabolism of Cabazitaxel can be decreased when combined with Levomilnacipran.]
[J05AJ03, dolutegravir, Cabazitaxel may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C02KX05, riociguat, The metabolism of Cabazitaxel can be decreased when combined with Riociguat.]
[L03AA14, lipegfilgrastim, Cabazitaxel may increase the myelosuppressive activities of Lipegfilgrastim.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Cabazitaxel.]
[L01EL01, ibrutinib, The metabolism of Cabazitaxel can be decreased when combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Cabazitaxel can be decreased when combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The metabolism of Cabazitaxel can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The serum concentration of Cabazitaxel can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, Cabazitaxel may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Cabazitaxel can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Cabazitaxel can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Cabazitaxel can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Cabazitaxel can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Cabazitaxel can be increased when combined with Betamethasone.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Cabazitaxel.]
[C10AB02, bezafibrate, The metabolism of Cabazitaxel can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Cabazitaxel can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Cabazitaxel can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The serum concentration of Cabazitaxel can be increased when it is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Cabazitaxel.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Cabazitaxel.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Idelalisib.]
[R03AC19, olodaterol, The metabolism of Cabazitaxel can be decreased when combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The serum concentration of Cabazitaxel can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Cabazitaxel can be increased when it is combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Cabazitaxel can be increased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Cabazitaxel.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Cabazitaxel.]
[L01EX09, nintedanib, The metabolism of Cabazitaxel can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Cabazitaxel can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Cabazitaxel can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Cabazitaxel.]
[B01AF03, edoxaban, The serum concentration of Cabazitaxel can be increased when it is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Cabazitaxel can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Cabazitaxel can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Cabazitaxel can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, Cabazitaxel may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Panobinostat is combined with Cabazitaxel.]
[J05AP07, daclatasvir, The serum concentration of Cabazitaxel can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Cabazitaxel can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Cabazitaxel.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Cabazitaxel.]
[J05AP06, asunaprevir, The serum concentration of Cabazitaxel can be increased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Cabazitaxel.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Cabazitaxel.]
[A04AD14, rolapitant, The serum concentration of Cabazitaxel can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Cabazitaxel can be increased when it is combined with Flibanserin.]
[S01EC01, acetazolamide, The metabolism of Cabazitaxel can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, The metabolism of Cabazitaxel can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Trabectedin is combined with Cabazitaxel.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Cabazitaxel.]
[J02AC05, isavuconazole, The serum concentration of Cabazitaxel can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Cabazitaxel can be decreased when combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Cabazitaxel.]
[L01EE02, cobimetinib, The metabolism of Cabazitaxel can be decreased when combined with Cobimetinib.]
[B01AC27, selexipag, The metabolism of Cabazitaxel can be decreased when combined with Selexipag.]
[M04AB05, lesinurad, The metabolism of Cabazitaxel can be increased when combined with Lesinurad.]
[L01XA04, satraplatin, The risk or severity of adverse effects can be increased when Satraplatin is combined with Cabazitaxel.]
[J05AP10, elbasvir, The metabolism of Cabazitaxel can be decreased when combined with Elbasvir.]
[J05AP11, grazoprevir, The serum concentration of Cabazitaxel can be increased when it is combined with Grazoprevir.]
[N05CA05, aprobarbital, The metabolism of Cabazitaxel can be increased when combined with Aprobarbital.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Ixekizumab.]
[L01XX52, venetoclax, The serum concentration of Cabazitaxel can be increased when it is combined with Venetoclax.]
[N05AX17, pimavanserin, The metabolism of Cabazitaxel can be decreased when combined with Pimavanserin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Cabazitaxel can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Cabazitaxel can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Cabazitaxel.]
[L01XX27, arsenic trioxide, The serum concentration of Cabazitaxel can be increased when it is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Cabazitaxel can be decreased when combined with Artemether.]
[S01GX07, azelastine, The metabolism of Cabazitaxel can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Cabazitaxel can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Cabazitaxel can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Cabazitaxel can be decreased when combined with Ribociclib.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Cabazitaxel.]
[N07XX16, deutetrabenazine, The metabolism of Cabazitaxel can be decreased when combined with Deutetrabenazine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Cabazitaxel can be increased when combined with Calcitriol.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Cabazitaxel.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Cabazitaxel.]
[J05AE09, tipranavir, The metabolism of Cabazitaxel can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Cabazitaxel can be decreased when combined with Valbenazine.]
[L04AB02, infliximab, The metabolism of Cabazitaxel can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Cabazitaxel can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Cabazitaxel.]
[L04AC14, sarilumab, The metabolism of Cabazitaxel can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Cabazitaxel may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The serum concentration of Cabazitaxel can be increased when it is combined with Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Cabazitaxel can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Cabazitaxel.]
[L01XX59, enasidenib, The serum concentration of Cabazitaxel can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Cabazitaxel can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Cabazitaxel can be increased when it is combined with Inotuzumab ozogamicin.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Cabazitaxel.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Cabazitaxel.]
[L01EF03, abemaciclib, Cabazitaxel may decrease the excretion rate of Abemaciclib which could result in a higher serum level.]
[C07AB07, bisoprolol, The serum concentration of Cabazitaxel can be increased when it is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Cabazitaxel can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Cabazitaxel.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Cabazitaxel.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Cabazitaxel.]
[R03BA02, budesonide, The metabolism of Cabazitaxel can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Cabazitaxel.]
[L01EL02, acalabrutinib, The metabolism of Cabazitaxel can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Cabazitaxel can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Cabazitaxel.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Capsaicin.]
[A10BK04, ertugliflozin, Cabazitaxel may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[L02BB05, apalutamide, The serum concentration of Cabazitaxel can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Cabazitaxel can be increased when combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Cabazitaxel.]
[C07AG02, carvedilol, The serum concentration of Cabazitaxel can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Cabazitaxel can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Cabazitaxel can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Cabazitaxel can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Baricitinib.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Cabazitaxel.]
[H01CC03, elagolix, The serum concentration of Cabazitaxel can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Cabazitaxel can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Cabazitaxel can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, Cabazitaxel may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Cabazitaxel can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Cabazitaxel can be decreased when combined with Doravirine.]
[L01EM04, duvelisib, The metabolism of Cabazitaxel can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Cabazitaxel can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Cabazitaxel can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Cabazitaxel can be increased when it is combined with Omadacycline.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Cabazitaxel is combined with Chloroprocaine.]
[L01XK04, talazoparib, Cabazitaxel may decrease the excretion rate of Talazoparib which could result in a higher serum level.]
[R03BB08, revefenacin, Cabazitaxel may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The serum concentration of Cabazitaxel can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Cabazitaxel can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Cabazitaxel.]
[L01EX12, larotrectinib, The serum concentration of Cabazitaxel can be increased when it is combined with Larotrectinib.]
[L01EX13, gilteritinib, The metabolism of Cabazitaxel can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Cabazitaxel can be increased when it is combined with Glasdegib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Cabazitaxel.]
[B01AC23, cilostazol, The metabolism of Cabazitaxel can be decreased when combined with Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Cabazitaxel can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Cabazitaxel can be increased when combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Cabazitaxel can be decreased when combined with Clarithromycin.]
[L01EN01, erdafitinib, The serum concentration of Cabazitaxel can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Cabazitaxel can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Cabazitaxel can be increased when combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Cabazitaxel can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Cabazitaxel can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Cabazitaxel can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Cabazitaxel.]
[L02BB06, darolutamide, Cabazitaxel may decrease the excretion rate of Darolutamide which could result in a higher serum level.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Upadacitinib.]
[L01EJ02, fedratinib, The serum concentration of Cabazitaxel can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Cabazitaxel can be increased when it is combined with Entrectinib.]
