[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[G03AC10, drospirenone, The serum concentration of Mometasone can be increased when it is combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Mometasone.]
[N02BA01, aspirin, The risk or severity of adverse effects can be increased when Mometasone is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Mometasone.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Mometasone.]
[A11CC03, alfacalcidol, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Mometasone.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Mometasone.]
[J02AC03, voriconazole, The serum concentration of Mometasone can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of myopathy and weakness can be increased when Atracurium is combined with Mometasone.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Mometasone.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be increased when combined with Mometasone.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Mometasone is combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Mometasone is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Mometasone is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Mometasone.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Mometasone.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Mometasone.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Mometasone.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Mometasone is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be increased when combined with Mometasone.]
[L02BB04, enzalutamide, The serum concentration of Mometasone can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Mometasone.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Mometasone is combined with Teriflunomide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Mometasone is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Mometasone is combined with Aldosterone.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Mometasone.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Mometasone is combined with Acetyldigitoxin.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Mometasone is combined with Bendamustine.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be increased when combined with Mometasone.]
[N06DA02, donepezil, The therapeutic efficacy of Donepezil can be decreased when used in combination with Mometasone.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Mometasone.]
[L04AA29, tofacitinib, Mometasone may increase the immunosuppressive activities of Tofacitinib.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be increased when combined with Mometasone.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Mometasone.]
[B01AF02, apixaban, The metabolism of Apixaban can be increased when combined with Mometasone.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Mometasone.]
[A10BH04, alogliptin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Mometasone.]
[C03AA01, bendroflumethiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Mometasone.]
[N02BA10, benorilate, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Mometasone is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Moxifloxacin.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Mometasone.]
[A10AE05, insulin detemir, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Pramlintide.]
[M01AH01, celecoxib, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Mometasone.]
[L01EC02, dabrafenib, The serum concentration of Mometasone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Mometasone.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Mometasone.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Mometasone.]
[A10BJ03, lixisenatide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Lixisenatide.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Mometasone is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be increased when combined with Mometasone.]
[G03AC08, etonogestrel, The serum concentration of Mometasone can be increased when it is combined with Etonogestrel.]
[A10BK01, dapagliflozin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Mometasone is combined with Droxidopa.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Mometasone.]
[A16AA07, metreleptin, The metabolism of Mometasone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Mometasone is combined with Apremilast.]
[L02BG02, formestane, The risk or severity of edema formation can be increased when Formestane is combined with Mometasone.]
[A16AA06, betaine, The therapeutic efficacy of Betaine can be decreased when used in combination with Mometasone.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Mometasone.]
[A10BJ04, albiglutide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Albiglutide.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Mometasone is combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Ceritinib.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Mometasone.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Vedolizumab.]
[B01AA07, acenocoumarol, Mometasone may increase the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Mometasone is combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Mometasone.]
[A10BK03, empagliflozin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Mometasone is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Mometasone.]
[V04CX03, methacholine, Mometasone may decrease effectiveness of Methacholine as a diagnostic agent.]
[A10BJ05, dulaglutide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Dulaglutide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Mometasone is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Mometasone is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Mometasone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Mometasone is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Mometasone.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Mometasone.]
[B01AA01, dicumarol, Mometasone may increase the anticoagulant activities of Dicoumarol.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Mometasone.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Mometasone.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be increased when combined with Mometasone.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Mometasone.]
[B01AA11, tioclomarol, Mometasone may increase the anticoagulant activities of Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Mometasone.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Mometasone.]
[A10BF01, acarbose, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Acemetacin.]
[A10AE06, insulin degludec, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin degludec.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Mometasone.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Mometasone.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be increased when combined with Mometasone.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Mometasone.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be increased when combined with Mometasone.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Mometasone.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Mometasone.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Mometasone.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Mometasone.]
[A10BB31, acetohexamide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Acetohexamide.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be increased when combined with Mometasone.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Alminoprofen.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Mometasone.]
[N04BC01, bromocriptine, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Bromocriptine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Mometasone.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Mometasone.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be increased when combined with Mometasone.]
[N05BE01, buspirone, The metabolism of Buspirone can be increased when combined with Mometasone.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Mometasone.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Mometasone is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Rivastigmine can be decreased when used in combination with Mometasone.]
[P01BE02, artemether, The metabolism of Artemether can be increased when combined with Mometasone.]
[J01MA09, sparfloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be increased when combined with Mometasone.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Mometasone.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be increased when combined with Mometasone.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Mometasone.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Ocrelizumab.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be increased when combined with Mometasone.]
[A10BX06, benfluorex, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Benfluorex.]
[H05BX05, calcifediol, The therapeutic efficacy of Calcifediol can be decreased when used in combination with Mometasone.]
[D05AX03, calcitriol, The therapeutic efficacy of Calcitriol can be decreased when used in combination with Mometasone.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Mometasone.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Mometasone.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be increased when combined with Mometasone.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Mometasone.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be increased when combined with Mometasone.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Mometasone.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Mometasone is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Mometasone.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Mometasone.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Mometasone is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Mometasone.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Mometasone.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Bitolterol.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Mometasone.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Mometasone.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Mometasone is combined with Budesonide.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Mometasone.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Mometasone is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Semaglutide.]
[N01BX04, capsaicin, The therapeutic efficacy of Capsaicin can be decreased when used in combination with Mometasone.]
[A10BK04, ertugliflozin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Ertugliflozin.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Mometasone.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Mometasone.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Mometasone.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Mometasone.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Mometasone is combined with Baricitinib.]
[C07AB08, celiprolol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Mometasone.]
[L01XX62, ivosidenib, The metabolism of Mometasone can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Mometasone can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be increased when combined with Mometasone.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Mometasone.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Mometasone.]
[A10BB06, carbutamide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Carbutamide.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Lornoxicam.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be increased when combined with Mometasone.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Mometasone.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Mometasone.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Mometasone.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Ravulizumab.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be increased when combined with Mometasone.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Mometasone.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be increased when combined with Mometasone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Mometasone.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Mometasone is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Mometasone.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Mometasone is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Mometasone.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Mometasone.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Mometasone is combined with Upadacitinib.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Mometasone.]
[N07XX11, pitolisant, The serum concentration of Mometasone can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Mometasone.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Mometasone.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Mometasone.]
[C03AA09, cyclothiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone is combined with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin pork.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Mometasone.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Mometasone is combined with Deflazacort.]
[G03DB05, demegestone, The serum concentration of Mometasone can be increased when it is combined with Demegestone.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Mometasone.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Mometasone.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Mometasone is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Mometasone.]
[G03AC09, desogestrel, The serum concentration of Mometasone can be increased when it is combined with Desogestrel.]
[N03AX25, cenobamate, The serum concentration of Mometasone can be decreased when it is combined with Cenobamate.]
[S01XA12, dexpanthenol, The therapeutic efficacy of Dexpanthenol can be decreased when used in combination with Mometasone.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be increased when combined with Mometasone.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Mometasone.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Teprotumumab.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Mometasone.]
[S01AE06, gatifloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be increased when combined with Mometasone.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Mometasone.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Mometasone is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Mometasone.]
[G03DB08, dienogest, The serum concentration of Mometasone can be increased when it is combined with Dienogest.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Mometasone.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Mometasone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Mometasone.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Mometasone.]
