[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Cyproterone acetate.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Cyproterone acetate.]
[L04AX02, thalidomide, Cyproterone acetate may increase the thrombogenic activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be increased when combined with Cyproterone acetate.]
[R03DA04, theophylline, Cyproterone acetate may decrease the excretion rate of Theophylline which could result in a higher serum level.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be increased when combined with Cyproterone acetate.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Cyproterone acetate.]
[N05CA19, thiopental, The metabolism of Cyproterone acetate can be increased when combined with Thiopental.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be increased when combined with Cyproterone acetate.]
[J01CA13, ticarcillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Ticarcillin.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Cyproterone acetate.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Cyproterone acetate.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Cyproterone acetate.]
[B02AA02, tranexamic acid, Cyproterone acetate may increase the thrombogenic activities of Tranexamic acid.]
[L01XF01, tretinoin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Tretinoin.]
[S01BA05, triamcinolone, The serum concentration of Triamcinolone can be increased when it is combined with Cyproterone acetate.]
[C03DB02, triamterene, The metabolism of Triamterene can be increased when combined with Cyproterone acetate.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be increased when combined with Cyproterone acetate.]
[S01AD02, trifluridine, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Trifluridine.]
[D07AC02, fluclorolone, The serum concentration of Fluclorolone can be increased when it is combined with Cyproterone acetate.]
[R03BA07, mometasone, The serum concentration of Mometasone can be increased when it is combined with Cyproterone acetate.]
[N03AC02, trimethadione, The metabolism of Cyproterone acetate can be increased when combined with Trimethadione.]
[J01FA08, troleandomycin, The metabolism of Cyproterone acetate can be decreased when combined with Troleandomycin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Cyproterone acetate.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Cyproterone acetate.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Cyproterone acetate.]
[J05AP03, boceprevir, The serum concentration of Cyproterone acetate can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Cyproterone acetate can be decreased when it is combined with Telaprevir.]
[B01AD04, urokinase, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Urokinase.]
[N03AX21, ezogabine, The metabolism of Cyproterone acetate can be increased when combined with Ezogabine.]
[B01AF01, rivaroxaban, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Rivaroxaban.]
[B01AC24, ticagrelor, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Verapamil can be increased when combined with Cyproterone acetate.]
[N06AX09, viloxazine, The metabolism of Cyproterone acetate can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Cyproterone acetate.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Cyproterone acetate.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Cyproterone acetate.]
[S01XA02, vitamin A, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Vitamin A.]
[A11HA03, vitamin E, The metabolism of Cyproterone acetate can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Cyproterone acetate.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Cyproterone acetate.]
[J05AE02, indinavir, The metabolism of Cyproterone acetate can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The metabolism of Cyproterone acetate can be increased when combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Cyproterone acetate.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Cyproterone acetate.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Cyproterone acetate.]
[B01AE01, desirudin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Lepirudin.]
[N05AE04, ziprasidone, The metabolism of Cyproterone acetate can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Cyproterone acetate.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Cyproterone acetate.]
[J02AC03, voriconazole, The metabolism of Cyproterone acetate can be decreased when combined with Voriconazole.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Cyproterone acetate.]
[H02AB11, prednylidene, The serum concentration of Prednylidene can be increased when it is combined with Cyproterone acetate.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Cyproterone acetate.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be increased when combined with Cyproterone acetate.]
[J01CA09, azlocillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Cyproterone acetate.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be increased when combined with Cyproterone acetate.]
[V03AX03, cobicistat, The serum concentration of Cyproterone acetate can be decreased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Cyproterone acetate can be decreased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Cyproterone acetate can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Cyproterone acetate.]
[B01AX01, defibrotide, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Defibrotide.]
[H02AA01, aldosterone, The serum concentration of Aldosterone can be increased when it is combined with Cyproterone acetate.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Cyproterone acetate.]
[N05CA04, barbital, The metabolism of Cyproterone acetate can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Cyproterone acetate can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be increased when combined with Cyproterone acetate.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be increased when combined with Cyproterone acetate.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Cyproterone acetate.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Cyproterone acetate.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be increased when combined with Cyproterone acetate.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Cyproterone acetate.]
[B01AF02, apixaban, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Apixaban.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Cyproterone acetate.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Cyproterone acetate.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Cyproterone acetate can be increased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Cyproterone acetate.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Cyproterone acetate.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Cyproterone acetate.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be increased when combined with Cyproterone acetate.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Cyproterone acetate.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Cyproterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Cyproterone acetate.]
[L01EC02, dabrafenib, The serum concentration of Cyproterone acetate can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be increased when combined with Cyproterone acetate.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Cyproterone acetate.]
[A05AA03, cholic acid, The therapeutic efficacy of Cholic Acid can be decreased when used in combination with Cyproterone acetate.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Cyproterone acetate.]
[N03AF04, eslicarbazepine, The metabolism of Cyproterone acetate can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Cyproterone acetate can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The metabolism of Cyproterone acetate can be increased when combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be increased when combined with Cyproterone acetate.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Cyproterone acetate.]
[A16AA07, metreleptin, The metabolism of Cyproterone acetate can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Apremilast can be increased when combined with Cyproterone acetate.]
[L02BG02, formestane, The metabolism of Cyproterone acetate can be increased when combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Betamethasone can be increased when it is combined with Cyproterone acetate.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be increased when combined with Cyproterone acetate.]
[B01AE03, argatroban, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Argatroban.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Cyproterone acetate.]
[L04AC11, siltuximab, The metabolism of Cyproterone acetate can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Cyproterone acetate.]
[B01AC26, vorapaxar, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Vorapaxar.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Cyproterone acetate.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Cyproterone acetate.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Cyproterone acetate.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Cyproterone acetate.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Cyproterone acetate.]
[J01XA05, oritavancin, The metabolism of Cyproterone acetate can be increased when combined with Oritavancin.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Cyproterone acetate.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be increased when combined with Cyproterone acetate.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Cyproterone acetate.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Cyproterone acetate.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be increased when combined with Cyproterone acetate.]
[B06AC04, C1 esterase inhibitor (recombinant), The risk or severity of thromboembolism can be increased when Cyproterone acetate is combined with Conestat alfa.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Cyproterone acetate.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Cyproterone acetate.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be increased when combined with Cyproterone acetate.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Tioclomarol.]
[J05AP06, asunaprevir, The serum concentration of Cyproterone acetate can be decreased when it is combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Cangrelor.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Cyproterone acetate.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Flibanserin.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Cyproterone acetate.]
[S01EC01, acetazolamide, The metabolism of Cyproterone acetate can be increased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Cyproterone acetate.]
[D05BB02, acitretin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Acitretin.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Cyproterone acetate.]
[J02AC05, isavuconazole, The metabolism of Cyproterone acetate can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Cyproterone acetate.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Cyproterone acetate.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Cyproterone acetate.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Cyproterone acetate.]
[V03AB35, sugammadex, The serum concentration of Cyproterone acetate can be decreased when it is combined with Sugammadex.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Cyproterone acetate.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Cyproterone acetate.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Cyproterone acetate.]
[M04AB05, lesinurad, The metabolism of Cyproterone acetate can be increased when combined with Lesinurad.]
[N05CA05, aprobarbital, The metabolism of Cyproterone acetate can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, The metabolism of Cyproterone acetate can be increased when combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Cyproterone acetate.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be increased when combined with Cyproterone acetate.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Cyproterone acetate.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Cyproterone acetate.]
[A05AA04, obeticholic acid, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Cyproterone acetate.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Bupivacaine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Cyproterone acetate.]
[S01GX07, azelastine, The metabolism of Azelastine can be increased when combined with Cyproterone acetate.]
[J01CE04, azidocillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be increased when combined with Cyproterone acetate.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Cyproterone acetate.]
[J01CA06, bacampicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Bacampicillin.]
[L01EF02, ribociclib, The metabolism of Cyproterone acetate can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be increased when combined with Cyproterone acetate.]
[N02BF02, pregabalin, The metabolism of Cyproterone acetate can be increased when combined with Pregabalin.]
[N03AX30, beclamide, The metabolism of Cyproterone acetate can be increased when combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Caffeine can be increased when combined with Cyproterone acetate.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Cyproterone acetate.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Cyproterone acetate can be increased when combined with Calcitriol.]
[J05AE09, tipranavir, The metabolism of Cyproterone acetate can be decreased when combined with Tipranavir.]
[L01EX10, midostaurin, The metabolism of Cyproterone acetate can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Cyproterone acetate.]
[L04AC14, sarilumab, The metabolism of Cyproterone acetate can be increased when combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Betrixaban.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Cyproterone acetate.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Cyproterone acetate.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Cyproterone acetate.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Cyproterone acetate.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be increased when combined with Cyproterone acetate.]
[R03BA02, budesonide, The serum concentration of Budesonide can be increased when it is combined with Cyproterone acetate.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Cyproterone acetate.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Cyproterone acetate.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be increased when combined with Cyproterone acetate.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Cyproterone acetate.]
[L02BB05, apalutamide, The metabolism of Cyproterone acetate can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Cyproterone acetate can be decreased when it is combined with Carbamazepine.]
[J01CA03, carbenicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Carbenicillin.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be increased when combined with Cyproterone acetate.]
[N03AX24, cannabidiol, The metabolism of Cyproterone acetate can be increased when combined with Cannabidiol.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Cyproterone acetate.]
[L01XX62, ivosidenib, The metabolism of Cyproterone acetate can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Cyproterone acetate can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Cyproterone acetate can be increased when combined with Tecovirimat.]
[J01AA13, eravacycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Eravacycline.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Cyproterone acetate.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Cyproterone acetate.]
[J01AA14, sarecycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Omadacycline.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Cyproterone acetate.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Chloroprocaine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be increased when combined with Cyproterone acetate.]
[L01ED05, lorlatinib, The metabolism of Cyproterone acetate can be increased when combined with Lorlatinib.]
[L01AD01, carmustine, The metabolism of Carmustine can be increased when combined with Cyproterone acetate.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Cyproterone acetate.]
[A06AX05, prucalopride, The serum concentration of Cyproterone acetate can be decreased when it is combined with Prucalopride.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Cyproterone acetate.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be increased when combined with Cyproterone acetate.]
[N06AX27, esketamine, The metabolism of Cyproterone acetate can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Cyproterone acetate.]
[J01FA09, clarithromycin, The metabolism of Cyproterone acetate can be decreased when combined with Clarithromycin.]
[N06AX29, brexanolone, The metabolism of Cyproterone acetate can be increased when combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Cyproterone acetate.]
[N05BA09, clobazam, The serum concentration of Cyproterone acetate can be decreased when it is combined with Clobazam.]
[J01AA11, clomocycline, The serum concentration of Cyproterone acetate can be decreased when it is combined with Clomocycline.]
[H02AB14, cloprednol, The serum concentration of Cloprednol can be increased when it is combined with Cyproterone acetate.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Cyproterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The serum concentration of Cortivazol can be increased when it is combined with Cyproterone acetate.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Cyproterone acetate.]
[J01CF03, methicillin, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Meticillin.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Cyproterone acetate.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be increased when combined with Cyproterone acetate.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Cyproterone acetate.]
[N07XX11, pitolisant, The serum concentration of Cyproterone acetate can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Cyproterone acetate.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Cyproterone acetate.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Cyproterone acetate.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Cyproterone acetate.]
[S01AA13, fusidic acid, The metabolism of Cyproterone acetate can be decreased when combined with Fusidic acid.]
[B06AC01, C1 esterase inhibitor (human), The risk or severity of thromboembolism can be increased when Cyproterone acetate is combined with Human C1-esterase inhibitor.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Cyproterone acetate.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Cyproterone acetate.]
[J01DB09, cephradine, The metabolism of Cyproterone acetate can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Cyproterone acetate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Cyproterone acetate.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Cyproterone acetate.]
[N03AX25, cenobamate, The serum concentration of Cyproterone acetate can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Cyproterone acetate.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Cyproterone acetate.]
[J05AE05, amprenavir, The metabolism of Cyproterone acetate can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be increased when combined with Cyproterone acetate.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Cyproterone acetate.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be increased when combined with Cyproterone acetate.]
[L01XF03, bexarotene, The therapeutic efficacy of Cyproterone acetate can be decreased when used in combination with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Cyproterone acetate can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Cyproterone acetate.]
[N03AG02, dipropylacetamide, The metabolism of Cyproterone acetate can be increased when combined with Valpromide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Cyproterone acetate.]
[D07XB03, fluprednidene, The serum concentration of Fluprednidene can be increased when it is combined with Cyproterone acetate.]
[B01AE02, lepirudin, The risk or severity of adverse effects can be increased when Cyproterone acetate is combined with Lepirudin.]
[N05CM02, chlormethiazole, The metabolism of Cyproterone acetate can be increased when combined with Clomethiazole.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Cyproterone acetate is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Cyproterone acetate.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Cyproterone acetate.]
[L04AC19, satralizumab, The serum concentration of Cyproterone acetate can be decreased when it is combined with Satralizumab.]
[L01EX23, pralsetinib, The metabolism of Cyproterone acetate can be increased when combined with Pralsetinib.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be increased when combined with Cyproterone acetate.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Cyproterone acetate.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be increased when combined with Cyproterone acetate.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Cyproterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06BX18, vinpocetine, The metabolism of Cyproterone acetate can be increased when combined with Vinpocetine.]
[B06AC06, berotralstat, The metabolism of Cyproterone acetate can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Cyproterone acetate can be decreased when combined with Lonafarnib.]
[P03AX07, abametapir, The serum concentration of Cyproterone acetate can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The metabolism of Cyproterone acetate can be increased when combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be increased when combined with Cyproterone acetate.]
[R03BA03, flunisolide, The serum concentration of Flunisolide can be increased when it is combined with Cyproterone acetate.]
[S02BA08, fluocinolone acetonide, The serum concentration of Fluocinolone acetonide can be increased when it is combined with Cyproterone acetate.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Cyproterone acetate.]
[N02BF01, gabapentin, The metabolism of Cyproterone acetate can be increased when combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Cyproterone acetate.]
[L01XX73, sotorasib, The serum concentration of Cyproterone acetate can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Cyproterone acetate.]
[S03AA07, ciprofloxacin, The metabolism of Cyproterone acetate can be decreased when combined with Ciprofloxacin.]
