[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[N05CD05, triazolam, The risk or severity of CNS depression can be increased when Triazolam is combined with Tramadol.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Mepenzolate is combined with Tramadol.]
[S01EB04, demecarium, The therapeutic efficacy of Tramadol can be decreased when used in combination with Demecarium.]
[A16AX12, trientine, Tramadol may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of CNS depression can be increased when Trifluoperazine is combined with Tramadol.]
[S01AD02, trifluridine, Tramadol may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of CNS depression can be increased when Trifluperidol is combined with Tramadol.]
[N05AA05, triflupromazine, The risk or severity of CNS depression can be increased when Triflupromazine is combined with Tramadol.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Tramadol.]
[R03BA07, mometasone, The metabolism of Tramadol can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Trimebutine is combined with Tramadol.]
[R06AD01, trimeprazine, The risk or severity of CNS depression can be increased when Alimemazine is combined with Tramadol.]
[N03AC02, trimethadione, The risk or severity of CNS depression can be increased when Trimethadione is combined with Tramadol.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Tramadol.]
[J01EA01, trimethoprim, Tramadol may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of serotonin syndrome can be increased when Trimipramine is combined with Tramadol.]
[R06AC04, tripelennamine, The metabolism of Tramadol can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of CNS depression can be increased when Triprolidine is combined with Tramadol.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Butylscopolamine is combined with Tramadol.]
[J01FA08, troleandomycin, The metabolism of Tramadol can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Tramadol.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tramadol is combined with Tropicamide.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome can be increased when Tryptophan is combined with Tramadol.]
[M03AA02, tubocurarine, The risk or severity of CNS depression can be increased when Tubocurarine is combined with Tramadol.]
[R03DX07, roflumilast, Tramadol may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Tramadol may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Tramadol can be decreased when used in combination with Tyrothricin.]
[R02AA14, oxyquinoline, Tramadol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Tramadol can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Tramadol can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Tramadol can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Tramadol can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Tramadol can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Tramadol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of CNS depression can be increased when Ezogabine is combined with Tramadol.]
[B01AF01, rivaroxaban, Tramadol may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Tramadol can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Tramadol can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Tramadol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Tramadol can be decreased when combined with Vinblastine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Tramadol can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Tramadol.]
[S01AA13, fusidic acid, The metabolism of Tramadol can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Tramadol can be increased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of serotonin syndrome can be increased when Zuclopenthixol is combined with Tramadol.]
[J05AE02, indinavir, The metabolism of Tramadol can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of CNS depression can be increased when Levetiracetam is combined with Tramadol.]
[L01EC01, vemurafenib, The metabolism of Tramadol can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Tramadol can be decreased when combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, Tramadol may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Tramadol may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Tramadol can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Tramadol can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Tramadol can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of serotonin syndrome can be increased when Ziprasidone is combined with Tramadol.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Tramadol may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Tramadol may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Tolterodine is combined with Tramadol.]
[J01DH04, doripenem, Tramadol may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Tramadol.]
[J02AC03, voriconazole, The metabolism of Tramadol can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of CNS depression can be increased when Atracurium is combined with Tramadol.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Tramadol.]
[M01CB03, auranofin, Tramadol may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[R07AX02, ivacaftor, The metabolism of Tramadol can be decreased when combined with Ivacaftor.]
[B03XA04, peginesatide, Tramadol may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Tramadol may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Tramadol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Tramadol may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Tramadol may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Tramadol.]
[M03BX01, baclofen, The risk or severity of CNS depression can be increased when Baclofen is combined with Tramadol.]
[A08AA11, lorcaserin, The risk or severity of serotonin syndrome can be increased when Lorcaserin is combined with Tramadol.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Tramadol is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Tramadol can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Tramadol can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Tramadol can be increased when combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Tramadol.]
[L01EA04, bosutinib, The metabolism of Tramadol can be decreased when combined with Bosutinib.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Tramadol can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Tramadol can be increased when combined with Barbital.]
[D02BA02, octinoxate, Tramadol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Tramadol can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, The risk or severity of CNS depression can be increased when Brimonidine is combined with Tramadol.]
[N04BD02, rasagiline, The risk or severity of serotonin syndrome and seizure can be increased when Rasagiline is combined with Tramadol.]
[A03FA09, mosapride, The risk or severity of serotonin syndrome can be increased when Mosapride is combined with Tramadol.]
[N06DA02, donepezil, The therapeutic efficacy of Tramadol can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, The metabolism of Tramadol can be increased when combined with Perampanel.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Zolmitriptan is combined with Tramadol.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Thonzylamine is combined with Tramadol.]
[G04BD10, darifenacin, The metabolism of Tramadol can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Tramadol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of CNS depression can be increased when Diethyl ether is combined with Tramadol.]
[H01CB05, pasireotide, The metabolism of Tramadol can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Tramadol.]
[V08CA11, gadofosveset, Tramadol may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Tramadol.]
[A16AX08, teduglutide, Tramadol may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Tramadol can be decreased when combined with Lomitapide.]
[A10BH04, alogliptin, Tramadol may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Tramadol can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of CNS depression can be increased when Pomalidomide is combined with Tramadol.]
[G03XC05, ospemifene, The metabolism of Tramadol can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of CNS depression can be increased when Benperidol is combined with Tramadol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Tegaserod is combined with Tramadol.]
[R02AD01, benzocaine, The risk or severity of CNS depression can be increased when Benzocaine is combined with Tramadol.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Tramadol.]
[L03AA12, ancestim, Tramadol may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of serotonin syndrome can be increased when Naratriptan is combined with Tramadol.]
[L04AA18, everolimus, The metabolism of Tramadol can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Tramadol.]
[L01EC02, dabrafenib, The metabolism of Tramadol can be decreased when combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[L01EE01, trametinib, The metabolism of Tramadol can be increased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of CNS depression can be increased when Benzyl alcohol is combined with Tramadol.]
[V09AX05, florbetapir F-18, Tramadol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Levomilnacipran is combined with Tramadol.]
[C08EA02, bepridil, The metabolism of Tramadol can be decreased when combined with Bepridil.]
[A10BJ03, lixisenatide, Tramadol may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Tramadol may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Tramadol.]
[N06AX26, vortioxetine, The risk or severity of serotonin syndrome can be increased when Vortioxetine is combined with Tramadol.]
[G03AC08, etonogestrel, Tramadol may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Tramadol can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Tramadol can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Tramadol may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of CNS depression can be increased when Vigabatrin is combined with Tramadol.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Tramadol may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Tramadol can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of CNS depression can be increased when Tasimelteon is combined with Tramadol.]
[A16AA07, metreleptin, The metabolism of Tramadol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Tramadol can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Tramadol can be increased when combined with Formestane.]
[A16AA06, betaine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The metabolism of Tramadol can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Tramadol.]
[V03AB34, fomepizole, Tramadol may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Bethanidine.]
[L04AC11, siltuximab, The metabolism of Tramadol can be decreased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Tramadol can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Tramadol.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Tramadol.]
[L01EM01, idelalisib, The metabolism of Tramadol can be decreased when combined with Idelalisib.]
[N01AX05, alfaxalone, The risk or severity of CNS depression can be increased when Alfaxalone is combined with Tramadol.]
[R03AC19, olodaterol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Tramadol may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Tramadol is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Tramadol may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[N05CM19, suvorexant, Tramadol may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Tramadol can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Tramadol can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of CNS depression can be increased when Acepromazine is combined with Tramadol.]
[V04CX03, methacholine, Tramadol may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Tramadol.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Tramadol is combined with Naloxegol.]
[N04AA02, biperiden, The metabolism of Tramadol can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Tramadol.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Tramadol.]
[S03AA06, gentamicin, Tramadol may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Tramadol can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Tramadol can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Tramadol is combined with Dicoumarol.]
[B01AF03, edoxaban, Tramadol may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Tramadol may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Tramadol can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Tramadol can be decreased when combined with Palbociclib.]
[L01XH03, panobinostat, The metabolism of Tramadol can be decreased when combined with Panobinostat.]
[L01DC01, bleomycin, Tramadol may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Difemerine is combined with Tramadol.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Tramadol is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Tramadol can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Tramadol is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of serotonin syndrome can be increased when Brexpiprazole is combined with Tramadol.]
[A04AD14, rolapitant, The metabolism of Tramadol can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of serotonin syndrome can be increased when Flibanserin is combined with Tramadol.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Tramadol.]
[N05AX15, cariprazine, The risk or severity of serotonin syndrome can be increased when Cariprazine is combined with Tramadol.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[S01EC01, acetazolamide, The metabolism of Tramadol can be decreased when combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of CNS depression can be increased when Acetophenazine is combined with Tramadol.]
[A02BC03, lansoprazole, The metabolism of Tramadol can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Tramadol may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Tramadol.]
[J02AC05, isavuconazole, The metabolism of Tramadol can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Tramadol.]
[L01XG03, ixazomib, Tramadol may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Tramadol may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Tramadol can be decreased when combined with Elbasvir.]
[N05CA05, aprobarbital, The metabolism of Tramadol can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of CNS depression can be increased when Brivaracetam is combined with Tramadol.]
[L01XX52, venetoclax, The metabolism of Tramadol can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of CNS depression can be increased when Bromazepam is combined with Tramadol.]
[N04BC01, bromocriptine, The metabolism of Tramadol can be decreased when combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Tramadol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of CNS depression can be increased when Alverine is combined with Tramadol.]
[R06AB01, brompheniramine, The risk or severity of CNS depression can be increased when Brompheniramine is combined with Tramadol.]
[N06AA19, amineptin, The risk or severity of serotonin syndrome can be increased when Amineptine is combined with Tramadol.]
[N06BX11, aniracetam, The risk or severity of CNS depression can be increased when Aniracetam is combined with Tramadol.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of CNS depression can be increased when Levobupivacaine is combined with Tramadol.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Tramadol.]
[N07BC01, buprenorphine, The risk or severity of serotonin syndrome can be increased when Buprenorphine is combined with Tramadol.]
[N05BE01, buspirone, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Tramadol.]
[L01XX27, arsenic trioxide, Tramadol may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[N06DA03, rivastigmine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The metabolism of Tramadol can be increased when combined with Artemether.]
[M02AA03, clofezone, The metabolism of Tramadol can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of serotonin syndrome can be increased when Butorphanol is combined with Tramadol.]
[S01GX07, azelastine, Tramadol may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Tramadol can be decreased when combined with Rucaparib.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Tramadol.]
[L01EF02, ribociclib, The metabolism of Tramadol can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[R03CC12, bambuterol, The therapeutic efficacy of Tramadol can be decreased when used in combination with Bambuterol.]
[A06AH05, naldemedine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Naldemedine.]
[N07XX16, deutetrabenazine, Tramadol may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Tramadol can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of CNS depression can be increased when Beclamide is combined with Tramadol.]
[S01HA02, benoxinate, The risk or severity of CNS depression can be increased when Oxybuprocaine is combined with Tramadol.]
