[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Pentoxifylline.]
[N05CA19, thiopental, The serum concentration of Pentoxifylline can be decreased when it is combined with Thiopental.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Pentoxifylline.]
[G04BE06, moxisylyte, Pentoxifylline may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Pentoxifylline may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Pentoxifylline may increase the antiplatelet activities of Ticlopidine.]
[S01ED01, timolol, Pentoxifylline may increase the hypotensive activities of Timolol.]
[P01AB02, tinidazole, Pentoxifylline may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Pentoxifylline may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Pentoxifylline may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[M02AX02, tolazoline, Pentoxifylline may increase the hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, Pentoxifylline may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of bleeding can be increased when Tolmetin is combined with Pentoxifylline.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N06AF04, tranylcypromine, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Pentoxifylline.]
[C01DX11, trapidil, Pentoxifylline may increase the antiplatelet activities of Trapidil.]
[N06AX05, trazodone, The risk or severity of bleeding can be increased when Trazodone is combined with Pentoxifylline.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The therapeutic efficacy of Triazolam can be decreased when used in combination with Pentoxifylline.]
[C03AA06, trichlormethiazide, Pentoxifylline may increase the hypotensive activities of Trichlormethiazide.]
[A16AX12, trientine, Pentoxifylline may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Pentoxifylline.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[A03AA05, trimebutine, Pentoxifylline may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, Trimethadione may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C02BA01, trimethaphan, Pentoxifylline may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01FA08, troleandomycin, The metabolism of Pentoxifylline can be decreased when combined with Troleandomycin.]
[C09CA09, azilsartan medoxomil, Pentoxifylline may increase the hypotensive activities of Azilsartan medoxomil.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Pentoxifylline.]
[L01FX04, ipilimumab, Pentoxifylline may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Pentoxifylline may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Pentoxifylline can be increased when it is combined with Abiraterone.]
[B01AD04, urokinase, Pentoxifylline may increase the anticoagulant activities of Urokinase.]
[S01AA28, vancomycin, Pentoxifylline may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Pentoxifylline may increase the anticoagulant activities of Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Indacaterol.]
[B01AC24, ticagrelor, The therapeutic efficacy of Ticagrelor can be increased when used in combination with Pentoxifylline.]
[C08DA01, verapamil, The metabolism of Pentoxifylline can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Pentoxifylline can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Vinblastine.]
[C04AX07, vincamine, Pentoxifylline may increase the hypotensive activities of Vincamine.]
[L01CA03, vindesine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Vindesine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[A11HA03, vitamin E, Vitamin E may increase the antiplatelet activities of Pentoxifylline.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Pentoxifylline.]
[C03BA10, xipamide, Pentoxifylline may increase the hypotensive activities of Xipamide.]
[J05AF01, zidovudine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Zidovudine.]
[N03AX14, levetiracetam, Levetiracetam may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC01, vemurafenib, The serum concentration of Pentoxifylline can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[M05BA05, tiludronic acid, Pentoxifylline may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Pentoxifylline may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[B01AE01, desirudin, The therapeutic efficacy of Lepirudin can be increased when used in combination with Pentoxifylline.]
[R03DC01, zafirlukast, The serum concentration of Zafirlukast can be decreased when it is combined with Pentoxifylline.]
[A02BC04, rabeprazole, Pentoxifylline may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA13, trovafloxacin, The metabolism of Pentoxifylline can be decreased when combined with Trovafloxacin.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Pentoxifylline may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Alemtuzumab.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the antiplatelet activities of Pentoxifylline.]
[L01EJ01, ruxolitinib, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Ruxolitinib.]
[G04BD07, tolterodine, Pentoxifylline may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Pentoxifylline may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Pentoxifylline may increase the hypotensive activities of Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Pentoxifylline can be decreased when combined with Peginterferon alfa-2a.]
[L01FA01, rituximab, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Rituximab.]
[M01CB03, auranofin, Pentoxifylline may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Pentoxifylline.]
[B03XA04, peginesatide, Pentoxifylline may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Azacitidine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Pentoxifylline.]
[L01BC05, gemcitabine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Gemcitabine.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Gemtuzumab ozogamicin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Pentoxifylline.]
[G04BD12, mirabegron, Pentoxifylline may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L01XG02, carfilzomib, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Carfilzomib.]
[L02BB04, enzalutamide, Pentoxifylline may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L01EA04, bosutinib, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Pentoxifylline can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The therapeutic efficacy of Defibrotide can be increased when used in combination with Pentoxifylline.]
[N05CA04, barbital, The serum concentration of Pentoxifylline can be decreased when it is combined with Barbital.]
[D02BA02, octinoxate, Pentoxifylline may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Pentoxifylline.]
[N04BD02, rasagiline, The risk or severity of bleeding and hemorrhage can be increased when Rasagiline is combined with Pentoxifylline.]
[C08CA13, lercanidipine, Pentoxifylline may increase the hypotensive activities of Lercanidipine.]
[N03AX22, perampanel, Perampanel may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA29, tofacitinib, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Pentoxifylline can be decreased when combined with Zolmitriptan.]
[V09IX04, fluorodeoxyglucose F18, Pentoxifylline may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Pentoxifylline may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Apixaban.]
[A16AX08, teduglutide, Pentoxifylline may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Pentoxifylline may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Pentoxifylline may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Pentoxifylline may increase the hypotensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Pentoxifylline.]
[N02BA10, benorilate, The risk or severity of bleeding can be increased when Benorilate is combined with Pentoxifylline.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MA15, gemifloxacin, The metabolism of Pentoxifylline can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Pentoxifylline can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Pentoxifylline can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, Tiratricol may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Pentoxifylline.]
[L03AA12, ancestim, Pentoxifylline may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of bleeding can be increased when Celecoxib is combined with Pentoxifylline.]
[L04AA18, everolimus, The metabolism of Pentoxifylline can be decreased when combined with Everolimus.]
[L03AB03, gamma-interferon, The metabolism of Pentoxifylline can be decreased when combined with Interferon Gamma.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[R02AX03, benzydamine, The risk or severity of bleeding can be increased when Benzydamine is combined with Pentoxifylline.]
[L01EE01, trametinib, Pentoxifylline may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Pentoxifylline.]
[V09AX05, florbetapir F-18, Pentoxifylline may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of hemorrhage can be increased when Levomilnacipran is combined with Pentoxifylline.]
[C08EA02, bepridil, Pentoxifylline may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Pentoxifylline may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, Pentoxifylline may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[A05AA03, cholic acid, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Cholic Acid.]
[C02KX04, macitentan, Pentoxifylline may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Pentoxifylline.]
[N06AX26, vortioxetine, The risk or severity of bleeding can be increased when Vortioxetine is combined with Pentoxifylline.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP05, simeprevir, The metabolism of Pentoxifylline can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Pentoxifylline may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Pentoxifylline may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, Pentoxifylline may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Pentoxifylline.]
[L04AA32, apremilast, The metabolism of Pentoxifylline can be increased when combined with Apremilast.]
[L02BG02, formestane, Pentoxifylline may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, Pentoxifylline may increase the hypotensive activities of Betaxolol.]
[B01AE03, argatroban, The therapeutic efficacy of Argatroban can be increased when used in combination with Pentoxifylline.]
[V03AB34, fomepizole, Pentoxifylline may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Pentoxifylline may increase the hypotensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Pentoxifylline can be increased when combined with Siltuximab.]
[B01AC26, vorapaxar, The therapeutic efficacy of Vorapaxar can be increased when used in combination with Pentoxifylline.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Pentoxifylline.]
[L01XH04, belinostat, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Belinostat.]
[R03AC19, olodaterol, Pentoxifylline may increase the hyperkalemic activities of Olodaterol.]
[L03AB13, peginterferon beta-1a, The metabolism of Pentoxifylline can be decreased when combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01BC08, decitabine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Decitabine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Pentoxifylline.]
[S03AA06, gentamicin, Pentoxifylline may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Olaparib.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Pentoxifylline.]
[B01AF03, edoxaban, The therapeutic efficacy of Edoxaban can be increased when used in combination with Pentoxifylline.]
[N06AX11, mirtazapine, The metabolism of Pentoxifylline can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Pentoxifylline can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Palbociclib.]
[N02BE01, acetaminophen, The metabolism of Pentoxifylline can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Pentoxifylline.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[B01AC25, cangrelor, The therapeutic efficacy of Cangrelor can be increased when used in combination with Pentoxifylline.]
[M02AA25, aceclofenac, The risk or severity of bleeding can be increased when Aceclofenac is combined with Pentoxifylline.]
[M01AB11, acemetacin, The risk or severity of bleeding can be increased when Acemetacin is combined with Pentoxifylline.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Pentoxifylline is combined with Insulin degludec.]
[V03AB37, idarucizumab, Pentoxifylline may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Trabectedin.]
[L01EB04, osimertinib, The serum concentration of Pentoxifylline can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pentoxifylline.]
[L01XG03, ixazomib, Pentoxifylline may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Pentoxifylline may increase the hypotensive activities of Selexipag.]
[M04AB05, lesinurad, Pentoxifylline may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of bleeding can be increased when Alminoprofen is combined with Pentoxifylline.]
[N02BA02, aloxiprin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Aloxiprin.]
[N03AX23, brivaracetam, Brivaracetam may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA08, bromazepam, The therapeutic efficacy of Bromazepam can be decreased when used in combination with Pentoxifylline.]
[A02AD05, aluminum magnesium silicate, Pentoxifylline may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C08CA01, amlodipine, Pentoxifylline may increase the hypotensive activities of Amlodipine.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Pentoxifylline.]
[C07AA19, bupranolol, Pentoxifylline may increase the hypotensive activities of Bupranolol.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01AB01, busulfan, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Arsenic trioxide.]
[M02AA03, clofezone, Pentoxifylline may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA09, sparfloxacin, The metabolism of Pentoxifylline can be decreased when combined with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Pentoxifylline.]
[L01XK03, rucaparib, The metabolism of Pentoxifylline can be increased when combined with Rucaparib.]
[A07EC04, balsalazide, The risk or severity of bleeding can be increased when Balsalazide is combined with Pentoxifylline.]
[R03CC12, bambuterol, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Bambuterol.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be increased when it is combined with Pentoxifylline.]
[A06AH05, naldemedine, Pentoxifylline may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Pentoxifylline may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX30, beclamide, Beclamide may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BC01, caffeine, The serum concentration of Caffeine can be increased when it is combined with Pentoxifylline.]
[C09AA07, benazepril, Pentoxifylline may increase the hypotensive activities of Benazepril.]
[P01CA02, benznidazole, Pentoxifylline may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Pentoxifylline.]
[J05AF06, abacavir, Pentoxifylline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, Tipranavir may increase the antiplatelet activities of Pentoxifylline.]
[H03BA03, benzylthiouracil, Benzylthiouracil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N07XX13, valbenazine, Pentoxifylline may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Pentoxifylline can be increased when combined with Infliximab.]
[N04BD03, safinamide, The risk or severity of bleeding and hemorrhage can be increased when Safinamide is combined with Pentoxifylline.]
[J01MA23, delafloxacin, The metabolism of Pentoxifylline can be decreased when combined with Delafloxacin.]
[B01AF04, betrixaban, The therapeutic efficacy of Betrixaban can be increased when used in combination with Pentoxifylline.]
[L01BC06, capecitabine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Pentoxifylline can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Vorinostat.]
[C07AB07, bisoprolol, Pentoxifylline may increase the hypotensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Pentoxifylline is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Pentoxifylline can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[C07AA17, bopindolol, The risk or severity of adverse effects can be increased when Bopindolol is combined with Pentoxifylline.]
[L01BA03, raltitrexed, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Raltitrexed.]
[N05CD09, brotizolam, The therapeutic efficacy of Brotizolam can be decreased when used in combination with Pentoxifylline.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Pentoxifylline may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Pentoxifylline may increase the antiplatelet activities of Buflomedil.]
[M01AB07, bumadizone, The risk or severity of bleeding can be increased when Bumadizone is combined with Pentoxifylline.]
[N01BX04, capsaicin, The metabolism of Pentoxifylline can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Pentoxifylline may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Pentoxifylline may increase the hypotensive activities of Captopril.]
[L02BB05, apalutamide, Pentoxifylline may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, The serum concentration of Pentoxifylline can be decreased when it is combined with Carbamazepine.]
[H03BB01, carbimazole, Carbimazole may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L03AB06, interferon alfa-n1, The metabolism of Pentoxifylline can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, Pentoxifylline may increase the hypotensive activities of Carvedilol.]
[N03AX24, cannabidiol, Cannabidiol may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA37, baricitinib, Pentoxifylline may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Pentoxifylline.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
