[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gemfibrozil.]
[A06AH05, naldemedine, Gemfibrozil may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Gemfibrozil may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Gemfibrozil.]
[P01CA02, benznidazole, Gemfibrozil may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, The metabolism of Abacavir can be decreased when combined with Gemfibrozil.]
[J05AE09, tipranavir, The metabolism of Gemfibrozil can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Gemfibrozil may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Infliximab is combined with Gemfibrozil.]
[L01EX10, midostaurin, The metabolism of Gemfibrozil can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Gemfibrozil.]
[J01MA23, delafloxacin, The metabolism of Delafloxacin can be decreased when combined with Gemfibrozil.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Gemfibrozil.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Gemfibrozil.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Gemfibrozil can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Budesonide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Gemfibrozil.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Gemfibrozil.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Gemfibrozil may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Gemfibrozil.]
[L02BB05, apalutamide, The serum concentration of Apalutamide can be increased when it is combined with Gemfibrozil.]
[N03AF01, carbamazepine, The metabolism of Gemfibrozil can be increased when combined with Carbamazepine.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Gemfibrozil.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Gemfibrozil.]
[B02BX09, fostamatinib, The metabolism of Gemfibrozil can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Gemfibrozil.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Gemfibrozil.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Gemfibrozil.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Gemfibrozil.]
[J01GB14, plazomicin, Gemfibrozil may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Gemfibrozil.]
[L01XX62, ivosidenib, The metabolism of Gemfibrozil can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, The metabolism of Migalastat can be decreased when combined with Gemfibrozil.]
[N03AX17, stiripentol, The metabolism of Gemfibrozil can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Tecovirimat can be decreased when combined with Gemfibrozil.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Gemfibrozil.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Gemfibrozil.]
[D08AE05, chloroxylenol, Gemfibrozil may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Gemfibrozil.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Gemfibrozil.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Gemfibrozil.]
[R03BB08, revefenacin, Gemfibrozil may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Gemfibrozil.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Gemfibrozil.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Gemfibrozil.]
[A06AX05, prucalopride, Gemfibrozil may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Gemfibrozil.]
[C10AB08, ciprofibrate, The risk or severity of adverse effects can be increased when Gemfibrozil is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Gemfibrozil.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Gemfibrozil.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Gemfibrozil is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Gemfibrozil can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Gemfibrozil may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
