[S02DA03, antipyrine, The metabolism of Bendamustine can be decreased when combined with Antipyrine.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Bendamustine.]
[C03DB02, triamterene, The metabolism of Bendamustine can be decreased when combined with Triamterene.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Bendamustine.]
[N05AB06, trifluoperazine, The metabolism of Bendamustine can be decreased when combined with Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Bendamustine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Bendamustine is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Bendamustine.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Bendamustine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Belimumab.]
[L01EX04, vandetanib, The serum concentration of Bendamustine can be increased when it is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Bendamustine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Bendamustine can be increased when it is combined with Linagliptin.]
[J05AP02, telaprevir, The serum concentration of Bendamustine can be increased when it is combined with Telaprevir.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Bendamustine.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Bendamustine.]
[B01AF01, rivaroxaban, The serum concentration of Bendamustine can be increased when it is combined with Rivaroxaban.]
[R03AC18, indacaterol, The serum concentration of Bendamustine can be increased when it is combined with Indacaterol.]
[B01AC24, ticagrelor, The serum concentration of Bendamustine can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Bendamustine can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Bendamustine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Bendamustine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Bendamustine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Bendamustine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Bendamustine.]
[B01AA03, warfarin, The metabolism of Bendamustine can be decreased when combined with Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Bendamustine.]
[L01EC01, vemurafenib, The serum concentration of Bendamustine can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Bendamustine is combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The serum concentration of Bendamustine can be increased when it is combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Bendamustine.]
[J01MA13, trovafloxacin, The metabolism of Bendamustine can be decreased when combined with Trovafloxacin.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Bendamustine.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Bendamustine.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Bendamustine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Bendamustine.]
[L01EK01, axitinib, The metabolism of Bendamustine can be decreased when combined with Axitinib.]
[R07AX02, ivacaftor, The serum concentration of Bendamustine can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Bendamustine is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Bendamustine.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Bendamustine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Bendamustine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Bendamustine.]
[G04BE10, avanafil, The serum concentration of Bendamustine can be increased when it is combined with Avanafil.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Bendamustine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Bendamustine.]
[A08AA11, lorcaserin, The metabolism of Bendamustine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Bendamustine can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Bendamustine can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The serum concentration of Bendamustine can be increased when it is combined with Cobicistat.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Bosutinib is combined with Bendamustine.]
[L04AA31, teriflunomide, The serum concentration of Bendamustine can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Bendamustine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Bendamustine.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Bendamustine.]
[L01EX05, regorafenib, The serum concentration of Bendamustine can be increased when it is combined with Regorafenib.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Antilymphocyte immunoglobulin (horse).]
[J01MB04, pipemidic acid, The metabolism of Bendamustine can be decreased when combined with Pipemidic acid.]
[N04BD02, rasagiline, The metabolism of Bendamustine can be decreased when combined with Rasagiline.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Bendamustine.]
[L04AA29, tofacitinib, Bendamustine may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Bendamustine can be decreased when combined with Zolmitriptan.]
[G04BE03, sildenafil, The serum concentration of Bendamustine can be increased when it is combined with Sildenafil.]
[L01EA05, ponatinib, The serum concentration of Bendamustine can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Bendamustine can be increased when it is combined with Apixaban.]
[C10AX12, lomitapide, The serum concentration of Bendamustine can be increased when it is combined with Lomitapide.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Bendamustine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Bendamustine is combined with Pomalidomide.]
[A10BK02, canagliflozin, The serum concentration of Bendamustine can be increased when it is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Bendamustine is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The metabolism of Bendamustine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Bendamustine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Bendamustine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Benzocaine.]
[L04AA18, everolimus, The serum concentration of Bendamustine can be increased when it is combined with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Bendamustine can be increased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Benzyl alcohol.]
[L01EB03, afatinib, The serum concentration of Bendamustine can be increased when it is combined with Afatinib.]
[J05AJ03, dolutegravir, The serum concentration of Bendamustine can be increased when it is combined with Dolutegravir.]
[C02KX05, riociguat, The serum concentration of Bendamustine can be increased when it is combined with Riociguat.]
[L03AA14, lipegfilgrastim, Bendamustine may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ibrutinib.]
[J05AP05, simeprevir, The serum concentration of Bendamustine can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Bendamustine can be increased when it is combined with Sofosbuvir.]
[A10BK01, dapagliflozin, The metabolism of Bendamustine can be decreased when combined with Dapagliflozin.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Bendamustine.]
[L04AA32, apremilast, The metabolism of Bendamustine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Bendamustine.]
[S01ED02, betaxolol, The metabolism of Bendamustine can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Bendamustine.]
[L04AC11, siltuximab, The metabolism of Bendamustine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Bendamustine can be increased when it is combined with Ceritinib.]
[B01AC26, vorapaxar, The serum concentration of Bendamustine can be increased when it is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The metabolism of Bendamustine can be decreased when combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Bendamustine.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Bendamustine is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Bendamustine is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The serum concentration of Bendamustine can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Bendamustine can be increased when it is combined with Eliglustat.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Bendamustine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Bendamustine.]
[L01EX09, nintedanib, The serum concentration of Bendamustine can be increased when it is combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Blinatumomab.]
[J05AP09, dasabuvir, The serum concentration of Bendamustine can be increased when it is combined with Dasabuvir.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Bendamustine is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Bendamustine.]
[B01AF03, edoxaban, The serum concentration of Bendamustine can be increased when it is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Bendamustine can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Bendamustine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Bendamustine can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Bendamustine can be increased when it is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Panobinostat is combined with Bendamustine.]
[J05AP07, daclatasvir, The serum concentration of Bendamustine can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Bendamustine can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Bendamustine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Bendamustine.]
[J05AP06, asunaprevir, The serum concentration of Bendamustine can be increased when it is combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Bendamustine.]
[A04AD14, rolapitant, The serum concentration of Bendamustine can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Bendamustine can be increased when it is combined with Flibanserin.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Trabectedin is combined with Bendamustine.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Bendamustine.]
[J02AC05, isavuconazole, The serum concentration of Bendamustine can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Bendamustine can be decreased when it is combined with Osimertinib.]
[L01EE02, cobimetinib, The serum concentration of Bendamustine can be increased when it is combined with Cobimetinib.]
[B01AC27, selexipag, The serum concentration of Bendamustine can be increased when it is combined with Selexipag.]
[J05AP10, elbasvir, The serum concentration of Bendamustine can be increased when it is combined with Elbasvir.]
[J05AP11, grazoprevir, The serum concentration of Bendamustine can be increased when it is combined with Grazoprevir.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ixekizumab.]
[L01XX52, venetoclax, The serum concentration of Bendamustine can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bendamustine can be decreased when combined with Bromazepam.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Bendamustine.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Bupivacaine.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Bendamustine.]
[L01XX27, arsenic trioxide, The serum concentration of Bendamustine can be increased when it is combined with Arsenic trioxide.]
[S01GX07, azelastine, The metabolism of Bendamustine can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Bendamustine can be decreased when combined with Rucaparib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Brodalumab.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Bendamustine.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Bendamustine.]
[N06BC01, caffeine, The metabolism of Bendamustine can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Bendamustine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Bendamustine.]
[J05AE09, tipranavir, The serum concentration of Bendamustine can be decreased when it is combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Bendamustine can be increased when combined with Infliximab.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Sarilumab.]
[B01AF04, betrixaban, The serum concentration of Bendamustine can be increased when it is combined with Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Bendamustine.]
[L01XX59, enasidenib, The serum concentration of Bendamustine can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Bendamustine can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Bendamustine can be increased when it is combined with Inotuzumab ozogamicin.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Bendamustine.]
[L01EM02, copanlisib, The serum concentration of Bendamustine can be increased when it is combined with Copanlisib.]
[C07AB07, bisoprolol, The serum concentration of Bendamustine can be increased when it is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Bendamustine can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Bendamustine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Bendamustine.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Bendamustine.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Bendamustine.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Bendamustine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Capsaicin.]
[A10BK04, ertugliflozin, The serum concentration of Bendamustine can be increased when it is combined with Ertugliflozin.]
[L02BB05, apalutamide, The serum concentration of Bendamustine can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Bendamustine can be increased when it is combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Bendamustine.]
[C07AG02, carvedilol, The serum concentration of Bendamustine can be increased when it is combined with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Bendamustine can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The serum concentration of Bendamustine can be increased when it is combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Bendamustine is combined with Baricitinib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Bendamustine.]
[H01CC03, elagolix, The serum concentration of Bendamustine can be increased when it is combined with Elagolix.]
[N03AX17, stiripentol, The metabolism of Bendamustine can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Bendamustine can be increased when it is combined with Lusutrombopag.]
[L01EM04, duvelisib, The serum concentration of Bendamustine can be increased when it is combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Bendamustine can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Bendamustine can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Bendamustine can be increased when it is combined with Omadacycline.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Chloroprocaine.]
[R03DA02, oxtriphylline, The metabolism of Bendamustine can be decreased when combined with Oxtriphylline.]
[L01XK04, talazoparib, The serum concentration of Bendamustine can be increased when it is combined with Talazoparib.]
[R03BB08, revefenacin, The serum concentration of Bendamustine can be increased when it is combined with Revefenacin.]
[L01ED05, lorlatinib, The serum concentration of Bendamustine can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Bendamustine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Bendamustine.]
[L01EX12, larotrectinib, The serum concentration of Bendamustine can be increased when it is combined with Larotrectinib.]
[L01EX13, gilteritinib, The serum concentration of Bendamustine can be increased when it is combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Bendamustine can be increased when it is combined with Glasdegib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Bendamustine.]
[B01AC23, cilostazol, The metabolism of Bendamustine can be decreased when combined with Cilostazol.]
[P02BX04, triclabendazole, The metabolism of Bendamustine can be decreased when combined with Triclabendazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Bendamustine is combined with Siponimod.]
[J01FA09, clarithromycin, The serum concentration of Bendamustine can be increased when it is combined with Clarithromycin.]
[L01EN01, erdafitinib, The serum concentration of Bendamustine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The serum concentration of Bendamustine can be increased when it is combined with Clobazam.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Bendamustine is combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Bendamustine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Bendamustine is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Bendamustine is combined with Risankizumab.]
[L02BB06, darolutamide, The serum concentration of Bendamustine can be increased when it is combined with Darolutamide.]
[M03BX08, cyclobenzaprine, The metabolism of Bendamustine can be decreased when combined with Cyclobenzaprine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Bendamustine is combined with Upadacitinib.]
[L01EJ02, fedratinib, The serum concentration of Bendamustine can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Bendamustine can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The metabolism of Bendamustine can be increased when combined with Pitolisant.]
[J01XX12, lefamulin, The serum concentration of Bendamustine can be increased when it is combined with Lefamulin.]
[N04CX01, istradefylline, The serum concentration of Bendamustine can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Bendamustine.]
[A10AE03, insulin, regular, pork, The metabolism of Bendamustine can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The serum concentration of Bendamustine can be increased when it is combined with Daptomycin.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Bendamustine is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Bendamustine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Trastuzumab emtansine is combined with Bendamustine.]
[N02CC08, lasmiditan, The serum concentration of Bendamustine can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Bendamustine is combined with Diroximel fumarate.]
[A16AX16, givosiran, The serum concentration of Bendamustine can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Bendamustine can be increased when it is combined with Ubrogepant.]
[L01FX13, enfortumab vedotin, The serum concentration of Bendamustine can be increased when it is combined with Enfortumab vedotin.]
[N05CM21, lemborexant, The serum concentration of Bendamustine can be increased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The serum concentration of Bendamustine can be increased when it is combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Bendamustine.]
[M01AX21, diacetylrhein, The metabolism of Bendamustine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Bendamustine can be increased when it is combined with Rimegepant.]
[S01AE06, gatifloxacin, The metabolism of Bendamustine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Bendamustine can be increased when it is combined with Osilodrostat.]
[N02CC07, frovatriptan, The metabolism of Bendamustine can be decreased when combined with Frovatriptan.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Bendamustine.]
[M01AH02, rofecoxib, The serum concentration of Bendamustine can be increased when it is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Bendamustine.]
[C01BD07, dronedarone, The serum concentration of Bendamustine can be increased when it is combined with Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Bendamustine.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Bendamustine.]
[L01EH03, tucatinib, The serum concentration of Bendamustine can be increased when it is combined with Tucatinib.]
[L01EX17, capmatinib, The serum concentration of Bendamustine can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Bendamustine is combined with Fluprednidene.]
[L01EX19, ripretinib, The serum concentration of Bendamustine can be increased when it is combined with Ripretinib.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Bendamustine.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Bendamustine is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Bendamustine.]
[J05AX29, fostemsavir, The serum concentration of Bendamustine can be increased when it is combined with Fostemsavir.]
[L01FX15, belantamab mafodotin, The serum concentration of Bendamustine can be increased when it is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The serum concentration of Bendamustine can be decreased when it is combined with Satralizumab.]
[L01EX23, pralsetinib, The serum concentration of Bendamustine can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Bendamustine.]
[N05AA01, chlorpromazine, The metabolism of Bendamustine can be decreased when combined with Chlorpromazine.]
[M03BB03, chlorzoxazone, The metabolism of Bendamustine can be decreased when combined with Chlorzoxazone.]
[B06AC06, berotralstat, The serum concentration of Bendamustine can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Bendamustine can be increased when it is combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Bendamustine.]
[L02BX04, relugolix, The serum concentration of Bendamustine can be increased when it is combined with Relugolix.]
[L04AD03, voclosporin, The serum concentration of Bendamustine can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Bendamustine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Bendamustine can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Bendamustine can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The metabolism of Bendamustine can be increased when combined with Trilaciclib.]
[N06BA10, fenethylline, The metabolism of Bendamustine can be decreased when combined with Fenethylline.]
[J01MB07, flumequine, The metabolism of Bendamustine can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Bendamustine.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Bendamustine.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Bendamustine is combined with Ponesimod.]
[L01EK03, tivozanib, The serum concentration of Bendamustine can be increased when it is combined with Tivozanib.]
