[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Antipyrine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Thiothixene.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tiapride.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of hyperkalemia can be increased when Timolol is combined with Dantrolene.]
[S01AA12, tobramycin, The risk or severity of neuromuscular blockade can be increased when Tobramycin is combined with Dantrolene.]
[M02AA21, tolmetin, The risk or severity of hyperkalemia can be increased when Tolmetin is combined with Dantrolene.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Dantrolene is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Dantrolene.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Trazodone.]
[C03DB02, triamterene, The risk or severity of hyperkalemia can be increased when Triamterene is combined with Dantrolene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Dantrolene.]
[A03AB12, mepenzolate, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Dantrolene.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Trifluperidol.]
[N05AA05, triflupromazine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Trimethadione.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Dantrolene is combined with Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Dantrolene.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Dantrolene.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Dantrolene.]
[A03BB01, butylscopolamine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Dantrolene.]
[C09CA09, azilsartan medoxomil, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Dantrolene.]
[S01AA28, vancomycin, The risk or severity of neuromuscular blockade can be increased when Vancomycin is combined with Dantrolene.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ezogabine.]
[C08DA01, verapamil, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Verapamil.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Viloxazine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Dantrolene.]
[L01XX02, asparaginase, The therapeutic efficacy of Dantrolene can be increased when used in combination with Asparaginase Escherichia coli.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ziprasidone.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hyperkalemia can be increased when Acetylsalicylic acid is combined with Dantrolene.]
[G04BD07, tolterodine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The risk or severity of hyperkalemia can be increased when Atenolol is combined with Dantrolene.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Dantrolene.]
[S01FA01, atropine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lorcaserin.]
[A02AA05, magnesium silicate, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium silicate.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Dantrolene is combined with Barbital.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Dantrolene is combined with Rasagiline.]
[C08CA13, lercanidipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Dantrolene is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Dantrolene.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Dantrolene.]
[R06AC06, thonzylamine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Dantrolene is combined with Diethyl ether.]
[C04AX11, bencyclane, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Bencyclane.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Benperidol.]
[A10BK02, canagliflozin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Canagliflozin.]
[A12CC09, magnesium orotate, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium orotate.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Dantrolene.]
[M01AH01, celecoxib, The risk or severity of hyperkalemia can be increased when Celecoxib is combined with Dantrolene.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Dantrolene.]
[A12CC05, magnesium aspartate, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium aspartate.]
[N04AC01, benztropine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[R02AX03, benzydamine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Dantrolene is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Bepridil.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Dantrolene.]
[C07AB04, acebutolol, The risk or severity of hyperkalemia can be increased when Acebutolol is combined with Dantrolene.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tasimelteon.]
[S01ED02, betaxolol, The risk or severity of hyperkalemia can be increased when Betaxolol is combined with Dantrolene.]
[A03BA03, hyoscyamine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[S01AA15, dihydrostreptomycin, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Dihydrostreptomycin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of respiratory depression can be increased when Naloxegol is combined with Dantrolene.]
[N04AA02, biperiden, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S03AA06, gentamicin, The risk or severity of neuromuscular blockade can be increased when Gentamicin is combined with Dantrolene.]
[N06AX11, mirtazapine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03AA09, difemerine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[A07DA06, eluxadoline, The risk or severity of respiratory depression can be increased when Eluxadoline is combined with Dantrolene.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Dantrolene is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Dantrolene is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Dantrolene.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Dantrolene.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Dantrolene is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Dantrolene.]
[A02AD05, aluminum magnesium silicate, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium Aluminum Silicate.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Dantrolene.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Dantrolene is combined with Amineptine.]
[C08CA01, amlodipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Dantrolene.]
[C07AA19, bupranolol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Bupranolol.]
[N07BC01, buprenorphine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Dantrolene.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Dantrolene.]
[S01GX07, azelastine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[A07EC04, balsalazide, The risk or severity of hyperkalemia can be increased when Balsalazide is combined with Dantrolene.]
[N02BF02, pregabalin, The therapeutic efficacy of Dantrolene can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Beclamide.]
[C09AA07, benazepril, The risk or severity of hyperkalemia can be increased when Benazepril is combined with Dantrolene.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Dantrolene.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Safinamide.]
[C07AB07, bisoprolol, The risk or severity of hyperkalemia can be increased when Bisoprolol is combined with Dantrolene.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dantrolene.]
[C07AA17, bopindolol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Bopindolol.]
[N04AA11, bornaprine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Brotizolam.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Canrenone.]
[M01AB07, bumadizone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Dantrolene is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Dantrolene is combined with Butriptyline.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Dantrolene is combined with Vinylbital.]
[C09AA01, captopril, The risk or severity of hyperkalemia can be increased when Captopril is combined with Dantrolene.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dantrolene.]
[A03AA03, camylofine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Dantrolene.]
[C07AG02, carvedilol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Dantrolene.]
[J01GB14, plazomicin, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Plazomicin.]
[C07AB08, celiprolol, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Celiprolol.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Dantrolene.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Dantrolene is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Dantrolene.]
[R06AA06, chlorphenoxamine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Lornoxicam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Dantrolene.]
[R03BB08, revefenacin, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[C09AA08, cilazapril, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Cilazapril.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Dantrolene is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Dantrolene is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Dantrolene.]
[J01AA11, clomocycline, The risk or severity of neuromuscular blockade can be increased when Clomocycline is combined with Dantrolene.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Cloxazolam.]
[C09CA06, candesartan, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Candesartan.]
[L01EX15, pexidartinib, Dantrolene may increase the hepatotoxic activities of Pexidartinib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dantrolene.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Yohimbine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Dantrolene.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Dantrolene.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Dantrolene.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lumateperone.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dantrolene.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Dichloralphenazone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Dantrolene is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dantrolene.]
[M01AH02, rofecoxib, The risk or severity of hyperkalemia can be increased when Rofecoxib is combined with Dantrolene.]
[C08CA16, clevidipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Clevidipine.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Dantrolene is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Dantrolene.]
[A03AA08, dihexyverine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Droxicam.]
[M02AA27, dexketoprofen, The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Dantrolene.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Dantrolene is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Dantrolene.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Dantrolene.]
[C08CA17, levamlodipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Levamlodipine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Dantrolene is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Dantrolene is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Dantrolene.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Dantrolene.]
[N05AA01, chlorpromazine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Dantrolene.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hyperkalemia can be increased when Etodolac is combined with Dantrolene.]
[M02AA06, etofenamate, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Etofenamate.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Dantrolene is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Dantrolene.]
[M01AE05, fenbufen, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Fenbufen.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Trichloroethylene.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Dantrolene.]
[N07CA02, cinnarizine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Cinnarizine.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Dantrolene is combined with Citalopram.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Finerenone.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Dantrolene.]
[J01FF01, clindamycin, The risk or severity of neuromuscular blockade can be increased when Clindamycin is combined with Dantrolene.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Dantrolene is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Dantrolene.]
[C10AB01, clofibrate, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Clofibrate.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Dantrolene.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Dantrolene.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Dantrolene.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dantrolene.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Dantrolene.]
[N05AH02, clozapine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J01GB12, arbekacin, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Arbekacin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Dantrolene.]
[S02DA02, cocaine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Dantrolene may increase the sedative activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Dantrolene.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Dantrolene.]
[A03AB10, hexocyclium, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, The risk or severity of neuromuscular blockade can be increased when Colistin is combined with Dantrolene.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Dantrolene.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ifenprodil.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Imidazole salicylate.]
[R03BA08, ciclesonide, The therapeutic efficacy of Dantrolene can be increased when used in combination with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Dantrolene.]
[M01AH03, valdecoxib, The risk or severity of hyperkalemia can be increased when Valdecoxib is combined with Dantrolene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dantrolene.]
[M01AH04, parecoxib, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Parecoxib.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Dantrolene.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Bemiparin.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Kebuzone.]
[C08CA09, lacidipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Lacidipine.]
[N03AX09, lamotrigine, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Dantrolene can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Loxoprofen.]
[C09AA03, lisinopril, The risk or severity of hyperkalemia can be increased when Lisinopril is combined with Dantrolene.]
[A06AD01, magnesium carbonate, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium carbonate.]
[B05XA10, magnesium phosphate, The risk or severity of neuromuscular blockade can be increased when Dantrolene is combined with Magnesium phosphate.]
[C08CA11, manidipine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Manidipine.]
