[S02DA03, antipyrine, The metabolism of Fluorouracil can be decreased when combined with Antipyrine.]
[L02BX03, abiraterone, The serum concentration of Fluorouracil can be increased when it is combined with Abiraterone.]
[J05AG05, rilpivirine, The metabolism of Fluorouracil can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Fluorouracil.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Belatacept.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Fluorouracil.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Fluorouracil.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Fluorouracil.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Fluorouracil.]
[C08DA01, verapamil, The metabolism of Fluorouracil can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Fluorouracil can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Fluorouracil.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Fluorouracil.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Fluorouracil.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Fluorouracil.]
[J05AF01, zidovudine, The metabolism of Fluorouracil can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Zuclopenthixol.]
[L01EC01, vemurafenib, The serum concentration of Fluorouracil can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Fluorouracil.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Fluorouracil.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Fluorouracil.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Fluorouracil.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Fluorouracil.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Fluorouracil.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Fluorouracil.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Fluorouracil.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Fluorouracil.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Fluorouracil.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Atropine.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Fluorouracil.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Fluorouracil.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Azathioprine.]
[L01BC05, gemcitabine, The serum concentration of Fluorouracil can be increased when it is combined with Gemcitabine.]
[G04BE10, avanafil, Avanafil may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Fluorouracil.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Fluorouracil.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Fluorouracil is combined with Pertuzumab.]
[A08AA11, lorcaserin, The metabolism of Fluorouracil can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Fluorouracil.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Carfilzomib.]
[V03AX03, cobicistat, Cobicistat may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[L02BB04, enzalutamide, The metabolism of Fluorouracil can be decreased when combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Fluorouracil can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Fluorouracil can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Fluorouracil.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Aldosterone.]
[L01EX05, regorafenib, Regorafenib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Fluorouracil.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Fluorouracil.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Fluorouracil.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Fluorouracil.]
[L04AA29, tofacitinib, Fluorouracil may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Fluorouracil can be decreased when combined with Zolmitriptan.]
[L01EX07, cabozantinib, The metabolism of Fluorouracil can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Fluorouracil.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Fluorouracil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Fluorouracil.]
[B01AF02, apixaban, The metabolism of Fluorouracil can be decreased when combined with Apixaban.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Fluorouracil.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Fluorouracil.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Fluorouracil.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The metabolism of Fluorouracil can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Fluorouracil can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Fluorouracil can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Fluorouracil can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Fluorouracil.]
[L01EC02, dabrafenib, The serum concentration of Fluorouracil can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Fluorouracil can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Benzyl alcohol.]
[L01EB03, afatinib, Afatinib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Fluorouracil can be decreased when combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Fluorouracil can be decreased when combined with Riociguat.]
[L03AA14, lipegfilgrastim, Fluorouracil may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Fluorouracil can be decreased when combined with Vortioxetine.]
[J05AP05, simeprevir, The metabolism of Fluorouracil can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Fluorouracil can be decreased when combined with Dapagliflozin.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Fluorouracil.]
[A16AA07, metreleptin, The metabolism of Fluorouracil can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Fluorouracil can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Fluorouracil can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Fluorouracil can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Fluorouracil.]
[V03AB34, fomepizole, The metabolism of Fluorouracil can be decreased when combined with Fomepizole.]
[C10AB02, bezafibrate, The metabolism of Fluorouracil can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Fluorouracil can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Fluorouracil.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Vedolizumab.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Fluorouracil.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Fluorouracil.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Idelalisib.]
[N07XX08, tafamidis, The serum concentration of Fluorouracil can be increased when it is combined with Tafamidis.]
[R03AC19, olodaterol, The metabolism of Fluorouracil can be decreased when combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Peginterferon beta-1a.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Eliglustat.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Fluorouracil can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Olaparib.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Fluorouracil.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Fluorouracil.]
[N06AX11, mirtazapine, The metabolism of Fluorouracil can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Fluorouracil can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Palbociclib.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Panobinostat.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[N02BE01, acetaminophen, The metabolism of Fluorouracil can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Fluorouracil.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Fluorouracil is combined with Tioclomarol.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Fluorouracil.]
[J05AP06, asunaprevir, The metabolism of Fluorouracil can be decreased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Fluorouracil.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[A02BC03, lansoprazole, The metabolism of Fluorouracil can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Fluorouracil.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Fluorouracil can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Fluorouracil can be decreased when it is combined with Osimertinib.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Fluorouracil can be decreased when combined with Selexipag.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Fluorouracil.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Fluorouracil.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Fluorouracil.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Fluorouracil.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Ixekizumab.]
[L01XX52, venetoclax, Venetoclax may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Fluorouracil.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Fluorouracil.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Fluorouracil.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Fluorouracil.]
[N07BC01, buprenorphine, The metabolism of Fluorouracil can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Fluorouracil.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Fluorouracil.]
[S01GX07, azelastine, The metabolism of Fluorouracil can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Fluorouracil can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Fluorouracil.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Brodalumab.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Fluorouracil.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Fluorouracil.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Fluorouracil.]
[N06BC01, caffeine, The metabolism of Fluorouracil can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Fluorouracil.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Linezolid.]
[L04AB02, infliximab, The metabolism of Fluorouracil can be increased when combined with Infliximab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Fluorouracil.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Fluorouracil.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Fluorouracil.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Guselkumab.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Fluorouracil.]
[L01XX59, enasidenib, The metabolism of Fluorouracil can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Vorinostat.]
[L01EF03, abemaciclib, Abemaciclib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Fluorouracil can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Fluorouracil.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Fluorouracil.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Fluorouracil.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Fluorouracil.]
[J05AX18, letermovir, The metabolism of Fluorouracil can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Fluorouracil.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Capsaicin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Fluorouracil.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Fluorouracil can be decreased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Carbamazepine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Fluorouracil.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Fluorouracil.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Fluorouracil which could result in a higher serum level.]
[N03AX24, cannabidiol, The metabolism of Fluorouracil can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Fluorouracil can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Baricitinib.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Fluorouracil.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Fluorouracil.]
[H01CC03, elagolix, The metabolism of Fluorouracil can be decreased when combined with Elagolix.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Fluorouracil can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Fluorouracil can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Fluorouracil.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Fluorouracil.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Fluorouracil.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Fluorouracil is combined with Chloroprocaine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Fluorouracil.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Fluorouracil.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Fluorouracil.]
[L04AA39, emapalumab, The metabolism of Fluorouracil can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Fluorouracil.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Gilteritinib.]
[L01XJ03, glasdegib, The metabolism of Fluorouracil can be decreased when combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Amifampridine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Ravulizumab.]
