[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluconazole.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Fluconazole.]
[P02CA02, thiabendazole, Fluconazole may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Eribulin.]
[R06AD03, thiethylperazine, Fluconazole may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Fluconazole.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Fluconazole.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Thiothixene.]
[G04BE06, moxisylyte, Fluconazole may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Fluconazole may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Fluconazole.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Timolol.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Fluconazole.]
[S01AA12, tobramycin, Fluconazole may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The serum concentration of Tolazamide can be increased when it is combined with Fluconazole.]
[V04CA01, tolbutamide, The serum concentration of Tolbutamide can be increased when it is combined with Fluconazole.]
[M02AA21, tolmetin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Tolmetin.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Fluconazole.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Fluconazole.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Fluconazole.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Fluconazole.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Fluconazole.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Fluconazole may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Fluconazole may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[A03AA05, trimebutine, The metabolism of Trimebutine can be decreased when combined with Fluconazole.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Alimemazine.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Fluconazole.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Fluconazole.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Fluconazole.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Triprolidine.]
[J01FA08, troleandomycin, The metabolism of Troleandomycin can be decreased when combined with Fluconazole.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Fluconazole.]
[C09CA09, azilsartan medoxomil, The metabolism of Azilsartan medoxomil can be decreased when combined with Fluconazole.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Fluconazole.]
[L01FX04, ipilimumab, Fluconazole may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Fluconazole.]
[R02AA14, oxyquinoline, Fluconazole may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be decreased when combined with Fluconazole.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Linagliptin is combined with Fluconazole.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be decreased when combined with Fluconazole.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Fluconazole.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Fluconazole.]
[S01AA28, vancomycin, Fluconazole may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Fluconazole.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Fluconazole.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Fluconazole.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Fluconazole.]
[N06AX09, viloxazine, Fluconazole may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Fluconazole.]
[L01CA02, vincristine, The excretion of Vincristine can be decreased when combined with Fluconazole.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Fluconazole.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Fluconazole.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Fluconazole.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Fluconazole.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Fluconazole.]
[J05AE02, indinavir, The metabolism of Indinavir can be decreased when combined with Fluconazole.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Fluconazole.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Fluconazole.]
[M05BA05, tiludronic acid, Fluconazole may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Fluconazole may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Crizotinib can be increased when it is combined with Fluconazole.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Fluconazole.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Fluconazole.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Ziprasidone.]
[G03AC10, drospirenone, The bioavailability of Drospirenone can be increased when combined with Fluconazole.]
[V03AC02, deferiprone, Fluconazole may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Fluconazole.]
[L01EJ01, ruxolitinib, The serum concentration of Ruxolitinib can be increased when it is combined with Fluconazole.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Fluconazole.]
[J01DH04, doripenem, Fluconazole may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Atenolol.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Fluconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Atropine.]
[M01CB03, auranofin, Fluconazole may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Fluconazole.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Fluconazole.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Fluconazole.]
[H02AB11, prednylidene, The metabolism of Prednylidene can be decreased when combined with Fluconazole.]
[B03XA04, peginesatide, Fluconazole may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Fluconazole may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Fluconazole may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Fluconazole.]
[J01DF01, aztreonam, Fluconazole may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Fluconazole.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Fluconazole.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Fluconazole.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be increased when it is combined with Fluconazole.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be decreased when combined with Fluconazole.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Fluconazole.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Fluconazole.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Fluconazole.]
[H02AA01, aldosterone, The metabolism of Aldosterone can be decreased when combined with Fluconazole.]
[L01EX05, regorafenib, The serum concentration of Regorafenib can be increased when it is combined with Fluconazole.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Fluconazole.]
[D02BA02, octinoxate, Fluconazole may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Nelfinavir can be decreased when combined with Fluconazole.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Fluconazole.]
[N04BD02, rasagiline, Fluconazole may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Fluconazole.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Fluconazole.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Fluconazole.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Fluconazole.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Fluconazole.]
[V09IX04, fluorodeoxyglucose F18, Fluconazole may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Fluconazole.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Sildenafil can be increased when it is combined with Fluconazole.]
[V08CA11, gadofosveset, Fluconazole may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Fluconazole.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Fluconazole.]
[A16AX08, teduglutide, Fluconazole may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Fluconazole.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be decreased when combined with Fluconazole.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be decreased when combined with Fluconazole.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Alogliptin is combined with Fluconazole.]
[A16AX09, glycerol phenylbutyrate, Fluconazole may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Fluconazole.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Fluconazole.]
[N02BA10, benorilate, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Canagliflozin is combined with Fluconazole.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Moxifloxacin.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Fluconazole.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Insulin detemir is combined with Fluconazole.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Fluconazole.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Pramlintide is combined with Fluconazole.]
[L03AA12, ancestim, Fluconazole may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Fluconazole.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Fluconazole.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Fluconazole.]
[R02AX03, benzydamine, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Benzydamine.]
[L01EE01, trametinib, Fluconazole may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Fluconazole may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Afatinib can be increased when it is combined with Fluconazole.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Fluconazole.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Fluconazole.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Fluconazole.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Fluconazole.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Lixisenatide is combined with Fluconazole.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Fluconazole.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Fluconazole.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Fluconazole.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Fluconazole.]
[J05AP05, simeprevir, The metabolism of Simeprevir can be decreased when combined with Fluconazole.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Fluconazole.]
[A10BK01, dapagliflozin, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Fluconazole.]
[C01CA27, droxidopa, Fluconazole may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Fluconazole.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Fluconazole.]
[L02BG02, formestane, Fluconazole may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Betamethasone can be decreased when combined with Fluconazole.]
[S01ED02, betaxolol, The risk or severity of hyperkalemia can be increased when Betaxolol is combined with Fluconazole.]
[V03AB34, fomepizole, Fluconazole may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Fluconazole.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Albiglutide is combined with Fluconazole.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Fluconazole.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Fluconazole.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Fluconazole.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Fluconazole.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Fluconazole.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Fluconazole.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Fluconazole.]
[V08AA01, diatrizoic acid, Fluconazole may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[V08AA04, iothalamic acid, Fluconazole may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Fluconazole.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Fluconazole.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Fluconazole.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Fluconazole.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Fluconazole.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Fluconazole.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Fluconazole.]
[S03AA06, gentamicin, Fluconazole may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Fluconazole.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Fluconazole.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Fluconazole.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Fluconazole.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Fluconazole.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Fluconazole.]
[L01EX08, lenvatinib, The serum concentration of Lenvatinib can be increased when it is combined with Fluconazole.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Fluconazole.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Fluconazole.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Fluconazole.]
[L01DC01, bleomycin, Fluconazole may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Fluconazole.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Fluconazole.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Fluconazole which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Fluconazole.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Fluconazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Fluconazole.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be decreased when combined with Fluconazole.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Fluconazole.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Fluconazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Fluconazole.]
[M02AA25, aceclofenac, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Insulin degludec is combined with Fluconazole.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Fluconazole.]
[V03AB37, idarucizumab, Fluconazole may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Fluconazole.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Fluconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Fluconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fluconazole.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Fluconazole.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Fluconazole.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Fluconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Fluconazole.]
[A10BB31, acetohexamide, The serum concentration of Acetohexamide can be increased when it is combined with Fluconazole.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Fluconazole.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Fluconazole.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Fluconazole.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Fluconazole.]
[M01AE16, alminoprofen, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Alminoprofen.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Fluconazole.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be increased when it is combined with Fluconazole.]
[N05BA08, bromazepam, Fluconazole may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Bromocriptine is combined with Fluconazole.]
[A02AD05, aluminum magnesium silicate, Fluconazole may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Dexbrompheniramine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be decreased when combined with Fluconazole.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Fluconazole.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Fluconazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Fluconazole may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Fluconazole.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Buserelin.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Fluconazole.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Fluconazole.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Fluconazole.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Fluconazole.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Azatadine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Fluconazole.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Fluconazole.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Fluconazole.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Fluconazole.]
[A07EC04, balsalazide, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Balsalazide.]
[A06AH05, naldemedine, Fluconazole may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Fluconazole.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Pregabalin.]
[C09AA07, benazepril, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Benazepril.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Benfluorex is combined with Fluconazole.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Fluconazole.]
[P01CA02, benznidazole, Fluconazole may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Fluconazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The serum concentration of Tipranavir can be increased when it is combined with Fluconazole.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Fluconazole.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Fluconazole.]
