[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Famotidine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Famotidine.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Famotidine.]
[J05AF01, zidovudine, The excretion of Famotidine can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Zuclopenthixol.]
[J05AE02, indinavir, Famotidine can cause a decrease in the absorption of Indinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Famotidine.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Famotidine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ziprasidone.]
[N02BA01, aspirin, The excretion of Famotidine can be decreased when combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Tolterodine.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Famotidine.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Famotidine.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Famotidine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Famotidine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Famotidine.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Mirabegron.]
[L01EA04, bosutinib, Famotidine can cause a decrease in the absorption of Bosutinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA31, teriflunomide, The excretion of Famotidine can be decreased when combined with Teriflunomide.]
[J05AE04, nelfinavir, Famotidine can cause a decrease in the absorption of Nelfinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Famotidine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Famotidine.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Famotidine.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Famotidine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Pasireotide.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Bencyclane.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Famotidine.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Moxifloxacin.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Famotidine.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Famotidine.]
[L01EC02, dabrafenib, Famotidine can cause a decrease in the absorption of Dabrafenib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Famotidine.]
[B03AB04, ferric hydroxide, Famotidine can cause a decrease in the absorption of Ferric hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AJ03, dolutegravir, The excretion of Famotidine can be decreased when combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Bepridil.]
[C02KX05, riociguat, Famotidine can cause a decrease in the absorption of Riociguat resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Famotidine.]
[V03AE05, sucroferric oxyhydroxide, Famotidine can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Famotidine.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Famotidine.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Famotidine.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Famotidine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Famotidine.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ceritinib.]
[A03BA03, hyoscyamine, Famotidine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Famotidine.]
[N07XX08, tafamidis, The excretion of Famotidine can be decreased when combined with Tafamidis.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Olodaterol.]
[V03AE01, polystyrene sulfonate, The therapeutic efficacy of Tolevamer can be decreased when used in combination with Famotidine.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Eliglustat.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Famotidine.]
[V03AE08, ferric citrate, Famotidine can cause a decrease in the absorption of Tetraferric tricitrate decahydrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Famotidine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Famotidine.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Famotidine.]
[L01EF01, palbociclib, The absorption of Palbociclib can be decreased when combined with Famotidine.]
[L01EX08, lenvatinib, The excretion of Famotidine can be decreased when combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Famotidine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ivabradine.]
[J05AP06, asunaprevir, Famotidine can cause a decrease in the absorption of Asunaprevir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be decreased when combined with Famotidine.]
[A02BC03, lansoprazole, The excretion of Famotidine can be decreased when combined with Lansoprazole.]
[J02AC05, isavuconazole, Famotidine can cause a decrease in the absorption of Isavuconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AF13, tenofovir alafenamide, The excretion of Tenofovir alafenamide can be decreased when combined with Famotidine.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Famotidine.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Famotidine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Famotidine.]
[C03CA02, bumetanide, The excretion of Famotidine can be decreased when combined with Bumetanide.]
[N01BB01, bupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Famotidine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Bupranolol.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Buserelin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Famotidine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Famotidine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Famotidine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Azithromycin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Famotidine.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Famotidine.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Famotidine.]
[J01XX08, linezolid, The excretion of Famotidine can be decreased when combined with Linezolid.]
[J05AE09, tipranavir, Famotidine can cause a decrease in the absorption of Tipranavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Delafloxacin.]
[D01AC10, bifonazole, Famotidine can cause a decrease in the absorption of Bifonazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Famotidine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Vorinostat.]
[L01EF03, abemaciclib, The excretion of Abemaciclib can be decreased when combined with Famotidine.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Efavirenz.]
[R03BA02, budesonide, Famotidine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AX18, letermovir, The excretion of Famotidine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Famotidine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Acrivastine.]
[C09AA01, captopril, Famotidine can cause a decrease in the absorption of Captopril resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Macimorelin.]
[L02BB05, apalutamide, The excretion of Famotidine can be decreased when combined with Apalutamide.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Famotidine.]
[B02BX08, avatrombopag, The excretion of Famotidine can be decreased when combined with Avatrombopag.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Famotidine.]
[J01DD13, cefpodoxime, Famotidine can cause a decrease in the absorption of Cefpodoxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Famotidine.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Famotidine.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Famotidine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Famotidine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Famotidine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Inotersen.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Famotidine.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cibenzoline.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cilostazol.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Triclabendazole.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Clarithromycin.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Famotidine.]
[J01DC04, cefaclor, The excretion of Famotidine can be decreased when combined with Cefaclor.]
[J01DB05, cefadroxil, The excretion of Famotidine can be decreased when combined with Cefadroxil.]
[J01DC03, cefamandole, The excretion of Famotidine can be decreased when combined with Cefamandole.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Famotidine.]
[J01DD12, cefoperazone, The excretion of Famotidine can be decreased when combined with Cefoperazone.]
[J01DD01, cefotaxime, The excretion of Famotidine can be decreased when combined with Cefotaxime.]
[J01DC07, cefotiam, The excretion of Famotidine can be decreased when combined with Cefotiam.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cicletanine.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Famotidine.]
[J01DD04, ceftriaxone, The excretion of Famotidine can be decreased when combined with Ceftriaxone.]
[S01AA27, cefuroxime, Famotidine can cause a decrease in the absorption of Cefuroxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Famotidine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Entrectinib.]
[N07XX11, pitolisant, Famotidine may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Famotidine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Famotidine.]
[J01DB01, cephalexin, The excretion of Famotidine can be decreased when combined with Cephalexin.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Famotidine.]
[J01DB03, cephalothin, The excretion of Famotidine can be decreased when combined with Cefalotin.]
[J01DB09, cephradine, The excretion of Cefradine can be decreased when combined with Famotidine.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Famotidine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Dexchlorpheniramine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Gatifloxacin.]
[J05AE05, amprenavir, Famotidine can cause a decrease in the absorption of Amprenavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Famotidine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Famotidine.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Famotidine.]
[C01BD07, dronedarone, The excretion of Famotidine can be decreased when combined with Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Chlorcyclizine.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Famotidine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ebastine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Chlorpromazine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Famotidine.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Famotidine.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Relugolix.]
[J05AJ04, cabotegravir, The excretion of Famotidine can be decreased when combined with Cabotegravir.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Famotidine.]
[V08CA07, ferric ammonium citrate, Famotidine can cause a decrease in the absorption of Ferric ammonium citrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Famotidine can cause a decrease in the absorption of Prussian blue resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Famotidine can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Famotidine can cause a decrease in the absorption of Ferrous fumarate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Famotidine can cause a decrease in the absorption of Ferrous gluconate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Famotidine can cause a decrease in the absorption of Ferrous succinate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Famotidine can cause a decrease in the absorption of Ferrous sulfate anhydrous resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Famotidine.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Flumequine.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Famotidine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Famotidine.]
[B03AB10, ferric maltol, Famotidine can cause a decrease in the absorption of Ferric maltol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, The excretion of Famotidine can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cinoxacin.]
[L01XX73, sotorasib, The therapeutic efficacy of Sotorasib can be decreased when used in combination with Famotidine.]
[L01EN03, infigratinib, The serum concentration of Infigratinib can be decreased when it is combined with Famotidine.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Famotidine.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Famotidine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Clemastine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Famotidine.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Famotidine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Famotidine.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Famotidine.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Famotidine.]
[J02AC06, oteseconazole, Famotidine can cause a decrease in the absorption of Oteseconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Clozapine.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cocaine.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Famotidine.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Desflurane.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Desloratadine.]
[J05AF09, emtricitabine, The excretion of Emtricitabine can be decreased when combined with Famotidine.]
[J02AC02, itraconazole, Famotidine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AD03, acyclovir, The excretion of Famotidine can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Emedastine.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Posaconazole.]
[A02BC05, esomeprazole, The excretion of Famotidine can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Famotidine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Levocabastine.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Lomefloxacin.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Adenosine.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Famotidine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Cyclizine.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Melperone.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Famotidine.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Famotidine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Famotidine.]
[C10AA07, rosuvastatin, The excretion of Rosuvastatin can be decreased when combined with Famotidine.]
[S01XA21, cysteamine, The bioavailability of Cysteamine can be decreased when combined with Famotidine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Famotidine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Famotidine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Famotidine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Famotidine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Famotidine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Famotidine.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Solifenacin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Desipramine.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Famotidine.]
[S03BA01, dexamethasone, The excretion of Dexamethasone can be decreased when combined with Famotidine.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Famotidine.]
[L01EB01, gefitinib, Famotidine can cause a decrease in the absorption of Gefitinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Famotidine.]
