[S02DA03, antipyrine, Potassium chloride may increase the hyperkalemic activities of Antipyrine.]
[V04CA01, tolbutamide, Potassium chloride may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Potassium chloride may increase the hyperkalemic activities of Tolmetin.]
[N02AX02, tramadol, The risk or severity of gastrointestinal ulceration can be increased when Tramadol is combined with Potassium chloride.]
[C03DB02, triamterene, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Triamterene.]
[N05CD05, triazolam, Potassium chloride may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The risk or severity of gastrointestinal ulceration can be increased when Mepenzolate is combined with Potassium chloride.]
[A16AX12, trientine, Potassium chloride may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05AA05, triflupromazine, The risk or severity of gastrointestinal ulceration can be increased when Triflupromazine is combined with Potassium chloride.]
[N04AA01, trihexyphenidyl, The risk or severity of gastrointestinal ulceration can be increased when Trihexyphenidyl is combined with Potassium chloride.]
[A03AA05, trimebutine, The risk or severity of gastrointestinal ulceration can be increased when Trimebutine is combined with Potassium chloride.]
[N03AC02, trimethadione, Potassium chloride may increase the hyperkalemic activities of Trimethadione.]
[J01EA01, trimethoprim, Potassium chloride may increase the hyperkalemic activities of Trimethoprim.]
[A03BB01, butylscopolamine, The risk or severity of gastrointestinal ulceration can be increased when Butylscopolamine is combined with Potassium chloride.]
[C09CA09, azilsartan medoxomil, Potassium chloride may increase the hyperkalemic activities of Azilsartan medoxomil.]
[R03DX07, roflumilast, Potassium chloride may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Potassium chloride may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Potassium chloride may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Potassium chloride may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Potassium chloride may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Potassium chloride may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, Verapamil may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N06AX09, viloxazine, Potassium chloride may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B01AA03, warfarin, Potassium chloride may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M05BA05, tiludronic acid, Potassium chloride may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Potassium chloride may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Potassium chloride may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of gastrointestinal ulceration can be increased when Ziprasidone is combined with Potassium chloride.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Potassium chloride may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Potassium chloride may increase the hyperkalemic activities of Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Potassium chloride may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The risk or severity of gastrointestinal ulceration can be increased when Tolterodine is combined with Potassium chloride.]
[J01DH04, doripenem, Potassium chloride may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Potassium chloride may increase the hyperkalemic activities of Atenolol.]
[S01FA01, atropine, The risk or severity of gastrointestinal ulceration can be increased when Atropine is combined with Potassium chloride.]
[M01CB03, auranofin, Potassium chloride may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Potassium chloride may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Potassium chloride may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Potassium chloride may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A08AA11, lorcaserin, Potassium chloride may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Potassium chloride may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, Potassium chloride may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[D02BA02, octinoxate, Potassium chloride may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, Potassium chloride may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[C08CA13, lercanidipine, Potassium chloride may increase the hyperkalemic activities of Lercanidipine.]
[R06AC06, thonzylamine, The risk or severity of gastrointestinal ulceration can be increased when Thonzylamine is combined with Potassium chloride.]
[G04BD10, darifenacin, The risk or severity of gastrointestinal ulceration can be increased when Darifenacin is combined with Potassium chloride.]
[V09IX04, fluorodeoxyglucose F18, Potassium chloride may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Potassium chloride may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Potassium chloride may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, Potassium chloride may increase the hyperkalemic activities of Bencyclane.]
[A10BH04, alogliptin, Potassium chloride may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Potassium chloride may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Potassium chloride may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, Potassium chloride may increase the hyperkalemic activities of Benorilate.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AA12, ancestim, Potassium chloride may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Potassium chloride may increase the hyperkalemic activities of Celecoxib.]
[N04AC01, benztropine, The risk or severity of gastrointestinal ulceration can be increased when Benzatropine is combined with Potassium chloride.]
[R02AX03, benzydamine, Potassium chloride may increase the hyperkalemic activities of Benzydamine.]
[L01EE01, trametinib, Potassium chloride may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Potassium chloride may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Potassium chloride may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[C08EA02, bepridil, Potassium chloride may increase the hyperkalemic activities of Bepridil.]
[A10BJ03, lixisenatide, Potassium chloride may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Potassium chloride may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Potassium chloride may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J05AP08, sofosbuvir, Potassium chloride may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Potassium chloride may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, Potassium chloride may increase the hyperkalemic activities of Acebutolol.]
[N05CH03, tasimelteon, Potassium chloride may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Potassium chloride may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Potassium chloride may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, Potassium chloride may increase the hyperkalemic activities of Betaxolol.]
[V03AB34, fomepizole, Potassium chloride may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[A03BA03, hyoscyamine, The risk or severity of gastrointestinal ulceration can be increased when Hyoscyamine is combined with Potassium chloride.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Glycopyrronium is combined with Potassium chloride.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N04AA02, biperiden, The risk or severity of gastrointestinal ulceration can be increased when Biperiden is combined with Potassium chloride.]
[S03AA06, gentamicin, Potassium chloride may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Potassium chloride may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of gastrointestinal ulceration can be increased when Difemerine is combined with Potassium chloride.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M02AA25, aceclofenac, Potassium chloride may increase the hyperkalemic activities of Aceclofenac.]
[M01AB11, acemetacin, Potassium chloride may increase the hyperkalemic activities of Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Potassium chloride may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Potassium chloride.]
[L01XG03, ixazomib, Potassium chloride may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Potassium chloride may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Potassium chloride may increase the hyperkalemic activities of Alminoprofen.]
[N03AX23, brivaracetam, Potassium chloride may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Potassium chloride may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Potassium chloride may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of gastrointestinal ulceration can be increased when Brompheniramine is combined with Potassium chloride.]
[C08CA01, amlodipine, Potassium chloride may increase the hyperkalemic activities of Amlodipine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Potassium chloride may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, Potassium chloride may increase the hyperkalemic activities of Bupranolol.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Potassium chloride may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Potassium chloride may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[A07EC04, balsalazide, Potassium chloride may increase the hyperkalemic activities of Balsalazide.]
[A06AH05, naldemedine, Potassium chloride may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Potassium chloride may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C09AA07, benazepril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Benazepril.]
[P01CA02, benznidazole, Potassium chloride may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Potassium chloride may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Potassium chloride may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[J01MA23, delafloxacin, Potassium chloride may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Potassium chloride may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AB07, bisoprolol, Potassium chloride may increase the hyperkalemic activities of Bisoprolol.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C07AA17, bopindolol, Potassium chloride may increase the hyperkalemic activities of Bopindolol.]
[N04AA11, bornaprine, The risk or severity of gastrointestinal ulceration can be increased when Bornaprine is combined with Potassium chloride.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Canrenone.]
[R03BA02, budesonide, Potassium chloride may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Potassium chloride may increase the hyperkalemic activities of Bumadizone.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Potassium chloride may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Captopril.]
[L02BB05, apalutamide, Potassium chloride may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Potassium chloride may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AA03, camylofine, The risk or severity of gastrointestinal ulceration can be increased when Camylofin is combined with Potassium chloride.]
[C07AG02, carvedilol, Potassium chloride may increase the hyperkalemic activities of Carvedilol.]
[L04AA37, baricitinib, Potassium chloride may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01GB14, plazomicin, Potassium chloride may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Potassium chloride may increase the hyperkalemic activities of Celiprolol.]
[A16AX14, migalastat, Potassium chloride may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Potassium chloride may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[D08AE05, chloroxylenol, Potassium chloride may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of gastrointestinal ulceration can be increased when Chlorphenoxamine is combined with Potassium chloride.]
[M01AC05, lornoxicam, Potassium chloride may increase the hyperkalemic activities of Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[R03BB08, revefenacin, The risk or severity of gastrointestinal ulceration can be increased when Revefenacin is combined with Potassium chloride.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A06AX05, prucalopride, Potassium chloride may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, The risk or severity of hyperkalemia can be increased when Potassium chloride is combined with Cilazapril.]
[B01AC23, cilostazol, Potassium chloride may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[N06BA14, solriamfetol, Potassium chloride may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C09CA06, candesartan, Potassium chloride may increase the hyperkalemic activities of Candesartan.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N07XX11, pitolisant, Potassium chloride may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[M09AX08, golodirsen, Potassium chloride may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Potassium chloride may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[R02AA03, dichlorobenzyl alcohol, Potassium chloride may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Potassium chloride may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[M01AH02, rofecoxib, Potassium chloride may increase the hyperkalemic activities of Rofecoxib.]
[C08CA16, clevidipine, Potassium chloride may increase the hyperkalemic activities of Clevidipine.]
[A03AA08, dihexyverine, The risk or severity of gastrointestinal ulceration can be increased when Dihexyverine is combined with Potassium chloride.]
[G04BD09, trospium, The risk or severity of gastrointestinal ulceration can be increased when Trospium is combined with Potassium chloride.]
[M01AC04, droxicam, Potassium chloride may increase the hyperkalemic activities of Droxicam.]
[V08CA05, mangafodipir, Potassium chloride may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Potassium chloride may increase the hyperkalemic activities of Dexketoprofen.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, The risk or severity of gastrointestinal ulceration can be increased when Chlorpromazine is combined with Potassium chloride.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of gastrointestinal ulceration can be increased when Chlorprothixene is combined with Potassium chloride.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N02BA07, ethenzamide, Potassium chloride may increase the hyperkalemic activities of Ethenzamide.]
[N02BA03, choline salicylate, Potassium chloride may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, Potassium chloride may increase the hyperkalemic activities of Vinpocetine.]
[M01AB08, etodolac, Potassium chloride may increase the hyperkalemic activities of Etodolac.]
[M02AA06, etofenamate, Potassium chloride may increase the hyperkalemic activities of Etofenamate.]
[M01AX25, chondroitin sulfates, Potassium chloride may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M01AE05, fenbufen, Potassium chloride may increase the hyperkalemic activities of Fenbufen.]
[C01CA19, fenoldopam, Potassium chloride may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N02BG07, flupirtine, Potassium chloride may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[N07CA02, cinnarizine, Potassium chloride may increase the hyperkalemic activities of Cinnarizine.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[L01XA01, cisplatin, Potassium chloride may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Potassium chloride may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Potassium chloride may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Potassium chloride may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, Potassium chloride may increase the hyperkalemic activities of Mefenamic acid.]
[N01BB10, levobupivacaine, Potassium chloride may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N06AA04, clomipramine, Potassium chloride may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Potassium chloride may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, The risk or severity of gastrointestinal ulceration can be increased when Clozapine is combined with Potassium chloride.]
[J01GB12, arbekacin, Potassium chloride may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of gastrointestinal ulceration can be increased when Cocaine is combined with Potassium chloride.]
[M01AX13, proquazone, Potassium chloride may increase the hyperkalemic activities of Proquazone.]
[M04AC01, colchicine, Potassium chloride may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, The risk or severity of gastrointestinal ulceration can be increased when Hexocyclium is combined with Potassium chloride.]
[A03BB06, homatropine methylbromide, The risk or severity of gastrointestinal ulceration can be increased when Homatropine methylbromide is combined with Potassium chloride.]
[J01XB01, colistin, Potassium chloride may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
