[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Flurazepam.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Flurazepam.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[P01AB02, tinidazole, Flurazepam may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Flurazepam may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Flurazepam may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Flurazepam may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Flurazepam is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Flurazepam can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Flurazepam.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Flurazepam may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Trifluperidol.]
[N05AA05, triflupromazine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Flurazepam.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Flurazepam.]
[A03BB01, butylscopolamine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Flurazepam can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Flurazepam.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tubocurarine.]
[R03DX07, roflumilast, Flurazepam may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Flurazepam may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Flurazepam may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Flurazepam can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Flurazepam can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Flurazepam can be decreased when combined with Telaprevir.]
[S01AA28, vancomycin, Flurazepam may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ezogabine.]
[B01AF01, rivaroxaban, Flurazepam may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The metabolism of Flurazepam can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Flurazepam can be decreased when combined with Viloxazine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[B01AA03, warfarin, Flurazepam may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Flurazepam can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Flurazepam can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Levetiracetam.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M05BA05, tiludronic acid, Flurazepam may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Flurazepam may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Flurazepam can be decreased when combined with Crizotinib.]
[A02BC04, rabeprazole, Flurazepam may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Flurazepam may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Flurazepam may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Flurazepam may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The serum concentration of Flurazepam can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Flurazepam is combined with Atracurium.]
[S01FA01, atropine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Flurazepam may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Flurazepam may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Flurazepam may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Flurazepam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Flurazepam.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Lorcaserin.]
[G04BD12, mirabegron, Flurazepam may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The metabolism of Flurazepam can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Flurazepam can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Flurazepam can be decreased when it is combined with Enzalutamide.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Barbital.]
[D02BA02, octinoxate, Flurazepam may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Flurazepam can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Flurazepam is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Flurazepam is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Flurazepam is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Flurazepam.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Flurazepam.]
[R06AC06, thonzylamine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Flurazepam may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Flurazepam is combined with Diethyl ether.]
[V08CA11, gadofosveset, Flurazepam may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, The serum concentration of Flurazepam can be increased when it is combined with Teduglutide.]
[A10BH04, alogliptin, Flurazepam may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Flurazepam may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Pomalidomide.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Benzocaine.]
[L03AA12, ancestim, Flurazepam may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Flurazepam is combined with Naratriptan.]
[N04AC01, benztropine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Flurazepam can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[L01EE01, trametinib, Flurazepam may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Flurazepam may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Flurazepam is combined with Levomilnacipran.]
[A10BJ03, lixisenatide, Flurazepam may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Flurazepam may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Flurazepam can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Flurazepam may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Flurazepam may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Flurazepam is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Flurazepam can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Flurazepam can be increased when combined with Apremilast.]
[L02BG02, formestane, Flurazepam may decrease the excretion rate of Formestane which could result in a higher serum level.]
[V03AB34, fomepizole, The metabolism of Flurazepam can be decreased when combined with Fomepizole.]
[L04AC11, siltuximab, The metabolism of Flurazepam can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Flurazepam is combined with Alfaxalone.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[D11AA01, glycopyrronium, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05CM19, suvorexant, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Naloxegol is combined with Flurazepam.]
[N04AA02, biperiden, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Flurazepam.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Flurazepam.]
[B01AF03, edoxaban, Flurazepam may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Flurazepam can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, Flurazepam may increase the hepatotoxic activities of Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[A03AA09, difemerine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Flurazepam.]
[A07DA06, eluxadoline, The risk or severity of adverse effects can be increased when Eluxadoline is combined with Flurazepam.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Flurazepam is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Acetophenazine.]
[V03AB37, idarucizumab, Flurazepam may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Flurazepam.]
[J02AC05, isavuconazole, The metabolism of Flurazepam can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Flurazepam.]
[L01XG03, ixazomib, Flurazepam may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Flurazepam may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Flurazepam can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Flurazepam may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Flurazepam.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Flurazepam is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Flurazepam.]
[N07BC01, buprenorphine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Flurazepam.]
[L01XX27, arsenic trioxide, Flurazepam may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Flurazepam may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Flurazepam.]
[S01GX07, azelastine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01EF02, ribociclib, The metabolism of Flurazepam can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R03DA08, bamifylline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Bamifylline.]
[A06AH05, naldemedine, Flurazepam may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Flurazepam is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Flurazepam can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Beclamide.]
[N06BC01, caffeine, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Caffeine.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Flurazepam is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Flurazepam may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Flurazepam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Flurazepam can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Flurazepam may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Flurazepam can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Flurazepam can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Flurazepam is combined with Safinamide.]
[J01MA23, delafloxacin, Flurazepam may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Flurazepam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Flurazepam can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N04AA11, bornaprine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Flurazepam is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Flurazepam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Flurazepam is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Flurazepam is combined with Butriptyline.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Flurazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Flurazepam is combined with Vinylbital.]
[R06AX18, acrivastine, Flurazepam may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Flurazepam can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Flurazepam can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Flurazepam.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Flurazepam.]
[L04AA37, baricitinib, Flurazepam may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[J01GB14, plazomicin, Flurazepam may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[L01XX62, ivosidenib, The metabolism of Flurazepam can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Flurazepam may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Flurazepam can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Flurazepam.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Flurazepam is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Flurazepam is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Flurazepam may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[R03DA02, oxtriphylline, The therapeutic efficacy of Flurazepam can be decreased when used in combination with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Flurazepam.]
[R03BB08, revefenacin, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Flurazepam can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[A06AX05, prucalopride, Flurazepam may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
