[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Apomorphine.]
[N05AA05, triflupromazine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Apomorphine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Apomorphine.]
[C02BA01, trimethaphan, Apomorphine may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Apomorphine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Apomorphine.]
[A03BB01, butylscopolamine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Apomorphine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Apomorphine.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Apomorphine is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Apomorphine can be decreased when combined with Abiraterone.]
[J05AP03, boceprevir, The metabolism of Apomorphine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Apomorphine.]
[J05AG05, rilpivirine, The metabolism of Apomorphine can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Apomorphine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Apomorphine.]
[C08DA01, verapamil, The metabolism of Apomorphine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Viloxazine.]
[C04AX07, vincamine, Apomorphine may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Apomorphine.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Warfarin.]
[C03BA10, xipamide, Apomorphine may increase the hypotensive activities of Xipamide.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Pipemidic acid.]
[J05AF01, zidovudine, The metabolism of Apomorphine can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Apomorphine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Apomorphine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Apomorphine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ziprasidone.]
[G04BD07, tolterodine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Atenolol is combined with Apomorphine.]
[J02AC03, voriconazole, The metabolism of Apomorphine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Apomorphine is combined with Atracurium.]
[S01FA01, atropine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Apomorphine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Apomorphine.]
[H02AB11, prednylidene, The metabolism of Apomorphine can be increased when combined with Prednylidene.]
[G04BE10, avanafil, The risk or severity of hypotension can be increased when Avanafil is combined with Apomorphine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Apomorphine can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The metabolism of Apomorphine can be decreased when combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Apomorphine can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Apomorphine can be decreased when combined with Teriflunomide.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Apomorphine.]
[J05AE04, nelfinavir, The metabolism of Apomorphine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Apomorphine.]
[C08CA13, lercanidipine, The risk or severity of adverse effects can be increased when Lercanidipine is combined with Apomorphine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Apomorphine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Apomorphine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Apomorphine.]
[R06AC06, thonzylamine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Apomorphine is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Apomorphine can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Apomorphine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Apomorphine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Apomorphine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, The risk or severity of adverse effects can be increased when Bendroflumethiazide is combined with Apomorphine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Apomorphine.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Benperidol.]
[A10BK02, canagliflozin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Moxifloxacin.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Apomorphine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Apomorphine is combined with Naratriptan.]
[N04AC01, benztropine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Apomorphine can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Apomorphine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Apomorphine is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Apomorphine.]
[C02KX04, macitentan, Apomorphine may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Apomorphine.]
[N06AX26, vortioxetine, The risk or severity of hypotension can be increased when Vortioxetine is combined with Apomorphine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dapagliflozin.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Apomorphine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Apomorphine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Betaxolol is combined with Apomorphine.]
[C02CC01, bethanidine, Apomorphine may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, The metabolism of Apomorphine can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Apomorphine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ceritinib.]
[A03BA03, hyoscyamine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Olodaterol.]
[D11AA01, glycopyrronium, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Eliglustat.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Acepromazine.]
[N04AA02, biperiden, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Apomorphine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Apomorphine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dicoumarol.]
[N06AX11, mirtazapine, Apomorphine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Apomorphine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Apomorphine.]
[A03AA09, difemerine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Apomorphine.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Flibanserin.]
[N05AX15, cariprazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Apomorphine can be decreased when combined with Lansoprazole.]
[J02AC05, isavuconazole, The metabolism of Apomorphine can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Apomorphine.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Apomorphine.]
[A03FA05, alizapride, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Alizapride.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Apomorphine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Apomorphine is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be decreased when Apomorphine is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Apomorphine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Apomorphine is combined with Amineptine.]
[C08CA01, amlodipine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Apomorphine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Aniracetam.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Apomorphine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Bupranolol.]
[N07BC01, buprenorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Buserelin.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Apomorphine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Apomorphine.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Azatadine.]
[S01GX07, azelastine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Apomorphine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Azithromycin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ribociclib.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Apomorphine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Beclamide.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Benazepril is combined with Apomorphine.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Apomorphine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Apomorphine.]
[L04AB02, infliximab, The metabolism of Apomorphine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Apomorphine can be increased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Apomorphine.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Apomorphine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Apomorphine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Apomorphine.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Apomorphine.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Apomorphine.]
[N04AA11, bornaprine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Apomorphine is combined with Nesiritide.]
[A03FA04, bromopride, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Bromopride.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Brotizolam.]
[R03BA02, budesonide, The metabolism of Apomorphine can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Apomorphine can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Apomorphine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Apomorphine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Apomorphine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Acetyldigoxin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Acrivastine.]
[C09AA01, captopril, The risk or severity of adverse effects can be increased when Apomorphine is combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Apomorphine.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Apomorphine.]
[A03AA03, camylofine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Apomorphine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Apomorphine.]
[B02BX08, avatrombopag, The metabolism of Apomorphine can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Encorafenib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Apomorphine.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Apomorphine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Apomorphine can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Apomorphine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Apomorphine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Apomorphine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Apomorphine.]
[R03BB08, revefenacin, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Apomorphine.]
[L04AA39, emapalumab, The metabolism of Apomorphine can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Cibenzoline.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Apomorphine is combined with Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Apomorphine is combined with Cinitapride.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Apomorphine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Brexanolone.]
[A03FA06, clebopride, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Clebopride.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Apomorphine.]
[H02AB14, cloprednol, The metabolism of Apomorphine can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Apomorphine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Apomorphine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Apomorphine can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Apomorphine can be decreased when combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Cicletanine.]
