[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Obeticholic acid.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Obeticholic acid.]
[B01AA11, tioclomarol, The risk or severity of bleeding and bruising can be increased when Tioclomarol is combined with Obeticholic acid.]
[B01AC25, cangrelor, The risk or severity of adverse effects can be increased when Cangrelor is combined with Obeticholic acid.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Obeticholic acid.]
[M05BX02, aluminum chlorohydrate, Aluminum chlorohydrate can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AA13, fusidic acid, The risk or severity of adverse effects can be increased when Fusidic acid is combined with Obeticholic acid.]
[N01BB01, bupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Obeticholic acid.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Obeticholic acid.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Obeticholic acid.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Obeticholic acid.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Obeticholic acid.]
[J05AE09, tipranavir, The risk or severity of adverse effects can be increased when Tipranavir is combined with Obeticholic acid.]
[B01AF04, betrixaban, The risk or severity of bleeding and bruising can be increased when Betrixaban is combined with Obeticholic acid.]
[L01XX59, enasidenib, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Enasidenib.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Obeticholic acid.]
[C04AX20, buflomedil, The risk or severity of adverse effects can be increased when Buflomedil is combined with Obeticholic acid.]
[J05AX18, letermovir, The risk or severity of adverse effects can be increased when Letermovir is combined with Obeticholic acid.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Obeticholic acid.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Obeticholic acid.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Obeticholic acid.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Obeticholic acid.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Obeticholic acid.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Obeticholic acid.]
[B01AX07, caplacizumab, The risk or severity of adverse effects can be increased when Caplacizumab is combined with Obeticholic acid.]
[B01AC23, cilostazol, The risk or severity of adverse effects can be increased when Cilostazol is combined with Obeticholic acid.]
[C10AB08, ciprofibrate, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Ciprofibrate.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Obeticholic acid.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Obeticholic acid.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Obeticholic acid.]
[G03DB05, demegestone, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Demegestone.]
[G03AC09, desogestrel, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Desogestrel.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Obeticholic acid.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Obeticholic acid.]
[G03DB08, dienogest, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Dienogest.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Obeticholic acid.]
[B01AE02, lepirudin, The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Obeticholic acid.]
[L01EX23, pralsetinib, The risk or severity of adverse effects can be increased when Pralsetinib is combined with Obeticholic acid.]
[N05AA01, chlorpromazine, The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Obeticholic acid.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Obeticholic acid.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C10AB09, etofibrate, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Etofibrate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Obeticholic acid.]
[A02BA01, cimetidine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Obeticholic acid.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Obeticholic acid.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Obeticholic acid.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Obeticholic acid.]
[B01AD11, tenecteplase, The risk or severity of bleeding and bruising can be increased when Tenecteplase is combined with Obeticholic acid.]
[C10AB01, clofibrate, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Clofibrate.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Obeticholic acid.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Clomipramine.]
[S01EA04, clonidine, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Clonidine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Obeticholic acid.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Obeticholic acid.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Obeticholic acid.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AC10, indobufen, The risk or severity of adverse effects can be increased when Indobufen is combined with Obeticholic acid.]
[B01AB12, bemiparin, The risk or severity of bleeding and bruising can be increased when Bemiparin is combined with Obeticholic acid.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Obeticholic acid.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Obeticholic acid.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Obeticholic acid.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Obeticholic acid.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01XA18, cyclosporine, The risk or severity of adverse effects can be increased when Cyclosporine is combined with Obeticholic acid.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Obeticholic acid.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Obeticholic acid.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Dacarbazine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Obeticholic acid.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Obeticholic acid.]
[B01AX05, fondaparinux, The risk or severity of bleeding and bruising can be increased when Fondaparinux is combined with Obeticholic acid.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Obeticholic acid.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Obeticholic acid.]
[B01AC04, clopidogrel, The risk or severity of adverse effects can be increased when Clopidogrel is combined with Obeticholic acid.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Obeticholic acid.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Obeticholic acid.]
[L01EB02, erlotinib, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Erlotinib.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Obeticholic acid.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Obeticholic acid.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Obeticholic acid.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Dipyridamole is combined with Obeticholic acid.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and bruising can be increased when Drotrecogin alfa is combined with Obeticholic acid.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Obeticholic acid.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Obeticholic acid.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be decreased when combined with Obeticholic acid.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Obeticholic acid.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Obeticholic acid.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Obeticholic acid.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Obeticholic acid.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Obeticholic acid.]
[B01AC18, triflusal, The risk or severity of adverse effects can be increased when Triflusal is combined with Obeticholic acid.]
[C05CA04, troxerutin, The risk or severity of bleeding and bruising can be increased when Troxerutin is combined with Obeticholic acid.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Obeticholic acid.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Obeticholic acid.]
[B01AD03, anistreplase, The risk or severity of bleeding and bruising can be increased when Anistreplase is combined with Obeticholic acid.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Iloprost is combined with Obeticholic acid.]
[S01AA17, erythromycin, The risk or severity of adverse effects can be increased when Erythromycin is combined with Obeticholic acid.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Obeticholic acid.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Obeticholic acid.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Obeticholic acid.]
[L02AA03, ethinyl estradiol, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Obeticholic acid.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Etoposide.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Obeticholic acid.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Obeticholic acid.]
[B05AA05, dextran, The risk or severity of bleeding and bruising can be increased when Dextran is combined with Obeticholic acid.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Obeticholic acid.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Obeticholic acid.]
[B01AD05, plasmin, The risk or severity of bleeding and bruising can be increased when Fibrinolysin is combined with Obeticholic acid.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Obeticholic acid.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Obeticholic acid.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Obeticholic acid.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Fluorouracil.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Obeticholic acid.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Obeticholic acid.]
[L01BC03, tegafur, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Tegafur.]
[D10AX01, aluminum chloride, Aluminum chloride can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C10AB04, gemfibrozil, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Gemfibrozil.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Dasatinib.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Obeticholic acid.]
[G03XA02, gestrinone, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Gestrinone.]
[A10BB01, glyburide, The risk or severity of adverse effects can be increased when Glyburide is combined with Obeticholic acid.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Sorafenib.]
[B01AA12, fluindione, The risk or severity of bleeding and bruising can be increased when Fluindione is combined with Obeticholic acid.]
[N05AD01, haloperidol, The metabolism of Haloperidol can be decreased when combined with Obeticholic acid.]
[S01XA14, heparin, The risk or severity of bleeding and bruising can be increased when Heparin is combined with Obeticholic acid.]
[M02AA26, nimesulide, The risk or severity of adverse effects can be increased when Nimesulide is combined with Obeticholic acid.]
[S01XA07, aluminum potassium sulfate, Potassium alum can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05CB02, sodium citrate, The risk or severity of bleeding and bruising can be increased when Sodium citrate is combined with Obeticholic acid.]
[N06AA02, imipramine, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Obeticholic acid.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Tizanidine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Obeticholic acid.]
[L01XX35, anagrelide, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Anagrelide.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Obeticholic acid.]
[B01AE06, bivalirudin, The risk or severity of bleeding and bruising can be increased when Bivalirudin is combined with Obeticholic acid.]
[A07BC02, kaolin, Kaolin can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Ketanserin is combined with Obeticholic acid.]
[B01AC22, prasugrel, The risk or severity of adverse effects can be increased when Prasugrel is combined with Obeticholic acid.]
[J02AB02, ketoconazole, The risk or severity of adverse effects can be increased when Ketoconazole is combined with Obeticholic acid.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Obeticholic acid.]
[D10AX04, aluminum oxide, Aluminum oxide can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Levonorgestrel.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Obeticholic acid.]
[G03DC03, lynestrenol, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Lynestrenol.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Obeticholic acid.]
[B01AB06, nadroparin, The risk or severity of bleeding and bruising can be increased when Nadroparin is combined with Obeticholic acid.]
[B01AB05, enoxaparin, The risk or severity of bleeding and bruising can be increased when Enoxaparin is combined with Obeticholic acid.]
[B01AB04, dalteparin, The risk or severity of bleeding and bruising can be increased when Dalteparin is combined with Obeticholic acid.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Obeticholic acid.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Obeticholic acid.]
[L01BA04, pemetrexed, The metabolism of Pemetrexed can be decreased when combined with Obeticholic acid.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Obeticholic acid.]
[R03DA05, aminophylline, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Aminophylline.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Obeticholic acid.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Obeticholic acid.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Obeticholic acid.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Obeticholic acid.]
[B01AB07, parnaparin, The risk or severity of bleeding and bruising can be increased when Parnaparin is combined with Obeticholic acid.]
[G03XB01, mifepristone, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding and bruising can be increased when Tinzaparin is combined with Obeticholic acid.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Obeticholic acid.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Obeticholic acid.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Obeticholic acid.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Ropinirole.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Obeticholic acid.]
[A10BG01, troglitazone, The risk or severity of adverse effects can be increased when Troglitazone is combined with Obeticholic acid.]
[B01AC17, tirofiban, The risk or severity of adverse effects can be increased when Tirofiban is combined with Obeticholic acid.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Obeticholic acid.]
[G03DC02, norethindrone, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Norethisterone.]
[G03AC07, norgestrienone, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Norgestrienone.]
[C02KX01, bosentan, The risk or severity of adverse effects can be increased when Bosentan is combined with Obeticholic acid.]
[B01AC16, eptifibatide, The risk or severity of adverse effects can be increased when Eptifibatide is combined with Obeticholic acid.]
[B01AB08, reviparin, The risk or severity of bleeding and bruising can be increased when Reviparin is combined with Obeticholic acid.]
[B01AD07, reteplase, The risk or severity of bleeding and bruising can be increased when Reteplase is combined with Obeticholic acid.]
[B01AD09, ancrod, The risk or severity of bleeding and bruising can be increased when Ancrod is combined with Obeticholic acid.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Obeticholic acid.]
[B01AB09, danaparoid, The risk or severity of bleeding and bruising can be increased when Danaparoid is combined with Obeticholic acid.]
[G03DB06, chlormadinone, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Chlormadinone.]
[C04AD03, pentoxifylline, The risk or severity of adverse effects can be increased when Pentoxifylline is combined with Obeticholic acid.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Obeticholic acid.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Obeticholic acid.]
[B01AA02, phenindione, The risk or severity of bleeding and bruising can be increased when Phenindione is combined with Obeticholic acid.]
[B01AA04, phenprocoumon, The risk or severity of bleeding and bruising can be increased when Phenprocoumon is combined with Obeticholic acid.]
[N05AG02, pimozide, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Pimozide.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Obeticholic acid.]
[B01AC13, abciximab, The risk or severity of adverse effects can be increased when Abciximab is combined with Obeticholic acid.]
[S01XA13, alteplase, The risk or severity of bleeding and bruising can be increased when Alteplase is combined with Obeticholic acid.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Obeticholic acid.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Obeticholic acid.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Obeticholic acid.]
[C10AB05, fenofibrate, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Fenofibrate.]
[G03DA04, progesterone, The risk or severity of adverse effects can be increased when Progesterone is combined with Obeticholic acid.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Obeticholic acid.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Obeticholic acid.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Obeticholic acid.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Epoprostenol is combined with Obeticholic acid.]
[C01BA01, quinidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Obeticholic acid.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Obeticholic acid.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Obeticholic acid.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Obeticholic acid.]
[J04AB02, rifampin, The risk or severity of adverse effects can be increased when Rifampicin is combined with Obeticholic acid.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Obeticholic acid.]
[A05AA02, ursodiol, The risk or severity of adverse effects can be increased when Ursodeoxycholic acid is combined with Obeticholic acid.]
