[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Pindolol.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Pindolol is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Pindolol is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Pindolol can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Pindolol.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Pindolol.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Pindolol.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Pindolol can be increased when used in combination with Trichlormethiazide.]
[A03AB12, mepenzolate, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, Demecarium may increase the bradycardic activities of Pindolol.]
[A16AX12, trientine, Pindolol may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The serum concentration of Pindolol can be increased when it is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Pindolol is combined with Trifluperidol.]
[N05AA05, triflupromazine, The serum concentration of Pindolol can be increased when it is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, The risk or severity of bradycardia can be increased when Trimebutine is combined with Pindolol.]
[S01ED04, metipranolol, Pindolol may increase the hypotensive activities of Metipranolol.]
[R06AD01, trimeprazine, The serum concentration of Pindolol can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of bradycardia can be increased when Trimethadione is combined with Pindolol.]
[C02BA01, trimethaphan, Pindolol may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Pindolol.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Pindolol.]
[R06AC04, tripelennamine, The metabolism of Pindolol can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Pindolol.]
[A03BB01, butylscopolamine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Pindolol can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Pindolol.]
[C09CA09, azilsartan medoxomil, Pindolol may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the bradycardic activities of Pindolol.]
[R03DX07, roflumilast, Pindolol may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Pindolol may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, Tyrothricin may increase the bradycardic activities of Pindolol.]
[R02AA14, oxyquinoline, Pindolol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Pindolol can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Pindolol.]
[J05AG05, rilpivirine, The metabolism of Pindolol can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Pindolol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Pindolol is combined with Ezogabine.]
[B01AF01, rivaroxaban, Pindolol may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, Pindolol may decrease the bronchodilatory activities of Indacaterol.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Pindolol.]
[N06AX09, viloxazine, The metabolism of Pindolol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Pindolol can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Pindolol may increase the hypotensive activities of Vincamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[B01AA03, warfarin, Pindolol may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Pindolol can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Pindolol.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, Pindolol may increase the orthostatic hypotensive activities of Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Pindolol is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Pindolol can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[M05BA05, tiludronic acid, Pindolol may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Pindolol may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Pindolol.]
[A02BC04, rabeprazole, Pindolol may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Pindolol is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Pindolol may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Pindolol.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Pindolol.]
[G04BD07, tolterodine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Pindolol may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Atenolol may increase the hypotensive activities of Pindolol.]
[L01FA01, rituximab, Pindolol may increase the hypotensive activities of Rituximab.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Pindolol is combined with Atracurium.]
[S01FA01, atropine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Pindolol may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Pindolol may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[L04AX01, azathioprine, Pindolol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[G04BE10, avanafil, Pindolol may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Pindolol.]
[A08AA11, lorcaserin, The metabolism of Pindolol can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Pindolol can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Pindolol can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, Pindolol may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Pindolol.]
[L01EX05, regorafenib, Regorafenib may increase the bradycardic activities of Pindolol.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Pindolol.]
[C01AA01, acetyldigitoxin, Pindolol may increase the bradycardic activities of Acetyldigitoxin.]
[D02BA02, octinoxate, Pindolol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Pindolol.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Pindolol.]
[C08CA13, lercanidipine, The risk or severity of bradycardia can be increased when Lercanidipine is combined with Pindolol.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Pindolol is combined with Mosapride.]
[N06DA02, donepezil, Donepezil may increase the bradycardic activities of Pindolol.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[L04AA29, tofacitinib, Pindolol may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Pindolol.]
[R06AC06, thonzylamine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Pindolol can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Pindolol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Pindolol is combined with Diethyl ether.]
[H01CB05, pasireotide, Pindolol may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Pindolol.]
[V08CA11, gadofosveset, Pindolol may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Pindolol.]
[A16AX08, teduglutide, Pindolol may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, The risk or severity of bradycardia can be increased when Bencyclane is combined with Pindolol.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Pindolol.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Pindolol can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Pindolol can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pindolol is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Pindolol can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Pindolol.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Pindolol is combined with Benperidol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Pindolol.]
[A06AX06, tegaserod, The metabolism of Pindolol can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Pindolol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Pindolol.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Pindolol is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Pindolol.]
[L03AA12, ancestim, Pindolol may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the antihypertensive activities of Pindolol.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Pindolol.]
[L04AA18, everolimus, The metabolism of Pindolol can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Pindolol.]
[L01EE01, trametinib, Pindolol may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Pindolol is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Pindolol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Pindolol is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of bradycardia can be increased when Bepridil is combined with Pindolol.]
[C02KX05, riociguat, Pindolol may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Pindolol.]
[C02KX04, macitentan, Pindolol may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Pindolol.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Pindolol is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Pindolol is combined with Eslicarbazepine.]
[J05AP08, sofosbuvir, Pindolol may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Pindolol is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Pindolol.]
[C01CA27, droxidopa, Pindolol may decrease the bronchodilatory activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Pindolol can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Pindolol is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Pindolol can be increased when combined with Apremilast.]
[L02BG02, formestane, Pindolol may decrease the excretion rate of Formestane which could result in a higher serum level.]
[A16AA06, betaine, Betaine may increase the bradycardic activities of Pindolol.]
[S01ED02, betaxolol, Betaxolol may increase the hypotensive activities of Pindolol.]
[V03AB34, fomepizole, Pindolol may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Pindolol.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Pindolol.]
[L04AC11, siltuximab, The metabolism of Pindolol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Pindolol may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Pindolol is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Pindolol is combined with Alfaxalone.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Pindolol.]
[R03AC19, olodaterol, Pindolol may decrease the bronchodilatory activities of Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[S01EE02, unoprostone, Pindolol may increase the hypotensive activities of Unoprostone.]
[D11AA01, glycopyrronium, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N05CM19, suvorexant, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Pindolol can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Pindolol can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N05AA04, acepromazine, The serum concentration of Pindolol can be increased when it is combined with Acepromazine.]
[V04CX03, methacholine, Pindolol may increase the bronchoconstrictory activities of Methacholine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Pindolol.]
[N04AA02, biperiden, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Pindolol.]
[S03AA06, gentamicin, Pindolol may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Pindolol.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Pindolol is combined with Dicoumarol.]
[B01AF03, edoxaban, Pindolol may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Pindolol may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Pindolol can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Pindolol can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[A03AA09, difemerine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Pindolol is combined with Tioclomarol.]
[C01EB17, ivabradine, Pindolol may increase the bradycardic activities of Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Pindolol can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Pindolol is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Pindolol may increase the orthostatic hypotensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Pindolol can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Pindolol is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Pindolol is combined with Cariprazine.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Pindolol.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Pindolol.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Pindolol.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Pindolol.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Pindolol.]
[N05AB07, acetophenazine, The serum concentration of Pindolol can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Pindolol can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Pindolol may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Pindolol.]
[J02AC05, isavuconazole, The metabolism of Pindolol can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pindolol.]
[L01XG03, ixazomib, Pindolol may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Pindolol may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Pindolol.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Pindolol.]
[M04AB05, lesinurad, Pindolol may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Pindolol is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Pindolol.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Pindolol is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Pindolol is combined with Bromazepam.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Pindolol.]
[A02AD05, aluminum magnesium silicate, Pindolol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Pindolol is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Pindolol.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Pindolol is combined with Amineptine.]
[C08CA01, amlodipine, The risk or severity of bradycardia can be increased when Amlodipine is combined with Pindolol.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Pindolol is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Pindolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Pindolol.]
[C07AA19, bupranolol, Pindolol may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Pindolol.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Pindolol is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Pindolol may increase the bradycardic activities of Rivastigmine.]
[M02AA03, clofezone, Pindolol may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Pindolol.]
[S01GX07, azelastine, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Pindolol can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Pindolol.]
[R03CC12, bambuterol, Pindolol may decrease the bronchodilatory activities of Bambuterol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Pindolol is combined with Bamifylline.]
[A06AH05, naldemedine, Pindolol may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Pindolol may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Pindolol can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Pindolol is combined with Beclamide.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Pindolol is combined with Caffeine.]
[C09AA07, benazepril, Benazepril may increase the hypotensive activities of Pindolol.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Pindolol.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Pindolol.]
[A12AA04, calcium carbonate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium carbonate.]
[P01CA02, benznidazole, Pindolol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[G04BA03, calcium chloride, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Pindolol.]
[J05AF06, abacavir, Pindolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Pindolol can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Pindolol can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, Pindolol may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
