[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ethinylestradiol.]
[J01CA09, azlocillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Ethinylestradiol.]
[L01FX02, gemtuzumab ozogamicin, Ethinylestradiol may increase the thrombogenic activities of Gemtuzumab ozogamicin.]
[L01FD02, pertuzumab, Ethinylestradiol may increase the thrombogenic activities of Pertuzumab.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Ethinylestradiol.]
[V03AX03, cobicistat, The serum concentration of Ethinylestradiol can be decreased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Ethinylestradiol can be decreased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Ethinylestradiol can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Ethinylestradiol can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Ethinylestradiol can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Defibrotide.]
[H02AA01, aldosterone, The serum concentration of Aldosterone can be increased when it is combined with Ethinylestradiol.]
[L01EX05, regorafenib, The metabolism of Ethinylestradiol can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Ethinylestradiol can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Ethinylestradiol can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Ethinylestradiol.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Ethinylestradiol.]
[C08CA13, lercanidipine, The metabolism of Ethinylestradiol can be decreased when combined with Lercanidipine.]
[N06DA02, donepezil, The metabolism of Ethinylestradiol can be decreased when combined with Donepezil.]
[N03AX22, perampanel, The metabolism of Ethinylestradiol can be increased when combined with Perampanel.]
[N02CC03, zolmitriptan, The metabolism of Ethinylestradiol can be decreased when combined with Zolmitriptan.]
[L01EX07, cabozantinib, The metabolism of Ethinylestradiol can be decreased when combined with Cabozantinib.]
[G04BE03, sildenafil, The metabolism of Ethinylestradiol can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Ethinylestradiol.]
[B01AF02, apixaban, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Apixaban.]
[J06BC02, raxibacumab, Ethinylestradiol may increase the thrombogenic activities of Raxibacumab.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Ethinylestradiol.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Ethinylestradiol can be increased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Ethinylestradiol.]
[G03XC05, ospemifene, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Ospemifene.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Ethinylestradiol.]
[J01MA15, gemifloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, Ethinylestradiol may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The metabolism of Ethinylestradiol can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Ethinylestradiol can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Ethinylestradiol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Ethinylestradiol.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Ethinylestradiol.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Ethinylestradiol.]
[M01AH01, celecoxib, The risk or severity of liver damage can be increased when Celecoxib is combined with Ethinylestradiol.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Ethinylestradiol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC02, dabrafenib, The serum concentration of Ethinylestradiol can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Ethinylestradiol can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Ethinylestradiol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Ethinylestradiol.]
[J05AJ03, dolutegravir, The metabolism of Dolutegravir can be increased when combined with Ethinylestradiol.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Ethinylestradiol.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Ethinylestradiol.]
[A05AA03, cholic acid, Ethinylestradiol may decrease the excretion rate of Cholic Acid which could result in a higher serum level.]
[G03XC02, bazedoxifene, The metabolism of Bazedoxifene can be increased when combined with Ethinylestradiol.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Ethinylestradiol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Ethinylestradiol.]
[N03AF04, eslicarbazepine, The metabolism of Ethinylestradiol can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Ethinylestradiol can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The metabolism of Ethinylestradiol can be increased when combined with Vigabatrin.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Ethinylestradiol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Ethinylestradiol.]
[A16AA07, metreleptin, The metabolism of Ethinylestradiol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Ethinylestradiol can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Ethinylestradiol can be increased when combined with Formestane.]
[S03BA03, betamethasone, The serum concentration of Betamethasone can be increased when it is combined with Ethinylestradiol.]
[S01ED02, betaxolol, The metabolism of Ethinylestradiol can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Argatroban.]
[C10AB02, bezafibrate, The metabolism of Ethinylestradiol can be decreased when combined with Bezafibrate.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Ethinylestradiol.]
[L04AC11, siltuximab, The metabolism of Ethinylestradiol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ethinylestradiol can be decreased when combined with Ceritinib.]
[L01FG02, ramucirumab, Ethinylestradiol may increase the thrombogenic activities of Ramucirumab.]
[B01AC26, vorapaxar, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Vorapaxar.]
[L04AA33, vedolizumab, Ethinylestradiol may increase the thrombogenic activities of Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Acenocoumarol.]
[L01XH04, belinostat, The metabolism of Belinostat can be increased when combined with Ethinylestradiol.]
[L01EM01, idelalisib, The metabolism of Ethinylestradiol can be decreased when combined with Idelalisib.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Ethinylestradiol.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Ethinylestradiol.]
[L01FF02, pembrolizumab, Ethinylestradiol may increase the thrombogenic activities of Pembrolizumab.]
[J01XA05, oritavancin, The metabolism of Ethinylestradiol can be increased when combined with Oritavancin.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Ethinylestradiol.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Ethinylestradiol.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Ethinylestradiol.]
[L01FX07, blinatumomab, Ethinylestradiol may increase the thrombogenic activities of Blinatumomab.]
[J05AP09, dasabuvir, The risk or severity of liver enzyme elevations can be increased when Ethinylestradiol is combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Ethinylestradiol.]
[L01FF01, nivolumab, Ethinylestradiol may increase the thrombogenic activities of Nivolumab.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Ethinylestradiol can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Ethinylestradiol can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of liver damage can be increased when Ethinylestradiol is combined with Lenvatinib.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Ethinylestradiol.]
[N02BE01, acetaminophen, The serum concentration of Acetaminophen can be decreased when it is combined with Ethinylestradiol.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Tioclomarol.]
[J05AP06, asunaprevir, The serum concentration of Ethinylestradiol can be decreased when it is combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Cangrelor.]
[C10AX14, alirocumab, Ethinylestradiol may increase the thrombogenic activities of Alirocumab.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Flibanserin.]
[C10AX13, evolocumab, Ethinylestradiol may increase the thrombogenic activities of Evolocumab.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Ethinylestradiol.]
[M02AA25, aceclofenac, Aceclofenac may increase the thrombogenic activities of Ethinylestradiol.]
[S01EC01, acetazolamide, The metabolism of Ethinylestradiol can be increased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Ethinylestradiol.]
[D05BB02, acitretin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Acitretin.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Ethinylestradiol.]
[V03AB37, idarucizumab, Ethinylestradiol may increase the thrombogenic activities of Idarucizumab.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Ethinylestradiol.]
[A16AB13, asfotase alfa, Ethinylestradiol may increase the thrombogenic activities of Asfotase alfa.]
[R03DX09, mepolizumab, Ethinylestradiol may increase the thrombogenic activities of Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Ethinylestradiol can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Ethinylestradiol can be decreased when it is combined with Osimertinib.]
[L01FC01, daratumumab, Ethinylestradiol may increase the thrombogenic activities of Daratumumab.]
[L01FE03, necitumumab, Ethinylestradiol may increase the thrombogenic activities of Necitumumab.]
[L01FX08, elotuzumab, Ethinylestradiol may increase the thrombogenic activities of Elotuzumab.]
[J06BB02, tetanus immune globulin, Ethinylestradiol may increase the thrombogenic activities of Tetanus immune globulin, human.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Ethinylestradiol.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Ethinylestradiol.]
[M04AB05, lesinurad, The metabolism of Ethinylestradiol can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Ethinylestradiol.]
[N05CA05, aprobarbital, The metabolism of Ethinylestradiol can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, The metabolism of Ethinylestradiol can be increased when combined with Brivaracetam.]
[L04AC13, ixekizumab, Ethinylestradiol may increase the thrombogenic activities of Ixekizumab.]
[R03DX08, reslizumab, Ethinylestradiol may increase the thrombogenic activities of Reslizumab.]
[J06BC04, obiltoxaximab, Ethinylestradiol may increase the thrombogenic activities of Obiltoxaximab.]
[L01XX52, venetoclax, The metabolism of Ethinylestradiol can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Ethinylestradiol.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Ethinylestradiol.]
[N06AA19, amineptin, The serum concentration of Amineptine can be increased when it is combined with Ethinylestradiol.]
[L01FF05, atezolizumab, Ethinylestradiol may increase the thrombogenic activities of Atezolizumab.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Obeticholic acid.]
[N01BB01, bupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Ethinylestradiol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be increased when combined with Ethinylestradiol.]
[N05BE01, buspirone, The metabolism of Ethinylestradiol can be decreased when combined with Buspirone.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Ethinylestradiol.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Ethinylestradiol.]
[J06BC03, bezlotoxumab, Ethinylestradiol may increase the thrombogenic activities of Bezlotoxumab.]
[L01FX10, olaratumab, Ethinylestradiol may increase the thrombogenic activities of Olaratumab.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Ethinylestradiol.]
[J01CE04, azidocillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Ethinylestradiol can be decreased when combined with Rucaparib.]
[J01CA06, bacampicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Bacampicillin.]
[L04AC12, brodalumab, Ethinylestradiol may increase the thrombogenic activities of Brodalumab.]
[L01EF02, ribociclib, The metabolism of Ethinylestradiol can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Ethinylestradiol.]
[L01FF04, avelumab, Ethinylestradiol may increase the thrombogenic activities of Avelumab.]
[L04AA36, ocrelizumab, Ethinylestradiol may increase the thrombogenic activities of Ocrelizumab.]
[D11AH05, dupilumab, Ethinylestradiol may increase the thrombogenic activities of Dupilumab.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Ethinylestradiol.]
[N02BF02, pregabalin, The metabolism of Ethinylestradiol can be increased when combined with Pregabalin.]
[N03AX30, beclamide, The metabolism of Ethinylestradiol can be increased when combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Ethinylestradiol can be decreased when combined with Caffeine.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Ethinylestradiol.]
[D05AX03, calcitriol, The metabolism of Ethinylestradiol can be increased when combined with Calcitriol.]
[L04AC01, daclizumab, Ethinylestradiol may increase the thrombogenic activities of Daclizumab.]
[J05AF06, abacavir, The metabolism of Abacavir can be increased when combined with Ethinylestradiol.]
[J05AE09, tipranavir, The metabolism of Ethinylestradiol can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Ethinylestradiol.]
[L04AB02, infliximab, The metabolism of Ethinylestradiol can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Ethinylestradiol can be decreased when combined with Midostaurin.]
[L01FF03, durvalumab, Ethinylestradiol may increase the thrombogenic activities of Durvalumab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Ethinylestradiol.]
[L04AC14, sarilumab, The metabolism of Ethinylestradiol can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Delafloxacin can be increased when combined with Ethinylestradiol.]
[B01AF04, betrixaban, The risk or severity of adverse effects can be increased when Ethinylestradiol is combined with Betrixaban.]
[L04AC16, guselkumab, Ethinylestradiol may increase the thrombogenic activities of Guselkumab.]
[L01BC06, capecitabine, The metabolism of Ethinylestradiol can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Ethinylestradiol.]
[J06BD01, palivizumab, Ethinylestradiol may increase the thrombogenic activities of Palivizumab.]
[L01FB01, inotuzumab ozogamicin, Ethinylestradiol may increase the thrombogenic activities of Inotuzumab ozogamicin.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Ethinylestradiol.]
[J05AG03, efavirenz, The metabolism of Ethinylestradiol can be decreased when combined with Efavirenz.]
[L04AC02, basiliximab, Ethinylestradiol may increase the thrombogenic activities of Basiliximab.]
[R03BA02, budesonide, The serum concentration of Budesonide can be increased when it is combined with Ethinylestradiol.]
[L01EL02, acalabrutinib, The metabolism of Ethinylestradiol can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Letermovir can be increased when combined with Ethinylestradiol.]
[R03DX10, benralizumab, Ethinylestradiol may increase the thrombogenic activities of Benralizumab.]
[N06AA15, butriptyline, The serum concentration of Butriptyline can be increased when it is combined with Ethinylestradiol.]
[B02BX06, emicizumab, Ethinylestradiol may increase the thrombogenic activities of Emicizumab.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Ethinylestradiol.]
[N01BX04, capsaicin, The metabolism of Ethinylestradiol can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Ethinylestradiol.]
[L02BB05, apalutamide, The metabolism of Ethinylestradiol can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Ethinylestradiol can be decreased when it is combined with Carbamazepine.]
[J01CA03, carbenicillin, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Carbenicillin.]
[L03AB06, interferon alfa-n1, The metabolism of Ethinylestradiol can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be increased when combined with Ethinylestradiol.]
[J05AX23, ibalizumab, Ethinylestradiol may increase the thrombogenic activities of Ibalizumab.]
[M05BX05, burosumab, Ethinylestradiol may increase the thrombogenic activities of Burosumab.]
[B02BX09, fostamatinib, The metabolism of Ethinylestradiol can be decreased when combined with Fostamatinib.]
