[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nilutamide.]
[R02AA14, oxyquinoline, Nilutamide may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Nilutamide.]
[S01AA28, vancomycin, Nilutamide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Nilutamide may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Nilutamide may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Nilutamide.]
[N06AX09, viloxazine, Nilutamide may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Nilutamide.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Nilutamide.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M05BA05, tiludronic acid, Nilutamide may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Nilutamide may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[R03DC01, zafirlukast, The metabolism of Nilutamide can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Nilutamide.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Nilutamide may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Nilutamide.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Nilutamide.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Nilutamide.]
[J01DH04, doripenem, Nilutamide may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The metabolism of Nilutamide can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Nilutamide may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Nilutamide.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Nilutamide.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Nilutamide.]
[L01BC07, azacitidine, Nilutamide may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Nilutamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Nilutamide.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A08AA11, lorcaserin, Nilutamide may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Nilutamide may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, The serum concentration of Nilutamide can be decreased when it is combined with Enzalutamide.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Nilutamide.]
[D02BA02, octinoxate, Nilutamide may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, Nilutamide may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Nilutamide.]
[V09IX04, fluorodeoxyglucose F18, Nilutamide may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Nilutamide.]
[G04BE03, sildenafil, The metabolism of Nilutamide can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Nilutamide may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Nilutamide.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Nilutamide.]
[A16AX08, teduglutide, Nilutamide may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Nilutamide may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Nilutamide may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Nilutamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Nilutamide.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M04AB03, benzbromarone, The metabolism of Nilutamide can be decreased when combined with Benzbromarone.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Benzocaine.]
[L03AA12, ancestim, Nilutamide may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Nilutamide.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Nilutamide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01EE01, trametinib, Nilutamide may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Nilutamide may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Nilutamide.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Nilutamide.]
[A10BJ03, lixisenatide, Nilutamide may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Nilutamide may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Nilutamide.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Nilutamide can be decreased when combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Nilutamide can be increased when it is combined with Luliconazole.]
[J05AP08, sofosbuvir, Nilutamide may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Nilutamide may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Nilutamide may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, The metabolism of Nilutamide can be increased when combined with Apremilast.]
[L02BG02, formestane, Nilutamide may decrease the excretion rate of Formestane which could result in a higher serum level.]
[V03AB34, fomepizole, Nilutamide may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Nilutamide can be increased when combined with Siltuximab.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Nilutamide.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Nilutamide.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01XA05, oritavancin, The metabolism of Nilutamide can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Nilutamide.]
[S03AA06, gentamicin, Nilutamide may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Nilutamide.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Nilutamide.]
[B01AF03, edoxaban, Nilutamide may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L04AC10, secukinumab, The metabolism of Nilutamide can be increased when combined with Secukinumab.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Nilutamide.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC03, lansoprazole, The metabolism of Nilutamide can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Nilutamide may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Nilutamide.]
[J02AC05, isavuconazole, The metabolism of Nilutamide can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Nilutamide.]
[L01XG03, ixazomib, Nilutamide may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Nilutamide.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Nilutamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Nilutamide.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Nilutamide.]
[N05BA08, bromazepam, Nilutamide may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Nilutamide may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Nilutamide.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Nilutamide may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Nilutamide.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Nilutamide.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Nilutamide.]
[L01XK03, rucaparib, The metabolism of Nilutamide can be decreased when combined with Rucaparib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A06AH05, naldemedine, Nilutamide may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Nilutamide may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Nilutamide may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Nilutamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Nilutamide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Nilutamide may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Nilutamide can be increased when combined with Infliximab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Nilutamide.]
[J01MA23, delafloxacin, Nilutamide may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Nilutamide.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Nilutamide.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Nilutamide can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Nilutamide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J05AX18, letermovir, The metabolism of Nilutamide can be increased when combined with Letermovir.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Nilutamide may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The serum concentration of Nilutamide can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Nilutamide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Nilutamide.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Nilutamide.]
[L04AA37, baricitinib, Nilutamide may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01GB14, plazomicin, Nilutamide may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Nilutamide.]
[A16AX14, migalastat, Nilutamide may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Nilutamide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Nilutamide can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Nilutamide.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Nilutamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Nilutamide may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Nilutamide.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Nilutamide.]
[L04AA39, emapalumab, The metabolism of Nilutamide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Nilutamide.]
[A06AX05, prucalopride, Nilutamide may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Nilutamide.]
[P02BX04, triclabendazole, The metabolism of Nilutamide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Nilutamide.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Nilutamide.]
[N06BA14, solriamfetol, Nilutamide may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Nilutamide.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Nilutamide.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Nilutamide.]
[L04AB01, etanercept, The metabolism of Nilutamide can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Nilutamide can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Nilutamide.]
[N07XX11, pitolisant, Nilutamide may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Nilutamide.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Nilutamide.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Nilutamide.]
[N03AX25, cenobamate, The serum concentration of Nilutamide can be increased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M09AX08, golodirsen, Nilutamide may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Nilutamide may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Nilutamide.]
[H02CA02, osilodrostat, The metabolism of Nilutamide can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Nilutamide can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Nilutamide.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Nilutamide.]
[R02AA03, dichlorobenzyl alcohol, Nilutamide may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Nilutamide may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Nilutamide.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Nilutamide.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Nilutamide.]
[C08CA16, clevidipine, The metabolism of Nilutamide can be decreased when combined with Clevidipine.]
[S03AA08, chloramphenicol, The metabolism of Nilutamide can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Nilutamide.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[V08CA05, mangafodipir, Nilutamide may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Nilutamide is combined with Dyclonine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Nilutamide.]
[L04AC19, satralizumab, The serum concentration of Nilutamide can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Nilutamide.]
