[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Mitomycin.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Mitomycin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Capsaicin.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Mitomycin.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Baricitinib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Chloroprocaine.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Mitomycin.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Mitomycin.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Mitomycin.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Mitomycin is combined with Siponimod.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Mitomycin is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Mitomycin.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Mitomycin is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Risankizumab.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Upadacitinib.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Mitomycin.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Mitomycin is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Mitomycin.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Mitomycin is combined with Diroximel fumarate.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Teprotumumab.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ozanimod.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Mitomycin is combined with Bexarotene.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Mitomycin.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Mitomycin is combined with Chloramphenicol.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluprednidene.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Mitomycin.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Mitomycin is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Stepronin.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Satralizumab.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Mitomycin.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fludarabine.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Voclosporin.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Mitomycin.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluocinolone acetonide.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Mitomycin.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Mitomycin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Cisplatin.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Mitomycin is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Anifrolumab.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ropeginterferon alfa-2b.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Mitomycin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Levobupivacaine.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Deucravacitinib.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Mitomycin is combined with Clozapine.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Cocaine.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Bimekizumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Nelarabine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Mitomycin.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Mitomycin.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Mitomycin.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Imatinib.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Mitomycin.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Meprednisone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Mitomycin.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Mitomycin.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Mitomycin may increase the immunosuppressive activities of Cyclosporine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Cytarabine.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Dactinomycin.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Daunorubicin.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Mitomycin.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Mitomycin.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Mitomycin.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Desoximetasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Oxaliplatin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Dexamethasone.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Mitomycin.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Clopidogrel is combined with Mitomycin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Cinchocaine.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ixabepilone.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Pirarubicin.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Difluocortolone.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Mitomycin.]
[C01AA05, digoxin, Digoxin may decrease the cardiotoxic activities of Mitomycin.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Mitomycin.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Lenalidomide.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Pramocaine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Mitomycin.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Mitomycin.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Mitomycin is combined with Sirolimus.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Natalizumab.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Mitomycin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Mitomycin.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Doxorubicin.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Temozolomide.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Mitomycin.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Mitomycin is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Mitomycin.]
[L01CA04, vinorelbine, The risk or severity of bronchospasm, shortness of breath, and dyspnea can be increased when Vinorelbine is combined with Mitomycin.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Epirubicin.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Mitomycin.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Mitomycin.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Estramustine.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluticasone.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Etoposide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Mitomycin.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Mitomycin.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Mitomycin.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Mitomycin is combined with Dexrazoxane.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Mitomycin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Mitomycin.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fludrocortisone.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluocortolone.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluorometholone.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Mitomycin is combined with Fluorouracil.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Mitomycin.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Dasatinib.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Mitomycin is combined with Sorafenib.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Mitomycin.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Mitomycin is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Mitomycin.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Mitomycin.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Altretamine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Mitomycin.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Mitomycin.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Mitomycin is combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Mitomycin.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Mitomycin is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Mitomycin is combined with Hydroxyurea.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Mitomycin.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ifosfamide.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Mitomycin is combined with Paclitaxel.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Mitomycin is combined with Paclitaxel poliglumex.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Mitomycin is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Mitomycin is combined with Topotecan.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Mitomycin.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mitomycin.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Mitomycin is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Mitomycin is combined with Articaine.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Mitomycin.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Mitomycin.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Mitomycin.]
