[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Levetiracetam.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Levetiracetam.]
[R06AX09, azatadine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[R03DA08, bamifylline, Levetiracetam may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, The therapeutic efficacy of Levetiracetam can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Beclamide.]
[N06BC01, caffeine, Levetiracetam may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Oxybuprocaine.]
[J01XX08, linezolid, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Linezolid.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Safinamide.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Levetiracetam.]
[N04AA11, bornaprine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Brotizolam.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Vinylbital.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Carbamazepine.]
[A03AA03, camylofine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Levetiracetam.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Levetiracetam.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Levetiracetam.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, Levetiracetam may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Levetiracetam.]
[R03BB08, revefenacin, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Levetiracetam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Cloxazolam.]
[J01DD01, cefotaxime, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Levetiracetam.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Yohimbine.]
[J01DB03, cephalothin, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Levetiracetam.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Levetiracetam.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Levetiracetam.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Levetiracetam.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lumateperone.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Levetiracetam.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Dichloralphenazone.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Levetiracetam.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Levetiracetam.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Chlorambucil.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Levetiracetam.]
[A03AA08, dihexyverine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Levetiracetam.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Dyclonine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Levetiracetam is combined with Remimazolam.]
[N07XX04, sodium oxybate, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Levetiracetam is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Levetiracetam.]
[N05AA01, chlorpromazine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Levetiracetam.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Levetiracetam.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Levetiracetam.]
[N06BA10, fenethylline, Levetiracetam may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Trichloroethylene.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Levetiracetam.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Citalopram.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Levetiracetam.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Levetiracetam is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Levetiracetam.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Levetiracetam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Levetiracetam.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Levetiracetam.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Levetiracetam.]
[N05AH02, clozapine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Levetiracetam.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Cocaine.]
[C02KB01, metyrosine, Levetiracetam may increase the sedative activities of Metyrosine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Levetiracetam.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Levetiracetam.]
[A03AB10, hexocyclium, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Levetiracetam.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ifenprodil.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Levetiracetam.]
[J05AB14, valganciclovir, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Valganciclovir.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Levetiracetam.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ketazolam.]
[N03AX09, lamotrigine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Levetiracetam can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Levetiracetam.]
[A03AA04, mebeverine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Medifoxamine.]
[R06AD04, methdilazine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Levetiracetam.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Melperone.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Levetiracetam.]
[S01XA18, cyclosporine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Levetiracetam.]
[R06AX02, cyproheptadine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Nordazepam.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Levetiracetam.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Levetiracetam.]
[C01CA23, theodrenaline, Levetiracetam may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Levetiracetam.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Escitalopram.]
[G04BD08, solifenacin, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Levetiracetam.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Oxiracetam.]
[N04AA08, dexetimide, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Levetiracetam.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Levetiracetam.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Diamorphine.]
[C04AD01, pentifylline, Levetiracetam may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Levetiracetam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Levetiracetam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Levetiracetam.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Cinchocaine.]
[A03AA07, dicyclomine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Pipamperone.]
[A03AB14, pipenzolate, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Levetiracetam.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Levetiracetam.]
[A03AB11, poldine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Levetiracetam.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Levetiracetam.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Pramocaine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Levetiracetam.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Pridinol.]
[R06AB03, dimethindene, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Levetiracetam.]
[N06BC02, propentofylline, Levetiracetam may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Proparacaine.]
[R03DA03, proxyphylline, Levetiracetam may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Levetiracetam.]
