[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Oxaliplatin.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Bendamustine.]
[L04AA29, tofacitinib, Oxaliplatin may increase the immunosuppressive activities of Tofacitinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Oxaliplatin.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Oxaliplatin.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Oxaliplatin.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Oxaliplatin.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pomalidomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Oxaliplatin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Benzocaine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Oxaliplatin.]
[L01EC02, dabrafenib, The serum concentration of Oxaliplatin can be increased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Benzyl alcohol.]
[L01EB03, afatinib, Afatinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[J05AJ03, dolutegravir, The serum concentration of Oxaliplatin can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Bepridil.]
[L03AA14, lipegfilgrastim, Oxaliplatin may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ibrutinib.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Oxaliplatin.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Oxaliplatin.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Oxaliplatin.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Vedolizumab.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Oxaliplatin.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Oxaliplatin.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Idelalisib.]
[N07XX08, tafamidis, The serum concentration of Oxaliplatin can be increased when it is combined with Tafamidis.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Oxaliplatin.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Peginterferon beta-1a.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Eliglustat.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Blinatumomab.]
[J05AP09, dasabuvir, Dasabuvir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Oxaliplatin.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Oxaliplatin.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Oxaliplatin.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Oxaliplatin can be increased when it is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Panobinostat.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Oxaliplatin.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Oxaliplatin.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Oxaliplatin.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Oxaliplatin.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[A02BC03, lansoprazole, Lansoprazole may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Mepolizumab.]
[J02AC05, isavuconazole, The serum concentration of Oxaliplatin can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, Osimertinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Oxaliplatin.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ixekizumab.]
[L01XX52, venetoclax, Venetoclax may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Oxaliplatin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Oxaliplatin.]
[N07BC01, buprenorphine, Buprenorphine may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Oxaliplatin.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Oxaliplatin.]
[L01XK03, rucaparib, Rucaparib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Oxaliplatin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Brodalumab.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ribociclib.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Oxaliplatin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Oxaliplatin.]
[N06BC01, caffeine, Caffeine may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Oxaliplatin.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Linezolid.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Oxaliplatin.]
[L01ED04, brigatinib, Brigatinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Oxaliplatin.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Oxaliplatin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Capecitabine.]
[L01XX59, enasidenib, The serum concentration of Oxaliplatin can be increased when it is combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Vorinostat.]
[L01EF03, abemaciclib, Abemaciclib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Efavirenz.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Oxaliplatin.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Oxaliplatin.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Oxaliplatin.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Oxaliplatin.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Oxaliplatin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Capsaicin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Oxaliplatin.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Oxaliplatin can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Carbamazepine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Oxaliplatin.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[N03AX24, cannabidiol, Cannabidiol may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Baricitinib.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Encorafenib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Oxaliplatin.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Ivosidenib.]
[P01BA07, tafenoquine, The serum concentration of Oxaliplatin can be increased when it is combined with Tafenoquine.]
[N03AX17, stiripentol, The excretion of Oxaliplatin can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, Dacomitinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Oxaliplatin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Oxaliplatin is combined with Chloroprocaine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Oxaliplatin.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Oxaliplatin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Amifampridine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ravulizumab.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Oxaliplatin.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Oxaliplatin.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Oxaliplatin.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Oxaliplatin.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Clarithromycin.]
[L01EN01, erdafitinib, The serum concentration of Oxaliplatin can be increased when it is combined with Erdafitinib.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Oxaliplatin.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Risankizumab.]
[L02BB06, darolutamide, Darolutamide may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Oxaliplatin.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Entrectinib.]
[N07XX11, pitolisant, Oxaliplatin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Oxaliplatin.]
[N04CX01, istradefylline, Istradefylline may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Oxaliplatin.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Oxaliplatin.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, The serum concentration of Oxaliplatin can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Diroximel fumarate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Oxaliplatin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Dexchlorpheniramine.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Teprotumumab.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Oxaliplatin.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ozanimod.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Oxaliplatin.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Oxaliplatin.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Oxaliplatin.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Oxaliplatin.]
[L01EH03, tucatinib, The serum concentration of Oxaliplatin can be increased when it is combined with Tucatinib.]
[L01EX17, capmatinib, The serum concentration of Oxaliplatin can be increased when it is combined with Capmatinib.]
