[P02BB01, trichlorfon, The therapeutic efficacy of Amantadine can be decreased when used in combination with Metrifonate.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Amantadine.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A11DA01, thiamine, The serum concentration of Amantadine can be increased when it is combined with Thiamine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01AC01, thiotepa, The therapeutic efficacy of Amantadine can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Amantadine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The therapeutic efficacy of Amantadine can be decreased when used in combination with Thiothixene.]
[B02AB01, aprotinin, The therapeutic efficacy of Amantadine can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, Amantadine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Amantadine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Amantadine is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Amantadine.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01AA12, tobramycin, Amantadine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[V04CA01, tolbutamide, Amantadine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Amantadine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Amantadine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Amantadine is combined with Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Amantadine can be decreased when used in combination with Demecarium.]
[A16AX12, trientine, Amantadine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Amantadine.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Amantadine.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Amantadine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Amantadine is combined with Trimethaphan.]
[J01EA01, trimethoprim, The serum concentration of Amantadine can be increased when it is combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Amantadine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Amantadine.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Amantadine is combined with Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Vilazodone.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tropicamide is combined with Amantadine.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome can be increased when Tryptophan is combined with Amantadine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Amantadine is combined with Tubocurarine.]
[R03DX07, roflumilast, Amantadine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Amantadine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Amantadine can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Vandetanib.]
[R02AA14, oxyquinoline, Amantadine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Linagliptin can be increased when it is combined with Amantadine.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Rilpivirine.]
[S01AA28, vancomycin, Amantadine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ezogabine.]
[B01AF01, rivaroxaban, Amantadine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Indacaterol.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Amantadine.]
[N06AX09, viloxazine, Amantadine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[B01AA03, warfarin, Amantadine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Amantadine can be decreased when used in combination with Zuclopenthixol.]
[J05AE02, indinavir, The risk or severity of adverse effects can be increased when Indinavir is combined with Amantadine.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Amantadine.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Amantadine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Amantadine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Amantadine can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Amantadine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Amantadine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Amantadine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Amantadine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Tolterodine.]
[J01DH04, doripenem, Amantadine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Amantadine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Amantadine is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Amantadine.]
[M01CB03, auranofin, Amantadine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Amantadine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Amantadine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Amantadine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Amantadine.]
[A08AA11, lorcaserin, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Mirabegron.]
[L02BB04, enzalutamide, Amantadine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Amantadine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Amantadine is combined with Barbital.]
[D02BA02, octinoxate, Amantadine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Amantadine.]
[N04BD02, rasagiline, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Mosapride.]
[N06DA02, donepezil, The therapeutic efficacy of Amantadine can be decreased when used in combination with Donepezil.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Zolmitriptan is combined with Amantadine.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Amantadine is combined with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Amantadine.]
[V09IX04, fluorodeoxyglucose F18, Amantadine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Pasireotide.]
[V08CA11, gadofosveset, Amantadine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Amantadine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Bencyclane.]
[A10BH04, alogliptin, Amantadine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Amantadine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Amantadine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Moxifloxacin.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Tegaserod.]
[L03AA12, ancestim, Amantadine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N02CC02, naratriptan, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Naratriptan.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Amantadine.]
[L01EC02, dabrafenib, The serum concentration of Amantadine can be increased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01EE01, trametinib, Amantadine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Amantadine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The serum concentration of Amantadine can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Bepridil.]
[A10BJ03, lixisenatide, Amantadine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Amantadine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Amantadine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Amantadine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Amantadine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Amantadine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Amantadine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[A16AA06, betaine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Betaine.]
[V03AB34, fomepizole, Amantadine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Amantadine.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[D11AA01, glycopyrronium, Amantadine may increase the anticholinergic activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Eliglustat.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[V04CX03, methacholine, Amantadine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Amantadine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Amantadine is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Amantadine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Amantadine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Amantadine.]
[B01AF03, edoxaban, Amantadine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Amantadine may increase the serotonergic activities of Mirtazapine.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Amantadine.]
[L01EX08, lenvatinib, The serum concentration of Amantadine can be increased when it is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Panobinostat.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Amantadine is combined with Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Amantadine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Amantadine can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Amantadine.]
[N05AX15, cariprazine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Cariprazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Amantadine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The serum concentration of Amantadine can be increased when it is combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Amantadine.]
[L01XG03, ixazomib, Amantadine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Amantadine.]
[M04AB05, lesinurad, Amantadine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Amantadine is combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N03AX23, brivaracetam, Amantadine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Amantadine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Amantadine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Amantadine.]
[N06AA19, amineptin, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Amineptine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Amantadine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Bupranolol.]
[N07BC01, buprenorphine, The risk or severity of adverse effects can be increased when Amantadine is combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Buserelin.]
[N05BE01, buspirone, The risk or severity of serotonin syndrome can be increased when Buspirone is combined with Amantadine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Artemether.]
[M02AA03, clofezone, Amantadine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Amantadine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Amantadine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Azithromycin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Amantadine.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R03CC12, bambuterol, The therapeutic efficacy of Amantadine can be decreased when used in combination with Bambuterol.]
[A06AH05, naldemedine, Amantadine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Amantadine.]
[P01CA02, benznidazole, Amantadine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Amantadine.]
[J05AF06, abacavir, Amantadine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Amantadine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[N04BD03, safinamide, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Safinamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Delafloxacin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Amantadine is combined with Acetylcholine.]
[L01BC06, capecitabine, Amantadine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The serum concentration of Amantadine can be increased when it is combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Vorinostat.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Amantadine.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Amantadine is combined with Bornaprine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Amantadine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Amantadine is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The therapeutic efficacy of Amantadine can be decreased when used in combination with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Amantadine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Amantadine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Amantadine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Amantadine.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Amantadine is combined with Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Carbinoxamine.]
[N03AX24, cannabidiol, The risk or severity of serotonin syndrome can be increased when Amantadine is combined with Cannabidiol.]
[L04AA37, baricitinib, Amantadine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Encorafenib.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01GB14, plazomicin, Amantadine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ivosidenib.]
[P01BA07, tafenoquine, The serum concentration of Amantadine can be increased when it is combined with Tafenoquine.]
[A16AX14, migalastat, Amantadine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Amantadine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EB07, dacomitinib, The risk or severity of adverse effects can be increased when Dacomitinib is combined with Amantadine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Amantadine.]
[D08AE05, chloroxylenol, Amantadine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
