[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Oxcarbazepine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be increased when combined with Oxcarbazepine.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be increased when combined with Oxcarbazepine.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Triazolam.]
[C03AA06, trichlormethiazide, The risk or severity of hyponatremia can be increased when Trichlormethiazide is combined with Oxcarbazepine.]
[A03AB12, mepenzolate, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Oxcarbazepine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Oxcarbazepine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Oxcarbazepine.]
[A03BB01, butylscopolamine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Oxcarbazepine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Oxcarbazepine.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Oxcarbazepine.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be increased when combined with Oxcarbazepine.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be increased when combined with Oxcarbazepine.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be increased when combined with Oxcarbazepine.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Oxcarbazepine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be increased when combined with Oxcarbazepine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Oxcarbazepine.]
[C08DA01, verapamil, The serum concentration of the active metabolites of Oxcarbazepine can be decreased when Oxcarbazepine is used in combination with Verapamil.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Oxcarbazepine.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Oxcarbazepine.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Oxcarbazepine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Oxcarbazepine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Indinavir can be increased when combined with Oxcarbazepine.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Oxcarbazepine.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Oxcarbazepine.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Oxcarbazepine.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Oxcarbazepine.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Oxcarbazepine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Oxcarbazepine.]
[G04BD07, tolterodine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Oxcarbazepine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Atracurium.]
[S01FA01, atropine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Oxcarbazepine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be increased when combined with Oxcarbazepine.]
[J01CA09, azlocillin, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Azlocillin.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Lorcaserin.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be increased when combined with Oxcarbazepine.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Oxcarbazepine.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Oxcarbazepine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Oxcarbazepine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Barbital.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Rasagiline.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be increased when combined with Oxcarbazepine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Donepezil.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Oxcarbazepine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Oxcarbazepine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Oxcarbazepine.]
[R06AC06, thonzylamine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be increased when combined with Oxcarbazepine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Oxcarbazepine.]
[B01AF02, apixaban, The metabolism of Apixaban can be increased when combined with Oxcarbazepine.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Oxcarbazepine.]
[C03AA01, bendroflumethiazide, The risk or severity of hyponatremia can be increased when Bendroflumethiazide is combined with Oxcarbazepine.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Oxcarbazepine.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Benperidol.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Benzocaine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Oxcarbazepine.]
[N04AC01, benztropine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be increased when combined with Oxcarbazepine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Oxcarbazepine.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be decreased when it is combined with Oxcarbazepine.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Oxcarbazepine.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Oxcarbazepine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vigabatrin.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tasimelteon.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Oxcarbazepine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Oxcarbazepine.]
[A03BA03, hyoscyamine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Oxcarbazepine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Oxcarbazepine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Oxcarbazepine.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Acepromazine.]
[N04AA02, biperiden, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Oxcarbazepine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Oxcarbazepine.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Oxcarbazepine.]
[N06AX11, mirtazapine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Oxcarbazepine.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Oxcarbazepine.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be increased when combined with Oxcarbazepine.]
[A03AA09, difemerine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be increased when combined with Oxcarbazepine.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Oxcarbazepine.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Oxcarbazepine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Oxcarbazepine.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be increased when combined with Oxcarbazepine.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Oxcarbazepine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Oxcarbazepine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Oxcarbazepine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Oxcarbazepine.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Oxcarbazepine.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Oxcarbazepine.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be increased when combined with Oxcarbazepine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Oxcarbazepine.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Oxcarbazepine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Amineptine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Oxcarbazepine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Oxcarbazepine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Bupivacaine.]
[N07BC01, buprenorphine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxcarbazepine.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Oxcarbazepine.]
[P01BE02, artemether, The metabolism of Artemether can be increased when combined with Oxcarbazepine.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Oxcarbazepine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Oxcarbazepine.]
[R06AX09, azatadine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Azatadine.]
[S01GX07, azelastine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Oxcarbazepine.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be increased when combined with Oxcarbazepine.]
[R03DA08, bamifylline, Oxcarbazepine may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be increased when combined with Oxcarbazepine.]
[N02BF02, pregabalin, The therapeutic efficacy of Oxcarbazepine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Beclamide.]
[N06BC01, caffeine, Oxcarbazepine may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Oxybuprocaine.]
[J01XX08, linezolid, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Linezolid.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be increased when combined with Oxcarbazepine.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be increased when combined with Oxcarbazepine.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Oxcarbazepine.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Safinamide.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Oxcarbazepine.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Oxcarbazepine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Oxcarbazepine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Oxcarbazepine.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxcarbazepine.]
[N04AA11, bornaprine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Brotizolam.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Oxcarbazepine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Vinylbital.]
[N03AF01, carbamazepine, The serum concentration of the active metabolites of Oxcarbazepine can be reduced when Oxcarbazepine is used in combination with Carbamazepine resulting in a loss in efficacy.]
[A03AA03, camylofine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Oxcarbazepine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Oxcarbazepine.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be increased when combined with Oxcarbazepine.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be increased when combined with Oxcarbazepine.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Oxcarbazepine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Oxcarbazepine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Oxcarbazepine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, Oxcarbazepine may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Oxcarbazepine.]
[R03BB08, revefenacin, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be increased when combined with Oxcarbazepine.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Oxcarbazepine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Oxcarbazepine.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Oxcarbazepine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Oxcarbazepine.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Oxcarbazepine.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be increased when combined with Oxcarbazepine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Oxcarbazepine.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Oxcarbazepine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Cloxazolam.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Oxcarbazepine.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Oxcarbazepine.]
[J01DD01, cefotaxime, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxcarbazepine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Oxcarbazepine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Oxcarbazepine.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Oxcarbazepine.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Oxcarbazepine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Oxcarbazepine.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Yohimbine.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Oxcarbazepine.]
[J01DB03, cephalothin, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Oxcarbazepine.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Oxcarbazepine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Oxcarbazepine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Oxcarbazepine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Oxcarbazepine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Oxcarbazepine.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be increased when combined with Oxcarbazepine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Oxcarbazepine.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Oxcarbazepine.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Oxcarbazepine.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Oxcarbazepine.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Oxcarbazepine.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be increased when combined with Oxcarbazepine.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Oxcarbazepine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Oxcarbazepine.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Oxcarbazepine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxcarbazepine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Oxcarbazepine.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Chlorambucil.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Oxcarbazepine.]
[A03AA08, dihexyverine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Oxcarbazepine.]
[G04BD09, trospium, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Oxcarbazepine.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Clomethiazole.]
