[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ciprofloxacin.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Ciprofloxacin.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Ciprofloxacin.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Ciprofloxacin.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Ciprofloxacin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ciprofloxacin.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Ciprofloxacin.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Ciprofloxacin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Ciprofloxacin.]
[A06AH03, naloxegol, The metabolism of Naloxegol can be decreased when combined with Ciprofloxacin.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Ciprofloxacin.]
[L04AX05, pirfenidone, The serum concentration of Pirfenidone can be increased when it is combined with Ciprofloxacin.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Ciprofloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S03AA06, gentamicin, Ciprofloxacin may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Ciprofloxacin.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Ciprofloxacin.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Ciprofloxacin.]
[B01AF03, edoxaban, Ciprofloxacin may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Ciprofloxacin.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Ciprofloxacin.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Ciprofloxacin.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Ciprofloxacin.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Ciprofloxacin.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Ciprofloxacin.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Ciprofloxacin.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Ciprofloxacin.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Ciprofloxacin.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Ciprofloxacin.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be decreased when combined with Ciprofloxacin.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Ciprofloxacin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Ciprofloxacin.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Ciprofloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Ciprofloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Ciprofloxacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Ciprofloxacin.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Acipimox.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Ciprofloxacin.]
[V03AB37, idarucizumab, Ciprofloxacin may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Ciprofloxacin.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Ciprofloxacin.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Ciprofloxacin.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ciprofloxacin.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Ciprofloxacin.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Ciprofloxacin.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Ciprofloxacin.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Ciprofloxacin.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Ciprofloxacin.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Ciprofloxacin.]
[M04AB05, lesinurad, Ciprofloxacin may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Ciprofloxacin.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Ciprofloxacin.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Ciprofloxacin.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Ciprofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Ciprofloxacin.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Ciprofloxacin.]
