[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Felodipine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Felodipine.]
[C01EB17, ivabradine, Felodipine may increase the bradycardic activities of Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Felodipine.]
[N05AX16, brexpiprazole, The risk or severity of hypotension can be increased when Brexpiprazole is combined with Felodipine.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Felodipine.]
[A06AD03, magnesium peroxide, The risk or severity of hypotension can be increased when Magnesium peroxide is combined with Felodipine.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Felodipine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Acarbose.]
[M02AA25, aceclofenac, The therapeutic efficacy of Felodipine can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Felodipine can be decreased when used in combination with Acemetacin.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin degludec.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Felodipine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Felodipine.]
[J02AC05, isavuconazole, The metabolism of Felodipine can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Felodipine.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Felodipine.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Felodipine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Felodipine.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Felodipine.]
[M01AE16, alminoprofen, The therapeutic efficacy of Felodipine can be decreased when used in combination with Alminoprofen.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Felodipine.]
[L01XX52, venetoclax, The metabolism of Felodipine can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The risk or severity of hypotension can be increased when Bromocriptine is combined with Felodipine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Felodipine.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Felodipine.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Felodipine.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Felodipine.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Felodipine.]
[C07AA19, bupranolol, Felodipine may increase the arrhythmogenic activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Felodipine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Buserelin.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Felodipine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Rivastigmine may increase the bradycardic activities of Felodipine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Felodipine.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Felodipine.]
[L01XK03, rucaparib, The metabolism of Felodipine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Azithromycin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Felodipine.]
[L01EF02, ribociclib, The metabolism of Felodipine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The therapeutic efficacy of Felodipine can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Felodipine.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Felodipine.]
[C09AA07, benazepril, Benazepril may increase the hypotensive activities of Felodipine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Benfluorex.]
[G04BA03, calcium chloride, The therapeutic efficacy of Felodipine can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Felodipine.]
[J05AE09, tipranavir, The metabolism of Felodipine can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Felodipine.]
[L04AB02, infliximab, The metabolism of Felodipine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Felodipine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Felodipine.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Felodipine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Delafloxacin.]
[D01AC10, bifonazole, The therapeutic efficacy of Bifonazole can be increased when used in combination with Felodipine.]
[P03AC02, bioallethrin, Felodipine may increase the arrhythmogenic activities of Bioallethrin.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Felodipine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Felodipine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Felodipine.]
[C07AB07, bisoprolol, The therapeutic efficacy of Felodipine can be increased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, Bitolterol may decrease the antihypertensive activities of Felodipine.]
[J05AG03, efavirenz, The serum concentration of Felodipine can be decreased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of bradycardia can be increased when Felodipine is combined with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Felodipine is combined with Nesiritide.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Canrenone.]
[R03BA02, budesonide, Felodipine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Felodipine.]
[M01AB07, bumadizone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Felodipine can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Felodipine.]
[C01AA02, acetyldigoxins, Felodipine may increase the arrhythmogenic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Semaglutide.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Ertugliflozin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Acrivastine.]
[C09AA01, captopril, Felodipine may increase the hypotensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Apalutamide can be increased when it is combined with Felodipine.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Felodipine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Felodipine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Carbinoxamine.]
[C07AG02, carvedilol, Felodipine may increase the arrhythmogenic activities of Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Felodipine.]
[N03AX24, cannabidiol, The metabolism of Felodipine can be decreased when combined with Cannabidiol.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Felodipine.]
[C07AB08, celiprolol, Felodipine may increase the arrhythmogenic activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Felodipine.]
[L01XX62, ivosidenib, The metabolism of Felodipine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Felodipine.]
[N03AX17, stiripentol, The metabolism of Felodipine can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Felodipine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Felodipine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Felodipine.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Felodipine.]
[M01AC05, lornoxicam, The therapeutic efficacy of Felodipine can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Inotersen.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Felodipine.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Felodipine.]
[L04AA39, emapalumab, The metabolism of Felodipine can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Felodipine.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Felodipine.]
[C01BG07, cifenline, Felodipine may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Felodipine may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Cilostazol.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Felodipine.]
[S01ED05, carteolol, Felodipine may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Felodipine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Felodipine.]
[J01FA09, clarithromycin, The metabolism of Felodipine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Solriamfetol may decrease the antihypertensive activities of Felodipine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Felodipine.]
[H02AB14, cloprednol, The metabolism of Felodipine can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Felodipine.]
