[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Bisoprolol.]
[R02AA14, oxyquinoline, Bisoprolol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Bisoprolol.]
[J05AP03, boceprevir, The metabolism of Bisoprolol can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Bisoprolol can be decreased when combined with Telaprevir.]
[S01AA28, vancomycin, Bisoprolol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Bisoprolol may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Bisoprolol.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Bisoprolol.]
[B01AC24, ticagrelor, The serum concentration of Bisoprolol can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Bisoprolol.]
[N06AX09, viloxazine, The metabolism of Bisoprolol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Bisoprolol.]
[C04AX07, vincamine, Bisoprolol may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The serum concentration of Vincristine can be increased when it is combined with Bisoprolol.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[B01AA03, warfarin, Bisoprolol may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Bisoprolol.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, Bisoprolol may increase the orthostatic hypotensive activities of Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Bisoprolol can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Bisoprolol can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Bisoprolol.]
[M05BA05, tiludronic acid, Bisoprolol may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Bisoprolol may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Bisoprolol.]
[A02BC04, rabeprazole, Bisoprolol may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, Ziprasidone may increase the antihypertensive activities of Bisoprolol.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Bisoprolol may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Bisoprolol.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Bisoprolol.]
[G04BD07, tolterodine, Bisoprolol may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Bisoprolol may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Atenolol.]
[L01FA01, rituximab, Bisoprolol may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The metabolism of Bisoprolol can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The therapeutic efficacy of Atropine can be increased when used in combination with Bisoprolol.]
[M01CB03, auranofin, Bisoprolol may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Bisoprolol.]
[R07AX02, ivacaftor, The serum concentration of Bisoprolol can be increased when it is combined with Ivacaftor.]
[B03XA04, peginesatide, Bisoprolol may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Bisoprolol may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Bisoprolol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Bisoprolol.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Bisoprolol.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Bisoprolol.]
[A08AA11, lorcaserin, Bisoprolol may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, The therapeutic efficacy of Mirabegron can be decreased when used in combination with Bisoprolol.]
[L01XG02, carfilzomib, The serum concentration of Bisoprolol can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Bisoprolol can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Bisoprolol can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Bisoprolol can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Bisoprolol.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Bisoprolol.]
[L01EX05, regorafenib, Regorafenib may increase the bradycardic activities of Bisoprolol.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Bisoprolol.]
[C01AA01, acetyldigitoxin, The therapeutic efficacy of Acetyldigitoxin can be increased when used in combination with Bisoprolol.]
[D02BA02, octinoxate, Bisoprolol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Bisoprolol can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Bisoprolol.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Bisoprolol.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Bisoprolol.]
[C08CA13, lercanidipine, The therapeutic efficacy of Lercanidipine can be increased when used in combination with Bisoprolol.]
[N06DA02, donepezil, Donepezil may increase the bradycardic activities of Bisoprolol.]
[L04AA29, tofacitinib, Bisoprolol may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Bisoprolol.]
[V09IX04, fluorodeoxyglucose F18, Bisoprolol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Bisoprolol.]
[H01CB05, pasireotide, Bisoprolol may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Bisoprolol can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Bisoprolol may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The serum concentration of Bisoprolol can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Apixaban can be increased when it is combined with Bisoprolol.]
[A16AX08, teduglutide, Bisoprolol may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The serum concentration of Bisoprolol can be increased when it is combined with Lomitapide.]
[C04AX11, bencyclane, The therapeutic efficacy of Bencyclane can be increased when used in combination with Bisoprolol.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Bisoprolol.]
[A16AX09, glycerol phenylbutyrate, Bisoprolol may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Bisoprolol.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Bisoprolol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Bisoprolol.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Bisoprolol.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Bisoprolol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Bisoprolol.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Bisoprolol.]
[L03AA12, ancestim, Bisoprolol may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the antihypertensive activities of Bisoprolol.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Bisoprolol.]
[L04AA18, everolimus, The serum concentration of Bisoprolol can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Bisoprolol can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Bisoprolol.]
[L01EE01, trametinib, Bisoprolol may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[V09AX05, florbetapir F-18, Bisoprolol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Bisoprolol can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The serum concentration of Bisoprolol can be increased when it is combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Bisoprolol.]
[C08EA02, bepridil, The therapeutic efficacy of Bepridil can be increased when used in combination with Bisoprolol.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Bisoprolol.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Bisoprolol.]
[C02KX04, macitentan, Bisoprolol may increase the hypotensive activities of Macitentan.]
[N06AX26, vortioxetine, Vortioxetine may decrease the antihypertensive activities of Bisoprolol.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AP05, simeprevir, The metabolism of Bisoprolol can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Bisoprolol.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Bisoprolol.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Bisoprolol.]
[C07AB04, acebutolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Acebutolol.]
[N05CH03, tasimelteon, Bisoprolol may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[A16AA07, metreleptin, The metabolism of Bisoprolol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, Bisoprolol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Bisoprolol may decrease the excretion rate of Formestane which could result in a higher serum level.]
[A16AA06, betaine, Betaine may increase the bradycardic activities of Bisoprolol.]
[S01ED02, betaxolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Betaxolol.]
[V03AB34, fomepizole, Bisoprolol may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Bisoprolol.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Bisoprolol.]
[L01ED02, ceritinib, Bisoprolol may increase the bradycardic activities of Ceritinib.]
[B01AC26, vorapaxar, The serum concentration of Bisoprolol can be increased when it is combined with Vorapaxar.]
[A03BA03, hyoscyamine, The therapeutic efficacy of Hyoscyamine can be increased when used in combination with Bisoprolol.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Bisoprolol.]
[L01EM01, idelalisib, The serum concentration of Idelalisib can be increased when it is combined with Bisoprolol.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Bisoprolol.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Bisoprolol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[S01EE02, unoprostone, Bisoprolol may increase the hypotensive activities of Unoprostone.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05CM19, suvorexant, The serum concentration of Bisoprolol can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Bisoprolol can be increased when it is combined with Eliglustat.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05AA04, acepromazine, The serum concentration of Bisoprolol can be increased when it is combined with Acepromazine.]
[V04CX03, methacholine, Bisoprolol may increase the bronchoconstrictory activities of Methacholine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Bisoprolol.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be increased when it is combined with Bisoprolol.]
[S03AA06, gentamicin, Bisoprolol may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be increased when it is combined with Bisoprolol.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Bisoprolol.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Bisoprolol.]
[L01EF01, palbociclib, The serum concentration of Bisoprolol can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Lenvatinib can be increased when it is combined with Bisoprolol.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Bisoprolol.]
[J05AP07, daclatasvir, The serum concentration of Bisoprolol can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[C01EB17, ivabradine, Bisoprolol may increase the bradycardic activities of Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AP06, asunaprevir, The serum concentration of Bisoprolol can be increased when it is combined with Asunaprevir.]
[N05AX16, brexpiprazole, Bisoprolol may increase the orthostatic hypotensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The serum concentration of Bisoprolol can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Bisoprolol can be increased when it is combined with Flibanserin.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Bisoprolol.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Bisoprolol.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Bisoprolol.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Bisoprolol.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Bisoprolol.]
[N05AB07, acetophenazine, The serum concentration of Bisoprolol can be increased when it is combined with Acetophenazine.]
[V03AB37, idarucizumab, Bisoprolol may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The serum concentration of Bisoprolol can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Osimertinib can be increased when it is combined with Bisoprolol.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Bisoprolol.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Bisoprolol.]
[L01XG03, ixazomib, Bisoprolol may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Bisoprolol.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Bisoprolol.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Bisoprolol.]
[M04AB05, lesinurad, Bisoprolol may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Bisoprolol.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Bisoprolol.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Bisoprolol.]
[N03AX23, brivaracetam, Bisoprolol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XX52, venetoclax, The metabolism of Bisoprolol can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Bisoprolol may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Bisoprolol.]
[A02AD05, aluminum magnesium silicate, Bisoprolol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Bisoprolol.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Bisoprolol.]
[C07AA19, bupranolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Bupranolol.]
[N05BE01, buspirone, Buspirone may decrease the antihypertensive activities of Bisoprolol.]
[L01XX27, arsenic trioxide, The serum concentration of Bisoprolol can be increased when it is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Bisoprolol may increase the bradycardic activities of Rivastigmine.]
[M02AA03, clofezone, Bisoprolol may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[L01EF02, ribociclib, The metabolism of Bisoprolol can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Bisoprolol.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Bisoprolol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Bamifylline.]
[A06AH05, naldemedine, Bisoprolol may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Bisoprolol may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may increase the bradycardic activities of Bisoprolol.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Caffeine.]
[C09AA07, benazepril, Benazepril may increase the hypotensive activities of Bisoprolol.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Bisoprolol.]
[A12AA04, calcium carbonate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium carbonate.]
[P01CA02, benznidazole, Bisoprolol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[G04BA03, calcium chloride, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Bisoprolol.]
[J05AF06, abacavir, Bisoprolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Bisoprolol can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, Bisoprolol may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Bisoprolol can be decreased when used in combination with Calcium Phosphate.]
[L01EX10, midostaurin, The metabolism of Bisoprolol can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Bisoprolol.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Bethanechol.]
[J01MA23, delafloxacin, Bisoprolol may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Bisoprolol.]
[P03AC02, bioallethrin, Bisoprolol may increase the arrhythmogenic activities of Bioallethrin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Acetylcholine.]
[L01BC06, capecitabine, Bisoprolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
