[J01MB04, pipemidic acid, The serum concentration of Pipemidic acid can be increased when it is combined with Ampicillin.]
[N06AX06, nefazodone, Ampicillin may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Ampicillin may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Ampicillin may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G03DB04, nomegestrol, The therapeutic efficacy of Nomegestrol can be decreased when used in combination with Ampicillin.]
[M03AC11, cisatracurium, Ampicillin may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Ampicillin may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06AA01, desipramine, Ampicillin may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V04CH02, indigo carmine, Ampicillin may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Ampicillin may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Ampicillin may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Ampicillin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Cinchocaine.]
[R05DA08, pholcodine, Ampicillin may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A03AA07, dicyclomine, Ampicillin may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Ampicillin may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Ampicillin.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[D07XC04, diflucortolone, Ampicillin may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01AA05, digoxin, Ampicillin may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L04AX04, lenalidomide, Ampicillin may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Ampicillin may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Ampicillin may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Pramocaine.]
[V03AB09, dimercaprol, Ampicillin may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Ampicillin may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Diphenhydramine.]
[S01AX06, resorcinol, Ampicillin may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[R06AE09, levocetirizine, Ampicillin may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The serum concentration of Rosoxacin can be increased when it is combined with Ampicillin.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Ampicillin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01CA07, dobutamine, Ampicillin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA04, dopamine, Ampicillin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA12, doxepin, Ampicillin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01AA02, doxycycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Doxycycline.]
[A08AA10, sibutramine, Ampicillin may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Ampicillin may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Ampicillin may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Ampicillin may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Ampicillin may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[J01MA05, temafloxacin, The serum concentration of Temafloxacin can be increased when it is combined with Ampicillin.]
[L01AX03, temozolomide, Ampicillin may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N06AG03, toloxatone, Ampicillin may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01AA12, tigecycline, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Tigecycline.]
[N05CC01, chloral hydrate, Ampicillin may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[J01MA04, enoxacin, The serum concentration of Enoxacin can be increased when it is combined with Ampicillin.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C02AC02, guanfacine, Ampicillin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Ampicillin may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Ampicillin may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G03CA03, estradiol, The therapeutic efficacy of Estradiol can be decreased when used in combination with Ampicillin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Ethinylestradiol can be decreased when used in combination with Ampicillin.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J01MA08, fleroxacin, The serum concentration of Fleroxacin can be increased when it is combined with Ampicillin.]
[P01AX07, trimetrexate, Ampicillin may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Ampicillin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Ampicillin may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Ampicillin may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A16AA01, levocarnitine, Ampicillin may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N02AB03, fentanyl, Ampicillin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Ampicillin may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Ampicillin may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G04BD02, flavoxate, Ampicillin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[J02AX01, flucytosine, Ampicillin may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Ampicillin may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CD01, flurazepam, Ampicillin may decrease the excretion rate of Flurazepam which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[L02BB01, flutamide, Ampicillin may decrease the excretion rate of Flutamide which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[S02AA17, fosfomycin, Ampicillin may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, The serum concentration of Framycetin can be decreased when it is combined with Ampicillin.]
[L01BC03, tegafur, Ampicillin may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Ampicillin.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Ampicillin.]
[S01AD09, ganciclovir, Ampicillin may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Ampicillin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Ampicillin may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[G03XA02, gestrinone, The therapeutic efficacy of Gestrinone can be decreased when used in combination with Ampicillin.]
[A10BB07, glipizide, Ampicillin may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Ampicillin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M01CB04, aurothioglucose, Ampicillin may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Ampicillin may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[B01AA12, fluindione, Ampicillin may increase the anticoagulant activities of Fluindione.]
[C09AA09, fosinopril, Ampicillin may decrease the excretion rate of Fosinopril which could result in a higher serum level.]
[S01EX01, guanethidine, Ampicillin may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05AD01, haloperidol, Ampicillin may decrease the excretion rate of Haloperidol which could result in a higher serum level.]
[N05AH04, quetiapine, Ampicillin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Ampicillin may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, The risk of a hypersensitivity reaction to Ampicillin is increased when it is combined with Allopurinol.]
[G03DC01, allylestrenol, Ampicillin may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[C09AA04, perindopril, Ampicillin may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Ampicillin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Ampicillin may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[G04BD06, propiverine, Ampicillin may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[P01BA02, hydroxychloroquine, Hydroxychloroquine can cause a decrease in the absorption of Ampicillin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05AA07, hetastarch, Ampicillin may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[B05XA08, sodium acetate, Ampicillin may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Ampicillin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, Ampicillin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[R01AD07, tixocortol, Ampicillin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Ampicillin may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[A11HA07, inositol, Ampicillin may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Ampicillin may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Ampicillin may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Ampicillin is combined with Articaine.]
[A10BH01, sitagliptin, Ampicillin may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Ampicillin which could result in a higher serum level.]
[N05CH02, ramelteon, Ampicillin may decrease the excretion rate of Ramelteon which could result in a higher serum level.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Ampicillin which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Ampicillin may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J04AC01, isoniazid, Ampicillin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Ampicillin may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Ampicillin may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Ampicillin may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Ampicillin may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
