[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Selegiline.]
[A10BB05, tolazamide, Selegiline may increase the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, Selegiline may increase the hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Selegiline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Selegiline.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Selegiline is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome and seizure can be increased when Selegiline is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Selegiline can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Trapidil.]
[N06AX05, trazodone, Selegiline may increase the serotonergic activities of Trazodone.]
[L01XF01, tretinoin, Selegiline may increase the orthostatic hypotensive activities of Tretinoin.]
[C03DB02, triamterene, Selegiline may increase the orthostatic hypotensive activities of Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Selegiline.]
[C03AA06, trichlormethiazide, Selegiline may increase the hypotensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Selegiline is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Selegiline can be decreased when combined with Mometasone.]
[A03AA05, trimebutine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Selegiline.]
[C02BA01, trimethaphan, Selegiline may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Selegiline can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, Selegiline may increase the serotonergic activities of Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Selegiline can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Selegiline.]
[A03BB01, butylscopolamine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Selegiline can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Selegiline.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome and hypomania can be increased when Tryptophan is combined with Selegiline.]
[C09CA09, azilsartan medoxomil, Selegiline may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Selegiline is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Selegiline.]
[L02BX03, abiraterone, The serum concentration of Selegiline can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Selegiline can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Selegiline can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Selegiline can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Selegiline can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Urokinase.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Selegiline is combined with Ezogabine.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Selegiline is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Ticagrelor.]
[C08DA01, verapamil, Selegiline may increase the orthostatic hypotensive activities of Verapamil.]
[N06AX09, viloxazine, The risk or severity of hypertension can be increased when Viloxazine is combined with Selegiline.]
[L01CA01, vinblastine, The metabolism of Selegiline can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Selegiline may increase the hypotensive activities of Vincamine.]
[B01AA03, warfarin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Selegiline can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The risk or severity of adverse effects can be increased when Xenon is combined with Selegiline.]
[C03BA10, xipamide, Selegiline may increase the hypotensive activities of Xipamide.]
[J01MB04, pipemidic acid, The metabolism of Selegiline can be decreased when combined with Pipemidic acid.]
[J05AF01, zidovudine, The metabolism of Selegiline can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Selegiline can be decreased when used in combination with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Selegiline can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Selegiline is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Selegiline can be increased when it is combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Selegiline can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Selegiline can be decreased when combined with Zafirlukast.]
[J01MA13, trovafloxacin, The metabolism of Selegiline can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Selegiline is combined with Ziprasidone.]
[G03AC10, drospirenone, The bioavailability of Selegiline can be increased when combined with Drospirenone.]
[N02BA01, aspirin, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Selegiline.]
[G04BD07, tolterodine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Selegiline may increase the hypotensive activities of Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Selegiline can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Selegiline can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Selegiline is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Selegiline is combined with Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Selegiline.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Selegiline.]
[L04AX01, azathioprine, The metabolism of Selegiline can be decreased when combined with Azathioprine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Selegiline.]
[M03BX01, baclofen, The risk or severity of hypotension can be increased when Baclofen is combined with Selegiline.]
[A08AA11, lorcaserin, The metabolism of Selegiline can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Selegiline can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Selegiline can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Selegiline can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Selegiline can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Selegiline can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Selegiline can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Defibrotide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Selegiline is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Selegiline can be decreased when combined with Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Selegiline.]
[J05AE04, nelfinavir, The metabolism of Selegiline can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Selegiline.]
[S01GA07, brimonidine, The metabolism of Brimonidine can be decreased when combined with Selegiline.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Rasagiline.]
[C08CA13, lercanidipine, Selegiline may increase the hypotensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Selegiline is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Selegiline.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Selegiline can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Selegiline.]
[L01EX07, cabozantinib, The metabolism of Selegiline can be decreased when combined with Cabozantinib.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Selegiline.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Selegiline.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Apixaban.]
[A10BH04, alogliptin, Selegiline may increase the hypoglycemic activities of Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Selegiline can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Selegiline may increase the hypotensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Selegiline is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Selegiline.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Selegiline is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Selegiline is combined with Benperidol.]
[A10BK02, canagliflozin, Selegiline may increase the orthostatic hypotensive activities of Canagliflozin.]
[J01MA15, gemifloxacin, The metabolism of Selegiline can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Selegiline can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Selegiline can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Selegiline can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin detemir.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Selegiline is combined with Benzocaine.]
[A10BX05, pramlintide, Selegiline may increase the hypoglycemic activities of Pramlintide.]
[M01AH01, celecoxib, The metabolism of Selegiline can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The metabolism of Naratriptan can be decreased when combined with Selegiline.]
[L04AA18, everolimus, The metabolism of Selegiline can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Selegiline can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Selegiline is combined with Benzydamine.]
[L01EE01, trametinib, The metabolism of Selegiline can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Selegiline is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, Selegiline may increase the serotonergic activities of Levomilnacipran.]
[C08EA02, bepridil, Selegiline may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Selegiline may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, Selegiline may increase the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Selegiline may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Selegiline.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Selegiline.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Selegiline is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Selegiline can be decreased when combined with Simeprevir.]
[S01EA03, apraclonidine, Selegiline may increase the alpha-adrenergic activities of Apraclonidine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Selegiline is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Selegiline may increase the orthostatic hypotensive activities of Dapagliflozin.]
[C01CA27, droxidopa, Selegiline may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, Selegiline may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Selegiline is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Selegiline can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Selegiline can be increased when combined with Apremilast.]
[N07CA01, betahistine, The metabolism of Betahistine can be decreased when combined with Selegiline.]
[S03BA03, betamethasone, The metabolism of Selegiline can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Selegiline may increase the hypotensive activities of Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Argatroban.]
[V03AB34, fomepizole, The metabolism of Selegiline can be decreased when combined with Fomepizole.]
[C02CC01, bethanidine, Selegiline may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, Selegiline may increase the hepatotoxic activities of Bezafibrate.]
[A10BJ04, albiglutide, Selegiline may increase the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The metabolism of Selegiline can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Selegiline can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Vorapaxar.]
[A03BA03, hyoscyamine, Selegiline may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Acenocoumarol.]
[L01XH04, belinostat, The metabolism of Selegiline can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Selegiline is combined with Alfaxalone.]
[A10BK03, empagliflozin, Selegiline may increase the orthostatic hypotensive activities of Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Selegiline.]
[D11AA01, glycopyrronium, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Selegiline can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Selegiline can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Acepromazine.]
[A10BJ05, dulaglutide, Selegiline may increase the hypoglycemic activities of Dulaglutide.]
[N04AA02, biperiden, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Selegiline.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Selegiline.]
[B01AA01, dicumarol, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Edoxaban.]
[N06AX11, mirtazapine, Selegiline may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Selegiline can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Selegiline can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Selegiline can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Selegiline can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Eluxadoline.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Selegiline.]
[A04AD14, rolapitant, The metabolism of Selegiline can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Selegiline.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Selegiline.]
[A10BF01, acarbose, Selegiline may increase the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Selegiline is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Selegiline is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Selegiline.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Selegiline is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Selegiline can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Selegiline.]
[J02AC05, isavuconazole, The metabolism of Selegiline can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Selegiline can be decreased when it is combined with Osimertinib.]
[B01AC27, selexipag, Selegiline may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, Selegiline may increase the hypoglycemic activities of Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Selegiline.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Selegiline is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Selegiline is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Selegiline is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Selegiline can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Selegiline is combined with Bromazepam.]
[N04BC01, bromocriptine, Selegiline may increase the hypertensive activities of Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Selegiline is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Selegiline.]
[N06AA19, amineptin, Selegiline may increase the serotonergic activities of Amineptine.]
[C08CA01, amlodipine, Selegiline may increase the hypotensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Selegiline is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Selegiline can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Selegiline may increase the orthostatic hypotensive activities of Bumetanide.]
[N01BB01, bupivacaine, Selegiline may increase the orthostatic hypotensive activities of Bupivacaine.]
[C07AA19, bupranolol, Selegiline may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Selegiline is combined with Buspirone.]
[L01XX27, arsenic trioxide, Selegiline may increase the orthostatic hypotensive activities of Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Selegiline.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Selegiline.]
[S01GX07, azelastine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Selegiline can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Selegiline can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Selegiline.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Selegiline is combined with Bambuterol.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Selegiline.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Selegiline is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Selegiline can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Selegiline is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Selegiline can be decreased when combined with Caffeine.]
[C09AA07, benazepril, Selegiline may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, Selegiline may increase the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Selegiline.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Selegiline is combined with Linezolid.]
[J05AE09, tipranavir, The metabolism of Selegiline can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Selegiline.]
[L04AB02, infliximab, The metabolism of Selegiline can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Selegiline can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Selegiline.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Selegiline is combined with Safinamide.]
[J01MA23, delafloxacin, The metabolism of Selegiline can be increased when combined with Delafloxacin.]
[B01AF04, betrixaban, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Betrixaban.]
[L01BC06, capecitabine, The metabolism of Selegiline can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Selegiline.]
[C07AB07, bisoprolol, Selegiline may increase the hypotensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Selegiline.]
[J05AG03, efavirenz, The metabolism of Selegiline can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Selegiline.]
[N04AA11, bornaprine, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, Selegiline may increase the orthostatic hypotensive activities of Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Selegiline is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Selegiline is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Selegiline is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Selegiline is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Selegiline can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Selegiline may increase the serotonergic activities of Butriptyline.]
[A10BJ06, semaglutide, Selegiline may increase the hypoglycemic activities of Semaglutide.]
[N01BX04, capsaicin, The metabolism of Selegiline can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Selegiline may increase the hypoglycemic activities of Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Selegiline is combined with Vinylbital.]
[C09AA01, captopril, Selegiline may increase the hypotensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Selegiline can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Selegiline.]
