[S02DA03, antipyrine, The metabolism of Olodaterol can be decreased when combined with Antipyrine.]
[N05AC02, thioridazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Olodaterol.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Olodaterol is combined with Moxisylyte.]
[B01AC05, ticlopidine, The metabolism of Olodaterol can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Timolol may decrease the bronchodilatory activities of Olodaterol.]
[A10BB05, tolazamide, The metabolism of Olodaterol can be decreased when combined with Tolazamide.]
[M02AX02, tolazoline, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Olodaterol can be decreased when combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Olodaterol.]
[N02AX02, tramadol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Olodaterol.]
[N06AF04, tranylcypromine, The metabolism of Olodaterol can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Olodaterol.]
[L01XF01, tretinoin, The metabolism of Olodaterol can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of hypokalemia can be increased when Triamcinolone is combined with Olodaterol.]
[C03AA06, trichlormethiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Mepenzolate is combined with Olodaterol.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, The risk or severity of Tachycardia can be increased when Triflupromazine is combined with Olodaterol.]
[D07AC02, fluclorolone, The risk or severity of hypokalemia can be increased when Fluclorolone is combined with Olodaterol.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Olodaterol.]
[R03BA07, mometasone, The risk or severity of hypokalemia can be increased when Mometasone is combined with Olodaterol.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Olodaterol.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Olodaterol.]
[C02BA01, trimethaphan, Olodaterol may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Olodaterol can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Olodaterol.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Vilazodone is combined with Olodaterol.]
[C09CA09, azilsartan medoxomil, Olodaterol may decrease the antihypertensive activities of Azilsartan medoxomil.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Olodaterol can be decreased when combined with Abiraterone.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Olodaterol.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Olodaterol.]
[R03AC18, indacaterol, The risk or severity of adverse effects can be increased when Indacaterol is combined with Olodaterol.]
[B01AC24, ticagrelor, The metabolism of Olodaterol can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Verapamil.]
[C04AX07, vincamine, Olodaterol may decrease the antihypertensive activities of Vincamine.]
[B01AA03, warfarin, The metabolism of Olodaterol can be increased when combined with Warfarin.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Olodaterol is combined with Xenon.]
[C03BA10, xipamide, Olodaterol may decrease the antihypertensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Olodaterol can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Zuclopenthixol.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Olodaterol can be decreased when combined with Zafirlukast.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Olodaterol.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Olodaterol.]
[L01EJ01, ruxolitinib, The metabolism of Olodaterol can be decreased when combined with Ruxolitinib.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Olodaterol.]
[C07AB03, atenolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Atenolol.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Olodaterol.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Olodaterol.]
[L01XJ01, vismodegib, The metabolism of Olodaterol can be decreased when combined with Vismodegib.]
[H02AB11, prednylidene, The risk or severity of hypokalemia can be increased when Prednylidene is combined with Olodaterol.]
[G04BE10, avanafil, The metabolism of Olodaterol can be decreased when combined with Avanafil.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Olodaterol.]
[L02BB04, enzalutamide, The serum concentration of Olodaterol can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Olodaterol can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Olodaterol can be decreased when combined with Teriflunomide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Olodaterol is combined with Octopamine.]
[H02AA01, aldosterone, The risk or severity of hypokalemia can be increased when Aldosterone is combined with Olodaterol.]
[L01EX05, regorafenib, The metabolism of Olodaterol can be decreased when combined with Regorafenib.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Olodaterol.]
[N04BD02, rasagiline, The risk or severity of hypertension can be increased when Rasagiline is combined with Olodaterol.]
[C08CA13, lercanidipine, Olodaterol may decrease the antihypertensive activities of Lercanidipine.]
[N06DA02, donepezil, The metabolism of Olodaterol can be decreased when combined with Donepezil.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Olodaterol.]
[R06AC06, thonzylamine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of Tachycardia can be increased when Darifenacin is combined with Olodaterol.]
[N01AA01, ethyl ether, The risk or severity of hypertension can be increased when Olodaterol is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Olodaterol can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Olodaterol.]
[G04BE03, sildenafil, The metabolism of Olodaterol can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Olodaterol.]
[B01AF02, apixaban, The metabolism of Olodaterol can be decreased when combined with Apixaban.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Bendroflumethiazide.]
[G03XC05, ospemifene, The metabolism of Olodaterol can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Olodaterol is combined with Benorilate.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Olodaterol can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Olodaterol can be decreased when combined with Tegaserod.]
[M01AH01, celecoxib, The metabolism of Olodaterol can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Naratriptan is combined with Olodaterol.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Olodaterol.]
[L01EC02, dabrafenib, The serum concentration of Olodaterol can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Olodaterol is combined with Benzydamine.]
[L01EE01, trametinib, The metabolism of Olodaterol can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Olodaterol can be decreased when combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the tachycardic activities of Olodaterol.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Olodaterol can be decreased when combined with Riociguat.]
[C02KX04, macitentan, Olodaterol may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The metabolism of Olodaterol can be decreased when combined with Vortioxetine.]
[A10BK01, dapagliflozin, The metabolism of Olodaterol can be decreased when combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of adverse effects can be increased when Droxidopa is combined with Olodaterol.]
[C07AB04, acebutolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Acebutolol.]
[L04AA32, apremilast, The metabolism of Olodaterol can be increased when combined with Apremilast.]
[N07CA01, betahistine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Betahistine.]
[S03BA03, betamethasone, The risk or severity of hypokalemia can be increased when Betamethasone is combined with Olodaterol.]
[S01ED02, betaxolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Betaxolol.]
[C02CC01, bethanidine, Olodaterol may decrease the antihypertensive activities of Bethanidine.]
[C10AB02, bezafibrate, The metabolism of Olodaterol can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Olodaterol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Olodaterol can be decreased when combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Olodaterol.]
[B01AA07, acenocoumarol, The metabolism of Olodaterol can be decreased when combined with Acenocoumarol.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Pipemidic acid.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia can be increased when Glycopyrronium is combined with Olodaterol.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Olodaterol can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Acepromazine.]
[V04CX03, methacholine, Olodaterol may decrease effectiveness of Methacholine as a diagnostic agent.]
[N04AA02, biperiden, The risk or severity of Tachycardia can be increased when Biperiden is combined with Olodaterol.]
[L04AX05, pirfenidone, The metabolism of Olodaterol can be decreased when combined with Pirfenidone.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Olodaterol.]
[B01AA01, dicumarol, The metabolism of Olodaterol can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Olodaterol.]
[L04AC10, secukinumab, The metabolism of Olodaterol can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Panobinostat.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Olodaterol.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Flibanserin is combined with Olodaterol.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Cariprazine is combined with Olodaterol.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Aceclofenac is combined with Olodaterol.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Olodaterol is combined with Acemetacin.]
[A02BC03, lansoprazole, The metabolism of Olodaterol can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Olodaterol can be decreased when combined with Trabectedin.]
[J02AC05, isavuconazole, The metabolism of Olodaterol can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Olodaterol.]
[A10BB31, acetohexamide, The metabolism of Olodaterol can be decreased when combined with Acetohexamide.]
[G04CA01, alfuzosin, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Alfuzosin.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Olodaterol.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Olodaterol is combined with Alminoprofen.]
[N03AX23, brivaracetam, The metabolism of Olodaterol can be decreased when combined with Brivaracetam.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypertensive and vasoconstricting activities of Olodaterol.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Olodaterol.]
[N06AA19, amineptin, The risk or severity of hypertension can be increased when Amineptine is combined with Olodaterol.]
[C08CA01, amlodipine, Olodaterol may decrease the antihypertensive activities of Amlodipine.]
[C03CA02, bumetanide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Bumetanide.]
[C07AA19, bupranolol, Bupranolol may decrease the bronchodilatory activities of Olodaterol.]
[N07BC01, buprenorphine, The metabolism of Olodaterol can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Olodaterol.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Olodaterol.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Olodaterol.]
[S01GX07, azelastine, The metabolism of Olodaterol can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Olodaterol can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Azithromycin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Olodaterol.]
[R03CC12, bambuterol, The risk or severity of adverse effects can be increased when Bambuterol is combined with Olodaterol.]
[R03DA08, bamifylline, Bamifylline may increase the hyperkalemic activities of Olodaterol.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Olodaterol.]
[N06BC01, caffeine, Caffeine may increase the hyperkalemic activities of Olodaterol.]
[C09AA07, benazepril, Olodaterol may decrease the antihypertensive activities of Benazepril.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Olodaterol.]
[L04AB02, infliximab, The metabolism of Olodaterol can be increased when combined with Infliximab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Olodaterol.]
[N04BD03, safinamide, The risk or severity of hypertension can be increased when Safinamide is combined with Olodaterol.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Olodaterol can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Olodaterol.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Olodaterol.]
[C07AB07, bisoprolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of adverse effects can be increased when Bitolterol is combined with Olodaterol.]
[J05AG03, efavirenz, The metabolism of Olodaterol can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, Bopindolol may decrease the bronchodilatory activities of Olodaterol.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Bornaprine.]
[R03BA02, budesonide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Olodaterol.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Olodaterol is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Olodaterol is combined with Bumadizone.]
[J05AX18, letermovir, The metabolism of Olodaterol can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of hypertension can be increased when Butriptyline is combined with Olodaterol.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Acetyldigoxin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Acrivastine.]
[C09AA01, captopril, Olodaterol may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Olodaterol.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Carbinoxamine.]
[C07AG02, carvedilol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Olodaterol can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Olodaterol can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Encorafenib.]
[C07AB08, celiprolol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Olodaterol.]
[L01XX62, ivosidenib, The metabolism of Olodaterol can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Olodaterol can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Olodaterol can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Olodaterol.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Olodaterol.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Olodaterol.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia can be increased when Chlorphenoxamine is combined with Olodaterol.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Lornoxicam is combined with Olodaterol.]
[R03DA02, oxtriphylline, Oxtriphylline may increase the hyperkalemic activities of Olodaterol.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Inotersen.]
[L04AA39, emapalumab, The metabolism of Olodaterol can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Cibenzoline.]
[C09AA08, cilazapril, Olodaterol may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Olodaterol.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Cinitapride is combined with Olodaterol.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Olodaterol.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Olodaterol is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Olodaterol.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Olodaterol.]
[H02AB14, cloprednol, The risk or severity of hypokalemia can be increased when Cloprednol is combined with Olodaterol.]
[C09CA06, candesartan, The metabolism of Olodaterol can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Olodaterol can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hypokalemia can be increased when Cortivazol is combined with Olodaterol.]
[L01EM03, alpelisib, The serum concentration of Olodaterol can be decreased when it is combined with Alpelisib.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Cicletanine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Entrectinib.]
[N07XX11, pitolisant, Olodaterol may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Olodaterol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Olodaterol.]
[C03AA09, cyclothiazide, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of hypertension can be increased when Yohimbine is combined with Olodaterol.]
[H02AB13, deflazacort, The risk or severity of hypokalemia can be increased when Deflazacort is combined with Olodaterol.]
[G03AC09, desogestrel, The metabolism of Olodaterol can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Olodaterol.]
[N03AX25, cenobamate, The metabolism of Olodaterol can be increased when combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Olodaterol.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Olodaterol can be decreased when combined with Avapritinib.]
[M01AX21, diacetylrhein, The metabolism of Olodaterol can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Olodaterol.]
[J05AE05, amprenavir, The metabolism of Olodaterol can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Frovatriptan is combined with Olodaterol.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Olodaterol.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Olodaterol.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Olodaterol.]
[N02CC06, eletriptan, The risk or severity of hypertension can be increased when Eletriptan is combined with Olodaterol.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Olodaterol.]
[L01XF03, bexarotene, The metabolism of Olodaterol can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Olodaterol can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Olodaterol.]
[C02AA06, methoserpidine, Olodaterol may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Olodaterol.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Olodaterol is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Olodaterol is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of hypokalemia can be increased when Fluprednidene is combined with Olodaterol.]
[G04BD09, trospium, The risk or severity of Tachycardia can be increased when Trospium is combined with Olodaterol.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Olodaterol is combined with Droxicam.]
[L01EX22, selpercatinib, The serum concentration of Olodaterol can be increased when it is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Olodaterol is combined with Dexketoprofen.]
[C08CA17, levamlodipine, Olodaterol may decrease the antihypertensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ebastine.]
