[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Ofloxacin.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Ofloxacin.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Ofloxacin.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Ofloxacin.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Ofloxacin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ofloxacin.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Eliglustat.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Ofloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Ofloxacin.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Ofloxacin.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Panobinostat.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Ofloxacin.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Ofloxacin.]
[J05AF08, adefovir dipivoxil, The excretion of Adefovir dipivoxil can be decreased when combined with Ofloxacin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Ofloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Ofloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Ofloxacin.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Ofloxacin.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Acipimox.]
[L01CX01, trabectedin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Trabectedin.]
[J05AF13, tenofovir alafenamide, The excretion of Tenofovir alafenamide can be decreased when combined with Ofloxacin.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Ofloxacin.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ofloxacin.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Ofloxacin.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Ofloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Ofloxacin.]
[C03CA02, bumetanide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Ofloxacin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Ofloxacin.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Ofloxacin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Ofloxacin.]
[J01CE04, azidocillin, The serum concentration of Ofloxacin can be increased when it is combined with Azidocillin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Ofloxacin.]
[J01CA06, bacampicillin, The serum concentration of Ofloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Ofloxacin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Ofloxacin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Ofloxacin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Ofloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Ofloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AE09, tipranavir, Tipranavir may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[D11AX03, calcium gluconate, Calcium gluconate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AB02, infliximab, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Infliximab is combined with Ofloxacin.]
[A12AA01, calcium phosphate, Calcium Phosphate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Ofloxacin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Ofloxacin.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Ofloxacin.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Ofloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Ofloxacin.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Ofloxacin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Ofloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Ofloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Ofloxacin.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Macimorelin.]
[A06AC08, calcium polycarbophil, Calcium polycarbophil can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA03, carbenicillin, The serum concentration of Ofloxacin can be increased when it is combined with Carbenicillin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Ofloxacin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Ofloxacin.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Encorafenib.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Ofloxacin.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Ofloxacin.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Ivosidenib.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Ofloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Ofloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Chloroprocaine.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Ofloxacin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Ofloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Ofloxacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Ofloxacin.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Ofloxacin.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Ofloxacin.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Clarithromycin.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Ofloxacin.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Ubidecarenone.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Ofloxacin.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Ofloxacin.]
[J01CF03, methicillin, The serum concentration of Ofloxacin can be increased when it is combined with Meticillin.]
[J01DC07, cefotiam, The excretion of Cefotiam can be decreased when combined with Ofloxacin.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Ofloxacin.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Ofloxacin.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Entrectinib.]
[N07XX11, pitolisant, Ofloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Ofloxacin.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Ofloxacin.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Ofloxacin.]
[J01DB01, cephalexin, The excretion of Cephalexin can be decreased when combined with Ofloxacin.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Ofloxacin.]
[H02AB13, deflazacort, The risk or severity of tendinopathy can be increased when Deflazacort is combined with Ofloxacin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Ofloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Dexchlorpheniramine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ofloxacin.]
[M01AH02, rofecoxib, Rofecoxib may increase the neuroexcitatory activities of Ofloxacin.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Dronedarone.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Ofloxacin.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Ofloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Ofloxacin.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Ofloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Ofloxacin is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Ofloxacin.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Ofloxacin.]
[L01FX15, belantamab mafodotin, Ofloxacin may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Ofloxacin.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Ofloxacin.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Ofloxacin which could result in a higher serum level.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Ofloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Ofloxacin.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Ofloxacin.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Ofloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Ofloxacin.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ofloxacin is combined with Etofibrate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Ofloxacin.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Ofloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Ofloxacin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Ofloxacin.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Ofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
