[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Ephedrine.]
[C09CA09, azilsartan medoxomil, Ephedrine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the neuromuscular blocking activities of Ephedrine.]
[S01AA05, tyrothricin, Tyrothricin may increase the neuromuscular blocking activities of Ephedrine.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Ephedrine is combined with Indacaterol.]
[C08DA01, verapamil, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Verapamil.]
[C04AX07, vincamine, Ephedrine may decrease the antihypertensive activities of Vincamine.]
[N01AX15, xenon, Ephedrine may increase the arrhythmogenic activities of Xenon.]
[C03BA10, xipamide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Xipamide.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Zuclopenthixol.]
[N05AE04, ziprasidone, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Ephedrine.]
[G04BD07, tolterodine, The risk or severity of Tachycardia can be increased when Tolterodine is combined with Ephedrine.]
[C07AB03, atenolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Atenolol.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Ephedrine.]
[H02AB11, prednylidene, Ephedrine may increase the excretion rate of Prednylidene which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Ephedrine is combined with Mirabegron.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Ephedrine is combined with Octopamine.]
[H02AA01, aldosterone, Ephedrine may increase the excretion rate of Aldosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AA01, acetyldigitoxin, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Acetyldigitoxin.]
[N04BD02, rasagiline, The risk or severity of hypertension can be increased when Ephedrine is combined with Rasagiline.]
[C08CA13, lercanidipine, Ephedrine may decrease the antihypertensive activities of Lercanidipine.]
[N06DA02, donepezil, Donepezil may increase the neuromuscular blocking activities of Ephedrine.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Ephedrine.]
[R06AC06, thonzylamine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of Tachycardia can be increased when Darifenacin is combined with Ephedrine.]
[N01AA01, ethyl ether, Ephedrine may increase the arrhythmogenic activities of Diethyl ether.]
[C03AA01, bendroflumethiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Bendroflumethiazide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Ephedrine is combined with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Canagliflozin.]
[H03AA04, tiratricol, The risk or severity of adverse effects can be increased when Ephedrine is combined with Tiratricol.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Ephedrine.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Naratriptan is combined with Ephedrine.]
[N04AC01, benztropine, The risk or severity of Tachycardia can be increased when Benzatropine is combined with Ephedrine.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Ephedrine is combined with Benzydamine.]
[H05AA03, parathyroid hormone, The risk or severity of adverse effects can be increased when Ephedrine is combined with Parathyroid hormone.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the tachycardic activities of Ephedrine.]
[C08EA02, bepridil, Ephedrine may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Ephedrine may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Ephedrine may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of hypertension can be increased when Ephedrine is combined with Vortioxetine.]
[A10BK01, dapagliflozin, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Dapagliflozin.]
[C01CA27, droxidopa, The therapeutic efficacy of Ephedrine can be increased when used in combination with Droxidopa.]
[C07AB04, acebutolol, The therapeutic efficacy of Acebutolol can be increased when used in combination with Ephedrine.]
[A16AA06, betaine, Betaine may increase the neuromuscular blocking activities of Ephedrine.]
[S03BA03, betamethasone, Ephedrine may increase the excretion rate of Betamethasone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01ED02, betaxolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Betaxolol.]
[C02CC01, bethanidine, Ephedrine may decrease the antihypertensive activities of Bethanidine.]
[A03BA03, hyoscyamine, The risk or severity of Tachycardia can be increased when Hyoscyamine is combined with Ephedrine.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Ephedrine is combined with Olodaterol.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia can be increased when Glycopyrronium is combined with Ephedrine.]
[N05AA04, acepromazine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Acepromazine.]
[N04AA02, biperiden, The risk or severity of Tachycardia can be increased when Biperiden is combined with Ephedrine.]
[N06AX11, mirtazapine, Mirtazapine may decrease the hypertensive activities of Ephedrine.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Difemerine.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Ephedrine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Ephedrine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Ephedrine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Ephedrine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Acetazolamide.]
[B01AC27, selexipag, Ephedrine may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Alfuzosin.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Ephedrine is combined with Alminoprofen.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypertensive and vasoconstricting activities of Ephedrine.]
[R06AB01, brompheniramine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Dexbrompheniramine.]
[N06AA19, amineptin, The risk or severity of hypertension can be increased when Amineptine is combined with Ephedrine.]
[C08CA01, amlodipine, Ephedrine may decrease the antihypertensive activities of Amlodipine.]
[C03CA02, bumetanide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Bumetanide.]
[C07AA19, bupranolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Bupranolol.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Ephedrine.]
[N06DA03, rivastigmine, Rivastigmine may increase the neuromuscular blocking activities of Ephedrine.]
[R06AX09, azatadine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Azatadine.]
[S01GX07, azelastine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Azelastine.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Ephedrine.]
[R03CC12, bambuterol, Bambuterol may increase the neuromuscular blocking activities of Ephedrine.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Bamifylline.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Ephedrine is combined with Caffeine.]
[C09AA07, benazepril, Ephedrine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The serum concentration of Ephedrine can be increased when it is combined with Oxybuprocaine.]
[R05DB01, benzonatate, The serum concentration of Ephedrine can be increased when it is combined with Benzonatate.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Ephedrine.]
[H03BA03, benzylthiouracil, The risk or severity of adverse effects can be increased when Ephedrine is combined with Benzylthiouracil.]
[H05AA04, abaloparatide, The risk or severity of adverse effects can be increased when Ephedrine is combined with Abaloparatide.]
[N04BD03, safinamide, The risk or severity of hypertension can be increased when Ephedrine is combined with Safinamide.]
[C07AB07, bisoprolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Ephedrine.]
[C07AA17, bopindolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Bopindolol.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Bornaprine.]
[C03DA03, canrenone, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Canrenone.]
[R03BA02, budesonide, Ephedrine may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX20, buflomedil, Buflomedil may decrease the hypertensive activities of Ephedrine.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Ephedrine is combined with Bumadizone.]
[N06AA15, butriptyline, The risk or severity of hypertension can be increased when Butriptyline is combined with Ephedrine.]
[C01AA02, acetyldigoxins, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Acetyldigoxin.]
[N01BX04, capsaicin, Capsaicin may increase the neuromuscular blocking activities of Ephedrine.]
[A10BK04, ertugliflozin, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Ertugliflozin.]
[R06AX18, acrivastine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Acrivastine.]
[C09AA01, captopril, Ephedrine may decrease the antihypertensive activities of Captopril.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Camylofin.]
[H03BB01, carbimazole, The risk or severity of adverse effects can be increased when Ephedrine is combined with Carbimazole.]
[R06AA08, carbinoxamine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Carbinoxamine.]
[C07AG02, carvedilol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of hypertension can be increased when Ephedrine is combined with Cannabidiol.]
[C07AB08, celiprolol, The therapeutic efficacy of Celiprolol can be increased when used in combination with Ephedrine.]
[S01GX12, cetirizine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Cetirizine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Ephedrine is combined with Chloroprocaine.]
[R06AC03, chloropyramine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Chloropyramine.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Ephedrine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Oxtriphylline.]
[C09AA08, cilazapril, Ephedrine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of Tachycardia can be increased when Cilostazol is combined with Ephedrine.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Ephedrine is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Ephedrine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Ephedrine is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Ephedrine.]
[H02AB14, cloprednol, Ephedrine may increase the excretion rate of Cloprednol which could result in a lower serum level and potentially a reduction in efficacy.]
[C09CA06, candesartan, Ephedrine may decrease the antihypertensive activities of Candesartan.]
[H02AB17, cortivazol, Ephedrine may increase the excretion rate of Cortivazol which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BX03, cicletanine, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Cicletanine.]
[C03AA09, cyclothiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the hypertensive activities of Ephedrine.]
[H02AB13, deflazacort, Ephedrine may increase the excretion rate of Deflazacort which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB06, dexbrompheniramine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Dexchlorpheniramine.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Frovatriptan is combined with Ephedrine.]
[G04CB02, dutasteride, Dutasteride may decrease the hypertensive activities of Ephedrine.]
[D07AC19, difluprednate, Ephedrine may increase the excretion rate of Difluprednate which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CC06, eletriptan, The risk or severity of hypertension can be increased when Eletriptan is combined with Ephedrine.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Ephedrine.]
[C08CA16, clevidipine, The serum concentration of Clevidipine can be increased when it is combined with Ephedrine.]
[C01BD07, dronedarone, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Dronedarone.]
[R06AA07, diphenylpyraline, The therapeutic efficacy of Ephedrine can be increased when used in combination with Diphenylpyraline.]
[R06AE04, chlorcyclizine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Chlorcyclizine.]
[C02AA06, methoserpidine, Ephedrine may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Ephedrine is combined with Dopexamine.]
[D07XB03, fluprednidene, Ephedrine may increase the excretion rate of Fluprednidene which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD09, trospium, The risk or severity of Tachycardia can be increased when Trospium is combined with Ephedrine.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Ephedrine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Ephedrine is combined with Selpercatinib.]
[S01BA14, loteprednol, Ephedrine may increase the excretion rate of Loteprednol which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Ephedrine is combined with Dexketoprofen.]
[C08CA17, levamlodipine, Ephedrine may decrease the antihypertensive activities of Levamlodipine.]
[R06AX22, ebastine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Ebastine.]
[C03AA04, chlorothiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Chlorothiazide.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the neuromuscular blocking activities of Ephedrine.]
[N05AF03, chlorprothixene, The risk or severity of Tachycardia can be increased when Chlorprothixene is combined with Ephedrine.]
[C03BA04, chlorthalidone, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Chlorthalidone.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Ephedrine is combined with Ethenzamide.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Ephedrine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Ephedrine is combined with Etofenamate.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Ephedrine is combined with Naxitamab.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Ephedrine is combined with Fenbufen.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Ephedrine is combined with Fenethylline.]
[C01CA19, fenoldopam, Ephedrine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The therapeutic efficacy of Fenozolone can be increased when used in combination with Ephedrine.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Finasteride is combined with Ephedrine.]
[R03BA03, flunisolide, Ephedrine may increase the excretion rate of Flunisolide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC15, formoterol, Ephedrine may increase the sympathomimetic activities of Formoterol.]
[N01AB05, trichloroethylene, Ephedrine may increase the arrhythmogenic activities of Trichloroethylene.]
[H04AA02, dasiglucagon, Ephedrine may decrease the antihypertensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of adverse effects can be increased when Ephedrine is combined with Follitropin.]
[L01XA01, cisplatin, Cisplatin may increase the neuromuscular blocking activities of Ephedrine.]
[C03DA05, finerenone, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Finerenone.]
[R06AA04, clemastine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Clemastine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be increased when used in combination with Ephedrine.]
[N06AA04, clomipramine, The risk or severity of hypertension can be increased when Clomipramine is combined with Ephedrine.]
[S01EA04, clonidine, Ephedrine may decrease the antihypertensive activities of Clonidine.]
[C03BA03, clopamide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Clopamide.]
[N05AH02, clozapine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Clozapine.]
[S02DA02, cocaine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Ephedrine.]
[C02KB01, metyrosine, Ephedrine may decrease the antihypertensive activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Ephedrine is combined with Proquazone.]
[M03AC05, hexafluorenium, Hexafluronium may increase the neuromuscular blocking activities of Ephedrine.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Homatropine methylbromide is combined with Ephedrine.]
[N01AB07, desflurane, Ephedrine may increase the arrhythmogenic activities of Desflurane.]
[C04AX28, ifenprodil, Ifenprodil may decrease the hypertensive activities of Ephedrine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Ephedrine is combined with Imidazole salicylate.]
[R03BA08, ciclesonide, Ephedrine may increase the excretion rate of Ciclesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Ephedrine is combined with Indobufen.]
[R06AX27, desloratadine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Ephedrine.]
[H01AX01, pegvisomant, Pegvisomant may increase the neuromuscular blocking activities of Ephedrine.]
[C01AA06, lanatoside C, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Lanatoside C.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Ephedrine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of hypertension can be increased when Almotriptan is combined with Ephedrine.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Ephedrine is combined with Parecoxib.]
[R06AD09, isothipendyl, The therapeutic efficacy of Ephedrine can be increased when used in combination with Isothipendyl.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Ephedrine is combined with Kebuzone.]
[C08CA09, lacidipine, Ephedrine may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of Tachycardia can be increased when Lamotrigine is combined with Ephedrine.]
[S01BA03, cortisone, Ephedrine may increase the excretion rate of Cortisone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BC04, lofexidine, Ephedrine may decrease the antihypertensive activities of Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Ephedrine is combined with Lonazolac.]
[R06AX13, loratadine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Loratadine.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Ephedrine is combined with Loxoprofen.]
[C09AA03, lisinopril, Ephedrine may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, Ephedrine may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Mebeverine.]
[R06AX15, mebhydroline, The therapeutic efficacy of Ephedrine can be increased when used in combination with Mebhydrolin.]
[S01BA08, medrysone, Ephedrine may increase the excretion rate of Medrysone which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA09, mefenorex, The therapeutic efficacy of Mefenorex can be increased when used in combination with Ephedrine.]
[C07AA14, mepindolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Mepindolol.]
[H02AB15, meprednisone, Ephedrine may increase the excretion rate of Meprednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD07, mequitazine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Mequitazine.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Ephedrine.]
[R06AD04, methdilazine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Methdilazine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Ephedrine.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Methoxyphenamine can be increased when used in combination with Ephedrine.]
[R06AE03, cyclizine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Cyclizine.]
[C03DA04, eplerenone, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Eplerenone.]
[C03AA07, cyclopenthiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Cyclopenthiazide.]
[N06AX07, minaprine, Minaprine may increase the neuromuscular blocking activities of Ephedrine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Ephedrine.]
[N06AG02, moclobemide, The risk or severity of hypertension can be increased when Moclobemide is combined with Ephedrine.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Cyproheptadine.]
[C09AA13, moexipril, Ephedrine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Ephedrine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Ephedrine is combined with Morniflumate.]
[C03XA02, conivaptan, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Conivaptan.]
[C02AC05, moxonidine, Ephedrine may decrease the antihypertensive activities of Moxonidine.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Ephedrine is combined with Etoricoxib.]
[C02CC04, debrisoquin, Ephedrine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of Tachycardia can be increased when Nabilone is combined with Ephedrine.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Ephedrine.]
[C07AB12, nebivolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Nebivolol.]
[N06AX06, nefazodone, Nefazodone may increase the tachycardic activities of Ephedrine.]
[C01DX16, nicorandil, Ephedrine may decrease the antihypertensive activities of Nicorandil.]
[C01CA23, theodrenaline, The therapeutic efficacy of Ephedrine can be increased when used in combination with Theodrenaline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Ephedrine is combined with Norfenefrine.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Ephedrine is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Ephedrine.]
[N06AA01, desipramine, The risk or severity of hypertension can be increased when Desipramine is combined with Ephedrine.]
