[S02DA03, antipyrine, The metabolism of Procainamide can be decreased when combined with Antipyrine.]
[R03DX07, roflumilast, Roflumilast may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Vandetanib.]
[R02AA14, oxyquinoline, Oxyquinoline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Procainamide can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Procainamide can be increased when it is combined with Linagliptin.]
[J05AG05, rilpivirine, The metabolism of Procainamide can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Vancomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B01AF01, rivaroxaban, Rivaroxaban may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Procainamide.]
[C08DA01, verapamil, Verapamil may increase the arrhythmogenic activities of Procainamide.]
[N06AX09, viloxazine, The metabolism of Procainamide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Procainamide can be decreased when combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Vincristine is combined with Procainamide.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B01AA03, warfarin, Warfarin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Procainamide can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Procainamide.]
[J05AF01, zidovudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Procainamide.]
[N05AF05, zuclopenthixol, The metabolism of Procainamide can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Indinavir is combined with Procainamide.]
[L01EC01, vemurafenib, The metabolism of Procainamide can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Crizotinib is combined with Procainamide.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Procainamide.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Procainamide.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Ruxolitinib may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G04BD07, tolterodine, The metabolism of Procainamide can be decreased when combined with Tolterodine.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Procainamide.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Procainamide.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Procainamide.]
[S01FA01, atropine, Atropine may increase the arrhythmogenic activities of Procainamide.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[H02AB11, prednylidene, The therapeutic efficacy of Procainamide can be decreased when used in combination with Prednylidene.]
[B03XA04, peginesatide, Peginesatide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Procainamide can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Procainamide can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Procainamide can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, Enzalutamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A02AA05, magnesium silicate, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Magnesium silicate.]
[H02AA01, aldosterone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Aldosterone.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Procainamide.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may increase the arrhythmogenic activities of Procainamide.]
[D02BA02, octinoxate, Octinoxate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Procainamide.]
[N04BD02, rasagiline, Rasagiline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Procainamide.]
[N06DA02, donepezil, The metabolism of Procainamide can be decreased when combined with Donepezil.]
[R06AC06, thonzylamine, The therapeutic efficacy of Thonzylamine can be decreased when used in combination with Procainamide.]
[G04BD10, darifenacin, The metabolism of Procainamide can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Fludeoxyglucose (18F) may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Procainamide.]
[G04BE03, sildenafil, The metabolism of Procainamide can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Procainamide.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Procainamide.]
[C04AX11, bencyclane, Procainamide may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The metabolism of Procainamide can be decreased when combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Procainamide can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Pomalidomide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Procainamide can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Procainamide.]
[A12CC09, magnesium orotate, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Magnesium orotate.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Procainamide.]
[A06AX06, tegaserod, The metabolism of Procainamide can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Procainamide can be decreased when combined with Benzocaine.]
[L03AA12, ancestim, Ancestim may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Procainamide can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Procainamide can be decreased when combined with Everolimus.]
[A12CC05, magnesium aspartate, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Magnesium aspartate.]
[N04AC01, benztropine, The metabolism of Procainamide can be decreased when combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Procainamide can be increased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EE01, trametinib, Trametinib may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Procainamide can be decreased when combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Florbetapir (18F) may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Procainamide can be decreased when combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The serum concentration of Procainamide can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, Procainamide may increase the arrhythmogenic activities of Bepridil.]
[A10BJ03, lixisenatide, Lixisenatide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C02KX04, macitentan, Macitentan may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Procainamide can be decreased when combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Procainamide can be decreased when combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AP08, sofosbuvir, Sofosbuvir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Procainamide can be decreased when combined with Dapagliflozin.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C07AB04, acebutolol, Procainamide may increase the arrhythmogenic activities of Acebutolol.]
[N05CH03, tasimelteon, Tasimelteon may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L04AA32, apremilast, The metabolism of Procainamide can be increased when combined with Apremilast.]
[L02BG02, formestane, Formestane may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S03BA03, betamethasone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Procainamide.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Procainamide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Ceritinib is combined with Procainamide.]
[A03BA03, hyoscyamine, Hyoscyamine may increase the arrhythmogenic activities of Procainamide.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Procainamide.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[D11AA01, glycopyrronium, The therapeutic efficacy of Glycopyrronium can be decreased when used in combination with Procainamide.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A16AX10, eliglustat, The risk or severity of Cardiac Arrhythmia can be increased when Eliglustat is combined with Procainamide.]
[J01XA05, oritavancin, The metabolism of Procainamide can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V04CX03, methacholine, The risk or severity of adverse effects can be increased when Procainamide is combined with Methacholine.]
[N04AA02, biperiden, The metabolism of Procainamide can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Procainamide can be decreased when combined with Pirfenidone.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Procainamide.]
[J05AP09, dasabuvir, The metabolism of Procainamide can be decreased when combined with Dasabuvir.]
[B01AF03, edoxaban, Edoxaban may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Procainamide can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Procainamide can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Procainamide.]
[L01XH03, panobinostat, The metabolism of Procainamide can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Procainamide can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03AA09, difemerine, The therapeutic efficacy of Difemerine can be decreased when used in combination with Procainamide.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Procainamide can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The metabolism of Procainamide can be decreased when combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Procainamide can be decreased when combined with Rolapitant.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Acipimox.]
[A02BC03, lansoprazole, The metabolism of Procainamide can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Idarucizumab may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Procainamide.]
[J02AC05, isavuconazole, The metabolism of Procainamide can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Procainamide.]
[L01XG03, ixazomib, Ixazomib may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Procainamide.]
[M04AB05, lesinurad, Lesinurad may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CA05, aprobarbital, The therapeutic efficacy of Aprobarbital can be decreased when used in combination with Procainamide.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N03AX23, brivaracetam, Brivaracetam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05BA08, bromazepam, Bromazepam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, The risk or severity of neuromuscular blockade can be increased when Procainamide is combined with Magnesium Aluminum Silicate.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Procainamide.]
[C08CA01, amlodipine, Amlodipine may increase the arrhythmogenic activities of Procainamide.]
[C03CA02, bumetanide, Bumetanide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N01BB01, bupivacaine, The metabolism of Procainamide can be decreased when combined with Bupivacaine.]
[C07AA19, bupranolol, Procainamide may increase the arrhythmogenic activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Procainamide can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Procainamide.]
[N05BE01, buspirone, The metabolism of Procainamide can be decreased when combined with Buspirone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Procainamide.]
[S01GX07, azelastine, The metabolism of Procainamide can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Procainamide can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Procainamide.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03CC12, bambuterol, Procainamide may increase the neuromuscular blocking activities of Bambuterol.]
[A06AH05, naldemedine, Naldemedine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Procainamide can be decreased when combined with Deutetrabenazine.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01HA02, benoxinate, Procainamide may increase the neuromuscular blocking activities of Oxybuprocaine.]
[R05DB01, benzonatate, Procainamide may increase the neuromuscular blocking activities of Benzonatate.]
[P01CA02, benznidazole, Benznidazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Procainamide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Procainamide can be decreased when combined with Valbenazine.]
[L04AB02, infliximab, The metabolism of Procainamide can be increased when combined with Infliximab.]
[L01ED04, brigatinib, The excretion of Procainamide can be decreased when combined with Brigatinib.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Procainamide is combined with Bethanechol.]
[J01MA23, delafloxacin, Delafloxacin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[P03AC02, bioallethrin, Procainamide may increase the arrhythmogenic activities of Bioallethrin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Procainamide is combined with Acetylcholine.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Procainamide can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Procainamide.]
[L01EM02, copanlisib, The excretion of Procainamide can be decreased when combined with Copanlisib.]
[L01EF03, abemaciclib, The excretion of Procainamide can be decreased when combined with Abemaciclib.]
[C07AB07, bisoprolol, The therapeutic efficacy of Procainamide can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Procainamide.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Procainamide can be decreased when combined with Bopindolol.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Procainamide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CA03, butobarbital, The therapeutic efficacy of Butobarbital can be decreased when used in combination with Procainamide.]
[J05AX18, letermovir, The metabolism of Procainamide can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Procainamide.]
[C01AA02, acetyldigoxins, Procainamide may increase the arrhythmogenic activities of Acetyldigoxin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Acrivastine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Procainamide is combined with Captopril.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Procainamide is combined with Carbamoylcholine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Macimorelin.]
[L02BB05, apalutamide, The excretion of Procainamide can be decreased when combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A03AA03, camylofine, The therapeutic efficacy of Camylofin can be decreased when used in combination with Procainamide.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Procainamide.]
