[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bortezomib.]
[G03BA03, testosterone, The metabolism of Bortezomib can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Bortezomib can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Bortezomib can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Bortezomib.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Bortezomib.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Bortezomib.]
[P02CA02, thiabendazole, The metabolism of Bortezomib can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Bortezomib is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Tioguanine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Bortezomib.]
[N05AC02, thioridazine, The metabolism of Bortezomib can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Bortezomib.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Bortezomib.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Timolol.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Bortezomib.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Bortezomib.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Bortezomib.]
[N06AF04, tranylcypromine, The metabolism of Bortezomib can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Bortezomib.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Bortezomib.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Bortezomib can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Bortezomib.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Bortezomib.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Bortezomib.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Trifluridine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Bortezomib is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Bortezomib can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Bortezomib.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Bortezomib.]
[R06AC04, tripelennamine, The metabolism of Bortezomib can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Triprolidine.]
[J01FA08, troleandomycin, The metabolism of Bortezomib can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Bortezomib can be decreased when combined with Vilazodone.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Bortezomib.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Belimumab.]
[L01EX04, vandetanib, The serum concentration of Bortezomib can be increased when it is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Bortezomib can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Bortezomib can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Bortezomib can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Bortezomib can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Bortezomib can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Bortezomib.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Bortezomib is combined with Belatacept.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ezogabine.]
[B01AF01, rivaroxaban, The serum concentration of Bortezomib can be increased when it is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Indacaterol.]
[B01AC24, ticagrelor, The serum concentration of Bortezomib can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Bortezomib can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Bortezomib can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Bortezomib can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Vincristine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Vindesine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Bortezomib.]
[A11HA03, vitamin E, The metabolism of Bortezomib can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Bortezomib can be increased when combined with Warfarin.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Bortezomib can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Bortezomib can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Bortezomib can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Bortezomib can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Bortezomib can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Bortezomib.]
[R03DC01, zafirlukast, The metabolism of Bortezomib can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Bortezomib.]
[S01XA15, ascorbic acid, The therapeutic efficacy of Bortezomib can be decreased when used in combination with Ascorbic acid.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Bortezomib can be decreased when combined with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Bortezomib.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Bortezomib.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ruxolitinib.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Tolterodine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Bortezomib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Bortezomib.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Bortezomib.]
[J02AC03, voriconazole, The metabolism of Bortezomib can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Bortezomib.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Bortezomib.]
[R07AX02, ivacaftor, The serum concentration of Bortezomib can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Bortezomib can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Bortezomib.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Gemcitabine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Bortezomib.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Bortezomib.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Bortezomib.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Bortezomib is combined with Pertuzumab.]
[A08AA11, lorcaserin, The metabolism of Bortezomib can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Bortezomib can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Bortezomib can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Bortezomib can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Bortezomib can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Bortezomib can be increased when combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bortezomib can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Bortezomib can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Bortezomib.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Bortezomib is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Bortezomib is combined with Aldosterone.]
[L01EX05, regorafenib, The serum concentration of Bortezomib can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Bortezomib can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Bortezomib.]
[J05AE04, nelfinavir, The metabolism of Bortezomib can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Bortezomib.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Bortezomib.]
[N03AX22, perampanel, The metabolism of Bortezomib can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, Bortezomib may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Bortezomib.]
[G04BD10, darifenacin, The metabolism of Bortezomib can be decreased when combined with Darifenacin.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Bortezomib.]
[H01CB05, pasireotide, The metabolism of Bortezomib can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Bortezomib can be increased when it is combined with Sildenafil.]
[L01EA05, ponatinib, The serum concentration of Bortezomib can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Bortezomib.]
[C10AX12, lomitapide, The serum concentration of Bortezomib can be increased when it is combined with Lomitapide.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Bortezomib.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Bortezomib can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Bortezomib.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Bortezomib can be decreased when combined with Ospemifene.]
[A10BK02, canagliflozin, The serum concentration of Bortezomib can be increased when it is combined with Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Bortezomib is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The metabolism of Bortezomib can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Bortezomib can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Bortezomib can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Bortezomib can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Bortezomib can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The serum concentration of Bortezomib can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Bortezomib can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Benzyl alcohol.]
[L01EB03, afatinib, The serum concentration of Bortezomib can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Bortezomib.]
[J05AJ03, dolutegravir, The serum concentration of Bortezomib can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Bepridil.]
[C02KX05, riociguat, The serum concentration of Bortezomib can be increased when it is combined with Riociguat.]
[L03AA14, lipegfilgrastim, Bortezomib may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Bortezomib.]
[N03AF04, eslicarbazepine, The metabolism of Bortezomib can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The serum concentration of Bortezomib can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Bortezomib can be increased when it is combined with Sofosbuvir.]
[A10BK01, dapagliflozin, The metabolism of Bortezomib can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, The metabolism of Bortezomib can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Bortezomib can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Bortezomib can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Bortezomib can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Bortezomib can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Bortezomib can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Bortezomib.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Bortezomib.]
[L04AC11, siltuximab, The metabolism of Bortezomib can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Bortezomib can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The serum concentration of Bortezomib can be increased when it is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Vedolizumab.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Bortezomib.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Bortezomib is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Idelalisib.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Bortezomib is combined with Peginterferon beta-1a.]
[N05CM19, suvorexant, The serum concentration of Bortezomib can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The metabolism of Bortezomib can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Bortezomib can be increased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Decitabine.]
[N04AA02, biperiden, The metabolism of Bortezomib can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Bortezomib can be decreased when combined with Nintedanib.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Blinatumomab.]
[J05AP09, dasabuvir, The serum concentration of Bortezomib can be increased when it is combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Bortezomib can be decreased when combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Bortezomib.]
[B01AF03, edoxaban, The serum concentration of Bortezomib can be increased when it is combined with Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Bortezomib can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Bortezomib can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Bortezomib can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Bortezomib can be increased when it is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Bortezomib can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The serum concentration of Bortezomib can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Bortezomib can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bortezomib is combined with Bleomycin.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Bortezomib.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Bortezomib can be decreased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Bortezomib.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Bortezomib.]
[A04AD14, rolapitant, The metabolism of Bortezomib can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Bortezomib can be increased when it is combined with Flibanserin.]
[S01EC01, acetazolamide, The metabolism of Bortezomib can be decreased when combined with Acetazolamide.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Bortezomib.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Bortezomib.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Mepolizumab.]
[J02AC05, isavuconazole, The serum concentration of Bortezomib can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Bortezomib can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The metabolism of Bortezomib can be decreased when combined with Tenofovir alafenamide.]
[L01EE02, cobimetinib, The metabolism of Bortezomib can be decreased when combined with Cobimetinib.]
[B01AC27, selexipag, The serum concentration of Bortezomib can be increased when it is combined with Selexipag.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Bortezomib.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Alfuzosin.]
[M04AB05, lesinurad, The metabolism of Bortezomib can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The serum concentration of Bortezomib can be increased when it is combined with Elbasvir.]
[J05AP11, grazoprevir, The serum concentration of Bortezomib can be increased when it is combined with Grazoprevir.]
[N05CA05, aprobarbital, The metabolism of Bortezomib can be increased when combined with Aprobarbital.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Bortezomib.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ixekizumab.]
[L01XX52, venetoclax, The serum concentration of Bortezomib can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Bortezomib.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dexbrompheniramine.]
[N05AX17, pimavanserin, The metabolism of Bortezomib can be decreased when combined with Pimavanserin.]
[A05AA04, obeticholic acid, The metabolism of Bortezomib can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Bortezomib can be decreased when combined with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Buserelin.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Bortezomib.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Bortezomib is combined with Busulfan.]
[L01XX27, arsenic trioxide, The serum concentration of Bortezomib can be increased when it is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Bortezomib.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Azatadine.]
[S01GX07, azelastine, The metabolism of Bortezomib can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Bortezomib can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Bortezomib can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Bortezomib can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Bortezomib.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Bortezomib.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Pregabalin.]
[N06BC01, caffeine, The metabolism of Bortezomib can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Bortezomib can be increased when combined with Calcitriol.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Bortezomib.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Bortezomib is combined with Linezolid.]
[J05AE09, tipranavir, The metabolism of Bortezomib can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Bortezomib.]
[L04AB02, infliximab, The metabolism of Bortezomib can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Bortezomib can be increased when combined with Midostaurin.]
[L04AC14, sarilumab, The metabolism of Bortezomib can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Delafloxacin.]
[B01AF04, betrixaban, The serum concentration of Bortezomib can be increased when it is combined with Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Bortezomib is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Bortezomib can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Bortezomib is combined with Capecitabine.]
[L01XX59, enasidenib, The serum concentration of Bortezomib can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Bortezomib can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Bortezomib.]
[L01XH01, vorinostat, The therapeutic efficacy of Bortezomib can be increased when used in combination with Vorinostat.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Bortezomib.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Bortezomib.]
[C07AB07, bisoprolol, The serum concentration of Bortezomib can be increased when it is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Bortezomib can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Bortezomib.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Bortezomib.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Bortezomib is combined with Raltitrexed.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Bortezomib.]
[R03BA02, budesonide, The metabolism of Bortezomib can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Bortezomib.]
[L01EL02, acalabrutinib, The metabolism of Bortezomib can be decreased when combined with Acalabrutinib.]
