[P02BB01, trichlorfon, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Metrifonate.]
[S01AA05, tyrothricin, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Vandetanib.]
[J05AG05, rilpivirine, The metabolism of Isoflurane can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Indacaterol.]
[C08DA01, verapamil, The risk or severity of myocardial depression can be increased when Verapamil is combined with Isoflurane.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Viloxazine.]
[C04AX07, vincamine, Isoflurane may decrease the antihypertensive activities of Vincamine.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Isoflurane.]
[C03BA10, xipamide, Isoflurane may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Isoflurane.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Isoflurane is combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Isoflurane may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Isoflurane.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Isoflurane is combined with Atracurium.]
[S01FA01, atropine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BE10, avanafil, The risk or severity of hypotension can be increased when Avanafil is combined with Isoflurane.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Mirabegron.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Isoflurane.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Isoflurane is combined with Octopamine.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Isoflurane.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Isoflurane.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Isoflurane is combined with Rasagiline.]
[C08CA13, lercanidipine, Isoflurane may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Isoflurane is combined with Mosapride.]
[N06DA02, donepezil, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Isoflurane.]
[R06AC06, thonzylamine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Isoflurane.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Isoflurane is combined with Diethyl ether.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Isoflurane can be decreased when combined with Sildenafil.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, Isoflurane may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Isoflurane.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Isoflurane is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Benperidol.]
[A10BK02, canagliflozin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Moxifloxacin.]
[A06AX06, tegaserod, The therapeutic efficacy of Tegaserod can be decreased when used in combination with Isoflurane.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Benzocaine.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Isoflurane.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Isoflurane is combined with Naratriptan.]
[N04AC01, benztropine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Isoflurane can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Isoflurane is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Isoflurane is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Bepridil.]
[C02KX05, riociguat, Isoflurane may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Isoflurane may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Isoflurane is combined with Droxidopa.]
[C07AB04, acebutolol, Isoflurane may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Isoflurane can be increased when combined with Apremilast.]
[A16AA06, betaine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The metabolism of Isoflurane can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Isoflurane may decrease the antihypertensive activities of Betaxolol.]
[V03AB34, fomepizole, The metabolism of Isoflurane can be decreased when combined with Fomepizole.]
[C02CC01, bethanidine, Isoflurane may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Isoflurane can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ceritinib.]
[A03BA03, hyoscyamine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Olodaterol.]
[D11AA01, glycopyrronium, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Eliglustat.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Acepromazine.]
[V04CX03, methacholine, Isoflurane may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Isoflurane.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Naloxegol.]
[N04AA02, biperiden, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Isoflurane.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Isoflurane.]
[N06AX11, mirtazapine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Isoflurane can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Panobinostat.]
[N02BE01, acetaminophen, Isoflurane may increase the hepatotoxic activities of Acetaminophen.]
[A03AA09, difemerine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Isoflurane.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Isoflurane is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Isoflurane is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Isoflurane.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Isoflurane is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Isoflurane is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Acetophenazine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Isoflurane.]
[J02AC05, isavuconazole, The metabolism of Isoflurane can be increased when combined with Isavuconazole.]
[B01AC27, selexipag, Isoflurane may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Isoflurane.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Isoflurane is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Isoflurane is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Isoflurane.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Isoflurane is combined with Amineptine.]
[C08CA01, amlodipine, Isoflurane may decrease the antihypertensive activities of Amlodipine.]
[N01AH05, anileridine, The therapeutic efficacy of Anileridine can be increased when used in combination with Isoflurane.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Aniracetam.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Isoflurane.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Bupranolol.]
[N07BC01, buprenorphine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Buserelin.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Isoflurane.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Isoflurane.]
[S01GX07, azelastine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Azithromycin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Isoflurane.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Isoflurane is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Bambuterol.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Isoflurane can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Beclamide.]
[C09AA07, benazepril, Isoflurane may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Isoflurane is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Isoflurane is combined with Linezolid.]
[L04AB02, infliximab, The metabolism of Isoflurane can be increased when combined with Infliximab.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Safinamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Delafloxacin.]
[D01AC10, bifonazole, The metabolism of Isoflurane can be decreased when combined with Bifonazole.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Isoflurane.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Vorinostat.]
[C07AB07, bisoprolol, Isoflurane may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Isoflurane is combined with Bitolterol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Isoflurane.]
[C07AA17, bopindolol, Isoflurane may increase the cardiodepressant activities of Bopindolol.]
[N04AA11, bornaprine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Isoflurane is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Isoflurane is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Isoflurane is combined with Butobarbital.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Isoflurane is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Acrivastine.]
[C09AA01, captopril, Isoflurane may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Macimorelin.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Isoflurane.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Isoflurane.]
[A03AA03, camylofine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Isoflurane.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Isoflurane.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Isoflurane.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Isoflurane.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Encorafenib.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ivosidenib.]
[N03AX17, stiripentol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Isoflurane.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Isoflurane is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Isoflurane is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Isoflurane.]
[R03BB08, revefenacin, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Isoflurane can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Isoflurane is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Isoflurane.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Cibenzoline.]
[C09AA08, cilazapril, Isoflurane may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Isoflurane is combined with Cinitapride.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Isoflurane.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Isoflurane is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Isoflurane.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Isoflurane.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Isoflurane.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Cloxazolam.]
[C09CA06, candesartan, Isoflurane may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Isoflurane can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Isoflurane can be increased when combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Isoflurane.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Entrectinib.]
[N07XX11, pitolisant, Isoflurane may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Isoflurane.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Isoflurane.]
