[G03XB02, ulipristal, The serum concentration of Ulipristal can be decreased when it is combined with Demeclocycline.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Bupivacaine.]
[J01CE04, azidocillin, The therapeutic efficacy of Azidocillin can be decreased when used in combination with Demeclocycline.]
[J01CA06, bacampicillin, The therapeutic efficacy of Bacampicillin can be decreased when used in combination with Demeclocycline.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BA03, calcium chloride, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium chloride.]
[D11AX03, calcium gluconate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium gluconate.]
[A12AA01, calcium phosphate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium Phosphate.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01AA02, acetyldigoxins, Demeclocycline can cause an increase in the absorption of Acetyldigoxin resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Capsaicin.]
[A06AC08, calcium polycarbophil, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium polycarbophil.]
[J01CA03, carbenicillin, The therapeutic efficacy of Carbenicillin can be decreased when used in combination with Demeclocycline.]
[J01GB14, plazomicin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Plazomicin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Chloroprocaine.]
[A09AB04, citric acid, The therapeutic efficacy of Demeclocycline can be decreased when used in combination with Citric acid.]
[J01AA11, clomocycline, The risk or severity of neuromuscular blockade can be increased when Clomocycline is combined with Demeclocycline.]
[V03AE07, calcium acetate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium acetate.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CF03, methicillin, The therapeutic efficacy of Meticillin can be decreased when used in combination with Demeclocycline.]
[G03DB05, demegestone, The serum concentration of Demegestone can be decreased when it is combined with Demeclocycline.]
[G03AC09, desogestrel, The serum concentration of Desogestrel can be decreased when it is combined with Demeclocycline.]
[G03DB08, dienogest, The serum concentration of Dienogest can be decreased when it is combined with Demeclocycline.]
[L01XF03, bexarotene, The risk or severity of pseudotumor cerebri can be increased when Bexarotene is combined with Demeclocycline.]
[V03AE03, lanthanum carbonate, The serum concentration of Demeclocycline can be decreased when it is combined with Lanthanum carbonate.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Dyclonine.]
[P01BA01, chloroquine, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Demeclocycline.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03DC06, ethynodiol, The serum concentration of Etynodiol can be decreased when it is combined with Demeclocycline.]
[V08CA07, ferric ammonium citrate, Demeclocycline can cause a decrease in the absorption of Ferric ammonium citrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Demeclocycline can cause a decrease in the absorption of Prussian blue resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, The serum concentration of Demeclocycline can be decreased when it is combined with Iron sucrose.]
[B03AA02, ferrous fumarate, Demeclocycline can cause a decrease in the absorption of Ferrous fumarate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Demeclocycline can cause a decrease in the absorption of Ferrous gluconate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Demeclocycline can cause a decrease in the absorption of Ferrous succinate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Demeclocycline can cause a decrease in the absorption of Ferrous sulfate anhydrous resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB10, ferric maltol, Demeclocycline can cause a decrease in the absorption of Ferric maltol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA02, calcium glubionate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium glubionate anhydrous.]
[J01FF01, clindamycin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Clindamycin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Levobupivacaine.]
[J01CF02, cloxacillin, The therapeutic efficacy of Cloxacillin can be decreased when used in combination with Demeclocycline.]
[J01GB12, arbekacin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Arbekacin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Cocaine.]
[M09AX11, palovarotene, The risk or severity of pseudotumor cerebri can be increased when Demeclocycline is combined with Palovarotene.]
[J01CA18, hetacillin, The therapeutic efficacy of Hetacillin can be decreased when used in combination with Demeclocycline.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Colistin.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA10, magnesium phosphate, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Magnesium phosphate.]
[J01CA14, methampicillin, The therapeutic efficacy of Metampicillin can be decreased when used in combination with Demeclocycline.]
[S01XA18, cyclosporine, The risk or severity of neuromuscular blockade can be increased when Cyclosporine is combined with Demeclocycline.]
[M03CA01, dantrolene, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Dantrolene.]
[G03DB04, nomegestrol, The serum concentration of Nomegestrol can be decreased when it is combined with Demeclocycline.]
[M03AC11, cisatracurium, Demeclocycline may increase the neuromuscular blocking activities of Cisatracurium.]
[H01BA02, desmopressin, The therapeutic efficacy of Desmopressin can be decreased when used in combination with Demeclocycline.]
[J01CE05, phenethicillin, The therapeutic efficacy of Pheneticillin can be decreased when used in combination with Demeclocycline.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Cinchocaine.]
[J01CF01, dicloxacillin, The therapeutic efficacy of Dicloxacillin can be decreased when used in combination with Demeclocycline.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L02AA01, diethylstilbestrol, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Demeclocycline.]
[C01AA05, digoxin, Demeclocycline can cause an increase in the absorption of Digoxin resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Pramocaine.]
[J01CE03, propicillin, The therapeutic efficacy of Propicillin can be decreased when used in combination with Demeclocycline.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Diphenhydramine.]
[C09AA06, quinapril, Quinapril can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Ropivacaine.]
[J01AA02, doxycycline, The risk or severity of neuromuscular blockade can be increased when Doxycycline is combined with Demeclocycline.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03DB01, dydrogesterone, The serum concentration of Dydrogesterone can be decreased when it is combined with Demeclocycline.]
[J01CA17, temocillin, The therapeutic efficacy of Temocillin can be decreased when used in combination with Demeclocycline.]
[J01AA12, tigecycline, The risk or severity of neuromuscular blockade can be increased when Tigecycline is combined with Demeclocycline.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03CA03, estradiol, The serum concentration of Estradiol can be decreased when it is combined with Demeclocycline.]
[L02AA03, ethinyl estradiol, The serum concentration of Ethinylestradiol can be decreased when it is combined with Demeclocycline.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Etidocaine.]
[D05BB01, etretinate, The risk or severity of pseudotumor cerebri can be increased when Etretinate is combined with Demeclocycline.]
[J01CF05, floxacillin, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Demeclocycline.]
[S01AA07, framycetin, The risk or severity of neuromuscular blockade can be increased when Framycetin is combined with Demeclocycline.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Demeclocycline.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Demeclocycline.]
[A12AA13, calcium citrate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium citrate.]
[A12AA10, calcium gluceptate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium glucoheptonate.]
[A12AA05, calcium lactate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium lactate.]
[A12AA30, calcium levulinate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium levulinate.]
[G03XA02, gestrinone, The serum concentration of Gestrinone can be decreased when it is combined with Demeclocycline.]
[L02AB03, gestronol, The serum concentration of Gestonorone can be decreased when it is combined with Demeclocycline.]
[B01AA12, fluindione, Demeclocycline may increase the anticoagulant activities of Fluindione.]
[B05CB03, magnesium citrate, Magnesium citrate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC03, magnesium gluconate, Magnesium gluconate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03DC01, allylestrenol, The serum concentration of Allylestrenol can be decreased when it is combined with Demeclocycline.]
[A12BA02, potassium citrate, The therapeutic efficacy of Demeclocycline can be decreased when used in combination with Potassium citrate.]
[G03DA03, 17-alpha-hydroxyprogesterone, The serum concentration of Hydroxyprogesterone can be decreased when it is combined with Demeclocycline.]
[B05CB02, sodium citrate, The therapeutic efficacy of Demeclocycline can be decreased when used in combination with Sodium citrate.]
[A16AX05, zinc acetate, Zinc acetate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CB02, zinc gluconate, Zinc gluconate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D03BA02, collagenase, The therapeutic efficacy of Collagenase clostridium histolyticum can be decreased when used in combination with Demeclocycline.]
[R01AA02, cyclopentamine, The risk or severity of adverse effects can be increased when Demeclocycline is combined with Cyclopentamine.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Articaine.]
[D10BA01, isotretinoin, The risk or severity of pseudotumor cerebri can be increased when Isotretinoin is combined with Demeclocycline.]
[S01AA24, kanamycin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Kanamycin.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Demeclocycline.]
[C03CC01, ethacrynic acid, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Etacrynic acid.]
[J01CA11, amdinocillin, The therapeutic efficacy of Amdinocillin can be decreased when used in combination with Demeclocycline.]
[J01CA08, amdinocillin pivoxil, The therapeutic efficacy of Pivmecillinam can be decreased when used in combination with Demeclocycline.]
[G03AD01, levonorgestrel, The serum concentration of Levonorgestrel can be decreased when it is combined with Demeclocycline.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Lidocaine.]
[J01FF02, lincomycin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Lincomycin.]
[J01AA04, lymecycline, The risk or severity of neuromuscular blockade can be increased when Lymecycline is combined with Demeclocycline.]
[G03DC03, lynestrenol, The serum concentration of Lynestrenol can be decreased when it is combined with Demeclocycline.]
[B05XA11, magnesium chloride, Magnesium chloride can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V04CC02, magnesium sulfate, Magnesium sulfate can cause a decrease in the absorption of Demeclocycline resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C02BB01, mecamylamine, Demeclocycline may increase the neuromuscular blocking activities of Mecamylamine.]
[C01AA08, medigoxin, Demeclocycline can cause an increase in the absorption of Metildigoxin resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[G03DB03, medrogestone, The serum concentration of Medrogestone can be decreased when it is combined with Demeclocycline.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Mepivacaine.]
[J01AA05, methacycline, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Metacycline.]
[L04AX03, methotrexate, Demeclocycline can cause a decrease in the absorption of Methotrexate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BG09, methoxyflurane, The risk or severity of renal failure can be increased when Methoxyflurane is combined with Demeclocycline.]
[J01CA10, mezlocillin, The therapeutic efficacy of Mezlocillin can be decreased when used in combination with Demeclocycline.]
[G03XB01, mifepristone, The serum concentration of Mifepristone can be decreased when it is combined with Demeclocycline.]
[J01AA08, minocycline, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Minocycline.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Demeclocycline.]
[J01CA04, amoxicillin, The therapeutic efficacy of Amoxicillin can be decreased when used in combination with Demeclocycline.]
[J01CF06, nafcillin, The therapeutic efficacy of Nafcillin can be decreased when used in combination with Demeclocycline.]
[S03AA01, neomycin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Neomycin.]
[S01AA19, ampicillin, The therapeutic efficacy of Ampicillin can be decreased when used in combination with Demeclocycline.]
[S01AA23, netilmicin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Netilmicin.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Demeclocycline is combined with Nicotine.]
[G03DC02, norethindrone, The serum concentration of Norethisterone can be decreased when it is combined with Demeclocycline.]
[G03AC07, norgestrienone, The serum concentration of Norgestrienone can be decreased when it is combined with Demeclocycline.]
[J01CF04, oxacillin, The therapeutic efficacy of Oxacillin can be decreased when used in combination with Demeclocycline.]
[V08CB01, ferumoxsil, Demeclocycline can cause a decrease in the absorption of Ferumoxsil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AA04, oxytetracycline, The risk or severity of neuromuscular blockade can be increased when Oxytetracycline is combined with Demeclocycline.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be increased when used in combination with Demeclocycline.]
[J04AB30, capreomycin, The risk or severity of neuromuscular blockade can be increased when Capreomycin is combined with Demeclocycline.]
[G03DB06, chlormadinone, The serum concentration of Chlormadinone can be decreased when it is combined with Demeclocycline.]
[A07AA06, paromomycin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Paromomycin.]
[S01AA14, penicillin G, The therapeutic efficacy of Benzylpenicillin can be decreased when used in combination with Demeclocycline.]
[J01CE09, penicillin G procaine, The therapeutic efficacy of Procaine benzylpenicillin can be decreased when used in combination with Demeclocycline.]
[J01CE02, penicillin V, The therapeutic efficacy of Phenoxymethylpenicillin can be decreased when used in combination with Demeclocycline.]
[B01AA02, phenindione, Demeclocycline may increase the anticoagulant activities of Phenindione.]
[B01AA04, phenprocoumon, Demeclocycline may increase the anticoagulant activities of Phenprocoumon.]
[L01XF02, alitretinoin, The risk or severity of pseudotumor cerebri can be increased when Alitretinoin is combined with Demeclocycline.]
[J01CA12, piperacillin, The therapeutic efficacy of Piperacillin can be decreased when used in combination with Demeclocycline.]
[J01CA02, pivampicillin, The therapeutic efficacy of Pivampicillin can be decreased when used in combination with Demeclocycline.]
[D05AX05, tazarotene, The risk or severity of pseudotumor cerebri can be increased when Tazarotene is combined with Demeclocycline.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Prilocaine.]
[C01BA02, procainamide, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Procainamide.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Demeclocycline is combined with Procaine.]
[G03DA04, progesterone, The serum concentration of Progesterone can be decreased when it is combined with Demeclocycline.]
[G03DB07, promegestone, The serum concentration of Promegestone can be decreased when it is combined with Demeclocycline.]
[P02CC01, pyrantel, The therapeutic efficacy of Pyrantel can be increased when used in combination with Demeclocycline.]
[M09AB02, collagenase Clostridium histolyticum, The therapeutic efficacy of Collagenase clostridium histolyticum can be decreased when used in combination with Demeclocycline.]
[C01BA01, quinidine, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Quinidine.]
[P01BC01, quinine, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Demeclocycline.]
[J01AA09, rolitetracycline, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Rolitetracycline.]
[J01GB08, sisomicin, The risk or severity of neuromuscular blockade can be increased when Demeclocycline is combined with Sisomicin.]
[A12AA11, calcium pangamate, The serum concentration of Demeclocycline can be decreased when it is combined with Calcium pangamate.]
