[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Tirzepatide.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Moxifloxacin.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Tirzepatide.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Insulin detemir is combined with Tirzepatide.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Pramlintide is combined with Tirzepatide.]
[M01AH01, celecoxib, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Celecoxib.]
[L04AA18, everolimus, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Everolimus.]
[L01EC02, dabrafenib, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Dabrafenib.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Tirzepatide.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Tirzepatide.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Lixisenatide is combined with Tirzepatide.]
[G03AC08, etonogestrel, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Simeprevir.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the hypoglycemic activities of Tirzepatide.]
[C07AB04, acebutolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Acebutolol.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Tirzepatide.]
[S01ED02, betaxolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Betaxolol.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Albiglutide is combined with Tirzepatide.]
[L01ED02, ceritinib, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Ceritinib.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Tirzepatide.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Tirzepatide.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Tirzepatide.]
[S01EC01, acetazolamide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Insulin degludec is combined with Tirzepatide.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Acetohexamide is combined with Tirzepatide.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Tirzepatide.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Bromocriptine is combined with Tirzepatide.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Tirzepatide.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Tirzepatide.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Tirzepatide.]
[C03CA02, bumetanide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Bumetanide.]
[C07AA19, bupranolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Bupranolol.]
[L02AE01, buserelin, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Buserelin.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Arsenic trioxide.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sparfloxacin.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Tirzepatide.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Tirzepatide.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Tirzepatide.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Benfluorex is combined with Tirzepatide.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Tirzepatide.]
[J05AE09, tipranavir, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Tipranavir.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Tirzepatide.]
[J01MA23, delafloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Delafloxacin.]
[L01XH01, vorinostat, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Bisoprolol.]
[C07AA17, bopindolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Bopindolol.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Tirzepatide.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Tirzepatide.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Semaglutide is combined with Tirzepatide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Ertugliflozin.]
[C07AG02, carvedilol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Carvedilol.]
[C07AB08, celiprolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Celiprolol.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Carbutamide is combined with Tirzepatide.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Tirzepatide.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Tirzepatide.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Tirzepatide.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Tirzepatide.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Tirzepatide.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Insulin pork is combined with Tirzepatide.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Tirzepatide.]
[G03DB05, demegestone, Tirzepatide can cause a decrease in the absorption of Demegestone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03AC09, desogestrel, Tirzepatide can cause a decrease in the absorption of Desogestrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA53, teprotumumab, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Teprotumumab.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Gatifloxacin.]
[G03DB08, dienogest, Tirzepatide can cause a decrease in the absorption of Dienogest resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Tirzepatide.]
[C08CA16, clevidipine, The risk or severity of hypoglycemia can be increased when Clevidipine is combined with Tirzepatide.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Tirzepatide.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Tirzepatide.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Tirzepatide.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Tirzepatide.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Chlorthalidone.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Tirzepatide.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Tirzepatide.]
[J01MB07, flumequine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Tirzepatide.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Insulin human is combined with Tirzepatide.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Tirzepatide.]
[J01MB06, cinoxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Cinoxacin.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Tirzepatide.]
[H01AC07, somapacitan, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Somapacitan.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Lonapegsomatropin.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Tirzepatide.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Gliquidone is combined with Tirzepatide.]
[N06AX25, St. John's wort extract, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with St. John's Wort.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Tirzepatide.]
[B06AX04, mitapivat, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Mitapivat.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Tirzepatide.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Clopamide.]
[N05AH02, clozapine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Guar gum is combined with Tirzepatide.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Sotagliflozin is combined with Tirzepatide.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Tirzepatide.]
[H01AC08, somatrogon, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Somatrogon.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nateglinide is combined with Tirzepatide.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Mecasermin is combined with Tirzepatide.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Insulin glargine is combined with Tirzepatide.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Tirzepatide.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Tirzepatide.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Tirzepatide.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Tirzepatide.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Lomefloxacin.]
[C08CA11, manidipine, The risk or severity of hypoglycemia can be increased when Manidipine is combined with Tirzepatide.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Tirzepatide.]
[C07AA14, mepindolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Tirzepatide.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Tirzepatide.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Miglitol is combined with Tirzepatide.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Tirzepatide.]
[N06AG02, moclobemide, Moclobemide may increase the hypoglycemic activities of Tirzepatide.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Rosuvastatin.]
[G03XA01, danazol, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Danazol.]
[C07AB12, nebivolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Nefazodone is combined with Tirzepatide.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Tirzepatide.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Tirzepatide.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Tirzepatide.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Tirzepatide.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Tirzepatide.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Tirzepatide.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Tirzepatide.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Tirzepatide.]
[V03AH01, diazoxide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Tirzepatide.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Diclofenamide.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Phthalylsulfathiazole.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Tirzepatide.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Tirzepatide.]
[C03CA03, piretanide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Piretanide.]
[C08CA03, isradipine, The risk or severity of hypoglycemia can be increased when Isradipine is combined with Tirzepatide.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Tirzepatide.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Tirzepatide.]
[J05AE08, atazanavir, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Atazanavir.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Tirzepatide.]
[C08DB01, diltiazem, The risk or severity of hypoglycemia can be increased when Diltiazem is combined with Tirzepatide.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Tirzepatide.]
[S01XA23, sirolimus, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Tirzepatide.]
[N05AX08, risperidone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Risperidone.]
[J01MB01, rosoxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Sunitinib is combined with Tirzepatide.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Fosamprenavir.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Tirzepatide.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Tirzepatide.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Tirzepatide.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Tirzepatide.]
[J01MA05, temafloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Temafloxacin.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Tirzepatide.]
[C07AA16, tertatolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Tirzepatide.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Tirzepatide.]
[C03CA04, torsemide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Torasemide.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Tirzepatide.]
[L02AE04, triptorelin, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Tirzepatide.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Tirzepatide.]
[C08CA12, mepirodipine, The risk or severity of hypoglycemia can be increased when Barnidipine is combined with Tirzepatide.]
[S01EA01, epinephrine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Epinephrine.]
[N03AX15, zonisamide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Insulin glulisine is combined with Tirzepatide.]
[G03CA03, estradiol, Tirzepatide can cause a decrease in the absorption of Estradiol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Tirzepatide.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Tirzepatide.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Tirzepatide.]
[L02AA03, ethinyl estradiol, Tirzepatide can cause a decrease in the absorption of Ethinylestradiol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Tirzepatide.]
[L04AD02, tacrolimus, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Fleroxacin.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Tirzepatide.]
[L02AE02, leuprolide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Leuprolide.]
[C08CA02, felodipine, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Tirzepatide.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Tirzepatide.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Tirzepatide is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Tirzepatide.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Tirzepatide.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Tirzepatide.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Tirzepatide.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Tirzepatide.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Tirzepatide.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Tirzepatide.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Tirzepatide.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Tirzepatide.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Tirzepatide.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Tirzepatide.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Tirzepatide.]
[J05AE10, darunavir, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Furosemide.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Tirzepatide.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Liraglutide is combined with Tirzepatide.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Tirzepatide.]
[G03XA02, gestrinone, Tirzepatide can cause a decrease in the absorption of Gestrinone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Glyburide is combined with Tirzepatide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Tirzepatide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Glipizide is combined with Tirzepatide.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Tirzepatide.]
[L02AE03, goserelin, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Goserelin.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Tirzepatide.]
[N05AD01, haloperidol, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Haloperidol.]
[L02AE05, histrelin, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Insulin aspart is combined with Tirzepatide.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Tirzepatide.]
[C08CA10, nilvadipine, The risk or severity of hypoglycemia can be increased when Nilvadipine is combined with Tirzepatide.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Tirzepatide.]
