[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Flucloxacillin.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be increased when combined with Flucloxacillin.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Flucloxacillin.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Flucloxacillin.]
[S01AA15, dihydrostreptomycin, The serum concentration of Dihydrostreptomycin can be decreased when it is combined with Flucloxacillin.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Flucloxacillin.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be decreased when it is combined with Flucloxacillin.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Flucloxacillin.]
[B01AA01, dicumarol, Flucloxacillin may increase the anticoagulant activities of Dicoumarol.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Flucloxacillin.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Flucloxacillin.]
[B01AA11, tioclomarol, Flucloxacillin may increase the anticoagulant activities of Tioclomarol.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Flucloxacillin.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Flucloxacillin.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be increased when combined with Flucloxacillin.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Flucloxacillin.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be increased when combined with Flucloxacillin.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Flucloxacillin.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Flucloxacillin.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Flucloxacillin.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Flucloxacillin.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be increased when combined with Flucloxacillin.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Flucloxacillin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Bupivacaine.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Flucloxacillin.]
[J01MA09, sparfloxacin, The serum concentration of Sparfloxacin can be increased when it is combined with Flucloxacillin.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Flucloxacillin.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be increased when combined with Flucloxacillin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Oxybuprocaine.]
[J05AE09, tipranavir, Tipranavir may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be increased when combined with Flucloxacillin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Flucloxacillin.]
[J01MA23, delafloxacin, The serum concentration of Delafloxacin can be increased when it is combined with Flucloxacillin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Flucloxacillin.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Flucloxacillin.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Flucloxacillin.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Flucloxacillin.]
[J05AG03, efavirenz, Flucloxacillin may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[R03BA02, budesonide, Flucloxacillin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Flucloxacillin.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Capsaicin.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Flucloxacillin.]
[J01GB14, plazomicin, The serum concentration of Plazomicin can be decreased when it is combined with Flucloxacillin.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be increased when combined with Flucloxacillin.]
[J01AA13, eravacycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Eravacycline.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Flucloxacillin.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Flucloxacillin.]
[J01AA14, sarecycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Sarecycline.]
[J01AA15, omadacycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Omadacycline.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Chloroprocaine.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Flucloxacillin.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Flucloxacillin.]
[J01FA09, clarithromycin, Flucloxacillin may decrease the excretion rate of Clarithromycin which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Flucloxacillin.]
[J01AA11, clomocycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Clomocycline.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Flucloxacillin.]
[J01DC04, cefaclor, Flucloxacillin may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Flucloxacillin.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Flucloxacillin.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Flucloxacillin.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Flucloxacillin.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Flucloxacillin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Flucloxacillin.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Flucloxacillin.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Flucloxacillin.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Flucloxacillin.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Flucloxacillin.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Flucloxacillin.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Flucloxacillin.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Flucloxacillin.]
[S01AE06, gatifloxacin, The serum concentration of Gatifloxacin can be increased when it is combined with Flucloxacillin.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Flucloxacillin.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Flucloxacillin.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Flucloxacillin.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Flucloxacillin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Dyclonine.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Flucloxacillin.]
[L01FX15, belantamab mafodotin, Flucloxacillin may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Flucloxacillin.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Flucloxacillin.]
[J01MB07, flumequine, The serum concentration of Flumequine can be increased when it is combined with Flucloxacillin.]
[S01JA01, fluorescein, Flucloxacillin may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Flucloxacillin.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J01MB06, cinoxacin, The serum concentration of Cinoxacin can be increased when it is combined with Flucloxacillin.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Flucloxacillin.]
[S03AA07, ciprofloxacin, The serum concentration of Ciprofloxacin can be increased when it is combined with Flucloxacillin.]
[A10BB12, glimepiride, Glimepiride may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Flucloxacillin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Flucloxacillin.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Flucloxacillin.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Flucloxacillin.]
[A05BA08, glycyrrhizic acid, Flucloxacillin may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[J01GB12, arbekacin, The serum concentration of Arbekacin can be decreased when it is combined with Flucloxacillin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Cocaine.]
[J01XB01, colistin, The serum concentration of Colistin can be decreased when it is combined with Flucloxacillin.]
[L01EA01, imatinib, Flucloxacillin may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[S01AE04, lomefloxacin, The serum concentration of Lomefloxacin can be increased when it is combined with Flucloxacillin.]
[R06AX13, loratadine, Flucloxacillin may decrease the excretion rate of Loratadine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Flucloxacillin.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be increased when combined with Flucloxacillin.]
[C10AA07, rosuvastatin, Flucloxacillin may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be increased when combined with Flucloxacillin.]
[L01DB02, daunorubicin, Flucloxacillin may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[J01AA01, demeclocycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Demeclocycline.]
[N06AX06, nefazodone, Flucloxacillin may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Flucloxacillin.]
[M03AC11, cisatracurium, Flucloxacillin may increase the neuromuscular blocking activities of Cisatracurium.]
[S03BA01, dexamethasone, Dexamethasone may increase the excretion rate of Flucloxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Cinchocaine.]
[S01BC03, diclofenac, Flucloxacillin may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Flucloxacillin.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Flucloxacillin.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Flucloxacillin.]
[C01AA05, digoxin, Flucloxacillin may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C10AX09, ezetimibe, Flucloxacillin may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Flucloxacillin may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be increased when combined with Flucloxacillin.]
[J05AE08, atazanavir, Flucloxacillin may decrease the excretion rate of Atazanavir which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Pramocaine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Diphenhydramine.]
[B01AC07, dipyridamole, Flucloxacillin may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[A03FA02, cisapride, The metabolism of Cisapride can be increased when combined with Flucloxacillin.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Flucloxacillin.]
[P03AA04, disulfiram, Flucloxacillin may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The serum concentration of Rosoxacin can be increased when it is combined with Flucloxacillin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Flucloxacillin.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Flucloxacillin.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Flucloxacillin.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Flucloxacillin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Flucloxacillin.]
[J01AA02, doxycycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Doxycycline.]
[C10AA01, simvastatin, Flucloxacillin may decrease the excretion rate of Simvastatin which could result in a higher serum level.]
[J01MA05, temafloxacin, The serum concentration of Temafloxacin can be increased when it is combined with Flucloxacillin.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Flucloxacillin.]
[J01AA12, tigecycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Tigecycline.]
[J01MA04, enoxacin, The serum concentration of Enoxacin can be increased when it is combined with Flucloxacillin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Flucloxacillin.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be increased when combined with Flucloxacillin.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be increased when combined with Flucloxacillin.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Flucloxacillin.]
[L02AA03, ethinyl estradiol, Ethinylestradiol may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Flucloxacillin.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be increased when combined with Flucloxacillin.]
[J01MA08, fleroxacin, The serum concentration of Fleroxacin can be increased when it is combined with Flucloxacillin.]
[R06AX11, astemizole, The metabolism of Astemizole can be increased when combined with Flucloxacillin.]
[R06AX12, terfenadine, Flucloxacillin may decrease the excretion rate of Terfenadine which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Flucloxacillin which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA03, albendazole, The metabolism of Albendazole can be increased when combined with Flucloxacillin.]
[C08CA02, felodipine, Flucloxacillin may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J01MB04, pipemidic acid, The serum concentration of Pipemidic acid can be increased when it is combined with Flucloxacillin.]
[S01AA07, framycetin, The serum concentration of Framycetin can be decreased when it is combined with Flucloxacillin.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Flucloxacillin.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Flucloxacillin.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Flucloxacillin.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be increased when combined with Flucloxacillin.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be increased when combined with Flucloxacillin.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Flucloxacillin.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[A10BB07, glipizide, Flucloxacillin may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be increased when combined with Flucloxacillin.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be increased when combined with Flucloxacillin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be increased when combined with Flucloxacillin.]
[B01AA12, fluindione, Flucloxacillin may increase the anticoagulant activities of Fluindione.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be increased when combined with Flucloxacillin.]
[C09CA01, losartan, Flucloxacillin may decrease the excretion rate of Losartan which could result in a higher serum level.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be increased when combined with Flucloxacillin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Flucloxacillin.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be increased when combined with Flucloxacillin.]
[S01BC01, indomethacin, Flucloxacillin may decrease the excretion rate of Indomethacin which could result in a higher serum level.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be increased when combined with Flucloxacillin.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Articaine.]
[C10AA06, cerivastatin, Flucloxacillin may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[S01AA24, kanamycin, The serum concentration of Kanamycin can be decreased when it is combined with Flucloxacillin.]
[J02AB02, ketoconazole, Ketoconazole may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J01MB02, nalidixic acid, The serum concentration of Nalidixic acid can be increased when it is combined with Flucloxacillin.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Flucloxacillin.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be increased when combined with Flucloxacillin.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Flucloxacillin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Lidocaine.]
[S01AA21, amikacin, The serum concentration of Amikacin can be decreased when it is combined with Flucloxacillin.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be increased when combined with Flucloxacillin.]
[C10AA02, lovastatin, Lovastatin may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J01AA04, lymecycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Lymecycline.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Flucloxacillin.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be increased when combined with Flucloxacillin.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be increased when combined with Flucloxacillin.]
[N02AB02, meperidine, The metabolism of Meperidine can be increased when combined with Flucloxacillin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Flucloxacillin is combined with Mepivacaine.]
[J01AA05, methacycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Metacycline.]
[L04AX03, methotrexate, The excretion of Methotrexate can be decreased when combined with Flucloxacillin.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be increased when combined with Flucloxacillin.]
[N02CA04, methysergide, The metabolism of Methysergide can be increased when combined with Flucloxacillin.]
[G03XB01, mifepristone, Flucloxacillin may decrease the excretion rate of Mifepristone which could result in a higher serum level.]
[J01AA08, minocycline, The therapeutic efficacy of Flucloxacillin can be decreased when used in combination with Minocycline.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be increased when combined with Flucloxacillin.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be increased when combined with Flucloxacillin.]
[L04AA06, mycophenolic acid, The serum concentration of Mycophenolic acid can be decreased when it is combined with Flucloxacillin.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be increased when used in combination with Flucloxacillin.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be increased when combined with Flucloxacillin.]
[M02AA12, naproxen, Flucloxacillin may decrease the excretion rate of Naproxen which could result in a higher serum level.]
[A10BG01, troglitazone, Troglitazone may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be increased when combined with Flucloxacillin.]
[S03AA01, neomycin, The serum concentration of Neomycin can be decreased when it is combined with Flucloxacillin.]
[A10BX02, repaglinide, Flucloxacillin may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[S01AA23, netilmicin, The serum concentration of Netilmicin can be decreased when it is combined with Flucloxacillin.]
[C09CA07, telmisartan, Flucloxacillin may decrease the excretion rate of Telmisartan which could result in a higher serum level.]
[C08CA04, nicardipine, Flucloxacillin may decrease the excretion rate of Nicardipine which could result in a higher serum level.]
[C08CA05, nifedipine, Flucloxacillin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C08CA08, nitrendipine, Flucloxacillin may decrease the excretion rate of Nitrendipine which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Flucloxacillin may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Flucloxacillin.]
[S01AE02, norfloxacin, The serum concentration of Norfloxacin can be increased when it is combined with Flucloxacillin.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Flucloxacillin.]
[C02KX01, bosentan, Bosentan may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
