[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Droperidol is combined with Antipyrine.]
[C02BA01, trimethaphan, Droperidol may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trimipramine.]
[R06AX07, triprolidine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Triprolidine.]
[A03BB01, butylscopolamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[N06AX02, tryptophan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tryptophan.]
[C09CA09, azilsartan medoxomil, Droperidol may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Vandetanib.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Droperidol.]
[N03AX21, ezogabine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Ezogabine.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Droperidol.]
[C08DA01, verapamil, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Verapamil.]
[N06AX09, viloxazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Viloxazine.]
[C04AX07, vincamine, Droperidol may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, Droperidol may increase the neurotoxic activities of Vincristine.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Droperidol is combined with Xenon.]
[C03BA10, xipamide, Droperidol may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zuclopenthixol.]
[N03AX14, levetiracetam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Droperidol.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Droperidol.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Droperidol is combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Atenolol may increase the orthostatic hypotensive activities of Droperidol.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Droperidol.]
[M03AC04, atracurium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Atracurium.]
[S01FA01, atropine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BE10, avanafil, Droperidol may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Droperidol.]
[A08AA11, lorcaserin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lorcaserin.]
[G04BD12, mirabegron, The therapeutic efficacy of Mirabegron can be decreased when used in combination with Droperidol.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Droperidol.]
[N05CA04, barbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Barbital.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Droperidol.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Droperidol.]
[N04BD02, rasagiline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Rasagiline.]
[C08CA13, lercanidipine, The risk or severity of hypotension can be increased when Droperidol is combined with Lercanidipine.]
[A03FA09, mosapride, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mosapride.]
[N06DA02, donepezil, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[N03AX22, perampanel, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[N02CC03, zolmitriptan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zolmitriptan.]
[R06AC06, thonzylamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Diethyl ether.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Droperidol.]
[G04BE03, sildenafil, The risk or severity of hypotension and syncope can be increased when Sildenafil is combined with Droperidol.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Droperidol is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, Droperidol may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Droperidol is combined with Benorilate.]
[N05AD07, benperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Droperidol.]
[R02AD01, benzocaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Benzocaine.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Droperidol is combined with Celecoxib.]
[N02CC02, naratriptan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Naratriptan.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Droperidol is combined with Benzatropine.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Dabrafenib is combined with Droperidol.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Droperidol is combined with Benzydamine.]
[P03AX06, benzyl alcohol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Benzyl alcohol.]
[N06AX28, levomilnacipran, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Bepridil.]
[C02KX05, riociguat, Droperidol may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Droperidol may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[N03AF04, eslicarbazepine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Eslicarbazepine.]
[N03AG04, vigabatrin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Droperidol.]
[C07AB04, acebutolol, Acebutolol may increase the orthostatic hypotensive activities of Droperidol.]
[N05CH03, tasimelteon, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tasimelteon.]
[S01ED02, betaxolol, Betaxolol may increase the orthostatic hypotensive activities of Droperidol.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Droperidol.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ceritinib.]
[A03BA03, hyoscyamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Alfaxalone.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Droperidol.]
[D11AA01, glycopyrronium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Eliglustat.]
[N05AA04, acepromazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Acepromazine.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Droperidol.]
[N06AX11, mirtazapine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Panobinostat.]
[A03AA09, difemerine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Droperidol.]
[N05AX16, brexpiprazole, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Brexpiprazole.]
[G02CX02, flibanserin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Flibanserin.]
[N05AX15, cariprazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Droperidol is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Droperidol is combined with Acemetacin.]
[S01EC01, acetazolamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Acetazolamide.]
[N05AB07, acetophenazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Acetophenazine.]
[B01AC27, selexipag, Droperidol may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, Droperidol may increase the hypotensive activities of Alfuzosin.]
[N05CA05, aprobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Droperidol is combined with Alminoprofen.]
[N03AX23, brivaracetam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[N05BA08, bromazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Bromazepam.]
[N04BC01, bromocriptine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Bromocriptine.]
[A03AX08, alverine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Alverine.]
[R06AB01, brompheniramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dexbrompheniramine.]
[N06AA19, amineptin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Amineptine.]
[C08CA01, amlodipine, The risk or severity of hypotension can be increased when Droperidol is combined with Amlodipine.]
[N05AX17, pimavanserin, Droperidol may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Aniracetam.]
[N01BB01, bupivacaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Bupivacaine.]
[C07AA19, bupranolol, Bupranolol may increase the orthostatic hypotensive activities of Droperidol.]
[N07BC01, buprenorphine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Droperidol.]
[N05BE01, buspirone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Artemether.]
[N02AF01, butorphanol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Droperidol.]
[S01GX07, azelastine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Droperidol.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Droperidol is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Droperidol.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Droperidol is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Droperidol can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Beclamide.]
[C09AA07, benazepril, Droperidol may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Droperidol.]
[N04BD03, safinamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Safinamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Droperidol.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Droperidol.]
[A02BX12, bismuth subnitrate, Droperidol may increase the neurotoxic activities of Bismuth subnitrate.]
[C07AB07, bisoprolol, Bisoprolol may increase the orthostatic hypotensive activities of Droperidol.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Droperidol.]
[J05AG03, efavirenz, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[C07AA17, bopindolol, Bopindolol may increase the orthostatic hypotensive activities of Droperidol.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Droperidol.]
[N05AD06, bromperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Bromperidol.]
[N05CD09, brotizolam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Brotizolam.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Droperidol.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Droperidol is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Droperidol is combined with Bumadizone.]
[N05CA03, butobarbital, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Butobarbital.]
[N06AA15, butriptyline, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Droperidol.]
[N05CA08, butylvinal, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Droperidol.]
[C09AA01, captopril, Droperidol may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Macimorelin.]
[N03AF01, carbamazepine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[A03AA03, camylofine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Carbinoxamine.]
[C07AG02, carvedilol, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Droperidol.]
[N03AX24, cannabidiol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cannabidiol.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Encorafenib.]
[C07AB08, celiprolol, The therapeutic efficacy of Celiprolol can be decreased when used in combination with Droperidol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Ivosidenib.]
[N03AX17, stiripentol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Stiripentol.]
[S01GX12, cetirizine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cetirizine.]
[N05CM04, carbromal, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Carbromal.]
[N01BA04, chloroprocaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Droperidol is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Droperidol.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Droperidol.]
[R03BB08, revefenacin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Droperidol.]
[C09AA08, cilazapril, Droperidol may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Droperidol.]
[A03FA08, cinitapride, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cinitapride.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Triclabendazole is combined with Droperidol.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Droperidol.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Droperidol is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Droperidol.]
[N06AX29, brexanolone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Brexanolone.]
[N05BA09, clobazam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[N05BA22, cloxazolam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cloxazolam.]
[C09CA06, candesartan, Droperidol may decrease the antihypertensive activities of Candesartan.]
[N05AA06, cyamemazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cyamemazine.]
[C03BX03, cicletanine, Droperidol may decrease the antihypertensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Droperidol.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Entrectinib.]
[N07XX11, pitolisant, Droperidol may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Droperidol.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Droperidol.]
[C03AA09, cyclothiazide, Droperidol may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Droperidol.]
[R06AB06, dexbrompheniramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dezocine.]
[N05CM21, lemborexant, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lemborexant.]
[N05AD10, lumateperone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lumateperone.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Droperidol.]
[N02CC07, frovatriptan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Droperidol is combined with Dutasteride.]
[N05CC04, dichloralphenazone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dichloralphenazone.]
[A07DA04, difenoxin, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Difenoxin.]
[N02AA08, dihydrocodeine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dihydrocodeine.]
[N02CC06, eletriptan, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Droperidol is combined with Rofecoxib.]
[C08CA16, clevidipine, The risk or severity of hypotension can be increased when Droperidol is combined with Clevidipine.]
[C01BD07, dronedarone, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Dronedarone.]
[N03AG02, dipropylacetamide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Valpromide.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Droperidol.]
[N05BA02, chlordiazepoxide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chlordiazepoxide.]
[C02AA06, methoserpidine, Droperidol may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Droperidol.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Droperidol.]
[G04BD09, trospium, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Droperidol is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Droperidol is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Droperidol is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Clomethiazole.]
[M03BB02, chlormezanone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chlormezanone.]
[R02AD04, dyclonine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dyclonine.]
[C08CA17, levamlodipine, The risk or severity of hypotension can be increased when Droperidol is combined with Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Droperidol.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Droperidol.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Droperidol is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Droperidol is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Chloroquine.]
[C03AA04, chlorothiazide, Droperidol may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chlorpheniramine.]
[N05AA01, chlorpromazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Droperidol may decrease the antihypertensive activities of Chlorthalidone.]
