[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Stiripentol.]
[A04AD10, dronabinol, The metabolism of Dronabinol can be decreased when combined with Stiripentol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Stiripentol.]
[L04AX02, thalidomide, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Stiripentol may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Stiripentol.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be increased when combined with Stiripentol.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Stiripentol.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Stiripentol.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Stiripentol.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Stiripentol.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Stiripentol.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Stiripentol.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Stiripentol.]
[G04BE06, moxisylyte, Stiripentol may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Stiripentol is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Stiripentol.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Stiripentol.]
[P01AB02, tinidazole, The metabolism of Tinidazole can be decreased when combined with Stiripentol.]
[S01AA12, tobramycin, Stiripentol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Stiripentol.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Stiripentol.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Stiripentol.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Stiripentol.]
[N06AF04, tranylcypromine, The metabolism of Tranylcypromine can be decreased when combined with Stiripentol.]
[N06AX05, trazodone, The serum concentration of Trazodone can be increased when it is combined with Stiripentol.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Stiripentol.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Stiripentol.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Stiripentol.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Stiripentol.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Stiripentol is combined with Trifluperidol.]
[N05AA05, triflupromazine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[S01BA09, clobetasone, The metabolism of Clobetasone can be decreased when combined with Stiripentol.]
[S01BA10, alclometasone, The metabolism of Alclometasone can be decreased when combined with Stiripentol.]
[N04AA01, trihexyphenidyl, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Mometasone can be decreased when combined with Stiripentol.]
[A03AA05, trimebutine, The metabolism of Trimebutine can be decreased when combined with Stiripentol.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Stiripentol.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Stiripentol.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Stiripentol.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Stiripentol.]
[R06AC04, tripelennamine, The metabolism of Tripelennamine can be decreased when combined with Stiripentol.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Stiripentol.]
[A03BB01, butylscopolamine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Troleandomycin can be decreased when combined with Stiripentol.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Stiripentol.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Stiripentol.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Stiripentol.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Stiripentol.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Stiripentol.]
[R02AA14, oxyquinoline, Stiripentol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be decreased when combined with Stiripentol.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Stiripentol.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be decreased when combined with Stiripentol.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Stiripentol.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Stiripentol.]
[S01AA28, vancomycin, Stiripentol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Stiripentol.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Stiripentol.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Stiripentol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Stiripentol.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Stiripentol.]
[N06AX09, viloxazine, The metabolism of Stiripentol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Stiripentol.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Stiripentol.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Stiripentol.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Stiripentol.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Stiripentol.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Stiripentol.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Stiripentol.]
[J05AE02, indinavir, The metabolism of Indinavir can be decreased when combined with Stiripentol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Stiripentol.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Stiripentol.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Stiripentol.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Stiripentol.]
[R03DC01, zafirlukast, The metabolism of Stiripentol can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Stiripentol.]
[J01MA13, trovafloxacin, The metabolism of Stiripentol can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Stiripentol is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Stiripentol.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Stiripentol.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Stiripentol.]
[G04BD07, tolterodine, The serum concentration of Tolterodine can be increased when it is combined with Stiripentol.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Stiripentol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Stiripentol can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Stiripentol.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Stiripentol is combined with Atracurium.]
[S01FA01, atropine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Stiripentol.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Stiripentol.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Stiripentol.]
[H02AB11, prednylidene, The metabolism of Prednylidene can be decreased when combined with Stiripentol.]
[B03XA04, peginesatide, Peginesatide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be increased when combined with Stiripentol.]
[L01BC05, gemcitabine, The excretion of Gemcitabine can be decreased when combined with Stiripentol.]
[J01CA09, azlocillin, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Stiripentol.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Stiripentol.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Stiripentol.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Stiripentol.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be increased when it is combined with Stiripentol.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be decreased when combined with Stiripentol.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Stiripentol.]
[L02BB04, enzalutamide, The metabolism of Enzalutamide can be decreased when combined with Stiripentol.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Stiripentol.]
[L04AA31, teriflunomide, The excretion of Teriflunomide can be decreased when combined with Stiripentol.]
[H02AA01, aldosterone, The metabolism of Aldosterone can be decreased when combined with Stiripentol.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Stiripentol.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Stiripentol.]
[D02BA02, octinoxate, Stiripentol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Nelfinavir can be decreased when combined with Stiripentol.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Stiripentol.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Stiripentol.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Stiripentol.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Stiripentol.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Stiripentol is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Stiripentol.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Stiripentol.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Stiripentol.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Stiripentol.]
[R06AC06, thonzylamine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Stiripentol.]
[V09IX04, fluorodeoxyglucose F18, Stiripentol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Stiripentol is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Stiripentol.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Stiripentol.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Stiripentol.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Stiripentol.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Stiripentol.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be decreased when combined with Stiripentol.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be decreased when combined with Stiripentol.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Stiripentol.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Glycerol phenylbutyrate can be decreased when combined with Stiripentol.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Stiripentol.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Stiripentol.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Stiripentol is combined with Benperidol.]
[A10BK02, canagliflozin, The metabolism of Canagliflozin can be decreased when combined with Stiripentol.]
[J01MA15, gemifloxacin, The metabolism of Stiripentol can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Stiripentol can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Stiripentol can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The excretion of Tegaserod can be decreased when combined with Stiripentol.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Stiripentol.]
[L03AA12, ancestim, Ancestim may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Stiripentol.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Stiripentol.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Stiripentol.]
[N04AC01, benztropine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be decreased when combined with Stiripentol.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EE01, trametinib, Trametinib may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Stiripentol.]
[V09AX05, florbetapir F-18, Stiripentol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The excretion of Afatinib can be decreased when combined with Stiripentol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Stiripentol.]
[J05AJ03, dolutegravir, The excretion of Dolutegravir can be decreased when combined with Stiripentol.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Stiripentol.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Stiripentol.]
[A10BJ03, lixisenatide, Stiripentol may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Stiripentol.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Stiripentol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Stiripentol.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Stiripentol.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Stiripentol is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Stiripentol can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Simeprevir can be decreased when combined with Stiripentol.]
[J05AP08, sofosbuvir, The excretion of Sofosbuvir can be decreased when combined with Stiripentol.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Stiripentol.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Stiripentol.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Stiripentol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Stiripentol.]
[A16AA07, metreleptin, The metabolism of Stiripentol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Stiripentol.]
[L02BG02, formestane, Formestane may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Betamethasone can be decreased when combined with Stiripentol.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Stiripentol.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Stiripentol.]
[L04AC11, siltuximab, The metabolism of Stiripentol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Stiripentol.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Stiripentol.]
[A03BA03, hyoscyamine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Stiripentol.]
[L01XH04, belinostat, The excretion of Belinostat can be decreased when combined with Stiripentol.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Stiripentol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Stiripentol is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Stiripentol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[D11AA01, glycopyrronium, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05CM19, suvorexant, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Stiripentol.]
[J01XA05, oritavancin, The metabolism of Oritavancin can be decreased when combined with Stiripentol.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Stiripentol.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Stiripentol.]
[N04AA02, biperiden, The metabolism of Biperiden can be decreased when combined with Stiripentol.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Stiripentol.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Stiripentol.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Stiripentol.]
[S03AA06, gentamicin, Stiripentol may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Stiripentol.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Stiripentol.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Stiripentol.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Stiripentol.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Stiripentol.]
[L04AC10, secukinumab, The metabolism of Stiripentol can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Stiripentol.]
[L01EX08, lenvatinib, The excretion of Lenvatinib can be decreased when combined with Stiripentol.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Stiripentol.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Stiripentol.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Stiripentol.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[A03AA09, difemerine, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Stiripentol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Stiripentol.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Stiripentol.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Stiripentol.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be decreased when combined with Stiripentol.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Stiripentol.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Stiripentol.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Stiripentol.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Stiripentol.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Stiripentol.]
[V03AB37, idarucizumab, Stiripentol may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Stiripentol.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Stiripentol.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Stiripentol.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Stiripentol.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Stiripentol.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Stiripentol.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Stiripentol.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Stiripentol.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Stiripentol.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Stiripentol.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Stiripentol.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Stiripentol.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Stiripentol.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Stiripentol.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Stiripentol.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Stiripentol.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Stiripentol.]
[N04BC01, bromocriptine, The metabolism of Bromocriptine can be decreased when combined with Stiripentol.]
[A02AD05, aluminum magnesium silicate, Stiripentol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Stiripentol.]
[D07AC11, amcinonide, The metabolism of Amcinonide can be decreased when combined with Stiripentol.]
