[S02DA03, antipyrine, The protein binding of Valproic acid can be decreased when combined with Antipyrine.]
[J01DH04, doripenem, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Doripenem.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Valproic acid.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Valproic acid is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Valproic acid.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Valproic acid.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Valproic acid.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Valproic acid.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Valproic acid.]
[J01CA09, azlocillin, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Azlocillin.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Valproic acid.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Valproic acid.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Valproic acid.]
[L02BB04, enzalutamide, The serum concentration of Valproic acid can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Valproic acid.]
[L04AA31, teriflunomide, The excretion of Valproic acid can be decreased when combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Valproic acid.]
[N05CA04, barbital, The serum concentration of Barbital can be increased when it is combined with Valproic acid.]
[J05AE04, nelfinavir, The metabolism of Valproic acid can be increased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Valproic acid.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Valproic acid is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Valproic acid is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Valproic acid is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Valproic acid.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Valproic acid.]
[R06AC06, thonzylamine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Valproic acid is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Valproic acid.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Valproic acid.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Valproic acid.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Valproic acid.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Valproic acid.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Valproic acid.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Valproic acid.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Valproic acid.]
[A16AX09, glycerol phenylbutyrate, The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Valproic acid.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Valproic acid.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Valproic acid.]
[N02BA10, benorilate, The protein binding of Valproic acid can be decreased when combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Valproic acid.]
[M04AB03, benzbromarone, The metabolism of Valproic acid can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Valproic acid.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Benzocaine.]
[M01AH01, celecoxib, The protein binding of Valproic acid can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Valproic acid is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Valproic acid.]
[N04AC01, benztropine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Valproic acid can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The protein binding of Valproic acid can be decreased when combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Valproic acid is combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The excretion of Valproic acid can be decreased when combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Bepridil.]
[A05AA03, cholic acid, The excretion of Valproic acid can be decreased when combined with Cholic Acid.]
[G03XC02, bazedoxifene, The metabolism of Bazedoxifene can be decreased when combined with Valproic acid.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Valproic acid.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Valproic acid.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Valproic acid can be increased when it is combined with Luliconazole.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Valproic acid.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Valproic acid can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Valproic acid can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Valproic acid can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Valproic acid.]
[V03AB34, fomepizole, The metabolism of Valproic acid can be decreased when combined with Fomepizole.]
[L04AC11, siltuximab, The metabolism of Valproic acid can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Valproic acid.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Valproic acid.]
[A03BA03, hyoscyamine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Valproic acid.]
[L01XH04, belinostat, The metabolism of Belinostat can be decreased when combined with Valproic acid.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Valproic acid.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Alfaxalone.]
[N07XX08, tafamidis, The excretion of Valproic acid can be decreased when combined with Tafamidis.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Valproic acid.]
[D11AA01, glycopyrronium, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Valproic acid.]
[J01XA05, oritavancin, The metabolism of Valproic acid can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Acepromazine.]
[N04AA02, biperiden, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Valproic acid.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Valproic acid.]
[J05AP09, dasabuvir, The metabolism of Valproic acid can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Valproic acid.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Valproic acid.]
[N06AX11, mirtazapine, Valproic acid may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Valproic acid can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Valproic acid.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Valproic acid.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Valproic acid.]
[N02BE01, acetaminophen, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Acetaminophen.]
[L01DC01, bleomycin, The serum concentration of Valproic acid can be decreased when it is combined with Bleomycin.]
[A03AA09, difemerine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, The excretion of Adefovir dipivoxil can be decreased when combined with Valproic acid.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Valproic acid.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be decreased when combined with Valproic acid.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Valproic acid.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Cariprazine.]
[M02AA25, aceclofenac, The protein binding of Valproic acid can be decreased when combined with Aceclofenac.]
[M01AB11, acemetacin, The protein binding of Valproic acid can be decreased when combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Acetophenazine.]
[D05BB02, acitretin, Valproic acid may increase the Pseudotumor Cerebri activities of Acitretin.]
[A02BC03, lansoprazole, The metabolism of Valproic acid can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Valproic acid.]
[J02AC05, isavuconazole, The metabolism of Valproic acid can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Valproic acid.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Valproic acid.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Valproic acid.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Valproic acid.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Valproic acid.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Valproic acid.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Valproic acid.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Valproic acid.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Valproic acid is combined with Aprobarbital.]
[M01AE16, alminoprofen, The protein binding of Valproic acid can be decreased when combined with Alminoprofen.]
[N02BA02, aloxiprin, The serum concentration of Valproic acid can be increased when it is combined with Aloxiprin.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Valproic acid.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Valproic acid.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Amineptine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Valproic acid.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Aniracetam.]
[M02AA09, bufexamac, The protein binding of Valproic acid can be decreased when combined with Bufexamac.]
[C03CA02, bumetanide, The excretion of Valproic acid can be decreased when combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Valproic acid.]
[N07BC01, buprenorphine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Valproic acid.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Buspirone.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Valproic acid.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Valproic acid.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Valproic acid.]
[S01GX07, azelastine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Valproic acid can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Valproic acid.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Valproic acid.]
[A07EC04, balsalazide, The serum concentration of Valproic acid can be increased when it is combined with Balsalazide.]
[R03DA08, bamifylline, Valproic acid may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Deutetrabenazine.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Beclamide.]
[N06BC01, caffeine, Valproic acid may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Valproic acid.]
[J05AF06, abacavir, The metabolism of Abacavir can be decreased when combined with Valproic acid.]
[J05AE09, tipranavir, The metabolism of Valproic acid can be increased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Valproic acid can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Valproic acid.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Valproic acid.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Safinamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Valproic acid.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Valproic acid.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Valproic acid.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Valproic acid.]
[L01XH01, vorinostat, The risk or severity of gastrointestinal bleeding and thrombocytopenia can be increased when Valproic acid is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Valproic acid.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Valproic acid.]
[J05AG03, efavirenz, The metabolism of Valproic acid can be increased when combined with Efavirenz.]
[N04AA11, bornaprine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[S01BC11, bromfenac, The protein binding of Valproic acid can be decreased when combined with Bromfenac.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Brotizolam.]
[M01AB07, bumadizone, The protein binding of Valproic acid can be decreased when combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Valproic acid.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Valproic acid is combined with Butobarbital.]
[J05AX18, letermovir, The excretion of Valproic acid can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Valproic acid.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Valproic acid.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Capsaicin.]
[A10BK04, ertugliflozin, The metabolism of Valproic acid can be decreased when combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Valproic acid.]
