[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Itraconazole.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Itraconazole.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Sildenafil can be increased when it is combined with Itraconazole.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Itraconazole.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Itraconazole.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Itraconazole.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be decreased when combined with Itraconazole.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be decreased when combined with Itraconazole.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Itraconazole.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Itraconazole.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Itraconazole.]
[N02BA10, benorilate, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Benorilate.]
[A10BK02, canagliflozin, The metabolism of Canagliflozin can be decreased when combined with Itraconazole.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Moxifloxacin.]
[A06AX06, tegaserod, Itraconazole may decrease the excretion rate of Tegaserod which could result in a higher serum level.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Itraconazole.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Itraconazole.]
[L04AA18, everolimus, The serum concentration of Everolimus can be increased when it is combined with Itraconazole.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Itraconazole.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Itraconazole.]
[R02AX03, benzydamine, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Itraconazole.]
[L01EB03, afatinib, The serum concentration of Afatinib can be increased when it is combined with Itraconazole.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Itraconazole.]
[J05AJ03, dolutegravir, Itraconazole may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Itraconazole.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Itraconazole.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Itraconazole.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Itraconazole.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Itraconazole.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Itraconazole.]
[J05AP05, simeprevir, The metabolism of Simeprevir can be decreased when combined with Itraconazole.]
[J05AP08, sofosbuvir, Itraconazole may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Itraconazole.]
[C07AB04, acebutolol, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Itraconazole.]
[A16AA07, metreleptin, The metabolism of Itraconazole can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Itraconazole.]
[S03BA03, betamethasone, The metabolism of Betamethasone can be decreased when combined with Itraconazole.]
[S01ED02, betaxolol, The risk or severity of hyperkalemia can be increased when Betaxolol is combined with Itraconazole.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Itraconazole.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Itraconazole.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Itraconazole.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Itraconazole.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Itraconazole.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Itraconazole.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Itraconazole.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Olodaterol.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Itraconazole.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Itraconazole.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Itraconazole.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Itraconazole.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Itraconazole.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Itraconazole.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Itraconazole.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Itraconazole.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Itraconazole.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Itraconazole.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Itraconazole.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Itraconazole.]
[L01EX08, lenvatinib, Itraconazole may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Itraconazole.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Itraconazole.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Itraconazole.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Itraconazole.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Itraconazole.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Itraconazole.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Itraconazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Itraconazole.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be decreased when combined with Itraconazole.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Itraconazole.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Itraconazole.]
[M02AA25, aceclofenac, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Acemetacin.]
[A02BC03, lansoprazole, Lansoprazole can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Itraconazole.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Itraconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Itraconazole.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Itraconazole.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Itraconazole.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Itraconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Itraconazole.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Itraconazole.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Itraconazole.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Itraconazole.]
[M01AE16, alminoprofen, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Alminoprofen.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Itraconazole.]
[L01XX52, venetoclax, The risk or severity of tumor lysis syndrome can be increased when Itraconazole is combined with Venetoclax.]
[N04BC01, bromocriptine, The serum concentration of Bromocriptine can be increased when it is combined with Itraconazole.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Itraconazole.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be decreased when combined with Itraconazole.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Itraconazole.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Itraconazole.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Itraconazole.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Buserelin.]
[N05BE01, buspirone, The serum concentration of Buspirone can be increased when it is combined with Itraconazole.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Itraconazole.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Itraconazole.]
[M02AA03, clofezone, Rabeprazole can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Itraconazole.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Itraconazole.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Itraconazole.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Itraconazole.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Itraconazole.]
[A07EC04, balsalazide, The risk or severity of hyperkalemia can be increased when Balsalazide is combined with Itraconazole.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Itraconazole.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Itraconazole.]
[C09AA07, benazepril, The risk or severity of hyperkalemia can be increased when Benazepril is combined with Itraconazole.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Itraconazole.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AE09, tipranavir, The metabolism of Itraconazole can be increased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Itraconazole.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Itraconazole.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Itraconazole.]
[N04BD03, safinamide, The metabolism of Safinamide can be decreased when combined with Itraconazole.]
[J01MA23, delafloxacin, Itraconazole may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Itraconazole.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Itraconazole.]
[L01EH02, neratinib, The serum concentration of Neratinib can be increased when it is combined with Itraconazole.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Itraconazole.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Itraconazole.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Itraconazole.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be decreased when combined with Itraconazole.]
[J05AG03, efavirenz, The metabolism of Itraconazole can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Bopindolol.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be decreased when combined with Itraconazole.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Canrenone.]
[R03BA02, budesonide, The metabolism of Budesonide can be decreased when combined with Itraconazole.]
[M01AB07, bumadizone, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Itraconazole.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Itraconazole.]
[A10BK04, ertugliflozin, Itraconazole may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Acrivastine.]
[C09AA01, captopril, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Captopril.]
[V04CD06, macimorelin, The metabolism of Macimorelin can be decreased when combined with Itraconazole.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Itraconazole.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Itraconazole.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Itraconazole.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Itraconazole.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Itraconazole.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Itraconazole.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Itraconazole.]
[V03AE10, sodium zirconium cyclosilicate, Sodium zirconium cyclosilicate can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Itraconazole.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Itraconazole.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Celiprolol.]
[H01CC03, elagolix, The serum concentration of Elagolix can be increased when it is combined with Itraconazole.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Itraconazole.]
[N03AX17, stiripentol, The metabolism of Itraconazole can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, Itraconazole may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Itraconazole.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Itraconazole.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Itraconazole.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Itraconazole.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Itraconazole.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Itraconazole.]
[M01AC05, lornoxicam, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Inotersen.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Itraconazole.]
[R03BB08, revefenacin, Itraconazole may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Itraconazole.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Itraconazole.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Itraconazole.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Itraconazole.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Amifampridine.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Itraconazole.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Cibenzoline.]
[C09AA08, cilazapril, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Itraconazole.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Itraconazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Itraconazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Itraconazole is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be decreased when combined with Itraconazole.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Itraconazole.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Itraconazole.]
[H02AB14, cloprednol, The metabolism of Cloprednol can be decreased when combined with Itraconazole.]
[C09CA06, candesartan, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Candesartan.]
