[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Insulin glulisine.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Gemifloxacin.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Moxifloxacin.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Insulin glulisine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Insulin detemir is combined with Insulin glulisine.]
[A10BX05, pramlintide, Pramlintide may increase the hypoglycemic activities of Insulin glulisine.]
[M01AH01, celecoxib, The risk or severity of hypoglycemia can be increased when Celecoxib is combined with Insulin glulisine.]
[L04AA18, everolimus, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Everolimus.]
[L01EC02, dabrafenib, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Dabrafenib.]
[H05AA03, parathyroid hormone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Parathyroid hormone.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Insulin glulisine.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Insulin glulisine.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Lixisenatide is combined with Insulin glulisine.]
[G03AC08, etonogestrel, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, The risk or severity of hypoglycemia can be increased when Simeprevir is combined with Insulin glulisine.]
[A10BK01, dapagliflozin, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin glulisine.]
[C07AB04, acebutolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Acebutolol.]
[A16AA07, metreleptin, Metreleptin may increase the hypoglycemic activities of Insulin glulisine.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Insulin glulisine.]
[S01ED02, betaxolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Betaxolol.]
[C10AB02, bezafibrate, The risk or severity of hypoglycemia can be increased when Bezafibrate is combined with Insulin glulisine.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Albiglutide is combined with Insulin glulisine.]
[L01ED02, ceritinib, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Ceritinib.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin glulisine.]
[N05AA04, acepromazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Acepromazine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin glulisine.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Brexpiprazole.]
[N05AX15, cariprazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Cariprazine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Insulin glulisine.]
[S01EC01, acetazolamide, The risk or severity of hypoglycemia can be increased when Acetazolamide is combined with Insulin glulisine.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Insulin glulisine is combined with Insulin degludec.]
[N05AB07, acetophenazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Acetophenazine.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Acetohexamide is combined with Insulin glulisine.]
[N02BA02, aloxiprin, The risk or severity of hypoglycemia can be increased when Aloxiprin is combined with Insulin glulisine.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Bromocriptine is combined with Insulin glulisine.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Insulin glulisine.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Insulin glulisine.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin glulisine.]
[C03CA02, bumetanide, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin glulisine.]
[C07AA19, bupranolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Bupranolol.]
[L02AE01, buserelin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Buserelin.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Arsenic trioxide.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Sparfloxacin.]
[A07EC04, balsalazide, The risk or severity of hypoglycemia can be increased when Balsalazide is combined with Insulin glulisine.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Insulin glulisine.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Insulin glulisine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Benfluorex is combined with Insulin glulisine.]
[J01XX08, linezolid, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin glulisine.]
[J05AE09, tipranavir, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Benzylthiouracil.]
[H05AA04, abaloparatide, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Abaloparatide.]
[N04BD03, safinamide, The risk or severity of hypoglycemia can be increased when Safinamide is combined with Insulin glulisine.]
[J01MA23, delafloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Delafloxacin.]
[L01XH01, vorinostat, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Bisoprolol.]
[S01EC04, brinzolamide, The risk or severity of hypoglycemia can be increased when Brinzolamide is combined with Insulin glulisine.]
[C07AA17, bopindolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Bopindolol.]
[C03DA03, canrenone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Canrenone.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin glulisine.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Insulin glulisine.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Semaglutide is combined with Insulin glulisine.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Ertugliflozin.]
[C09AA01, captopril, The risk or severity of hypoglycemia can be increased when Captopril is combined with Insulin glulisine.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Insulin glulisine.]
[H03BB01, carbimazole, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Carbimazole.]
[C07AG02, carvedilol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Carvedilol.]
[C07AB08, celiprolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Celiprolol.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Carbutamide is combined with Insulin glulisine.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Insulin glulisine.]
[C09AA08, cilazapril, The risk or severity of hypoglycemia can be increased when Cilazapril is combined with Insulin glulisine.]
[C10AB08, ciprofibrate, The risk or severity of hypoglycemia can be increased when Ciprofibrate is combined with Insulin glulisine.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Insulin glulisine.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Insulin glulisine.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Insulin glulisine.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Insulin glulisine.]
[N05AA06, cyamemazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Cyamemazine.]
[C03BX03, cicletanine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Cicletanine.]
[C03AA09, cyclothiazide, The risk or severity of hypoglycemia can be increased when Cyclothiazide is combined with Insulin glulisine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Insulin pork is combined with Insulin glulisine.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Insulin glulisine.]
[G03DB05, demegestone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Demegestone.]
[G03AC09, desogestrel, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Desogestrel.]
[L04AA53, teprotumumab, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Teprotumumab.]
[N05AD10, lumateperone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Lumateperone.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Gatifloxacin.]
[G03DB08, dienogest, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Insulin glulisine.]
[C08CA16, clevidipine, The risk or severity of hypoglycemia can be increased when Clevidipine is combined with Insulin glulisine.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Insulin glulisine.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Insulin glulisine.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Insulin glulisine.]
[C03AA04, chlorothiazide, The risk or severity of hypoglycemia can be increased when Chlorothiazide is combined with Insulin glulisine.]
[G03CA06, chlorotrianisene, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Chlorotrianisene.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin glulisine.]
[C03BA04, chlorthalidone, The risk or severity of hypoglycemia can be increased when Chlorthalidone is combined with Insulin glulisine.]
[N02BA03, choline salicylate, The risk or severity of hypoglycemia can be increased when Choline salicylate is combined with Insulin glulisine.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Insulin glulisine.]
[C10AB09, etofibrate, The risk or severity of hypoglycemia can be increased when Etofibrate is combined with Insulin glulisine.]
[J01MB07, flumequine, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Insulin glulisine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Insulin human is combined with Insulin glulisine.]
[G03GA06, follitropin beta, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Follitropin.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Insulin glulisine.]
[J01MB06, cinoxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Cinoxacin.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Insulin glulisine.]
[H01AC07, somapacitan, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Somapacitan.]
[C03DA05, finerenone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Finerenone.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Lonapegsomatropin.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin glulisine.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Gliquidone is combined with Insulin glulisine.]
[N06AX25, St. John's wort extract, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with St. John's Wort.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Insulin glulisine.]
[C10AB01, clofibrate, The risk or severity of hypoglycemia can be increased when Clofibrate is combined with Insulin glulisine.]
[B06AX04, mitapivat, The risk or severity of hypoglycemia can be increased when Mitapivat is combined with Insulin glulisine.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Insulin glulisine.]
[S01EA04, clonidine, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Clonidine.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Insulin glulisine is combined with Tirzepatide.]
[C03BA03, clopamide, The risk or severity of hypoglycemia can be increased when Clopamide is combined with Insulin glulisine.]
[N05AH02, clozapine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Guar gum is combined with Insulin glulisine.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Sotagliflozin is combined with Insulin glulisine.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Insulin glulisine.]
[H01AC08, somatrogon, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Somatrogon.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nateglinide is combined with Insulin glulisine.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Mecasermin is combined with Insulin glulisine.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Insulin glargine is combined with Insulin glulisine.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Insulin glulisine.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Insulin glulisine.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Insulin glulisine.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Insulin glulisine.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Lomefloxacin.]
[C09AA03, lisinopril, The risk or severity of hypoglycemia can be increased when Lisinopril is combined with Insulin glulisine.]
[C08CA11, manidipine, The risk or severity of hypoglycemia can be increased when Manidipine is combined with Insulin glulisine.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Insulin glulisine.]
[C07AA14, mepindolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Insulin glulisine.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Insulin glulisine.]
[C03DA04, eplerenone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Eplerenone.]
[N05AD03, metylperon, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Melperone.]
[C03AA07, cyclopenthiazide, The risk or severity of hypoglycemia can be increased when Cyclopenthiazide is combined with Insulin glulisine.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Miglitol is combined with Insulin glulisine.]
[N06AX07, minaprine, The risk or severity of hypoglycemia can be increased when Minaprine is combined with Insulin glulisine.]
[N06AG02, moclobemide, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin glulisine.]
[C09AA13, moexipril, The risk or severity of hypoglycemia can be increased when Moexipril is combined with Insulin glulisine.]
[C10AA07, rosuvastatin, The risk or severity of hypoglycemia can be increased when Rosuvastatin is combined with Insulin glulisine.]
[C03XA02, conivaptan, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Conivaptan.]
[G03XA01, danazol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Danazol.]
[C07AB12, nebivolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Nefazodone is combined with Insulin glulisine.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Insulin glulisine.]
[A07EC03, olsalazine, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin glulisine.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Insulin glulisine.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Insulin glulisine.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Insulin glulisine.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Insulin glulisine.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Insulin glulisine.]
[H05AA02, teriparatide, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Teriparatide.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin glulisine.]
[V03AH01, diazoxide, The risk or severity of hypoglycemia can be increased when Diazoxide is combined with Insulin glulisine.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Insulin glulisine.]
[S01EC02, dichlorphenamide, The risk or severity of hypoglycemia can be increased when Diclofenamide is combined with Insulin glulisine.]
[A07AB02, phthalylsulfathiazole, The risk or severity of hypoglycemia can be increased when Phthalylsulfathiazole is combined with Insulin glulisine.]
[G03CC02, dienestrol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Dienestrol.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Insulin glulisine.]
[A10BG03, pioglitazone, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin glulisine.]
[C03CA03, piretanide, The risk or severity of hypoglycemia can be increased when Piretanide is combined with Insulin glulisine.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of hypoglycemia can be increased when Isradipine is combined with Insulin glulisine.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Insulin glulisine.]
[N02BA11, diflunisal, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin glulisine.]
[L02AA02, polyestradiol phosphate, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Polyestradiol phosphate.]
[J05AE08, atazanavir, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Atazanavir.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Potassium perchlorate.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Insulin glulisine.]
[C08DB01, diltiazem, The risk or severity of hypoglycemia can be increased when Diltiazem is combined with Insulin glulisine.]
[G03CA09, promestriene, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Promestriene.]
[C09AA06, quinapril, The risk or severity of hypoglycemia can be increased when Quinapril is combined with Insulin glulisine.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Insulin glulisine.]
[C09AA05, ramipril, The risk or severity of hypoglycemia can be increased when Ramipril is combined with Insulin glulisine.]
[S01XA23, sirolimus, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Insulin glulisine.]
[N05AX08, risperidone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Risperidone.]
[J01MB01, rosoxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Sunitinib is combined with Insulin glulisine.]
[C03XA01, tolvaptan, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Tolvaptan.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Fosamprenavir.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Salmon calcitonin.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Insulin glulisine.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Insulin glulisine.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin glulisine.]
[C09AA11, spirapril, The risk or severity of hypoglycemia can be increased when Spirapril is combined with Insulin glulisine.]
[A07AB04, succinylsulfathiazole, The risk or severity of hypoglycemia can be increased when Succinylsulfathiazole is combined with Insulin glulisine.]
[N02CC01, sumatriptan, The risk or severity of hypoglycemia can be increased when Sumatriptan is combined with Insulin glulisine.]
