[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Mirtazapine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Mirtazapine.]
[B01AA03, warfarin, Mirtazapine may increase the anticoagulant activities of Warfarin.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Mirtazapine is combined with Xenon.]
[C03BA10, xipamide, Mirtazapine may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the serotonergic activities of Mirtazapine.]
[J05AE02, indinavir, The metabolism of Mirtazapine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01EC01, vemurafenib, The serum concentration of Mirtazapine can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Mirtazapine.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Mirtazapine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, Ziprasidone may increase the serotonergic activities of Mirtazapine.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Mirtazapine.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Mirtazapine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Mirtazapine.]
[G04BD07, tolterodine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Mirtazapine may decrease the antihypertensive activities of Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Mirtazapine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Mirtazapine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[S01FA01, atropine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Mirtazapine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Mirtazapine.]
[G04BE10, avanafil, Mirtazapine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A08AA11, lorcaserin, Lorcaserin may increase the serotonergic activities of Mirtazapine.]
[G04BD12, mirabegron, The serum concentration of Mirtazapine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Mirtazapine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Mirtazapine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Mirtazapine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Mirtazapine.]
[L04AA31, teriflunomide, The serum concentration of Mirtazapine can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Mirtazapine.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J05AE04, nelfinavir, The metabolism of Mirtazapine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Mirtazapine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04BD02, rasagiline, Rasagiline may increase the serotonergic activities of Mirtazapine.]
[C08CA13, lercanidipine, Mirtazapine may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the serotonergic activities of Mirtazapine.]
[N06DA02, donepezil, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Mirtazapine.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the serotonergic activities of Mirtazapine.]
[R06AC06, thonzylamine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Mirtazapine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Mirtazapine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Mirtazapine.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Mirtazapine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Mirtazapine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Mirtazapine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Mirtazapine may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[G03XC05, ospemifene, The metabolism of Mirtazapine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Mirtazapine is combined with Benorilate.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J01MA15, gemifloxacin, The metabolism of Mirtazapine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Mirtazapine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, Tegaserod may increase the serotonergic activities of Mirtazapine.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AH01, celecoxib, The metabolism of Mirtazapine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may increase the serotonergic activities of Mirtazapine.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Mirtazapine.]
[N04AC01, benztropine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Mirtazapine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the serotonergic activities of Mirtazapine.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Bepridil.]
[C02KX05, riociguat, Mirtazapine may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Mirtazapine may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Mirtazapine.]
[N06AX26, vortioxetine, Vortioxetine may increase the serotonergic activities of Mirtazapine.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J05AP05, simeprevir, The metabolism of Mirtazapine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A10BK01, dapagliflozin, The metabolism of Mirtazapine can be decreased when combined with Dapagliflozin.]
[C01CA27, droxidopa, Mirtazapine may decrease the antihypertensive activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Mirtazapine can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A16AA07, metreleptin, The metabolism of Mirtazapine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Mirtazapine can be increased when combined with Apremilast.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Mirtazapine.]
[S01ED02, betaxolol, The metabolism of Mirtazapine can be decreased when combined with Betaxolol.]
[C02CC01, bethanidine, Mirtazapine may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Mirtazapine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Mirtazapine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Mirtazapine.]
[A03BA03, hyoscyamine, Mirtazapine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, Mirtazapine may increase the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The metabolism of Mirtazapine can be increased when combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Mirtazapine.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Olodaterol.]
[D11AA01, glycopyrronium, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Mirtazapine.]
[J01XA05, oritavancin, The metabolism of Mirtazapine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04AA02, biperiden, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Mirtazapine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Mirtazapine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Mirtazapine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Mirtazapine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Mirtazapine is combined with Dicoumarol.]
[S01AA13, fusidic acid, The metabolism of Mirtazapine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Pipemidic acid.]
[L04AC10, secukinumab, The metabolism of Mirtazapine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Mirtazapine.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Mirtazapine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Mirtazapine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Mirtazapine is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Mirtazapine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, Eluxadoline may increase the serotonergic activities of Mirtazapine.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the serotonergic activities of Mirtazapine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Mirtazapine.]
[A04AD14, rolapitant, The metabolism of Mirtazapine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may increase the serotonergic activities of Mirtazapine.]
[N05AX15, cariprazine, Cariprazine may increase the serotonergic activities of Mirtazapine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Mirtazapine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Mirtazapine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A02BC03, lansoprazole, The metabolism of Mirtazapine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Mirtazapine.]
[J02AC05, isavuconazole, The metabolism of Mirtazapine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Mirtazapine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Mirtazapine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Mirtazapine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Mirtazapine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Mirtazapine.]
[B01AC27, selexipag, Mirtazapine may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, Mirtazapine may increase the hypotensive activities of Alfuzosin.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Mirtazapine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Mirtazapine.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06AA19, amineptin, Amineptine may increase the serotonergic activities of Mirtazapine.]
[C08CA01, amlodipine, Mirtazapine may decrease the antihypertensive activities of Amlodipine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Mirtazapine.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A05AA04, obeticholic acid, The metabolism of Mirtazapine can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Bupranolol.]
[N07BC01, buprenorphine, Buprenorphine may increase the serotonergic activities of Mirtazapine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Buserelin.]
[N05BE01, buspirone, Buspirone may increase the serotonergic activities of Mirtazapine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Mirtazapine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Artemether.]
[N02AF01, butorphanol, Butorphanol may increase the serotonergic activities of Mirtazapine.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Azatadine.]
[S01GX07, azelastine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Mirtazapine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Mirtazapine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Mirtazapine is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Bambuterol.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Mirtazapine.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Mirtazapine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N06BC01, caffeine, The metabolism of Mirtazapine can be decreased when combined with Caffeine.]
[C09AA07, benazepril, Mirtazapine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J01XX08, linezolid, Linezolid may increase the serotonergic activities of Mirtazapine.]
[J05AE09, tipranavir, The metabolism of Mirtazapine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Mirtazapine.]
[L04AB02, infliximab, The metabolism of Mirtazapine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Mirtazapine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Mirtazapine.]
[N04BD03, safinamide, Safinamide may increase the serotonergic activities of Mirtazapine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Mirtazapine.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Mirtazapine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Mirtazapine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Mirtazapine.]
[C07AB07, bisoprolol, Mirtazapine may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Mirtazapine is combined with Bitolterol.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Mirtazapine.]
[N04AA11, bornaprine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Mirtazapine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Mirtazapine is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Mirtazapine.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Mirtazapine.]
[N06AA15, butriptyline, Butriptyline may increase the serotonergic activities of Mirtazapine.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The metabolism of Mirtazapine can be increased when combined with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Acrivastine.]
[C09AA01, captopril, Mirtazapine may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Mirtazapine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the serotonergic activities of Mirtazapine.]
[A03AA03, camylofine, Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L03AB06, interferon alfa-n1, The metabolism of Mirtazapine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Mirtazapine.]
