[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Salmeterol.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Alimemazine.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Salmeterol.]
[C02BA01, trimethaphan, Salmeterol may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Trimethoprim is combined with Salmeterol.]
[N06AA06, trimipramine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Salmeterol.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Salmeterol can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Salmeterol is combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Salmeterol may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Salmeterol is combined with Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Vandetanib.]
[A10BH05, linagliptin, The metabolism of Salmeterol can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Salmeterol can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Salmeterol can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Salmeterol.]
[R03AC18, indacaterol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Salmeterol.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Salmeterol.]
[N06AX09, viloxazine, The metabolism of Salmeterol can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Salmeterol may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Salmeterol.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Salmeterol is combined with Xenon.]
[C03BA10, xipamide, Salmeterol may decrease the antihypertensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Salmeterol.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Salmeterol can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Salmeterol.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Salmeterol.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Salmeterol.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Salmeterol.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Salmeterol is combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Tolterodine.]
[C07AB03, atenolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Atenolol.]
[J02AC03, voriconazole, The metabolism of Salmeterol can be decreased when combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Salmeterol.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Salmeterol.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Salmeterol.]
[H02AB11, prednylidene, The risk or severity of hypokalemia can be increased when Prednylidene is combined with Salmeterol.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Salmeterol.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Salmeterol.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Salmeterol can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Salmeterol can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Salmeterol.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Salmeterol is combined with Octopamine.]
[H02AA01, aldosterone, The risk or severity of hypokalemia can be increased when Aldosterone is combined with Salmeterol.]
[J05AE04, nelfinavir, The metabolism of Salmeterol can be decreased when combined with Nelfinavir.]
[N04BD02, rasagiline, The risk or severity of hypertension can be increased when Salmeterol is combined with Rasagiline.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Salmeterol.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Salmeterol.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Salmeterol.]
[R06AC06, thonzylamine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of Tachycardia can be increased when Darifenacin is combined with Salmeterol.]
[N01AA01, ethyl ether, The risk or severity of hypertension can be increased when Salmeterol is combined with Diethyl ether.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Pasireotide.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Salmeterol.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Salmeterol.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Salmeterol.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Bendroflumethiazide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Salmeterol is combined with Benorilate.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Moxifloxacin.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Salmeterol.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Salmeterol is combined with Naratriptan.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Salmeterol.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Salmeterol.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Salmeterol is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Salmeterol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Salmeterol.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Salmeterol.]
[C02KX04, macitentan, Salmeterol may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Salmeterol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Salmeterol.]
[J05AP05, simeprevir, The metabolism of Salmeterol can be decreased when combined with Simeprevir.]
[C01CA27, droxidopa, The risk or severity of adverse effects can be increased when Salmeterol is combined with Droxidopa.]
[C07AB04, acebutolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Acebutolol.]
[A16AA07, metreleptin, The metabolism of Salmeterol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Salmeterol can be increased when combined with Apremilast.]
[N07CA01, betahistine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Betahistine.]
[S03BA03, betamethasone, The risk or severity of hypokalemia can be increased when Betamethasone is combined with Salmeterol.]
[S01ED02, betaxolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Betaxolol.]
[C02CC01, bethanidine, Salmeterol may decrease the antihypertensive activities of Bethanidine.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Salmeterol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Salmeterol.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Salmeterol.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Glycopyrronium.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Eliglustat.]
[N05AA04, acepromazine, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Acepromazine.]
[V04CX03, methacholine, Salmeterol may decrease effectiveness of Methacholine as a diagnostic agent.]
[N04AA02, biperiden, The risk or severity of Tachycardia can be increased when Biperiden is combined with Salmeterol.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Salmeterol.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Salmeterol.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Salmeterol.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Salmeterol.]
[L04AC10, secukinumab, The metabolism of Salmeterol can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Salmeterol.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Salmeterol.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Salmeterol.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Salmeterol is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Salmeterol is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Salmeterol is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Salmeterol is combined with Acemetacin.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Acipimox.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Salmeterol.]
[L01CX01, trabectedin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Trabectedin.]
[J02AC05, isavuconazole, The metabolism of Salmeterol can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Salmeterol.]
[G04CA01, alfuzosin, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Alfuzosin.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Salmeterol.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Salmeterol is combined with Alminoprofen.]
[L01XX52, venetoclax, The metabolism of Salmeterol can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, Bromocriptine may increase the hypertensive and vasoconstricting activities of Salmeterol.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Salmeterol.]
[N06AA19, amineptin, The risk or severity of hypertension can be increased when Amineptine is combined with Salmeterol.]
[C08CA01, amlodipine, Salmeterol may decrease the antihypertensive activities of Amlodipine.]
[C03CA02, bumetanide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Bumetanide.]
[C07AA19, bupranolol, Bupranolol may decrease the bronchodilatory activities of Salmeterol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Salmeterol.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Buserelin.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Salmeterol.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Salmeterol.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Salmeterol.]
[L01XK03, rucaparib, The metabolism of Salmeterol can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Salmeterol can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Salmeterol is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of adverse effects can be increased when Salmeterol is combined with Bambuterol.]
[R03DA08, bamifylline, The risk or severity of hypokalemia can be increased when Bamifylline is combined with Salmeterol.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Salmeterol.]
[N06BC01, caffeine, The risk or severity of hypokalemia can be increased when Caffeine is combined with Salmeterol.]
[C09AA07, benazepril, Salmeterol may decrease the antihypertensive activities of Benazepril.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Salmeterol.]
[J05AE09, tipranavir, The metabolism of Salmeterol can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Salmeterol.]
[L04AB02, infliximab, The metabolism of Salmeterol can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Salmeterol can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Salmeterol.]
[N04BD03, safinamide, The risk or severity of hypertension can be increased when Salmeterol is combined with Safinamide.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Delafloxacin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Salmeterol is combined with Acetylcholine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Salmeterol.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Salmeterol.]
[C07AB07, bisoprolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of adverse effects can be increased when Bitolterol is combined with Salmeterol.]
[J05AG03, efavirenz, The metabolism of Salmeterol can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, Bopindolol may decrease the bronchodilatory activities of Salmeterol.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Bornaprine.]
[R03BA02, budesonide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Salmeterol.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Salmeterol is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Salmeterol is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Salmeterol can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Salmeterol can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of hypertension can be increased when Butriptyline is combined with Salmeterol.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Acetyldigoxin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Acrivastine.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Macimorelin.]
[L02BB05, apalutamide, The serum concentration of Apalutamide can be increased when it is combined with Salmeterol.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Salmeterol.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Camylofin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Salmeterol.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Carbinoxamine.]
[C07AG02, carvedilol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Salmeterol can be decreased when combined with Cannabidiol.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Encorafenib.]
[C07AB08, celiprolol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Salmeterol.]
[L01XX62, ivosidenib, The metabolism of Salmeterol can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Salmeterol can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Salmeterol.]
[L01EB07, dacomitinib, The risk or severity of adverse effects can be increased when Dacomitinib is combined with Salmeterol.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Salmeterol.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia can be increased when Salmeterol is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Salmeterol is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The risk or severity of hypokalemia can be increased when Oxtriphylline is combined with Salmeterol.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Inotersen.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Salmeterol.]
[L04AA39, emapalumab, The metabolism of Salmeterol can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of adverse effects can be increased when Gilteritinib is combined with Salmeterol.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Salmeterol.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Cibenzoline.]
[C09AA08, cilazapril, Salmeterol may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Salmeterol is combined with Cinitapride.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Salmeterol.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Salmeterol is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Salmeterol can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Salmeterol.]
[H02AB14, cloprednol, The risk or severity of hypokalemia can be increased when Cloprednol is combined with Salmeterol.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Salmeterol is combined with Ubidecarenone.]
[C09CA06, candesartan, Salmeterol may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Salmeterol can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hypokalemia can be increased when Cortivazol is combined with Salmeterol.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Cicletanine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Salmeterol can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Salmeterol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Salmeterol.]
[C03AA09, cyclothiazide, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of hypertension can be increased when Salmeterol is combined with Yohimbine.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Salmeterol.]
[H02AB13, deflazacort, The risk or severity of hypokalemia can be increased when Deflazacort is combined with Salmeterol.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Salmeterol.]
[N03AX25, cenobamate, The serum concentration of Salmeterol can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Salmeterol.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Dexchlorpheniramine.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Salmeterol.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Salmeterol can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Salmeterol can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Salmeterol is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Salmeterol is combined with Dutasteride.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Salmeterol.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Salmeterol.]
[N02CC06, eletriptan, The risk or severity of hypertension can be increased when Eletriptan is combined with Salmeterol.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Salmeterol.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Salmeterol.]
[S03AA08, chloramphenicol, The metabolism of Salmeterol can be decreased when combined with Chloramphenicol.]
