[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Levothyroxine.]
[L01EX04, vandetanib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Vandetanib.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Levothyroxine.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Levothyroxine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be decreased when it is combined with Levothyroxine.]
[L01CA02, vincristine, The serum concentration of Vincristine can be decreased when it is combined with Levothyroxine.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Levothyroxine.]
[J05AF01, zidovudine, The metabolism of Levothyroxine can be increased when combined with Zidovudine.]
[J05AE02, indinavir, The metabolism of Levothyroxine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Vemurafenib.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be decreased when it is combined with Levothyroxine.]
[L01ED01, crizotinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Crizotinib.]
[A02BC04, rabeprazole, Rabeprazole can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01XX02, asparaginase, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Asparaginase Escherichia coli.]
[N02BA01, aspirin, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Ruxolitinib.]
[C07AB03, atenolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Atenolol.]
[L01EK01, axitinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Axitinib.]
[H02AB11, prednylidene, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Prednylidene.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be decreased when it is combined with Levothyroxine.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be decreased when it is combined with Levothyroxine.]
[L02BB04, enzalutamide, The metabolism of Enzalutamide can be decreased when combined with Levothyroxine.]
[L01EA04, bosutinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Bosutinib.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C01CA18, octopamine, Levothyroxine may increase the vasoconstricting activities of Octopamine.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EX05, regorafenib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Regorafenib.]
[J05AE04, nelfinavir, The metabolism of Levothyroxine can be increased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be decreased when it is combined with Levothyroxine.]
[L01EX07, cabozantinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Cabozantinib.]
[L01EA05, ponatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Ponatinib.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Levothyroxine.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Levothyroxine.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be decreased when it is combined with Levothyroxine.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Levothyroxine.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Levothyroxine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Levothyroxine.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Levothyroxine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Levothyroxine.]
[N02CC02, naratriptan, Levothyroxine may increase the vasoconstricting activities of Naratriptan.]
[C10AC04, colesevelam, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Colesevelam.]
[L04AA18, everolimus, The serum concentration of Everolimus can be decreased when it is combined with Levothyroxine.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be decreased when it is combined with Levothyroxine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Levothyroxine.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EB03, afatinib, The serum concentration of Afatinib can be decreased when it is combined with Levothyroxine.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Levothyroxine.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Levothyroxine.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Levothyroxine.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Levothyroxine.]
[L01EL01, ibrutinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Levothyroxine.]
[J05AP05, simeprevir, The excretion of Simeprevir can be decreased when combined with Levothyroxine.]
[V03AE05, sucroferric oxyhydroxide, The serum concentration of Levothyroxine can be decreased when it is combined with Iron sucrose.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be decreased when it is combined with Levothyroxine.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Levothyroxine.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be increased when used in combination with Levothyroxine.]
[C07AB04, acebutolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Acebutolol.]
[S03BA03, betamethasone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Betaxolol.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Levothyroxine.]
[L01ED02, ceritinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Ceritinib.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Levothyroxine.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Levothyroxine.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Levothyroxine.]
[V03AE01, polystyrene sulfonate, Tolevamer can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Levothyroxine.]
[L01EX09, nintedanib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Nintedanib.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AP09, dasabuvir, The metabolism of Levothyroxine can be decreased when combined with Dasabuvir.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Levothyroxine.]
[N06AX11, mirtazapine, The risk or severity of adverse effects can be increased when Levothyroxine is combined with Mirtazapine.]
[L01EX08, lenvatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Lenvatinib.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be decreased when it is combined with Levothyroxine.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Levothyroxine.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Levothyroxine.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Levothyroxine.]
[B02BC05, adrenalone, Levothyroxine may increase the vasoconstricting activities of Adrenalone.]
[A02BC03, lansoprazole, Lansoprazole can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EB04, osimertinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Levothyroxine.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be decreased when it is combined with Levothyroxine.]
[L01ED03, alectinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Alectinib.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Levothyroxine.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Levothyroxine.]
[J05AP11, grazoprevir, The excretion of Grazoprevir can be decreased when combined with Levothyroxine.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA02, aloxiprin, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Aloxiprin.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be decreased when it is combined with Levothyroxine.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Levothyroxine.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AA19, amineptin, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Amineptine.]
[C07AA19, bupranolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Levothyroxine.]
[M02AA03, clofezone, Rabeprazole can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Levothyroxine.]
[A07EC04, balsalazide, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Balsalazide.]
[R03DA08, bamifylline, Levothyroxine may increase the excretion rate of Bamifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BC01, caffeine, Levothyroxine may increase the excretion rate of Caffeine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Levothyroxine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BA03, calcium chloride, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium chloride.]
[J05AE09, tipranavir, The metabolism of Levothyroxine can be increased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium gluconate.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium Phosphate.]
[L01EX10, midostaurin, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Midostaurin.]
[L01ED04, brigatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Brigatinib.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Levothyroxine.]
[L01EH02, neratinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be decreased when it is combined with Levothyroxine.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be decreased when it is combined with Levothyroxine.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be decreased when it is combined with Levothyroxine.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Levothyroxine can be increased when combined with Efavirenz.]
[C07AA17, bopindolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Bopindolol.]
[L01EL02, acalabrutinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Acalabrutinib.]
[J05AX18, letermovir, The excretion of Letermovir can be decreased when combined with Levothyroxine.]
[N06AA15, butriptyline, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, Levothyroxine may increase the excretion rate of Acetyldigoxin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BJ06, semaglutide, The serum concentration of Levothyroxine can be increased when it is combined with Semaglutide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Levothyroxine.]
[C01CX09, angiotensin II, Levothyroxine may increase the vasoconstricting activities of Angiotensin II.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Levothyroxine.]
[N03AF01, carbamazepine, The protein binding of Levothyroxine can be decreased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium polycarbophil.]
[C07AG02, carvedilol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Carvedilol.]
[B02BX09, fostamatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Fostamatinib.]
[V03AE10, sodium zirconium cyclosilicate, Sodium zirconium cyclosilicate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be decreased when it is combined with Levothyroxine.]
[C07AB08, celiprolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Levothyroxine.]
[L01EB07, dacomitinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Dacomitinib.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Levothyroxine.]
[R03DA02, oxtriphylline, Levothyroxine may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be decreased when it is combined with Levothyroxine.]
[R03BB08, revefenacin, Levothyroxine may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L01EX12, larotrectinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Larotrectinib.]
[L01EX13, gilteritinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Levothyroxine.]
[L01EN01, erdafitinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Erdafitinib.]
[H02AB14, cloprednol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Cloprednol.]
[V03AE07, calcium acetate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium acetate.]
[V03AE02, sevelamer, The serum concentration of Levothyroxine can be decreased when it is combined with Sevelamer.]
[H02AB17, cortivazol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Cortivazol.]
[L01EX15, pexidartinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Pexidartinib.]
[L01EJ02, fedratinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Fedratinib.]
[L01EX14, entrectinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Entrectinib.]
[J01XX12, lefamulin, Levothyroxine may increase the excretion rate of Lefamulin which could result in a lower serum level and potentially a reduction in efficacy.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Levothyroxine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Levothyroxine.]
[H02AB13, deflazacort, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Deflazacort.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be decreased when it is combined with Levothyroxine.]
[G03AC09, desogestrel, The metabolism of Levothyroxine can be increased when combined with Desogestrel.]
[L01EX18, avapritinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Avapritinib.]
[C10AX15, bempedoic acid, The excretion of Bempedoic acid can be decreased when combined with Levothyroxine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Levothyroxine.]
[L01EE04, selumetinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Selumetinib.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EH03, tucatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Tucatinib.]
[L01EX17, capmatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Capmatinib.]
[D07XB03, fluprednidene, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Fluprednidene.]
[L01EX22, selpercatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Selpercatinib.]
[L01FX15, belantamab mafodotin, The excretion of Belantamab mafodotin can be decreased when combined with Levothyroxine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Levothyroxine.]
[G03CA06, chlorotrianisene, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Chlorotrianisene.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Levothyroxine.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Levothyroxine.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Choline salicylate.]
[M02AA06, etofenamate, The therapeutic efficacy of Etofenamate can be increased when used in combination with Levothyroxine.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be decreased when it is combined with Levothyroxine.]
[L02BX04, relugolix, The serum concentration of Relugolix can be decreased when it is combined with Levothyroxine.]
[L01EX21, tepotinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Tepotinib.]
[N06BA10, fenethylline, Levothyroxine may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA08, fenozolone, The risk or severity of adverse effects can be increased when Fenozolone is combined with Levothyroxine.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, The serum concentration of Levothyroxine can be decreased when it is combined with Iron sucrose.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Levothyroxine.]
[L01EK03, tivozanib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Tivozanib.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, Cimetidine can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EN03, infigratinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Infigratinib.]
[S03AA07, ciprofloxacin, Ciprofloxacin can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AB04, citalopram, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Citalopram.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Levothyroxine.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Levothyroxine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Levothyroxine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Levothyroxine.]
[R03CC13, clenbuterol, The risk or severity of adverse effects can be increased when Clenbuterol is combined with Levothyroxine.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Calcium glubionate anhydrous.]
[L01EA06, asciminib, The metabolism of Levothyroxine can be decreased when combined with Asciminib.]
[C10AB01, clofibrate, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Levothyroxine can be increased when combined with Mitapivat.]
[L01EJ03, pacritinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when Levothyroxine is combined with Clomipramine.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Levothyroxine.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Levothyroxine.]
[A02BC08, vonoprazan, Vonoprazan can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA56, deucravacitinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Deucravacitinib.]
[J05AX31, lenacapavir, The serum concentration of Lenacapavir can be decreased when it is combined with Levothyroxine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be decreased when it is combined with Levothyroxine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Levothyroxine.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Levothyroxine.]
[S02DA02, cocaine, Levothyroxine may increase the vasoconstricting activities of Cocaine.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Levothyroxine.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Levothyroxine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Levothyroxine.]
[R03BA08, ciclesonide, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Ciclesonide.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Levothyroxine.]
[L01EA01, imatinib, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Imatinib.]
[A02BC05, esomeprazole, Esomeprazole can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX09, lamotrigine, The metabolism of Levothyroxine can be increased when combined with Lamotrigine.]
[S01BA03, cortisone, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Cortisone.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Levothyroxine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A08AA09, mefenorex, The risk or severity of adverse effects can be increased when Mefenorex is combined with Levothyroxine.]
[C07AA14, mepindolol, The therapeutic efficacy of Levothyroxine can be decreased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Meprednisone.]
[R03CB02, methoxyphenamine, The risk or severity of adverse effects can be increased when Methoxyphenamine is combined with Levothyroxine.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Levothyroxine.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Levothyroxine.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be decreased when it is combined with Levothyroxine.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be decreased when it is combined with Levothyroxine.]
[G03XA01, danazol, The therapeutic efficacy of Levothyroxine can be increased when used in combination with Danazol.]
[M03CA01, dantrolene, The therapeutic efficacy of Dantrolene can be increased when used in combination with Levothyroxine.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Levothyroxine.]
