[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dacarbazine.]
[N05AB06, trifluoperazine, The metabolism of Dacarbazine can be decreased when combined with Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Dacarbazine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Dacarbazine.]
[A03AA05, trimebutine, Dacarbazine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Dacarbazine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Belimumab.]
[L01FX04, ipilimumab, Dacarbazine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Dacarbazine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Dacarbazine can be increased when it is combined with Abiraterone.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Dacarbazine.]
[S01AA28, vancomycin, Dacarbazine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Belatacept.]
[N03AX21, ezogabine, Dacarbazine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Dacarbazine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Dacarbazine.]
[C08DA01, verapamil, The metabolism of Dacarbazine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Dacarbazine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Dacarbazine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Dacarbazine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Dacarbazine.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Dacarbazine.]
[B01AA03, warfarin, The metabolism of Dacarbazine can be decreased when combined with Warfarin.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Dacarbazine.]
[L01EC01, vemurafenib, The serum concentration of Dacarbazine can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, Dacarbazine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Dacarbazine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Dacarbazine.]
[A02BC04, rabeprazole, Dacarbazine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA13, trovafloxacin, The metabolism of Dacarbazine can be decreased when combined with Trovafloxacin.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Dacarbazine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Dacarbazine.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Dacarbazine.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ruxolitinib.]
[G04BD07, tolterodine, Dacarbazine may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Dacarbazine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Dacarbazine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Dacarbazine.]
[M01CB03, auranofin, Dacarbazine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Dacarbazine.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Dacarbazine.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Dacarbazine.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Dacarbazine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Dacarbazine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Dacarbazine.]
[G04BD12, mirabegron, Dacarbazine may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Carfilzomib.]
[L02BB04, enzalutamide, Dacarbazine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Dacarbazine can be decreased when it is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Dacarbazine.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Aldosterone.]
[D02BA02, octinoxate, Dacarbazine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Dacarbazine.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Dacarbazine.]
[L04AA29, tofacitinib, Dacarbazine may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Dacarbazine can be decreased when combined with Zolmitriptan.]
[V09IX04, fluorodeoxyglucose F18, Dacarbazine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Dacarbazine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Dacarbazine.]
[A16AX08, teduglutide, Dacarbazine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Dacarbazine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Dacarbazine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Pomalidomide.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The metabolism of Dacarbazine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Dacarbazine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Dacarbazine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Benzocaine.]
[L03AA12, ancestim, Dacarbazine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01EE01, trametinib, Dacarbazine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Dacarbazine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Dacarbazine may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[L03AA14, lipegfilgrastim, Dacarbazine may increase the myelosuppressive activities of Lipegfilgrastim.]
[A10BJ03, lixisenatide, Dacarbazine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Dacarbazine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ibrutinib.]
[N06AX26, vortioxetine, Dacarbazine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J05AP05, simeprevir, The metabolism of Dacarbazine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Dacarbazine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dacarbazine can be decreased when combined with Dapagliflozin.]
[C01CA27, droxidopa, Dacarbazine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Dacarbazine.]
[L04AA32, apremilast, The metabolism of Dacarbazine can be increased when combined with Apremilast.]
[L02BG02, formestane, Dacarbazine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Dacarbazine.]
[S01ED02, betaxolol, The metabolism of Dacarbazine can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Dacarbazine.]
[V03AB34, fomepizole, Dacarbazine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Dacarbazine can be increased when combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Dacarbazine.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Dacarbazine.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Pirfenidone.]
[S03AA06, gentamicin, Dacarbazine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Dacarbazine.]
[B01AF03, edoxaban, Dacarbazine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Dacarbazine can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Dacarbazine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Dacarbazine can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Dacarbazine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Dacarbazine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Dacarbazine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Dacarbazine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Mepolizumab.]
[L01EB04, osimertinib, The serum concentration of Dacarbazine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dacarbazine.]
[L01XG03, ixazomib, Dacarbazine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Dacarbazine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N03AX23, brivaracetam, Dacarbazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ixekizumab.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Dacarbazine.]
[A02AD05, aluminum magnesium silicate, Dacarbazine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Dacarbazine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Bupivacaine.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Arsenic trioxide.]
[M02AA03, clofezone, Dacarbazine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Dacarbazine.]
[L01XK03, rucaparib, The metabolism of Dacarbazine can be decreased when combined with Rucaparib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Brodalumab.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Dacarbazine.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Dacarbazine.]
[A06AH05, naldemedine, Dacarbazine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Dacarbazine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Dacarbazine can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Dacarbazine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Dacarbazine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Dacarbazine.]
[J05AF06, abacavir, Dacarbazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Dacarbazine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Dacarbazine can be increased when combined with Infliximab.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Sarilumab.]
[J01MA23, delafloxacin, Dacarbazine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Dacarbazine.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Dacarbazine can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Vorinostat.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Dacarbazine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Dacarbazine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Dacarbazine.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Dacarbazine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Dacarbazine.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Dacarbazine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Dacarbazine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dacarbazine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Dacarbazine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Dacarbazine.]
[N03AX24, cannabidiol, The metabolism of Dacarbazine can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Dacarbazine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[J01GB14, plazomicin, Dacarbazine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[A16AX14, migalastat, Dacarbazine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Dacarbazine can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Dacarbazine is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Dacarbazine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Dacarbazine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[L04AA39, emapalumab, The metabolism of Dacarbazine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Dacarbazine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ravulizumab.]
[A06AX05, prucalopride, Dacarbazine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Dacarbazine.]
