[S02DA03, antipyrine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Antipyrine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Indapamide may increase the excretion rate of Triazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Trichlormethiazide.]
[A03AB12, mepenzolate, The serum concentration of Indapamide can be increased when it is combined with Mepenzolate.]
[A16AX12, trientine, Indapamide may increase the excretion rate of Triethylenetetramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB06, trifluoperazine, Trifluoperazine may decrease the antihypertensive activities of Indapamide.]
[S01AD02, trifluridine, Indapamide may increase the excretion rate of Trifluridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA05, triflupromazine, The serum concentration of Indapamide can be increased when it is combined with Triflupromazine.]
[D07AC02, fluclorolone, Fluclorolone may increase the hypokalemic activities of Indapamide.]
[N04AA01, trihexyphenidyl, The serum concentration of Indapamide can be increased when it is combined with Trihexyphenidyl.]
[R03BA07, mometasone, Mometasone may increase the hypokalemic activities of Indapamide.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Trimebutine.]
[S01ED04, metipranolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Indapamide.]
[C02BA01, trimethaphan, The therapeutic efficacy of Indapamide can be increased when used in combination with Trimethaphan.]
[J01EA01, trimethoprim, Indapamide may increase the excretion rate of Trimethoprim which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Indapamide.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Indapamide.]
[A03BB01, butylscopolamine, The serum concentration of Indapamide can be increased when it is combined with Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Indapamide can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Indapamide.]
[C09CA09, azilsartan medoxomil, The therapeutic efficacy of Indapamide can be increased when used in combination with Azilsartan medoxomil.]
[M03AA02, tubocurarine, The serum concentration of Indapamide can be increased when it is combined with Tubocurarine.]
[R03DX07, roflumilast, Indapamide may increase the excretion rate of Roflumilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX04, ipilimumab, Indapamide may increase the excretion rate of Ipilimumab which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Vandetanib.]
[R02AA14, oxyquinoline, Indapamide may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Indapamide.]
[J05AP03, boceprevir, The metabolism of Indapamide can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Indapamide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Rilpivirine.]
[S01AA28, vancomycin, Indapamide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ezogabine.]
[B01AF01, rivaroxaban, Indapamide may increase the excretion rate of Rivaroxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Indapamide can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Indapamide can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, The therapeutic efficacy of Indapamide can be increased when used in combination with Vincamine.]
[B03BA01, vitamin B12, Indapamide may increase the excretion rate of Cyanocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA03, warfarin, Indapamide may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Indapamide can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Indapamide.]
[C03BA10, xipamide, The therapeutic efficacy of Indapamide can be increased when used in combination with Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Indapamide can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Indapamide.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[M05BA05, tiludronic acid, Indapamide may increase the excretion rate of Tiludronic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[B06AC02, icatibant, Indapamide may increase the excretion rate of Icatibant which could result in a lower serum level and potentially a reduction in efficacy.]
[L01ED01, crizotinib, The metabolism of Indapamide can be decreased when combined with Crizotinib.]
[A02BC04, rabeprazole, Indapamide may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[H05BX03, doxercalciferol, The risk or severity of hypokalemia can be increased when Doxercalciferol is combined with Indapamide.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Indapamide.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Indapamide may increase the excretion rate of Deferiprone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Indapamide may increase the excretion rate of Ruxolitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Tolterodine.]
[J01DH04, doripenem, Indapamide may increase the excretion rate of Doripenem which could result in a lower serum level and potentially a reduction in efficacy.]
[A11CC03, alfacalcidol, The risk or severity of hypokalemia can be increased when Alfacalcidol is combined with Indapamide.]
[L01FA01, rituximab, Indapamide may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The metabolism of Indapamide can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The serum concentration of Indapamide can be increased when it is combined with Atracurium.]
[S01FA01, atropine, Atropine may decrease the antihypertensive activities of Indapamide.]
[M01CB03, auranofin, Indapamide may increase the excretion rate of Auranofin which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB11, prednylidene, Prednylidene may increase the hypokalemic activities of Indapamide.]
[B03XA04, peginesatide, Indapamide may increase the excretion rate of Peginesatide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC07, azacitidine, Indapamide may increase the excretion rate of Azacitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX01, azathioprine, Indapamide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC05, gemcitabine, Indapamide may increase the excretion rate of Gemcitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DF01, aztreonam, Indapamide may increase the excretion rate of Aztreonam which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Indapamide.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Indapamide.]
[A08AA11, lorcaserin, Indapamide may increase the excretion rate of Lorcaserin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Indapamide can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Indapamide can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Indapamide can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The risk or severity of adverse effects can be increased when Indapamide is combined with Linaclotide.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Indapamide.]
[H02AA01, aldosterone, Aldosterone may increase the hypokalemic activities of Indapamide.]
[N05CA04, barbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Barbital is combined with Indapamide.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Indapamide is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Indapamide may increase the excretion rate of Octinoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE04, nelfinavir, The metabolism of Indapamide can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Indapamide.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Indapamide.]
[C08CA13, lercanidipine, The therapeutic efficacy of Indapamide can be increased when used in combination with Lercanidipine.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Indapamide.]
[R06AC06, thonzylamine, The serum concentration of Indapamide can be increased when it is combined with Thonzylamine.]
[G04BD10, darifenacin, The serum concentration of Indapamide can be increased when it is combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Indapamide may increase the excretion rate of Fludeoxyglucose (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Indapamide.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Pasireotide.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Indapamide.]
[V08CA11, gadofosveset, Indapamide may increase the excretion rate of Gadofosveset trisodium which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX08, teduglutide, Indapamide may increase the excretion rate of Teduglutide which could result in a lower serum level and potentially a reduction in efficacy.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Indapamide.]
[A16AX09, glycerol phenylbutyrate, Indapamide may increase the excretion rate of Glycerol phenylbutyrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Indapamide can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Indapamide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA10, benorilate, The therapeutic efficacy of Indapamide can be decreased when used in combination with Benorilate.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Indapamide.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Moxifloxacin.]
[A06AX06, tegaserod, The risk or severity of adverse effects can be increased when Indapamide is combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin detemir.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Indapamide.]
[L03AA12, ancestim, Indapamide may increase the excretion rate of Ancestim which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH01, celecoxib, The therapeutic efficacy of Indapamide can be decreased when used in combination with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Indapamide.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Indapamide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Indapamide.]
[L01EC02, dabrafenib, The serum concentration of Indapamide can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Benzydamine.]
[L01EE01, trametinib, Indapamide may increase the excretion rate of Trametinib which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX05, florbetapir F-18, Indapamide may increase the excretion rate of Florbetapir (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX28, levomilnacipran, The risk or severity of hyponatremia can be increased when Levomilnacipran is combined with Indapamide.]
[C08EA02, bepridil, The therapeutic efficacy of Indapamide can be increased when used in combination with Bepridil.]
[C02KX05, riociguat, The therapeutic efficacy of Indapamide can be increased when used in combination with Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Indapamide.]
[C02KX04, macitentan, The therapeutic efficacy of Indapamide can be increased when used in combination with Macitentan.]
[N06AX26, vortioxetine, Indapamide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AC08, etonogestrel, Indapamide may increase the excretion rate of Etonogestrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP05, simeprevir, The metabolism of Indapamide can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Indapamide may increase the excretion rate of Sofosbuvir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Indapamide.]
[C01CA27, droxidopa, Indapamide may increase the excretion rate of Droxidopa which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB04, acebutolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, Indapamide may increase the excretion rate of Tasimelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AA07, metreleptin, The metabolism of Indapamide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, Indapamide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BG02, formestane, Indapamide may increase the excretion rate of Formestane which could result in a lower serum level and potentially a reduction in efficacy.]
[S03BA03, betamethasone, Betamethasone may increase the hypokalemic activities of Indapamide.]
[S01ED02, betaxolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Betaxolol.]
[V03AB34, fomepizole, Indapamide may increase the excretion rate of Fomepizole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC01, bethanidine, The therapeutic efficacy of Indapamide can be increased when used in combination with Bethanidine.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Indapamide.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Indapamide.]
[A10BK03, empagliflozin, Empagliflozin may increase the diuretic activities of Indapamide.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Indapamide may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EE02, unoprostone, The therapeutic efficacy of Indapamide can be increased when used in combination with Unoprostone.]
[D11AA01, glycopyrronium, The serum concentration of Indapamide can be increased when it is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Indapamide may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Eliglustat.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[N05AA04, acepromazine, Acepromazine may decrease the antihypertensive activities of Indapamide.]
[A06AB04, phenolphthalein, The risk or severity of adverse effects can be increased when Indapamide is combined with Phenolphthalein.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Indapamide.]
[A06AH03, naloxegol, The therapeutic efficacy of Indapamide can be decreased when used in combination with Naloxegol.]
[N04AA02, biperiden, The serum concentration of Indapamide can be increased when it is combined with Biperiden.]
[A06AG02, bisacodyl, The risk or severity of adverse effects can be increased when Indapamide is combined with Bisacodyl.]
[S03AA06, gentamicin, Indapamide may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Indapamide may increase the excretion rate of Edoxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Indapamide.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Panobinostat.]
[N02BE01, acetaminophen, Indapamide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC01, bleomycin, Indapamide may increase the excretion rate of Bleomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AA09, difemerine, The serum concentration of Indapamide can be increased when it is combined with Difemerine.]
[C01EB17, ivabradine, The risk or severity of Cardiac Arrhythmia can be increased when Indapamide is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[A07DA06, eluxadoline, The therapeutic efficacy of Indapamide can be decreased when used in combination with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may decrease the antihypertensive activities of Indapamide.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Indapamide.]
[A06AD03, magnesium peroxide, The risk or severity of adverse effects can be increased when Indapamide is combined with Magnesium peroxide.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Indapamide.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Indapamide.]
[M02AA25, aceclofenac, The therapeutic efficacy of Indapamide can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, The therapeutic efficacy of Indapamide can be decreased when used in combination with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Indapamide is combined with Insulin degludec.]
[V03AB37, idarucizumab, Indapamide may increase the excretion rate of Idarucizumab which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AC05, isavuconazole, The metabolism of Indapamide can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Indapamide.]
[L01XG03, ixazomib, Indapamide may increase the excretion rate of Ixazomib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC27, selexipag, The therapeutic efficacy of Indapamide can be increased when used in combination with Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Indapamide.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Indapamide.]
[M04AB05, lesinurad, Indapamide may increase the excretion rate of Lesinurad which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA05, aprobarbital, The serum concentration of Indapamide can be increased when it is combined with Aprobarbital.]
[M01AE16, alminoprofen, The therapeutic efficacy of Indapamide can be decreased when used in combination with Alminoprofen.]
[N03AX23, brivaracetam, Indapamide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX52, venetoclax, The metabolism of Indapamide can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Indapamide may increase the excretion rate of Bromazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Indapamide.]
[A02AD05, aluminum magnesium silicate, Indapamide may increase the excretion rate of Almasilate which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Indapamide.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Indapamide.]
[C03CA02, bumetanide, Indapamide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Indapamide.]
[C07AA19, bupranolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Buserelin.]
[N05BE01, buspirone, Indapamide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Artemether.]
[M02AA03, clofezone, Indapamide may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AF01, butorphanol, The therapeutic efficacy of Indapamide can be decreased when used in combination with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Indapamide.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Azithromycin.]
[A06AX07, plecanatide, The risk or severity of adverse effects can be increased when Indapamide is combined with Plecanatide.]
[L01EF02, ribociclib, The metabolism of Indapamide can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The therapeutic efficacy of Indapamide can be decreased when used in combination with Balsalazide.]
[R03CC12, bambuterol, Bambuterol may decrease the antihypertensive activities of Indapamide.]
[A06AH05, naldemedine, Indapamide may increase the excretion rate of Naldemedine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Indapamide.]
[C09AA07, benazepril, The therapeutic efficacy of Indapamide can be increased when used in combination with Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Indapamide.]
[H05BX05, calcifediol, The risk or severity of hypokalemia can be increased when Calcifediol is combined with Indapamide.]
[D05AX03, calcitriol, The risk or severity of hypokalemia can be increased when Calcitriol is combined with Indapamide.]
[A12AA04, calcium carbonate, Indapamide may decrease the excretion rate of Calcium carbonate which could result in a higher serum level.]
