[S02DA03, antipyrine, The metabolism of Thiothixene can be decreased when combined with Antipyrine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Trifluperidol.]
[N05AA05, triflupromazine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Thiothixene.]
[A03AA05, trimebutine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Thiothixene.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Thiothixene.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Thiothixene.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Thiothixene.]
[A03BB01, butylscopolamine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Thiothixene.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Thiothixene.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Thiothixene.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Thiothixene.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Thiothixene can be increased when it is combined with Abiraterone.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Thiothixene can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Thiothixene can be decreased when combined with Viloxazine.]
[L01CA02, vincristine, Vincristine may increase the neurotoxic activities of Thiothixene.]
[B01AA03, warfarin, The metabolism of Thiothixene can be decreased when combined with Warfarin.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Pipemidic acid.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Thiothixene.]
[L01EC01, vemurafenib, The serum concentration of Thiothixene can be increased when it is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Thiothixene.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ziprasidone.]
[G04BD07, tolterodine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Thiothixene can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Thiothixene.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Thiothixene is combined with Atracurium.]
[S01FA01, atropine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Thiothixene.]
[L04AX01, azathioprine, The metabolism of Thiothixene can be decreased when combined with Azathioprine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Lorcaserin is combined with Thiothixene.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Mirabegron.]
[L04AA31, teriflunomide, The serum concentration of Thiothixene can be decreased when it is combined with Teriflunomide.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Thiothixene.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Thiothixene.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Thiothixene.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Thiothixene.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Thiothixene is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Thiothixene.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Thiothixene.]
[R06AC06, thonzylamine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Thiothixene is combined with Diethyl ether.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Pasireotide.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Bencyclane.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Thiothixene is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Benperidol.]
[J01MA15, gemifloxacin, The metabolism of Thiothixene can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Thiothixene can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Thiothixene can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Thiothixene.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Thiothixene.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Benzatropine.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Thiothixene is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Bepridil.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Thiothixene.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Thiothixene can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Thiothixene.]
[A10BK01, dapagliflozin, The metabolism of Thiothixene can be decreased when combined with Dapagliflozin.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Thiothixene can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The metabolism of Thiothixene can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Thiothixene can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ceritinib.]
[A03BA03, hyoscyamine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Thiothixene can be decreased when combined with Acenocoumarol.]
[L01XH04, belinostat, The metabolism of Thiothixene can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Olodaterol.]
[D11AA01, glycopyrronium, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Eliglustat.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Acepromazine is combined with Thiothixene.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Thiothixene.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Thiothixene.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Dicoumarol.]
[N06AX11, mirtazapine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Thiothixene can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Thiothixene can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ivabradine.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Thiothixene is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Thiothixene is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Thiothixene.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Thiothixene.]
[L01EB04, osimertinib, The serum concentration of Thiothixene can be decreased when it is combined with Osimertinib.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Thiothixene.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Thiothixene.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Thiothixene.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Thiothixene.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Thiothixene.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Thiothixene.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Thiothixene is combined with Amineptine.]
[N05AX17, pimavanserin, Thiothixene may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Thiothixene can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Thiothixene.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Bupranolol.]
[N07BC01, buprenorphine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Buserelin.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Thiothixene.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Thiothixene.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Thiothixene.]
[S01GX07, azelastine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Thiothixene can be increased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Azithromycin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Thiothixene.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Thiothixene can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Thiothixene is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Thiothixene can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Thiothixene.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Thiothixene.]
[L04AB02, infliximab, The metabolism of Thiothixene can be increased when combined with Infliximab.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Thiothixene.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Thiothixene can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Vorinostat.]
[A02BX12, bismuth subnitrate, Thiothixene may increase the neurotoxic activities of Bismuth subnitrate.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Thiothixene.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Thiothixene.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Brotizolam.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Thiothixene.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Thiothixene.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Thiothixene is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Acetyldigoxin.]
[N01BX04, capsaicin, The metabolism of Thiothixene can be increased when combined with Capsaicin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Thiothixene is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Macimorelin.]
[N03AF01, carbamazepine, The metabolism of Thiothixene can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Thiothixene.]
[L03AB06, interferon alfa-n1, The metabolism of Thiothixene can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Thiothixene can be decreased when combined with Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Thiothixene.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Thiothixene.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Thiothixene can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Thiothixene.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Thiothixene is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Thiothixene.]
[R06AA06, chlorphenoxamine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[R03DA02, oxtriphylline, The metabolism of Thiothixene can be decreased when combined with Oxtriphylline.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Thiothixene.]
[R03BB08, revefenacin, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Thiothixene can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Thiothixene can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Thiothixene can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Cibenzoline.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Thiothixene.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Thiothixene is combined with Cinitapride.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Esketamine.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Thiothixene is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Thiothixene.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Thiothixene.]
[L04AB01, etanercept, The metabolism of Thiothixene can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thiothixene.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Entrectinib.]
[N07XX11, pitolisant, Thiothixene may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Thiothixene.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Thiothixene.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Thiothixene.]
[A10AE03, insulin, regular, pork, The metabolism of Thiothixene can be increased when combined with Insulin pork.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Thiothixene.]
[A16AX16, givosiran, The serum concentration of Thiothixene can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Thiothixene.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Thiothixene.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Thiothixene is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Thiothixene.]
[M01AX21, diacetylrhein, The metabolism of Thiothixene can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Thiothixene can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Thiothixene can be decreased when combined with Osilodrostat.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Thiothixene.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Thiothixene.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Thiothixene.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Thiothixene.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Thiothixene.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Thiothixene.]
[M01AH02, rofecoxib, The metabolism of Thiothixene can be decreased when combined with Rofecoxib.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Thiothixene is combined with Valpromide.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Thiothixene.]
[A03AA08, dihexyverine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Thiothixene can be decreased when combined with Capmatinib.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Thiothixene.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Thiothixene.]
[G04BD09, trospium, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Thiothixene is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Thiothixene.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Thiothixene.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Fostemsavir.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Thiothixene is combined with Remimazolam.]
[N07XX04, sodium oxybate, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Thiothixene can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Thiothixene is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Thiothixene.]
[N05AA01, chlorpromazine, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[N05AF03, chlorprothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Thiothixene.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Thiothixene.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Relugolix.]
[L01FX21, naxitamab, Thiothixene may increase the neurotoxic activities of Naxitamab.]
[P03AX07, abametapir, The serum concentration of Thiothixene can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Thiothixene can be increased when combined with Trilaciclib.]
