[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Almotriptan.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Almotriptan can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M05BA05, tiludronic acid, Almotriptan may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Almotriptan may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Almotriptan can be decreased when combined with Crizotinib.]
[A02BC04, rabeprazole, Almotriptan may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Almotriptan may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Almotriptan is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Almotriptan may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, Almotriptan may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Almotriptan may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Almotriptan can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Almotriptan is combined with Atracurium.]
[S01FA01, atropine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01CB03, auranofin, Almotriptan may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Almotriptan may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Almotriptan may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Almotriptan may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Almotriptan.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[A08AA11, lorcaserin, The metabolism of Almotriptan can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Almotriptan can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Almotriptan can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Almotriptan can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Almotriptan can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Almotriptan can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Almotriptan can be decreased when combined with Teriflunomide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Almotriptan is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Almotriptan is combined with Barbital.]
[D02BA02, octinoxate, Almotriptan may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Almotriptan can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[N04BD02, rasagiline, The metabolism of Almotriptan can be decreased when combined with Rasagiline.]
[C08CA13, lercanidipine, Almotriptan may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Almotriptan is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Almotriptan.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[N02CC03, zolmitriptan, The risk or severity of vasospastic reactions can be increased when Almotriptan is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Almotriptan can be decreased when combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Almotriptan may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Almotriptan is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Almotriptan can be decreased when combined with Cabozantinib.]
[G04BE03, sildenafil, The metabolism of Almotriptan can be decreased when combined with Sildenafil.]
[V08CA11, gadofosveset, Almotriptan may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Almotriptan.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Almotriptan.]
[A16AX08, teduglutide, Almotriptan may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Almotriptan may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Almotriptan can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Almotriptan can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Almotriptan is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX06, tegaserod, The metabolism of Almotriptan can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Benzocaine.]
[L03AA12, ancestim, Almotriptan may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Almotriptan can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Almotriptan can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Almotriptan can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Almotriptan is combined with Benzydamine.]
[L01EE01, trametinib, The metabolism of Almotriptan can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Almotriptan may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Almotriptan is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Almotriptan can be decreased when combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Almotriptan.]
[A10BJ03, lixisenatide, Almotriptan may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Almotriptan may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Almotriptan.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Almotriptan can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Almotriptan may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Vigabatrin.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Almotriptan may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Almotriptan can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Almotriptan can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Almotriptan can be increased when combined with Apremilast.]
[L02BG02, formestane, Almotriptan may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Almotriptan can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Almotriptan may decrease the antihypertensive activities of Betaxolol.]
[V03AB34, fomepizole, Almotriptan may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Almotriptan may decrease the antihypertensive activities of Bethanidine.]
[C10AB02, bezafibrate, The metabolism of Almotriptan can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Almotriptan can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Almotriptan.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[D11AA01, glycopyrronium, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05CM19, suvorexant, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Almotriptan can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Almotriptan can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Acepromazine.]
[N04AA02, biperiden, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Almotriptan.]
[S03AA06, gentamicin, Almotriptan may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Almotriptan.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Dicoumarol.]
[B01AF03, edoxaban, Almotriptan may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, Almotriptan may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Almotriptan can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Almotriptan can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[A03AA09, difemerine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Almotriptan can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Almotriptan is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Almotriptan can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Almotriptan is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Almotriptan is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Almotriptan.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Almotriptan can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Almotriptan may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Almotriptan.]
[J02AC05, isavuconazole, The metabolism of Almotriptan can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Almotriptan.]
[L01XG03, ixazomib, Almotriptan may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Almotriptan.]
[M04AB05, lesinurad, Almotriptan may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Almotriptan is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Almotriptan is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Almotriptan can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Bromazepam.]
[N04BC01, bromocriptine, Bromocriptine may increase the vasoconstricting activities of Almotriptan.]
[A02AD05, aluminum magnesium silicate, Almotriptan may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Almotriptan.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Almotriptan is combined with Amineptine.]
[C08CA01, amlodipine, Almotriptan may decrease the antihypertensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Almotriptan is combined with Aniracetam.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Almotriptan.]
[C07AA19, bupranolol, Almotriptan may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Almotriptan.]
[L01XX27, arsenic trioxide, Almotriptan may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Almotriptan may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Almotriptan.]
[S01GX07, azelastine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Almotriptan can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Almotriptan can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Almotriptan is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Bambuterol.]
[A06AH05, naldemedine, Almotriptan may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Almotriptan may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Almotriptan can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Almotriptan is combined with Beclamide.]
[C09AA07, benazepril, Almotriptan may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Almotriptan.]
[P01CA02, benznidazole, Almotriptan may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Almotriptan.]
[J05AF06, abacavir, Almotriptan may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Almotriptan can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Almotriptan may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Almotriptan can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Almotriptan can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Almotriptan.]
[N04BD03, safinamide, The metabolism of Almotriptan can be decreased when combined with Safinamide.]
[J01MA23, delafloxacin, Almotriptan may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Almotriptan may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Almotriptan.]
[C07AB07, bisoprolol, Almotriptan may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Almotriptan.]
[J05AG03, efavirenz, The metabolism of Almotriptan can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Almotriptan.]
