[S02DA03, antipyrine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Antipyrine.]
[N02AX01, tilidine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Tilidine.]
[S01ED01, timolol, Furosemide may increase the excretion rate of Timolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB02, tinidazole, Furosemide may increase the excretion rate of Tinidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA12, tobramycin, Furosemide may increase the ototoxic activities of Tobramycin.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Furosemide.]
[M02AX02, tolazoline, Tolazoline may decrease the antihypertensive activities of Furosemide.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Furosemide.]
[M02AA21, tolmetin, The therapeutic efficacy of Furosemide can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, Furosemide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Furosemide.]
[N06AX05, trazodone, Trazodone may decrease the antihypertensive activities of Furosemide.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Furosemide is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of hypokalemia can be increased when Triamcinolone is combined with Furosemide.]
[N05CD05, triazolam, Furosemide may increase the excretion rate of Triazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Furosemide may increase the excretion rate of Triethylenetetramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB06, trifluoperazine, Trifluoperazine may decrease the antihypertensive activities of Furosemide.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Furosemide.]
[D07AC02, fluclorolone, The risk or severity of hypokalemia can be increased when Fluclorolone is combined with Furosemide.]
[A03AA05, trimebutine, Furosemide may increase the excretion rate of Trimebutine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01ED04, metipranolol, Furosemide may increase the hypotensive activities of Metipranolol.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Furosemide is combined with Trimethaphan.]
[J01EA01, trimethoprim, Furosemide may increase the excretion rate of Trimethoprim which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA06, trimipramine, Trimipramine may decrease the antihypertensive activities of Furosemide.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Furosemide.]
[C09CA09, azilsartan medoxomil, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, Furosemide may decrease the skeletal muscle relaxing activities of Tubocurarine.]
[R03DX07, roflumilast, Furosemide may increase the excretion rate of Roflumilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX04, ipilimumab, Furosemide may increase the excretion rate of Ipilimumab which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AA14, oxyquinoline, Furosemide may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Furosemide.]
[S01AA28, vancomycin, Furosemide may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Furosemide may increase the excretion rate of Ezogabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Furosemide may increase the excretion rate of Rivaroxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC18, indacaterol, The risk or severity of hypokalemia can be increased when Indacaterol is combined with Furosemide.]
[C08DA01, verapamil, Furosemide may increase the excretion rate of Verapamil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX09, viloxazine, Furosemide may increase the excretion rate of Viloxazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX07, vincamine, Furosemide may increase the hypotensive activities of Vincamine.]
[B03BA01, vitamin B12, Furosemide may increase the excretion rate of Cyanocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA03, warfarin, Furosemide may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Furosemide.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The excretion of Zidovudine can be decreased when combined with Furosemide.]
[N05AF05, zuclopenthixol, Zuclopenthixol may decrease the antihypertensive activities of Furosemide.]
[J05AE02, indinavir, The metabolism of Furosemide can be decreased when combined with Indinavir.]
[M05BA03, pamidronic acid, The risk or severity of nephrotoxicity can be increased when Pamidronic acid is combined with Furosemide.]
[M05BA05, tiludronic acid, The risk or severity of hypocalcemia can be increased when Furosemide is combined with Tiludronic acid.]
[B06AC02, icatibant, Furosemide may increase the excretion rate of Icatibant which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC04, rabeprazole, Furosemide may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA06, ibandronic acid, The risk or severity of hypocalcemia can be increased when Furosemide is combined with Ibandronate.]
[L01XX02, asparaginase, The therapeutic efficacy of Furosemide can be increased when used in combination with Asparaginase Escherichia coli.]
[N05AE04, ziprasidone, Ziprasidone may increase the antihypertensive activities of Furosemide.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Furosemide may increase the excretion rate of Deferiprone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA01, aspirin, The risk or severity of increased serum creatinine can be increased when Acetylsalicylic acid is combined with Furosemide.]
[L01EJ01, ruxolitinib, Furosemide may increase the excretion rate of Ruxolitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD07, tolterodine, Furosemide may increase the excretion rate of Tolterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Furosemide.]
[C07AB03, atenolol, Atenolol may increase the hypotensive activities of Furosemide.]
[L01FA01, rituximab, Furosemide may increase the hypotensive activities of Rituximab.]
[M03AC04, atracurium, Furosemide may decrease the neuromuscular blocking activities of Atracurium.]
[S01FA01, atropine, Atropine may decrease the antihypertensive activities of Furosemide.]
[M01CB03, auranofin, Furosemide may increase the excretion rate of Auranofin which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB11, prednylidene, The risk or severity of hypokalemia can be increased when Prednylidene is combined with Furosemide.]
[B03XA04, peginesatide, Furosemide may increase the excretion rate of Peginesatide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC07, azacitidine, Furosemide may increase the excretion rate of Azacitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX01, azathioprine, Furosemide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC05, gemcitabine, Furosemide may increase the excretion rate of Gemcitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DF01, aztreonam, Furosemide may increase the excretion rate of Aztreonam which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AB04, bacitracin, The risk or severity of nephrotoxicity can be increased when Bacitracin is combined with Furosemide.]
[G04BE10, avanafil, Furosemide may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Furosemide.]
[A08AA11, lorcaserin, Furosemide may increase the excretion rate of Lorcaserin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD12, mirabegron, Furosemide may increase the excretion rate of Mirabegron which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BB04, enzalutamide, Furosemide may increase the excretion rate of Enzalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX04, linaclotide, The risk or severity of adverse effects can be increased when Furosemide is combined with Linaclotide.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Furosemide.]
[H02AA01, aldosterone, The risk or severity of hypokalemia can be increased when Aldosterone is combined with Furosemide.]
[L01EX05, regorafenib, The metabolism of Furosemide can be decreased when combined with Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Furosemide.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Furosemide is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Furosemide may increase the excretion rate of Octinoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE04, nelfinavir, The metabolism of Furosemide can be increased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Furosemide.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Furosemide.]
[C08CA13, lercanidipine, Lercanidipine may increase the hypotensive activities of Furosemide.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Furosemide.]
[V09IX04, fluorodeoxyglucose F18, Furosemide may increase the excretion rate of Fludeoxyglucose (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Furosemide.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Furosemide.]
[V08CA11, gadofosveset, Furosemide may increase the excretion rate of Gadofosveset trisodium which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX08, teduglutide, Furosemide may increase the excretion rate of Teduglutide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Furosemide.]
[A16AX09, glycerol phenylbutyrate, Furosemide may increase the excretion rate of Glycerol phenylbutyrate which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Furosemide can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Furosemide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA10, benorilate, The therapeutic efficacy of Furosemide can be decreased when used in combination with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hypotension can be increased when Canagliflozin is combined with Furosemide.]
[A06AX06, tegaserod, The risk or severity of adverse effects can be increased when Furosemide is combined with Tegaserod.]
[H03AA04, tiratricol, The protein binding of Tiratricol can be decreased when combined with Furosemide.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin detemir.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be decreased when used in combination with Furosemide.]
[L03AA12, ancestim, Furosemide may increase the excretion rate of Ancestim which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH01, celecoxib, The therapeutic efficacy of Furosemide can be decreased when used in combination with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Furosemide.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Furosemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, Furosemide may increase the excretion rate of Benzatropine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC02, dabrafenib, The metabolism of Furosemide can be decreased when combined with Dabrafenib.]
[R02AX03, benzydamine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Benzydamine.]
[L01EE01, trametinib, Furosemide may increase the excretion rate of Trametinib which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX05, florbetapir F-18, Furosemide may increase the excretion rate of Florbetapir (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX28, levomilnacipran, Furosemide may increase the excretion rate of Levomilnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[C08EA02, bepridil, Furosemide may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Furosemide may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Furosemide.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Furosemide.]
[C02KX04, macitentan, Furosemide may increase the excretion rate of Macitentan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX26, vortioxetine, Furosemide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AC08, etonogestrel, Furosemide may increase the excretion rate of Etonogestrel which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP08, sofosbuvir, Furosemide may increase the excretion rate of Sofosbuvir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Furosemide.]
[C01CA27, droxidopa, The risk or severity of hypokalemia can be increased when Droxidopa is combined with Furosemide.]
[C07AB04, acebutolol, Furosemide may increase the hypotensive activities of Acebutolol.]
[N05CH03, tasimelteon, Furosemide may increase the excretion rate of Tasimelteon which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA32, apremilast, Furosemide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BG02, formestane, Furosemide may increase the excretion rate of Formestane which could result in a lower serum level and potentially a reduction in efficacy.]
[S03BA03, betamethasone, The risk or severity of hypokalemia can be increased when Betamethasone is combined with Furosemide.]
[S01ED02, betaxolol, Betaxolol may increase the hypotensive activities of Furosemide.]
[V03AB34, fomepizole, Furosemide may increase the excretion rate of Fomepizole which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Furosemide.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Furosemide.]
[A10BK03, empagliflozin, Empagliflozin may increase the diuretic activities of Furosemide.]
[R03AC19, olodaterol, The risk or severity of hypokalemia can be increased when Olodaterol is combined with Furosemide.]
[V08AA01, diatrizoic acid, Furosemide may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EE02, unoprostone, Furosemide may increase the hypotensive activities of Unoprostone.]
[V08AA04, iothalamic acid, Furosemide may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA15, dihydrostreptomycin, Furosemide may increase the ototoxic activities of Dihydrostreptomycin.]
[N05AA04, acepromazine, Acepromazine may decrease the antihypertensive activities of Furosemide.]
[A06AB04, phenolphthalein, The risk or severity of adverse effects can be increased when Furosemide is combined with Phenolphthalein.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Furosemide.]
[A06AH03, naloxegol, The therapeutic efficacy of Furosemide can be decreased when used in combination with Naloxegol.]
[A06AG02, bisacodyl, The risk or severity of adverse effects can be increased when Furosemide is combined with Bisacodyl.]
[S03AA06, gentamicin, Furosemide may increase the ototoxic activities of Gentamicin.]
[J05AP09, dasabuvir, The metabolism of Furosemide can be decreased when combined with Dasabuvir.]
[B01AF03, edoxaban, Furosemide may increase the excretion rate of Edoxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX11, mirtazapine, Mirtazapine may decrease the antihypertensive activities of Furosemide.]
[N02BE01, acetaminophen, Furosemide may increase the excretion rate of Acetaminophen which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DC01, bleomycin, Furosemide may increase the excretion rate of Bleomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01EB17, ivabradine, The risk or severity of Cardiac Arrhythmia can be increased when Furosemide is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Adefovir dipivoxil.]
[A07DA06, eluxadoline, The excretion of Eluxadoline can be decreased when combined with Furosemide.]
[N05AX16, brexpiprazole, Brexpiprazole may decrease the antihypertensive activities of Furosemide.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Furosemide.]
[A06AD03, magnesium peroxide, The risk or severity of adverse effects can be increased when Furosemide is combined with Magnesium peroxide.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Furosemide.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Furosemide.]
[M02AA25, aceclofenac, The therapeutic efficacy of Furosemide can be decreased when used in combination with Aceclofenac.]
[M01AB11, acemetacin, Furosemide may increase the nephrotoxic activities of Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Furosemide is combined with Insulin degludec.]
[V03AB37, idarucizumab, Furosemide may increase the excretion rate of Idarucizumab which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Furosemide.]
[L01XG03, ixazomib, Furosemide may increase the excretion rate of Ixazomib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC27, selexipag, Furosemide may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Furosemide.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Furosemide.]
[M04AB05, lesinurad, Furosemide may increase the excretion rate of Lesinurad which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AE16, alminoprofen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Alminoprofen.]
[N02BA02, aloxiprin, The risk or severity of adverse effects can be increased when Furosemide is combined with Aloxiprin.]
[N03AX23, brivaracetam, Furosemide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA08, bromazepam, Furosemide may increase the excretion rate of Bromazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Furosemide.]
[A02AD05, aluminum magnesium silicate, Furosemide may increase the excretion rate of Almasilate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Furosemide.]
[C08CA01, amlodipine, Amlodipine may increase the hypotensive activities of Furosemide.]
[C03CA02, bumetanide, The excretion of Bumetanide can be decreased when combined with Furosemide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Furosemide.]
[C07AA19, bupranolol, Furosemide may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Buprenorphine.]
[N05BE01, buspirone, Furosemide may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX27, arsenic trioxide, Furosemide may increase the excretion rate of Arsenic trioxide which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA03, clofezone, Furosemide may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AF01, butorphanol, The therapeutic efficacy of Furosemide can be decreased when used in combination with Butorphanol.]
[A06AX07, plecanatide, The risk or severity of adverse effects can be increased when Furosemide is combined with Plecanatide.]
[A07EC04, balsalazide, The risk or severity of adverse effects can be increased when Furosemide is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypokalemia can be increased when Bambuterol is combined with Furosemide.]
[A06AH05, naldemedine, Furosemide may increase the excretion rate of Naldemedine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, Furosemide may increase the excretion rate of Deutetrabenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, Furosemide may increase the excretion rate of Pregabalin which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA07, benazepril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Furosemide.]
[P01CA02, benznidazole, Furosemide may increase the excretion rate of Benznidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Furosemide.]
[J05AF06, abacavir, Furosemide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE09, tipranavir, The metabolism of Furosemide can be increased when combined with Tipranavir.]
[N07XX13, valbenazine, Furosemide may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Furosemide.]
[J01MA23, delafloxacin, Furosemide may increase the excretion rate of Delafloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC06, capecitabine, Furosemide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX59, enasidenib, The metabolism of Furosemide can be decreased when combined with Enasidenib.]
[C07AB07, bisoprolol, Furosemide may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Bitolterol is combined with Furosemide.]
[J05AG03, efavirenz, The metabolism of Furosemide can be increased when combined with Efavirenz.]
[J01DC10, cefprozil, Furosemide may decrease the excretion rate of Cefprozil which could result in a higher serum level.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Furosemide is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Furosemide.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Furosemide.]
[M01AB07, bumadizone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Bumadizone.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Furosemide.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Furosemide is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Furosemide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Furosemide.]
[R06AX18, acrivastine, Furosemide may increase the excretion rate of Acrivastine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA01, captopril, The risk or severity of renal failure and hypotension can be increased when Furosemide is combined with Captopril.]
[L02BB05, apalutamide, Furosemide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AF01, carbamazepine, Furosemide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The risk or severity of adverse effects can be increased when Furosemide is combined with Calcium polycarbophil.]
[C07AG02, carvedilol, Furosemide may increase the hypotensive activities of Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Furosemide can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, Cannabidiol may decrease the antihypertensive activities of Furosemide.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Furosemide.]
[J01DE01, cefepime, The risk or severity of nephrotoxicity can be increased when Furosemide is combined with Cefepime.]
[J01DD10, cefetamet, Furosemide may decrease the excretion rate of Cefetamet which could result in a higher serum level.]
[J01DD09, cefodizime, Furosemide may decrease the excretion rate of Cefodizime which could result in a higher serum level.]
[J01DC11, ceforanide, Furosemide may decrease the excretion rate of Ceforanide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Furosemide may decrease the excretion rate of Cefpodoxime which could result in a higher serum level.]
[J01DD14, ceftibuten, Furosemide may decrease the excretion rate of Ceftibuten which could result in a higher serum level.]
[J01GB14, plazomicin, Furosemide may increase the ototoxic activities of Plazomicin.]
[C07AB08, celiprolol, The risk or severity of hypokalemia can be increased when Celiprolol is combined with Furosemide.]
[A16AX14, migalastat, Furosemide may increase the excretion rate of Migalastat which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX17, stiripentol, Furosemide may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EB07, dacomitinib, The metabolism of Furosemide can be decreased when combined with Dacomitinib.]
[S01GX12, cetirizine, Furosemide may increase the excretion rate of Cetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Furosemide.]
[N01BA04, chloroprocaine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Chloroprocaine.]
[D08AE05, chloroxylenol, Furosemide may increase the excretion rate of Chloroxylenol which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC05, lornoxicam, The therapeutic efficacy of Furosemide can be decreased when used in combination with Lornoxicam.]
