[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Capecitabine.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ponatinib.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Capecitabine.]
[A16AX08, teduglutide, Capecitabine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Capecitabine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Capecitabine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Capecitabine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Capecitabine.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Capecitabine is combined with Dimethyl fumarate.]
[M04AB03, benzbromarone, The metabolism of Capecitabine can be decreased when combined with Benzbromarone.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Benzocaine.]
[L03AA12, ancestim, Capecitabine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Capecitabine.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Capecitabine is combined with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01EC02, dabrafenib, The metabolism of Capecitabine can be decreased when combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01EE01, trametinib, Capecitabine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Capecitabine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Capecitabine may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[L03AA14, lipegfilgrastim, Capecitabine may increase the myelosuppressive activities of Lipegfilgrastim.]
[A10BJ03, lixisenatide, Capecitabine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Capecitabine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Capecitabine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Capecitabine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Capecitabine.]
[C01CA27, droxidopa, Capecitabine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Capecitabine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, The metabolism of Capecitabine can be increased when combined with Apremilast.]
[L02BG02, formestane, Capecitabine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Capecitabine can be increased when combined with Betamethasone.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Capecitabine.]
[V03AB34, fomepizole, Capecitabine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Capecitabine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Capecitabine can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Capecitabine.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Vedolizumab.]
[B01AA07, acenocoumarol, Acenocoumarol may increase the anticoagulant activities of Capecitabine.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Capecitabine is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Idelalisib.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Capecitabine.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Capecitabine is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01XA05, oritavancin, The metabolism of Capecitabine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Capecitabine is combined with Pirfenidone.]
[S03AA06, gentamicin, Capecitabine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Olaparib.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Capecitabine.]
[B01AF03, edoxaban, Capecitabine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[L04AC10, secukinumab, The metabolism of Capecitabine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Capecitabine is combined with Panobinostat.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Capecitabine.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Capecitabine is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Capecitabine.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Capecitabine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Capecitabine.]
[V03AB37, idarucizumab, Capecitabine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Capecitabine.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Capecitabine can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Capecitabine.]
[L01XG03, ixazomib, Capecitabine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Capecitabine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Capecitabine.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Capecitabine.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ixekizumab.]
[N05BA08, bromazepam, Capecitabine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Capecitabine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Capecitabine.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Capecitabine.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Capecitabine is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Capecitabine.]
[M02AA03, clofezone, Capecitabine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Capecitabine.]
[L01XK03, rucaparib, The metabolism of Capecitabine can be decreased when combined with Rucaparib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Brodalumab.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ocrelizumab.]
[A06AH05, naldemedine, Capecitabine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Capecitabine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Capecitabine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Capecitabine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Capecitabine.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[N07XX13, valbenazine, Capecitabine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Capecitabine can be increased when combined with Infliximab.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Capecitabine can be increased when combined with Delafloxacin.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Capecitabine.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Capecitabine is combined with Guselkumab.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Antilymphocyte immunoglobulin (horse).]
[L01XX59, enasidenib, The metabolism of Capecitabine can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Capecitabine is combined with Vorinostat.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Capecitabine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Capecitabine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Capecitabine.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Capecitabine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Capecitabine is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Capecitabine.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J05AX18, letermovir, The metabolism of Capecitabine can be increased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Capecitabine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Capecitabine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Capecitabine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Capecitabine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Capecitabine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Capecitabine.]
[N03AX24, cannabidiol, The metabolism of Capecitabine can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Capecitabine can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Capecitabine is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[J01GB14, plazomicin, Capecitabine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[L01XX62, ivosidenib, The metabolism of Capecitabine can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Capecitabine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Capecitabine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Capecitabine.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Capecitabine.]
