[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Dulaglutide.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Dulaglutide.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Dulaglutide.]
[H01CB05, pasireotide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Pasireotide.]
[J06BC02, raxibacumab, The risk or severity of adverse effects can be increased when Raxibacumab is combined with Dulaglutide.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Dulaglutide.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Alogliptin is combined with Dulaglutide.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Bendroflumethiazide.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Dulaglutide.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Gemifloxacin.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Moxifloxacin.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Dulaglutide.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Pramlintide is combined with Dulaglutide.]
[M01AH01, celecoxib, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Celecoxib.]
[L04AA18, everolimus, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Everolimus.]
[L01EC02, dabrafenib, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Dabrafenib.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Dulaglutide.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Dulaglutide.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Lixisenatide.]
[G03AC08, etonogestrel, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Simeprevir.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the hypoglycemic activities of Dulaglutide.]
[C07AB04, acebutolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Acebutolol.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Dulaglutide.]
[S01ED02, betaxolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Betaxolol.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Albiglutide is combined with Dulaglutide.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Siltuximab is combined with Dulaglutide.]
[L01ED02, ceritinib, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Ceritinib.]
[L01FG02, ramucirumab, The risk or severity of adverse effects can be increased when Ramucirumab is combined with Dulaglutide.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vedolizumab is combined with Dulaglutide.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Dulaglutide.]
[L01FF02, pembrolizumab, The risk or severity of adverse effects can be increased when Pembrolizumab is combined with Dulaglutide.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Antilymphocyte immunoglobulin (horse).]
[J01MB04, pipemidic acid, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Pipemidic acid.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Blinatumomab.]
[L01FF01, nivolumab, The risk or severity of adverse effects can be increased when Nivolumab is combined with Dulaglutide.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Secukinumab is combined with Dulaglutide.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Brexpiprazole.]
[C10AX14, alirocumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Alirocumab.]
[C10AX13, evolocumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Evolocumab.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Dulaglutide.]
[S01EC01, acetazolamide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin degludec.]
[V03AB37, idarucizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Idarucizumab.]
[A16AB13, asfotase alfa, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Asfotase alfa.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Dulaglutide.]
[L01FC01, daratumumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Daratumumab.]
[L01FE03, necitumumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Necitumumab.]
[L01FX08, elotuzumab, The risk or severity of adverse effects can be increased when Elotuzumab is combined with Dulaglutide.]
[J06BB02, tetanus immune globulin, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Tetanus immune globulin, human.]
[A10BB31, acetohexamide, Dulaglutide may increase the hypoglycemic activities of Acetohexamide.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Dulaglutide.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Ixekizumab.]
[R03DX08, reslizumab, The risk or severity of adverse effects can be increased when Reslizumab is combined with Dulaglutide.]
[J06BC04, obiltoxaximab, The risk or severity of adverse effects can be increased when Obiltoxaximab is combined with Dulaglutide.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Bromocriptine is combined with Dulaglutide.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Dulaglutide.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Dulaglutide.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Dulaglutide.]
[L01FF05, atezolizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Atezolizumab.]
[C03CA02, bumetanide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Bumetanide.]
[C07AA19, bupranolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Bupranolol.]
[L02AE01, buserelin, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Buserelin.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Arsenic trioxide.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sparfloxacin.]
[J06BC03, bezlotoxumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Bezlotoxumab.]
[L01FX10, olaratumab, The risk or severity of adverse effects can be increased when Olaratumab is combined with Dulaglutide.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Brodalumab.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Dulaglutide.]
[L01FF04, avelumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Avelumab.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Ocrelizumab.]
[D11AH05, dupilumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Dupilumab.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Dulaglutide.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Dulaglutide.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Benfluorex is combined with Dulaglutide.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Dulaglutide.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Dulaglutide.]
[J05AE09, tipranavir, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Tipranavir.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Dulaglutide.]
[L01FF03, durvalumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Durvalumab.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Dulaglutide.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Sarilumab.]
[J01MA23, delafloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Guselkumab.]
[J06BD01, palivizumab, The risk or severity of adverse effects can be increased when Palivizumab is combined with Dulaglutide.]
[L01FB01, inotuzumab ozogamicin, The risk or severity of adverse effects can be increased when Inotuzumab ozogamicin is combined with Dulaglutide.]
[L01XH01, vorinostat, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Bisoprolol.]
[C07AA17, bopindolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Bopindolol.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Dulaglutide.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Dulaglutide.]
[R03DX10, benralizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Benralizumab.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Dulaglutide.]
[B02BX06, emicizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Emicizumab.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Semaglutide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Ertugliflozin.]
[C07AG02, carvedilol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Carvedilol.]
[J05AX23, ibalizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Ibalizumab.]
[M05BX05, burosumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Burosumab.]
[N02CD01, erenumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Erenumab.]
[C07AB08, celiprolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Celiprolol.]
[L04AC17, tildrakizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Tildrakizumab.]
[L01FX09, mogamulizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Mogamulizumab.]
[B06AC05, lanadelumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Lanadelumab.]
[N02CD03, fremanezumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Fremanezumab.]
[L01FF06, cemiplimab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Cemiplimab.]
[N02CD02, galcanezumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Galcanezumab.]
[A10BB06, carbutamide, Dulaglutide may increase the hypoglycemic activities of Carbutamide.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Emapalumab.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Ravulizumab.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Dulaglutide.]
[B01AX07, caplacizumab, The risk or severity of adverse effects can be increased when Caplacizumab is combined with Dulaglutide.]
[M05BX06, romosozumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Romosozumab.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Dulaglutide.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Dulaglutide.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Dulaglutide.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Dulaglutide.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Risankizumab.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Polatuzumab vedotin.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Cyclothiazide.]
[S01LA06, brolucizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Brolucizumab.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin pork.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Dulaglutide.]
[L01FD01, trastuzumab, The risk or severity of adverse effects can be increased when Trastuzumab is combined with Dulaglutide.]
[L01FD04, trastuzumab deruxtecan, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Trastuzumab deruxtecan.]
[G03AC09, desogestrel, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Desogestrel.]
[L04AA53, teprotumumab, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Teprotumumab.]
[L01FC02, isatuximab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Isatuximab.]
[N02CD05, eptinezumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Eptinezumab.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Gatifloxacin.]
[G03DB08, dienogest, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Dulaglutide.]
[C08CA16, clevidipine, The risk or severity of hypoglycemia can be increased when Clevidipine is combined with Dulaglutide.]
[L01FX17, sacituzumab govitecan, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Sacituzumab govitecan.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Dulaglutide.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Dulaglutide.]
[L04AA47, inebilizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Inebilizumab.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Dulaglutide.]
[L01FX12, tafasitamab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Tafasitamab.]
[L01FX15, belantamab mafodotin, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Belantamab mafodotin.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Chlorothiazide.]
[G03CA06, chlorotrianisene, Chlorotrianisene may increase the thrombogenic activities of Dulaglutide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, Dulaglutide may increase the hypoglycemic activities of Chlorpropamide.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Chlorthalidone.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Dulaglutide.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Dulaglutide.]
[J06BD04, ansuvimab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Ansuvimab.]
[L01FD06, margetuximab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Margetuximab.]
[J01MB07, flumequine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Dulaglutide.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Dulaglutide.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin human.]
[S01LA08, bevacizumab, The risk or severity of adverse effects can be increased when Bevacizumab is combined with Dulaglutide.]
[L01FF07, dostarlimab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Dostarlimab.]
[L01FX22, loncastuximab tesirine, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Loncastuximab tesirine.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Dulaglutide.]
[L01FX18, amivantamab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Amivantamab.]
[J01MB06, cinoxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Cinoxacin.]
[J06BD05, sotrovimab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Sotrovimab.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Dulaglutide.]
[N06DX03, aducanumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Aducanumab.]
[H01AC07, somapacitan, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Somapacitan.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Anifrolumab.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Lonapegsomatropin.]
[L01FX23, tisotumab vedotin, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Tisotumab vedotin.]
[A10BB12, glimepiride, Dulaglutide may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Dulaglutide may increase the hypoglycemic activities of Gliquidone.]
[N06AX25, St. John's wort extract, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with St. John's Wort.]
[R03DX11, tezepelumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Tezepelumab.]
[D11AH07, tralokinumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Tralokinumab.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Dulaglutide.]
[L04AA55, sutimlimab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Sutimlimab.]
[B06AX04, mitapivat, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Mitapivat.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Dulaglutide.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Clopamide.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Spesolimab.]
[L01FX20, tremelimumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Tremelimumab.]
[N05AH02, clozapine, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Clozapine.]
[L04AA57, ublituximab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Ublituximab.]
[L01FE02, panitumumab, The risk or severity of adverse effects can be increased when Panitumumab is combined with Dulaglutide.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Sotagliflozin.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Dulaglutide.]
[H01AC08, somatrogon, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Somatrogon.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Bimekizumab.]
[J06BB04, hepatitis B immune globulin, The risk or severity of adverse effects can be increased when Hepatitis B immune globulin is combined with Dulaglutide.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nateglinide is combined with Dulaglutide.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Mecasermin is combined with Dulaglutide.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Dulaglutide is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Dulaglutide.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Dulaglutide.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Dulaglutide.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Dulaglutide.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Lomefloxacin.]
[C08CA11, manidipine, The risk or severity of hypoglycemia can be increased when Manidipine is combined with Dulaglutide.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Dulaglutide.]
[C07AA14, mepindolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Dulaglutide.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Dulaglutide.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Miglitol is combined with Dulaglutide.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Dulaglutide.]
[N06AG02, moclobemide, Moclobemide may increase the hypoglycemic activities of Dulaglutide.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Rosuvastatin.]
[R03DX05, omalizumab, The risk or severity of adverse effects can be increased when Omalizumab is combined with Dulaglutide.]
[G03XA01, danazol, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Danazol.]
[C07AB12, nebivolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Nefazodone is combined with Dulaglutide.]
[L01FE01, cetuximab, The risk or severity of adverse effects can be increased when Cetuximab is combined with Dulaglutide.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Dulaglutide.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Dulaglutide.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Dulaglutide.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Dulaglutide.]
