[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluphenazine.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Naloxegol.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Fluphenazine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Fluphenazine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Fluphenazine.]
[N06AX11, mirtazapine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02BE01, acetaminophen, Fluphenazine may increase the hepatotoxic activities of Acetaminophen.]
[A03AA09, difemerine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Fluphenazine.]
[A07DA06, eluxadoline, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Flibanserin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Fluphenazine.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Acetophenazine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Fluphenazine.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Fluphenazine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Aprobarbital.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Bromazepam.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Fluphenazine.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Fluphenazine.]
[N06AA19, amineptin, The serum concentration of Amineptine can be increased when it is combined with Fluphenazine.]
[N05AX17, pimavanserin, Fluphenazine may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Fluphenazine.]
[C07AA19, bupranolol, The serum concentration of Bupranolol can be increased when it is combined with Fluphenazine.]
[N07BC01, buprenorphine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Fluphenazine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Artemether is combined with Fluphenazine.]
[P01BE03, artesunate, The risk or severity of QTc prolongation can be increased when Artesunate is combined with Fluphenazine.]
[N02AF01, butorphanol, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Butorphanol.]
[S01GX07, azelastine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Fluphenazine.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Fluphenazine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Beclamide.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XX08, linezolid, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Fluphenazine.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Fluphenazine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Fluphenazine.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Fluphenazine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Fluphenazine.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Fluphenazine.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Efavirenz.]
[C07AA17, bopindolol, The serum concentration of Bopindolol can be increased when it is combined with Fluphenazine.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Fluphenazine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Brotizolam.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Fluphenazine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Fluphenazine.]
[N06AA15, butriptyline, The serum concentration of Butriptyline can be increased when it is combined with Fluphenazine.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Vinylbital.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Fluphenazine.]
[A03AA03, camylofine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be increased when it is combined with Fluphenazine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Fluphenazine.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Fluphenazine.]
[C07AB08, celiprolol, The serum concentration of Celiprolol can be increased when it is combined with Fluphenazine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Fluphenazine.]
[P01BA07, tafenoquine, The risk or severity of QTc prolongation can be increased when Tafenoquine is combined with Fluphenazine.]
[N03AX17, stiripentol, The metabolism of Fluphenazine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Fluphenazine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Fluphenazine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Carbromal.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Fluphenazine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Fluphenazine.]
[R03BB08, revefenacin, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Fluphenazine is combined with Amifampridine.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Fluphenazine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Fluphenazine.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Fluphenazine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Cloxazolam.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fluphenazine.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Fluphenazine.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Fluphenazine.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Fluphenazine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Fluphenazine.]
[N03AX25, cenobamate, The therapeutic efficacy of Cenobamate can be decreased when used in combination with Fluphenazine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Fluphenazine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Fluphenazine.]
[N02AX03, dezocine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Fluphenazine.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Fluphenazine.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Fluphenazine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dichloralphenazone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Fluphenazine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Fluphenazine.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Fluphenazine.]
[A03AA08, dihexyverine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Fluphenazine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Fluphenazine.]
[P01BE01, artemisinin, The risk or severity of QTc prolongation can be increased when Artemisinin is combined with Fluphenazine.]
[G04BD09, trospium, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dyclonine.]
[P01BB01, proguanil, The risk or severity of QTc prolongation can be increased when Proguanil is combined with Fluphenazine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Fluphenazine is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Fluphenazine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Fluphenazine.]
[N05AA01, chlorpromazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Fluphenazine.]
[N05AF03, chlorprothixene, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Fluphenazine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ethyl loflazepate.]
[L01FX21, naxitamab, Fluphenazine may increase the neurotoxic activities of Naxitamab.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Felbamate.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Fluphenazine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Fluphenazine.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Fluphenazine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Trichloroethylene.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Fluphenazine.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Citalopram.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Fluphenazine.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Fluphenazine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Fluphenazine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Fluphenazine.]
[J01FF01, clindamycin, Fluphenazine may increase the neurotoxic activities of Clindamycin.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Fluphenazine is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Fluphenazine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Levobupivacaine.]
[N06AA04, clomipramine, The serum concentration of desmethylclomipramine, an active metabolite of Clomipramine, can be increased when used in combination with Fluphenazine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Clonidine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Granisetron.]
[N05AH02, clozapine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Halazepam.]
[S02DA02, cocaine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, The risk or severity of extrapyramidal symptoms and CNS depression can be increased when Metyrosine is combined with Fluphenazine.]
[R05DA04, codeine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Hexafluronium.]
[A03AB10, hexocyclium, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tropisetron.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Fluphenazine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Fluphenazine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Fluphenazine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Fluphenazine.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Desloratadine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Fluphenazine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Fluphenazine.]
