[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Entacapone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Entacapone.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Entacapone is combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Entacapone is combined with Trazodone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Entacapone is combined with Triazolam.]
[A03AB12, mepenzolate, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Entacapone is combined with Trifluperidol.]
[N05AA05, triflupromazine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Entacapone.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Entacapone.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Entacapone.]
[A03BB01, butylscopolamine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Entacapone is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Entacapone.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Entacapone is combined with Tubocurarine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Entacapone is combined with Ezogabine.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Viloxazine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Entacapone.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Entacapone can be decreased when used in combination with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Entacapone is combined with Levetiracetam.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Entacapone is combined with Ziprasidone.]
[G04BD07, tolterodine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Entacapone.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Entacapone is combined with Atracurium.]
[S01FA01, atropine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Entacapone is combined with Lorcaserin.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Entacapone.]
[L01EX05, regorafenib, The metabolism of Entacapone can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Barbital.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Entacapone is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Entacapone is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Entacapone is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Entacapone.]
[R06AC06, thonzylamine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Entacapone is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Entacapone.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Entacapone.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Entacapone.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Entacapone is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Entacapone is combined with Benperidol.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Entacapone.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Entacapone.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Entacapone is combined with Naratriptan.]
[N04AC01, benztropine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Entacapone is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Entacapone is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Entacapone.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Entacapone.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Entacapone is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Entacapone is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Entacapone is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Entacapone.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Entacapone.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Entacapone is combined with Tasimelteon.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Entacapone.]
[A03BA03, hyoscyamine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Entacapone is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Entacapone.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Acepromazine.]
[N04AA02, biperiden, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Entacapone.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Entacapone.]
[N06AX11, mirtazapine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Entacapone.]
[A03AA09, difemerine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Entacapone.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Entacapone can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Entacapone is combined with Flibanserin.]
[N05AX15, cariprazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Entacapone is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Acetophenazine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Entacapone.]
[J02AC05, isavuconazole, The metabolism of Entacapone can be decreased when combined with Isavuconazole.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Entacapone is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Entacapone is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Entacapone is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Entacapone.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Entacapone is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Entacapone is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Entacapone.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Entacapone.]
[N07BC01, buprenorphine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Entacapone.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Entacapone is combined with Butorphanol.]
[S01GX07, azelastine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Entacapone.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Entacapone.]
[N02BF02, pregabalin, The therapeutic efficacy of Entacapone can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Entacapone is combined with Beclamide.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxybuprocaine.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Entacapone.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Entacapone.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Entacapone is combined with Safinamide.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Entacapone.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Entacapone is combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Entacapone.]
[N04AA11, bornaprine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Entacapone is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Entacapone is combined with Brotizolam.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Entacapone.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Entacapone is combined with Butriptyline.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Entacapone is combined with Vinylbital.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Entacapone is combined with Carbamazepine.]
[A03AA03, camylofine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Entacapone.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Entacapone.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Entacapone.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Entacapone.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Entacapone.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Entacapone.]
[N03AX17, stiripentol, The metabolism of Entacapone can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Entacapone.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Entacapone.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Entacapone is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Entacapone.]
[R03BB08, revefenacin, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Entacapone.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Entacapone is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Entacapone.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Esketamine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Entacapone is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Entacapone is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Entacapone.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Entacapone is combined with Cloxazolam.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Entacapone.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Entacapone.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Entacapone.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Entacapone is combined with Yohimbine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Entacapone.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Entacapone.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Entacapone.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Entacapone is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Entacapone is combined with Lemborexant.]
[N05AD10, lumateperone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Lumateperone.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Entacapone.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Entacapone is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Entacapone is combined with Dichloralphenazone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Entacapone is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Entacapone is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Entacapone.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Entacapone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Entacapone is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Entacapone.]
[A03AA08, dihexyverine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Entacapone is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Entacapone is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Entacapone is combined with Dyclonine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Entacapone is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Entacapone is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Entacapone.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Entacapone is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Chlorpromazine.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Entacapone can be decreased when used in combination with Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Entacapone.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Entacapone is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Entacapone is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Entacapone is combined with Ethyl loflazepate.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Entacapone is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Entacapone is combined with Felbamate.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Entacapone.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Entacapone is combined with Trichloroethylene.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Entacapone is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Entacapone.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Entacapone is combined with Citalopram.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Entacapone.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Entacapone.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Entacapone is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Entacapone.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Entacapone.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Entacapone.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Entacapone is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Entacapone is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Entacapone is combined with Granisetron.]
[N05AH02, clozapine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Halazepam.]
[S02DA02, cocaine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Entacapone may increase the sedative activities of Metyrosine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Entacapone.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Entacapone is combined with Hexafluronium.]
[A03AB10, hexocyclium, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Entacapone is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Entacapone is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Entacapone is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Entacapone.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Entacapone.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Entacapone is combined with Desloratadine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Entacapone is combined with Almotriptan.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Entacapone is combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Entacapone.]
[N03AX09, lamotrigine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Entacapone can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Lormetazepam.]
[A03AA04, mebeverine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Entacapone is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Entacapone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Entacapone.]
[N04AA03, methixene, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Entacapone is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Entacapone is combined with Cyclobarbital.]
[N05AD03, metylperon, The therapeutic efficacy of Entacapone can be decreased when used in combination with Melperone.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Entacapone is combined with Minaprine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Entacapone is combined with Moclobemide.]
[R06AX02, cyproheptadine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Entacapone is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Entacapone is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Entacapone.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Entacapone.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Entacapone is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Entacapone is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Entacapone is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Entacapone is combined with Cisatracurium.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Entacapone is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Entacapone is combined with Escitalopram.]
[G04BD08, solifenacin, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Entacapone.]
[J02AX05, micafungin, The metabolism of Micafungin can be decreased when combined with Entacapone.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxcarbazepine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Entacapone is combined with Oxiracetam.]
[N04AA08, dexetimide, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Entacapone.]
[A03AA01, oxyphencyclimine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Entacapone.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Entacapone.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Entacapone is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Entacapone is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Entacapone is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Entacapone is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Entacapone is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Entacapone is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Entacapone is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Entacapone is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Entacapone is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Cinchocaine.]
[A03AA07, dicyclomine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[N05AD05, pipamperone, The therapeutic efficacy of Pipamperone can be decreased when used in combination with Entacapone.]
[A03AB14, pipenzolate, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Entacapone.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Entacapone is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Entacapone.]
[A03AB11, poldine, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The metabolism of Entacapone can be decreased when combined with Diflunisal.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Entacapone.]
