[S02DA03, antipyrine, The metabolism of Methyltestosterone can be decreased when combined with Antipyrine.]
[N04BC01, bromocriptine, Methyltestosterone may increase the hypoglycemic activities of Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Methyltestosterone may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The metabolism of Methyltestosterone can be decreased when combined with Brompheniramine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Bupivacaine.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Methyltestosterone can be decreased when combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01EF02, ribociclib, The metabolism of Methyltestosterone can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A06AH05, naldemedine, Methyltestosterone may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Methyltestosterone may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BX06, benfluorex, Methyltestosterone may increase the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Methyltestosterone may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Methyltestosterone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Methyltestosterone may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Methyltestosterone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Methyltestosterone can be decreased when combined with Midostaurin.]
[J01MA23, delafloxacin, Methyltestosterone may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Methyltestosterone.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Methyltestosterone can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BJ06, semaglutide, Methyltestosterone may increase the hypoglycemic activities of Semaglutide.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Methyltestosterone may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The excretion of Captopril can be increased when combined with Methyltestosterone.]
[L02BB05, apalutamide, The metabolism of Methyltestosterone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Methyltestosterone can be increased when combined with Carbamazepine.]
[N03AX24, cannabidiol, The metabolism of Methyltestosterone can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The excretion of Baricitinib can be increased when combined with Methyltestosterone.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be increased when combined with Methyltestosterone.]
[J01GB14, plazomicin, Methyltestosterone may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[L01XX62, ivosidenib, The metabolism of Methyltestosterone can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Methyltestosterone can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A10BB06, carbutamide, Methyltestosterone may increase the hypoglycemic activities of Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Methyltestosterone is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Methyltestosterone may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[L04AA39, emapalumab, The metabolism of Methyltestosterone can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A06AX05, prucalopride, Prucalopride may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[B01AC23, cilostazol, Cilostazol may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[P02BX04, triclabendazole, The metabolism of Methyltestosterone can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Methyltestosterone.]
[J01FA09, clarithromycin, The metabolism of Methyltestosterone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Methyltestosterone may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, The metabolism of Methyltestosterone can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Methyltestosterone can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Methyltestosterone can be increased when combined with Alpelisib.]
[J01DC04, cefaclor, The excretion of Cefaclor can be increased when combined with Methyltestosterone.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DB04, cefazolin, The excretion of Cefazolin can be increased when combined with Methyltestosterone.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DC07, cefotiam, The excretion of Cefotiam can be increased when combined with Methyltestosterone.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be increased when combined with Methyltestosterone.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[N07XX11, pitolisant, The serum concentration of Methyltestosterone can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Methyltestosterone.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Methyltestosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE03, insulin, regular, pork, Methyltestosterone may increase the hypoglycemic activities of Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DB01, cephalexin, The excretion of Cephalexin can be increased when combined with Methyltestosterone.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be increased when combined with Methyltestosterone.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of edema formation can be increased when Methyltestosterone is combined with Deflazacort.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Methyltestosterone.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Methyltestosterone.]
[N03AX25, cenobamate, The serum concentration of Methyltestosterone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[M09AX08, golodirsen, Methyltestosterone may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Methyltestosterone may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N05CM21, lemborexant, The serum concentration of Methyltestosterone can be decreased when it is combined with Lemborexant.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Methyltestosterone.]
[J05AE05, amprenavir, The metabolism of Methyltestosterone can be decreased when combined with Amprenavir.]
[R02AA03, dichlorobenzyl alcohol, Methyltestosterone may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Methyltestosterone may decrease the excretion rate of Dienogest which could result in a higher serum level.]
