[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Vilazodone.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Vilazodone.]
[A03BB01, butylscopolamine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Vilazodone can be decreased when combined with Troleandomycin.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Vilazodone may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Vilazodone.]
[L02BX03, abiraterone, The metabolism of Vilazodone can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Vilazodone can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Vilazodone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Vilazodone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Vilazodone can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ezogabine is combined with Vilazodone.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Indacaterol is combined with Vilazodone.]
[C08DA01, verapamil, The metabolism of Vilazodone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Vilazodone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vilazodone can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Vilazodone may decrease the antihypertensive activities of Vincamine.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Vilazodone is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Vilazodone can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Vilazodone is combined with Xenon.]
[C03BA10, xipamide, Vilazodone may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Vilazodone.]
[J05AE02, indinavir, The metabolism of Vilazodone can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Vilazodone.]
[L01EC01, vemurafenib, The metabolism of Vilazodone can be decreased when combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Vilazodone can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Vilazodone can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Vilazodone can be decreased when combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Vilazodone.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Vilazodone.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Vilazodone.]
[J02AC03, voriconazole, The metabolism of Vilazodone can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Vilazodone is combined with Atracurium.]
[S01FA01, atropine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EK01, axitinib, The metabolism of Vilazodone can be decreased when combined with Axitinib.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Vilazodone.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[A08AA11, lorcaserin, The metabolism of Vilazodone can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Vilazodone can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Vilazodone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Vilazodone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The metabolism of Vilazodone can be increased when combined with Enzalutamide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Vilazodone is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Vilazodone.]
[J05AE04, nelfinavir, The metabolism of Vilazodone can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[N04BD02, rasagiline, The metabolism of Vilazodone can be decreased when combined with Rasagiline.]
[C08CA13, lercanidipine, Vilazodone may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Vilazodone is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Vilazodone.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[N02CC03, zolmitriptan, The risk or severity of vasospastic reactions can be increased when Vilazodone is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Vilazodone can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Vilazodone is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Vilazodone.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Vilazodone.]
[B01AF02, apixaban, The metabolism of Vilazodone can be decreased when combined with Apixaban.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Vilazodone.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Vilazodone can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Vilazodone may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Vilazodone is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Vilazodone can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Vilazodone is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Benperidol.]
[M04AB03, benzbromarone, The metabolism of Vilazodone can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Vilazodone can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Vilazodone.]
[M01AH01, celecoxib, The metabolism of Vilazodone can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Vilazodone.]
[L04AA18, everolimus, The metabolism of Vilazodone can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Vilazodone.]
[L01EC02, dabrafenib, The serum concentration of Vilazodone can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Vilazodone is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Vilazodone.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Vilazodone.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Vilazodone.]
[C02KX05, riociguat, Vilazodone may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Vilazodone may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Vilazodone.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Vilazodone.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Vilazodone can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Vilazodone can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Vilazodone.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Vilazodone.]
[C01CA27, droxidopa, Vilazodone may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Vilazodone.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Vilazodone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Vilazodone can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Vilazodone.]
[C02CC01, bethanidine, Vilazodone may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Vilazodone can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Vilazodone can be decreased when combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Vilazodone is combined with Olodaterol.]
[D11AA01, glycopyrronium, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Vilazodone can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Vilazodone can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Acepromazine.]
[N04AA02, biperiden, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Vilazodone.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Vilazodone.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Dicoumarol.]
[N06AX11, mirtazapine, Vilazodone may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Vilazodone can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Vilazodone can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Vilazodone.]
[A03AA09, difemerine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Vilazodone.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Vilazodone is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Vilazodone.]
[A04AD14, rolapitant, The metabolism of Vilazodone can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Flibanserin is combined with Vilazodone.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Vilazodone is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Vilazodone is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Vilazodone.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Vilazodone can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Vilazodone.]
[J02AC05, isavuconazole, The metabolism of Vilazodone can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Vilazodone may decrease the antihypertensive activities of Selexipag.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Vilazodone.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Vilazodone is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Vilazodone.]
[L01XX52, venetoclax, The metabolism of Vilazodone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Vilazodone.]
[N04BC01, bromocriptine, Bromocriptine may increase the vasoconstricting activities of Vilazodone.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Vilazodone.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Vilazodone.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Vilazodone.]
[C08CA01, amlodipine, Vilazodone may decrease the antihypertensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Vilazodone.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Vilazodone.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Vilazodone.]
[N07BC01, buprenorphine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Vilazodone.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Vilazodone.]
[M02AA03, clofezone, The metabolism of Vilazodone can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Vilazodone.]
[S01GX07, azelastine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Vilazodone.]
[L01EF02, ribociclib, The metabolism of Vilazodone can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Vilazodone.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Bambuterol is combined with Vilazodone.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Vilazodone.]
[N02BF02, pregabalin, The therapeutic efficacy of Vilazodone can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Vilazodone is combined with Beclamide.]
[C09AA07, benazepril, Vilazodone may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Vilazodone.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Vilazodone.]
[J05AE09, tipranavir, The metabolism of Vilazodone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Vilazodone.]
[L04AB02, infliximab, The metabolism of Vilazodone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Vilazodone can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The metabolism of Vilazodone can be decreased when combined with Safinamide.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Vilazodone.]
[C07AB07, bisoprolol, Vilazodone may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Vilazodone.]
[J05AG03, efavirenz, The metabolism of Vilazodone can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Vilazodone.]
[N04AA11, bornaprine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Vilazodone is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Vilazodone is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Vilazodone is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Vilazodone is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Vilazodone.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Vilazodone.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Vilazodone is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Vilazodone.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Vilazodone is combined with Vinylbital.]
[C09AA01, captopril, Vilazodone may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Vilazodone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Vilazodone can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Vilazodone.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Vilazodone.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Vilazodone.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Vilazodone.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Vilazodone.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Vilazodone.]
[L01XX62, ivosidenib, The metabolism of Vilazodone can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Vilazodone.]
[N03AX17, stiripentol, The metabolism of Vilazodone can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Vilazodone can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Vilazodone.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Vilazodone.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Vilazodone is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Vilazodone.]
[R06AA06, chlorphenoxamine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Vilazodone is combined with Lornoxicam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Vilazodone.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Vilazodone.]
[L04AA39, emapalumab, The metabolism of Vilazodone can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Vilazodone can be decreased when used in combination with Gilteritinib.]
[C09AA08, cilazapril, Vilazodone may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Vilazodone.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Vilazodone is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Vilazodone can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Vilazodone.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Vilazodone is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Vilazodone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Vilazodone.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Brexanolone.]
[N05BA09, clobazam, The metabolism of Vilazodone can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Vilazodone.]
[C09CA06, candesartan, Vilazodone may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Vilazodone can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Vilazodone can be decreased when combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Vilazodone is combined with Cyamemazine.]
[C03BX03, cicletanine, Vilazodone may decrease the antihypertensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vilazodone.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Vilazodone.]
[N07XX11, pitolisant, The serum concentration of Vilazodone can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Vilazodone.]
[C03AA09, cyclothiazide, Vilazodone may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Vilazodone.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Vilazodone.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Vilazodone.]
[N03AX25, cenobamate, The serum concentration of Vilazodone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Vilazodone can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Vilazodone.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Vilazodone.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Vilazodone.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Vilazodone is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Vilazodone can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Vilazodone can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Vilazodone can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vilazodone.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Vilazodone.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Vilazodone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Vilazodone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Vilazodone.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Vilazodone.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Vilazodone.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Vilazodone.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Vilazodone.]
[C01BD07, dronedarone, The metabolism of Vilazodone can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Vilazodone.]
[S03AA08, chloramphenicol, The metabolism of Vilazodone can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Vilazodone.]
[C02AA06, methoserpidine, Vilazodone may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Vilazodone.]
[A03AA08, dihexyverine, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Vilazodone is combined with Dopexamine.]
