[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Antipyrine.]
[M03BX01, baclofen, Cefepime may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[A08AA11, lorcaserin, Cefepime may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, Cefepime may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, Cefepime may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[B01AX01, defibrotide, The therapeutic efficacy of Defibrotide can be decreased when used in combination with Cefepime.]
[D02BA02, octinoxate, Cefepime may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, Cefepime may decrease the excretion rate of Rasagiline which could result in a higher serum level.]
[V09IX04, fluorodeoxyglucose F18, Cefepime may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Cefepime may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[B01AF02, apixaban, The therapeutic efficacy of Apixaban can be decreased when used in combination with Cefepime.]
[A16AX08, teduglutide, Cefepime may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Cefepime may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Cefepime may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[L04AX06, pomalidomide, Cefepime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Benorilate.]
[A10BK02, canagliflozin, Cefepime may decrease the excretion rate of Canagliflozin which could result in a higher serum level.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Benzocaine.]
[L03AA12, ancestim, Cefepime may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of nephrotoxicity can be increased when Celecoxib is combined with Cefepime.]
[N04AC01, benztropine, Cefepime may decrease the excretion rate of Benzatropine which could result in a higher serum level.]
[R02AX03, benzydamine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Benzydamine.]
[L01EE01, trametinib, Cefepime may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Cefepime may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Cefepime may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[A10BJ03, lixisenatide, Cefepime may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Cefepime may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, Cefepime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Cefepime may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[J05AP08, sofosbuvir, Cefepime may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[C01CA27, droxidopa, Cefepime may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, Cefepime may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Cefepime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Cefepime may decrease the excretion rate of Formestane which could result in a higher serum level.]
[B01AE03, argatroban, The therapeutic efficacy of Argatroban can be decreased when used in combination with Cefepime.]
[V03AB34, fomepizole, Cefepime may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[B01AC26, vorapaxar, The therapeutic efficacy of Vorapaxar can be decreased when used in combination with Cefepime.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Cefepime is combined with Acenocoumarol.]
[V08AA01, diatrizoic acid, Cefepime may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[V08AA04, iothalamic acid, Cefepime may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Dihydrostreptomycin.]
[S03AA06, gentamicin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Gentamicin.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Cefepime is combined with Dicoumarol.]
[B01AF03, edoxaban, Cefepime may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N02BE01, acetaminophen, Cefepime may decrease the excretion rate of Acetaminophen which could result in a higher serum level.]
[L01DC01, bleomycin, Cefepime may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Cefepime is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, The risk or severity of nephrotoxicity can be increased when Adefovir dipivoxil is combined with Cefepime.]
[B01AC25, cangrelor, The therapeutic efficacy of Cangrelor can be decreased when used in combination with Cefepime.]
[M02AA25, aceclofenac, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Acemetacin.]
[V03AB37, idarucizumab, Cefepime may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, Cefepime may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01XG03, ixazomib, Cefepime may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Cefepime may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Alminoprofen.]
[N03AX23, brivaracetam, Cefepime may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Cefepime may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, Cefepime may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefepime.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Bupivacaine.]
[N05BE01, buspirone, Cefepime may decrease the excretion rate of Buspirone which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Cefepime may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Cefepime may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[A07EC04, balsalazide, The risk or severity of nephrotoxicity can be increased when Balsalazide is combined with Cefepime.]
[A06AH05, naldemedine, Cefepime may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Cefepime may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Cefepime may decrease the excretion rate of Pregabalin which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Cefepime may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Cefepime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Cefepime may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[J01MA23, delafloxacin, Cefepime may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The therapeutic efficacy of Betrixaban can be decreased when used in combination with Cefepime.]
[L01BC06, capecitabine, Cefepime may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[C07AB07, bisoprolol, Cefepime may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01DC10, cefprozil, The risk or severity of nephrotoxicity can be increased when Cefprozil is combined with Cefepime.]
[R03BA02, budesonide, Cefepime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Bumadizone.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Capsaicin.]
[R06AX18, acrivastine, Cefepime may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Cefepime may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Cefepime may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AA37, baricitinib, Cefepime may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DD10, cefetamet, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Cefetamet.]
[J01DD09, cefodizime, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Cefodizime.]
[J01DC11, ceforanide, The risk or severity of nephrotoxicity can be increased when Ceforanide is combined with Cefepime.]
[J01DD13, cefpodoxime, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Cefpodoxime.]
[J01DD14, ceftibuten, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Ceftibuten.]
[J01GB14, plazomicin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Plazomicin.]
[A16AX14, migalastat, Cefepime may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Cefepime may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[S01GX12, cetirizine, Cefepime may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Cefepime may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Inotersen.]
[L01AD01, carmustine, Cefepime may decrease the excretion rate of Carmustine which could result in a higher serum level.]
[A06AX05, prucalopride, Cefepime may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Cefepime may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[N06BA14, solriamfetol, Cefepime may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Cefepime may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DC04, cefaclor, The risk or severity of nephrotoxicity can be increased when Cefaclor is combined with Cefepime.]
[J01DB05, cefadroxil, The risk or severity of nephrotoxicity can be increased when Cefadroxil is combined with Cefepime.]
[J01DC03, cefamandole, The risk or severity of nephrotoxicity can be increased when Cefamandole is combined with Cefepime.]
[J01DB07, cefatrizine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Cefatrizine.]
[J01DB04, cefazolin, The risk or severity of nephrotoxicity can be increased when Cefazolin is combined with Cefepime.]
[J01DC09, cefmetazole, The risk or severity of nephrotoxicity can be increased when Cefmetazole is combined with Cefepime.]
[J01DC06, cefonicid, The risk or severity of nephrotoxicity can be increased when Cefonicid is combined with Cefepime.]
[J01DD12, cefoperazone, The risk or severity of nephrotoxicity can be increased when Cefoperazone is combined with Cefepime.]
[J01DD01, cefotaxime, The risk or severity of nephrotoxicity can be increased when Cefotaxime is combined with Cefepime.]
[J01DC05, cefotetan, The risk or severity of nephrotoxicity can be increased when Cefotetan is combined with Cefepime.]
[J01DC07, cefotiam, The risk or severity of nephrotoxicity can be increased when Cefotiam is combined with Cefepime.]
[J01DC01, cefoxitin, The risk or severity of nephrotoxicity can be increased when Cefoxitin is combined with Cefepime.]
[J01DD03, cefsulodin, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Cefsulodin.]
[J01DD02, ceftazidime, The risk or severity of nephrotoxicity can be increased when Ceftazidime is combined with Cefepime.]
[J01DD07, ceftizoxime, The risk or severity of nephrotoxicity can be increased when Ceftizoxime is combined with Cefepime.]
[J01DD04, ceftriaxone, The risk or severity of nephrotoxicity can be increased when Ceftriaxone is combined with Cefepime.]
[S01AA27, cefuroxime, The risk or severity of nephrotoxicity can be increased when Cefuroxime is combined with Cefepime.]
[N07XX11, pitolisant, Cefepime may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[J01XX09, daptomycin, Cefepime may decrease the excretion rate of Daptomycin which could result in a higher serum level.]
[J01DB01, cephalexin, The risk or severity of nephrotoxicity can be increased when Cephalexin is combined with Cefepime.]
[J01DB02, cephaloridine, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Cefaloridine.]
[J01DB03, cephalothin, The risk or severity of nephrotoxicity can be increased when Cefalotin is combined with Cefepime.]
[J01DB08, cephapirin, The risk or severity of nephrotoxicity can be increased when Cefapirin is combined with Cefepime.]
[J01DB09, cephradine, The risk or severity of nephrotoxicity can be increased when Cefradine is combined with Cefepime.]
[A16AX16, givosiran, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Givosiran.]
[M09AX08, golodirsen, Cefepime may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Cefepime may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[R02AA03, dichlorobenzyl alcohol, Cefepime may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Cefepime may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[M01AH02, rofecoxib, The risk or severity of nephrotoxicity can be increased when Rofecoxib is combined with Cefepime.]
[C08CA16, clevidipine, Cefepime may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[M01AC04, droxicam, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Droxicam.]
[V08CA05, mangafodipir, Cefepime may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[B01AE02, lepirudin, The therapeutic efficacy of Lepirudin can be decreased when used in combination with Cefepime.]
[M02AA27, dexketoprofen, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Dexketoprofen.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Dyclonine.]
[P01BA01, chloroquine, Cefepime may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05AA01, chlorpromazine, Cefepime may decrease the excretion rate of Chlorpromazine which could result in a higher serum level.]
[A10BB02, chlorpropamide, Cefepime may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[M03BB03, chlorzoxazone, Cefepime may decrease the excretion rate of Chlorzoxazone which could result in a higher serum level.]
[N02BA07, ethenzamide, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Ethenzamide.]
[N02BA03, choline salicylate, Cefepime may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, The risk or severity of nephrotoxicity can be increased when Etodolac is combined with Cefepime.]
[M02AA06, etofenamate, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Etofenamate.]
[M01AX25, chondroitin sulfates, Cefepime may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M01AE05, fenbufen, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Fenbufen.]
[C01CA19, fenoldopam, Cefepime may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefepime may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Cefepime may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Cefepime may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[A02BA01, cimetidine, Cefepime may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[V08CA04, gadoteridol, Cefepime may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[S03AA07, ciprofloxacin, Cefepime may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01XA01, cisplatin, Cefepime may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[M01AG01, mefenamic acid, The risk or severity of nephrotoxicity can be increased when Mefenamic acid is combined with Cefepime.]
[B01AD11, tenecteplase, The therapeutic efficacy of Tenecteplase can be decreased when used in combination with Cefepime.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Levobupivacaine.]
[N06AA04, clomipramine, Cefepime may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Cefepime may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[J05AH02, oseltamivir, Cefepime may decrease the excretion rate of Oseltamivir which could result in a higher serum level.]
[N05AH02, clozapine, Cefepime may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01GB12, arbekacin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Arbekacin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Cocaine.]
[M01AX13, proquazone, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Proquazone.]
[M04AC01, colchicine, Cefepime may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Colistin.]
[J01DE02, cefpirome, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Cefpirome.]
[A04AA03, tropisetron, Cefepime may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Cefepime may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Imidazole salicylate.]
[B01AC10, indobufen, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Indobufen.]
[J05AB14, valganciclovir, Cefepime may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Cefepime may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Cefepime may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Cefepime may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Cefepime may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Cefepime may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of nephrotoxicity can be increased when Valdecoxib is combined with Cefepime.]
[N02CC05, almotriptan, Cefepime may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Parecoxib.]
[B01AB12, bemiparin, The therapeutic efficacy of Bemiparin can be decreased when used in combination with Cefepime.]
[S01AD03, acyclovir, The risk or severity of nephrotoxicity can be increased when Acyclovir is combined with Cefepime.]
[N05BA10, ketazolam, Cefepime may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Kebuzone.]
[N03AX09, lamotrigine, Cefepime may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[N07BC04, lofexidine, Cefepime may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Loxoprofen.]
[J01DC08, loracarbef, The risk or severity of nephrotoxicity can be increased when Loracarbef is combined with Cefepime.]
[C09AA03, lisinopril, Cefepime may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Cefepime may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[J01DH02, meropenem, Cefepime may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[N05AD03, metylperon, Cefepime may decrease the excretion rate of Melperone which could result in a higher serum level.]
[S01AA22, micronomicin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Cefepime is combined with Micronomicin.]
[J05AF07, tenofovir disoproxil, Cefepime may increase the nephrotoxic activities of Tenofovir disoproxil.]
[S01XA18, cyclosporine, The risk or severity of nephrotoxicity can be increased when Cyclosporine is combined with Cefepime.]
[M02AA02, mofebutazone, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Morniflumate.]
[M01AH05, etoricoxib, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Etoricoxib.]
[L01AX04, dacarbazine, Cefepime may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M01AX01, nabumetone, The risk or severity of nephrotoxicity can be increased when Nabumetone is combined with Cefepime.]
[N07BB05, nalmefene, Cefepime may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Cefepime may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, Cefepime may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Cefepime may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Cefepime may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[M03AC11, cisatracurium, Cefepime may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Cefepime may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[A07EC03, olsalazine, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefepime.]
[N06AA01, desipramine, Cefepime may decrease the excretion rate of Desipramine which could result in a higher serum level.]
